#Mission K2
#Campaign 6
#Column 1, Custom Aperture Number/Dataset number
#Column 2, Trojan/Asteroid designation number
#Created by Susan Thompson
#Created on 2016-02-02
200042334,113224
200042335,113224
200042336,113224
200042337,113224
200042338,113224
200042339,113224
200042340,113224
200042341,113224
200042342,113224
200042343,113224
200042344,113224
200042345,113224
200042346,113224
200042347,113224
200042348,113224
200042349,113224
200042350,113224
200042351,113224
200042352,113224
200042353,113224
200042354,113224
200042355,113224
200042356,113224
200042357,113224
200042358,113224
200042359,113224
200042360,113224
200042361,113224
200042362,113224
200042363,113224
200042364,113224
200042365,113224
200042366,113224
200042367,113224
200042368,113224
200042369,113224
200042370,113224
200042371,113224
200042372,113224
200042373,113224
200042374,113224
200042375,113224
200042376,113224
200042377,113224
200042378,113224
200042379,113224
200042380,113224
200042381,113224
200042382,113224
200042383,113224
200042384,113224
200042385,113224
200042386,113224
200042387,113224
200042388,113224
200042389,113224
200042390,113224
200042391,113224
200042392,113224
200042393,113224
200042394,113224
200042395,113224
200042396,113224
200042397,113224
200042398,113224
200042399,113224
200042400,113224
200042401,113224
200042402,113224
200042403,113224
200042404,113224
200042405,113224
200042406,113224
200042407,113224
200042408,113224
200042409,113224
200042410,113224
200042411,113224
200042412,113224
200042413,113224
200042414,113224
200042415,113224
200042416,113224
200042417,113224
200042418,113224
200042419,113224
200042420,113224
200042421,113224
200042422,113224
200042423,113224
200042424,113224
200042425,113224
200042426,113224
200042427,113224
200042428,113224
200042429,113224
200042430,113224
200042431,113224
200042432,113224
200042433,113224
200042434,113224
200042435,113224
200042436,113224
200042437,113224
200042438,113224
200042439,113224
200042440,113224
200042441,113224
200042442,113224
200042443,113224
200042444,113224
200042445,113224
200042446,113224
200042447,113224
200042448,113224
200042449,113224
200042450,113224
200042451,113224
200042452,113224
200042453,113224
200042454,113224
200042455,113224
200042456,113224
200042457,113224
200042458,113224
200042459,113224
200042460,113224
200042461,113224
200042462,113224
200042463,113224
200042464,113224
200042465,113224
200042466,113224
200042467,113224
200042468,113224
200042469,113224
200042470,113224
200042471,113224
200042472,113224
200042473,113224
200042474,113224
200042475,113224
200042476,113224
200042477,113224
200042478,113224
200042479,113224
200042480,113224
200042481,113224
200042482,113224
200042483,113224
200042484,113224
200042485,113224
200042486,113224
200042487,113224
200042488,113224
200042489,113224
200042490,113224
200042491,113224
200042492,113224
200042493,113224
200042494,113224
200042495,113224
200042496,113224
200042497,113224
200042498,113224
200042499,113224
200042500,113224
200042501,113224
200042502,113224
200042503,113224
200042504,113224
200042505,113224
200042506,113224
200042507,113224
200042508,113224
200042509,113224
200042510,113224
200042511,113224
200042512,113224
200042513,113224
200042514,113224
200042515,113224
200042516,113224
200042517,113224
200042518,113224
200042519,113224
200042520,113224
200042521,113224
200042522,113224
200042523,113224
200042524,113224
200042525,113224
200042526,113224
200042527,113224
200042528,113224
200042529,113224
200042530,113224
200042531,113224
200042532,113224
200042533,113224
200042534,113224
200042535,113224
200042536,113224
200042537,113224
200042538,113224
200042539,113224
200042540,113224
200042541,113224
200042542,113224
200042543,113224
200042544,113224
200042545,113224
200042546,113224
200042547,113224
200042548,113224
200042549,113224
200042550,113224
200042551,113224
200042552,113224
200042553,113224
200042554,113224
200042555,113224
200042556,113224
200042557,113224
200042558,113224
200042559,113224
200042560,113224
200042561,113224
200042562,113224
200042563,113224
200042564,113224
200042565,113224
200042566,113224
200042567,113224
200042568,113224
200042569,113224
200042570,113224
200042571,113224
200042572,113224
200042573,113224
200042574,113224
200042575,113224
200042576,113224
200042577,113224
200042578,113224
200042579,113224
200042580,113224
200042581,113224
200042582,113224
200042583,113224
200042584,113224
200042585,113224
200042586,113224
200042587,113224
200042588,113224
200042589,113224
200042590,113224
200042591,113224
200042592,113224
200042593,113224
200042594,113224
200042595,113224
200042596,113224
200042597,113224
200042598,1143
200042599,1143
200042600,1143
200042601,1143
200042602,1143
200042603,1143
200042604,1143
200042605,1143
200042606,1143
200042607,1143
200042608,1143
200042609,1143
200042610,1143
200042611,1143
200042612,1143
200042613,1143
200042614,1143
200042615,1143
200042616,1143
200042617,1143
200042618,1143
200042619,1143
200042620,1143
200042621,1143
200042622,1143
200042623,1143
200042624,1143
200042625,1143
200042626,1143
200042627,1143
200042628,1143
200042629,1143
200042630,1143
200042631,1143
200042632,1143
200042633,1143
200042634,1143
200042635,1143
200042636,1143
200042637,1143
200042638,1143
200042639,1143
200042640,1143
200042641,1143
200042642,1143
200042643,1143
200042644,1143
200042645,1143
200042646,1143
200042647,1143
200042648,1143
200042649,1143
200042650,1143
200042651,1143
200042652,1143
200042653,1143
200042654,1143
200042655,1143
200042656,1143
200042657,1143
200042658,1143
200042659,1143
200042660,1143
200042661,1143
200042662,1143
200042663,1143
200042664,1143
200042665,1143
200042666,1143
200042667,1143
200042668,1143
200042669,1143
200042670,1143
200042671,1143
200042672,1143
200042673,1143
200042674,1143
200042675,1143
200042676,1143
200042677,1143
200042678,1143
200042679,1143
200042680,1143
200042681,1143
200042682,1143
200042683,1143
200042684,1143
200042685,1143
200042686,1143
200042687,1143
200042688,1143
200042689,1143
200042690,1143
200042691,1143
200042692,1143
200042693,1143
200042694,1143
200042695,1143
200042696,1143
200042697,1143
200042698,1143
200042699,1143
200042700,1143
200042701,1143
200042702,1143
200042703,1143
200042704,1143
200042705,1143
200042706,1143
200042707,1143
200042708,1143
200042709,1143
200042710,1143
200042711,1143
200042712,1143
200042713,1143
200042714,1143
200042715,1143
200042716,1143
200042717,1143
200042718,1143
200042719,1143
200042720,1143
200042721,1143
200042722,1143
200042723,1143
200042724,1143
200042725,1143
200042726,1143
200042727,1143
200042728,1143
200042729,1143
200042730,1143
200042731,1143
200042732,1143
200042733,1143
200042734,1143
200042735,1143
200042736,1143
200042737,1143
200042738,1143
200042739,1143
200042740,1143
200042741,1143
200042742,1143
200042743,1143
200042744,1143
200042745,1143
200042746,1143
200042747,1143
200042748,1143
200042749,1143
200042750,1143
200042751,1143
200042752,1143
200042753,1143
200042754,1143
200042755,1143
200042756,1143
200042757,1143
200042758,1143
200042759,1143
200042760,1143
200042761,1143
200042762,1143
200042763,1143
200042764,1143
200042765,1143
200042766,1143
200042767,1143
200042768,1143
200042769,1143
200042770,1143
200042771,1143
200042772,1143
200042773,1143
200042774,1143
200042775,1143
200042776,1143
200042777,1143
200042778,1143
200042779,1143
200042780,1143
200042781,12238
200042782,12238
200042783,12238
200042784,12238
200042785,12238
200042786,12238
200042787,12238
200042788,12238
200042789,12238
200042790,12238
200042791,12238
200042792,12238
200042793,12238
200042794,12238
200042795,12238
200042796,12238
200042797,12238
200042798,12238
200042799,12238
200042800,12238
200042801,12238
200042802,12238
200042803,12238
200042804,12238
200042805,12238
200042806,12238
200042807,12238
200042808,12238
200042809,12238
200042810,12238
200042811,12238
200042812,12238
200042813,12238
200042814,12238
200042815,12238
200042816,12238
200042817,12238
200042818,12238
200042819,12238
200042820,12238
200042821,12238
200042822,12238
200042823,12238
200042824,12238
200042825,12238
200042826,12238
200042827,12238
200042828,12238
200042829,12238
200042830,12238
200042831,12238
200042832,12238
200042833,12238
200042834,12238
200042835,12238
200042836,12238
200042837,12238
200042838,12238
200042839,12238
200042840,12238
200042841,12238
200042842,12238
200042843,12238
200042844,12238
200042845,12238
200042846,12238
200042847,12238
200042848,12238
200042849,12238
200042850,12238
200042851,12238
200042852,12238
200042853,12238
200042854,12238
200042855,12238
200042856,12238
200042857,12238
200042858,12238
200042859,12238
200042860,12238
200042861,12238
200042862,12238
200042863,12238
200042864,12238
200042865,12238
200042866,12238
200042867,12238
200042868,12238
200042869,12238
200042870,12238
200042871,12238
200042872,12238
200042873,12238
200042874,12238
200042875,12238
200042876,12238
200042877,12238
200042878,12238
200042879,12238
200042880,12238
200042881,12238
200042882,12238
200042883,12238
200042884,12238
200042885,12238
200042886,12238
200042887,12238
200042888,12238
200042889,12238
200042890,12238
200042891,12238
200042892,12238
200042893,12238
200042894,12238
200042895,12238
200042896,12238
200042897,12238
200042898,12238
200042899,12238
200042900,12238
200042901,12238
200042902,12238
200042903,12238
200042904,12238
200042905,12238
200042906,12238
200042907,12238
200042908,12238
200042909,12238
200042910,12238
200042911,12238
200042912,12238
200042913,12238
200042914,12238
200042915,12238
200042916,12238
200042917,12238
200042918,12238
200042919,12238
200042920,12238
200042921,12238
200042922,12238
200042923,12238
200042924,12238
200042925,12238
200042926,12238
200042927,12238
200042928,12238
200042929,12238
200042930,12238
200042931,12238
200042932,12238
200042933,12238
200042934,12238
200042935,12238
200042936,12238
200042937,12238
200042938,12238
200042939,12238
200042940,12238
200042941,12238
200042942,12238
200042943,12238
200042944,12238
200042945,12238
200042946,12238
200042947,12238
200042948,12238
200042949,12238
200042950,12238
200042951,12238
200042952,12238
200042953,12238
200042954,12238
200042955,12238
200042956,12238
200042957,12238
200042958,12238
200042959,12238
200042960,12238
200042961,12238
200042962,12238
200042963,12238
200042964,12238
200042965,12238
200042966,12238
200042967,12238
200042968,12238
200042969,12238
200042970,12238
200042971,12238
200042972,12238
200042973,12238
200042974,12238
200042975,12238
200042976,12238
200042977,12238
200042978,12238
200042979,12238
200042980,12238
200042981,12238
200042982,12238
200042983,12238
200042984,12238
200042985,12238
200042986,12238
200042987,12238
200042988,12238
200042989,12238
200042990,12238
200042991,12238
200042992,12238
200042993,12238
200042994,12238
200042995,12238
200042996,12238
200042997,12238
200042998,12238
200042999,12238
200043000,12238
200043001,12238
200043002,12238
200043003,12238
200043004,12238
200043005,12238
200043006,12238
200043007,12238
200043008,12238
200043009,12238
200043010,12238
200043011,12238
200043012,12238
200043013,12238
200043014,12238
200043015,12238
200043016,12238
200043017,12238
200043018,12238
200043019,12238
200043020,12238
200043021,12238
200043022,12238
200043023,12238
200043024,12238
200043025,12238
200043026,12238
200043027,12238
200043028,12238
200043029,12238
200043030,12238
200043031,12238
200043032,12238
200043033,12238
200043034,12238
200043035,12238
200043036,12238
200043037,12238
200043038,12238
200043039,12238
200043040,12238
200043041,12238
200043042,12238
200043043,12238
200043044,12238
200043045,12238
200043046,12238
200043047,12238
200043048,12238
200043049,12238
200043050,12238
200043051,12238
200043052,12238
200043053,12238
200043054,12238
200043055,12238
