# K2 Campaign 6
# Guide Star Information
# Time (JD), FGS Flux
# 
2457217.4751,   1.3268000000000E+04
2457217.47579,   1.3172000000000E+04
2457217.47648,   1.2698000000000E+04
2457217.47717,   1.2736000000000E+04
2457217.47786,   1.2686000000000E+04
2457217.47854,   1.2490000000000E+04
2457217.47923,   1.2471000000000E+04
2457217.47992,   1.2848000000000E+04
2457217.48061,   1.2944000000000E+04
2457217.4813,   1.2200000000000E+04
2457217.48199,   1.2239000000000E+04
2457217.48268,   1.2767000000000E+04
2457217.48336,   1.2416000000000E+04
2457217.48405,   1.2438000000000E+04
2457217.48474,   1.2332000000000E+04
2457217.48543,   1.2143000000000E+04
2457217.48612,   1.2128000000000E+04
2457217.48681,   1.2072000000000E+04
2457217.4875,   1.2540000000000E+04
2457217.48819,   1.2481000000000E+04
2457217.48887,   1.2247000000000E+04
2457217.48956,   1.2225000000000E+04
2457217.49025,   1.1909000000000E+04
2457217.49094,   1.1857000000000E+04
2457217.49163,   1.1820000000000E+04
2457217.49232,   1.1568000000000E+04
2457217.49301,   1.1645000000000E+04
2457217.49369,   1.1587000000000E+04
2457217.49438,   1.2053000000000E+04
2457217.49507,   1.2021000000000E+04
2457217.49576,   1.1470000000000E+04
2457217.49645,   1.1381000000000E+04
2457217.49714,   1.1451000000000E+04
2457217.49783,   1.1447000000000E+04
2457217.49852,   1.1449000000000E+04
2457217.4992,   1.1222000000000E+04
2457217.49989,   1.1236000000000E+04
2457217.50058,   1.1754000000000E+04
2457217.50127,   1.1583000000000E+04
2457217.50196,   1.1013000000000E+04
2457217.50265,   1.1408000000000E+04
2457217.50334,   1.1488000000000E+04
2457217.50402,   1.1163000000000E+04
2457217.50471,   1.1104000000000E+04
2457217.5054,   1.1101000000000E+04
2457217.50609,   1.0877000000000E+04
2457217.50678,   1.0900000000000E+04
2457217.50747,   1.1164000000000E+04
2457217.50816,   1.1176000000000E+04
2457217.50884,   1.1256000000000E+04
2457217.50953,   1.0802000000000E+04
2457217.51022,   1.1228000000000E+04
2457217.51091,   1.0967000000000E+04
