# Summary of K2 Program GO14016

Title: K2 Observations of Variable White Dwarfs in Fields 14, 15 and 16

PI: Hermes, James J (University Of North Carolina, Chapel Hill)
CoIs: Winget, D. E.; Dunlap, Bart H; Clemens, Chris; Gentile Fusillo, Nicola; Kawaler, Steven; Gaensicke, Boris Teddy; Dennihy, Erik; Bell, Keaton; Raddi, Roberto; Montgomery, Mike; Fuchs, Josh

We propose observations of variable white dwarfs in Fields 14-16 of the K2 mission. We request short-cadence observations of known and high-probability pulsating white dwarfs, since the pulsation periods span 100-1400 s. These K2 pulsating white dwarfs will provide unprecedented insight into the interiors of evolved stellar remnants with a sample size large enough to measure the distribution of both hydrogen and helium-layer masses of these evolved objects, as well as directly constraining the efficiency of convection. Additionally, we propose long-cadence observations of hundreds of known and candidate white dwarfs, many of which are known to be magnetic, in close binaries, or harbor remnant planetary systems.

Overall, our program will more than quadruple the number of rotation rates measured for white dwarfs, putting strong constraints on the evolution of angular momentum in the final stages of stellar evolution. We will also characterize the orbital periods of many new post-common-envelope binaries (close WD+dM), informing Type Ia supernova population synthesis models. The proposed observations will provide the capstone for our legacy dataset of white dwarf variability with K2, which will revolutionize our understanding of stellar remnants for the next decade.

# Targets requested by this program that have been observed (342)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
248894930, 162.505668, 13.087332, 19.136, GO14016_LC|GO14046_LC
248895935, 164.487232, 13.117714, 18.613, GO14016_LC|GO14062_LC|GO14016_SC
248898695, 164.520159, 13.199282, 19.524, GO14016_LC
248898715, 158.419851, 13.199883, 19.331, GO14016_LC|GO14046_LC|GO14019_LC
248900749, 160.753044, 13.265122, 19.116, GO14016_LC|GO14046_LC
248902256, 163.965522, 13.312412, 19.612, GO14016_LC
248902546, 160.714226, 13.320636, 18.78, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248906958, 161.671351, 13.457851, 18.793, GO14016_LC
248908390, 159.042408, 13.503519, 18.995, GO14016_LC|GO14046_LC|GO14062_LC
248912731, 159.635051, 13.646746, 17.35, GO14016_LC|GO14089_LC
248915544, 159.527679, 13.736695, 17.209, GO14016_LC|GO14051_LC|GO14089_LC|GO14080_LC|GO14051_SC|GO14080_SC
248916399, 159.201268, 13.764647, 17.807, GO14016_LC
248917525, 160.530068, 13.803954, 17.691, GO14016_LC
248918182, 159.058497, 13.826168, 19.688, GO14016_LC
251457051, 158.080292, 5.433444, 19.1, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
251457052, 161.6614, 12.8478, 18.9, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
251457053, 160.6439, 12.47448, 18.9, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
251457054, 162.3128, -0.118406, 19.0, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
251457055, 154.578458, 3.736833, 19.9, GO14016_LC|GO14062_LC|GO14016_SC
251457056, 156.457133, 0.6517, 16.1, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
251457057, 165.10905, 10.939828, 16.5, GO14016_LC
251457058, 163.6202, 1.087444, 17.1, GO14016_LC|GO14051_LC|GO14089_LC|GO14080_LC|GO14051_SC|GO14080_SC
251457059, 161.147, 1.704118, 17.6, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
251457060, 161.8546, 1.146439, 17.8, GO14016_LC|GO14089_LC
251457061, 160.794, 11.541, 18.2, GO14016_LC
251457062, 160.5694, 12.52032, 18.5, GO14016_LC|GO14046_LC|GO14062_LC
251457063, 164.8332, 10.05442, 18.5, GO14016_LC
251457064, 159.40312, 1.65339, 18.6, GO14016_LC|GO14062_LC
251457065, 164.0916, 5.706318, 18.6, GO14016_LC|GO14046_LC|GO14062_LC
251457066, 156.8019, 2.180865, 18.7, GO14016_LC
251457067, 159.2584, 3.446688, 18.7, GO14016_LC|GO14046_LC|GO14062_LC
251457068, 157.7258, 1.379383, 18.8, GO14016_LC|GO14046_LC|GO14062_LC
251457069, 160.8492, 4.292681, 18.8, GO14016_LC|GO14046_LC|GO14062_LC
251457070, 162.4046, 12.80774, 18.8, GO14016_LC|GO14046_LC|GO14062_LC
251457072, 160.2661, 0.028766, 18.9, GO14016_LC|GO14062_LC
251457073, 155.694458, 10.356056, 18.9, GO14016_LC
251457075, 160.3095, 8.938151, 19.0, GO14016_LC
251457076, 156.0577, 1.590721, 19.0, GO14016_LC|GO14046_LC|GO14062_LC
251457077, 158.5436, 10.09502, 19.1, GO14016_LC|GO14046_LC|GO14062_LC
251457078, 156.4799, 1.996308, 19.2, GO14016_LC|GO14046_LC|GO14062_LC
251457079, 161.4473, 8.986471, 19.2, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
251457080, 158.181179, 7.722442, 19.3, GO14016_LC|GO14019_LC
251457081, 164.7305, 11.411167, 19.3, GO14016_LC|GO14046_LC
251457082, 158.096958, 12.370861, 19.3, GO14016_LC
251457083, 158.084125, 1.2075, 19.3, GO14016_LC|GO14046_LC|GO14062_LC
251457084, 158.079917, 13.334222, 19.4, GO14016_LC|GO14046_LC
251457085, 157.329042, 2.189444, 19.5, GO14016_LC|GO14046_LC|GO14062_LC
251457086, 156.22096, 10.56017, 19.5, GO14016_LC|GO14062_LC
251457087, 158.570583, 8.021083, 19.6, GO14016_LC|GO14062_LC
251457088, 161.76375, 12.830806, 19.6, GO14016_LC
251457089, 157.609529, 7.935422, 19.7, GO14016_LC|GO14019_LC
251457090, 163.109813, 0.66485, 19.7, GO14016_LC|GO14062_LC
251457091, 160.392417, 6.412361, 19.8, GO14016_LC|GO14062_LC
251457092, 158.26725, 2.597861, 19.8, GO14016_LC|GO14062_LC
251457093, 153.584917, 6.048333, 19.8, GO14016_LC|GO14062_LC
251457094, 156.705825, 0.651528, 19.9, GO14016_LC|GO14062_LC
251457095, 162.82092, 9.850978, 19.9, GO14016_LC
251457097, 156.564733, 0.995247, 19.9, GO14016_LC|GO14062_LC
251457099, 160.371529, 3.495025, 20.0, GO14016_LC
251457100, 162.50655, 0.094822, 20.0, GO14016_LC|GO14062_LC
