# Summary of K2 Program GO14016

Title: K2 Observations of Variable White Dwarfs in Fields 14, 15 and 16

PI: Hermes, James J (University Of North Carolina, Chapel Hill)
CoIs: Winget, D. E.; Dunlap, Bart H; Clemens, Chris; Gentile Fusillo, Nicola; Kawaler, Steven; Gaensicke, Boris Teddy; Dennihy, Erik; Bell, Keaton; Raddi, Roberto; Montgomery, Mike; Fuchs, Josh

We propose observations of variable white dwarfs in Fields 14-16 of the K2 mission. We request short-cadence observations of known and high-probability pulsating white dwarfs, since the pulsation periods span 100-1400 s. These K2 pulsating white dwarfs will provide unprecedented insight into the interiors of evolved stellar remnants with a sample size large enough to measure the distribution of both hydrogen and helium-layer masses of these evolved objects, as well as directly constraining the efficiency of convection. Additionally, we propose long-cadence observations of hundreds of known and candidate white dwarfs, many of which are known to be magnetic, in close binaries, or harbor remnant planetary systems.

Overall, our program will more than quadruple the number of rotation rates measured for white dwarfs, putting strong constraints on the evolution of angular momentum in the final stages of stellar evolution. We will also characterize the orbital periods of many new post-common-envelope binaries (close WD+dM), informing Type Ia supernova population synthesis models. The proposed observations will provide the capstone for our legacy dataset of white dwarf variability with K2, which will revolutionize our understanding of stellar remnants for the next decade.

# Targets requested by this program that have been observed (342)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
248467942, 157.591995, 2.090087, 17.244, GO14016_LC|GO14089_LC|GO14080_LC|GO14080_SC
248468138, 157.290868, 2.098246, 14.313, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC|GO14062_SC
248468569, 157.359083, 2.115097, 19.721, GO14016_LC
248469024, 157.858115, 2.13098, 16.931, GO14016_LC|GO14005_LC|GO14065_LC
248469194, 157.472206, 2.136798, 19.001, GO14016_LC|GO14046_LC|GO14019_LC|GO14062_LC|GO14016_SC
248470350, 156.592163, 2.177779, 18.479, GO14016_LC
248473806, 160.136432, 2.291592, 17.238, GO14016_LC|GO14019_LC
248474124, 158.217346, 2.302006, 18.166, GO14016_LC|GO14088_LC|GO14008_LC
248474603, 158.081071, 2.316306, 16.667, GO14016_LC|GO14041_LC|GO14046_LC|GO14062_LC|GO14016_SC|GO14062_SC
248475423, 158.883131, 2.341144, 18.49, GO14016_LC|GO14088_LC|GO14008_LC
248475795, 158.227116, 2.353318, 19.019, GO14016_LC|GO14088_LC
248488042, 156.088841, 2.755622, 18.364, GO14016_LC|GO14088_LC
248497132, 160.944737, 3.055114, 19.204, GO14016_LC|GO14046_LC|GO14062_LC
248498792, 160.838205, 3.108451, 18.049, GO14016_LC|GO14046_LC|GO14062_LC
248500910, 161.278822, 3.170616, 19.083, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248505080, 159.844275, 3.296458, 19.048, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248508124, 165.071513, 3.394467, 17.841, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248511748, 157.724584, 3.514318, 18.886, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248513530, 160.703944, 3.565382, 17.634, GO14016_LC|GO14089_LC|GO14046_LC
248519839, 157.093041, 3.737939, 17.437, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
248520015, 154.521536, 3.743243, 19.958, GO14016_LC
248520995, 165.223133, 3.773014, 17.252, GO14016_LC|GO14051_LC|GO14089_LC|GO14080_LC|GO14051_SC|GO14080_SC
248522846, 159.314011, 3.824928, 18.987, GO14016_LC|GO14046_LC|GO14062_LC
248523380, 159.487663, 3.839912, 18.749, GO14016_LC|GO14024_LC|GO14046_LC|GO14024_SC
248523392, 158.052315, 3.84016, 18.983, GO14016_LC|GO14046_LC|GO14062_LC
248524686, 159.390925, 3.87543, 17.859, GO14016_LC|GO14046_LC|GO14062_LC
248526641, 153.802506, 3.929812, 19.921, GO14016_LC|GO14062_LC
248527347, 153.579026, 3.949818, 19.901, GO14016_LC|GO14062_LC
248530218, 153.56042, 4.026923, 16.738, GO14016_LC|GO14046_LC|GO14062_LC|GO14065_LC|GO14062_SC
248531554, 160.364959, 4.061217, 16.185, GO14016_LC|GO14005_LC|GO14065_LC
248532028, 154.579111, 4.074254, 19.274, GO14016_LC|GO14046_LC|GO14062_LC
248532749, 156.605005, 4.092864, 17.565, GO14016_LC|GO14046_LC|GO14062_LC
248536526, 154.349459, 4.192588, 19.911, GO14016_LC|GO14062_LC
248537421, 155.177815, 4.217457, 18.018, GO14016_LC|GO14046_LC|GO14062_LC
248540411, 154.076745, 4.295028, 17.375, GO14016_LC
248545116, 153.883777, 4.418761, 17.988, GO14016_LC|GO14046_LC|GO14062_LC
248553588, 157.64155, 4.641351, 19.71, GO14016_LC
248556699, 154.178916, 4.721588, 18.685, GO14016_LC|GO14046_LC|GO14062_LC
248556954, 156.725169, 4.728401, 19.559, GO14016_LC
248563865, 161.561464, 4.923248, 19.199, GO14016_LC|GO14046_LC|GO14062_LC
248569787, 160.065081, 5.072968, 18.403, GO14016_LC|GO14046_LC|GO14062_LC
248573839, 155.802622, 5.177644, 17.723, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC|GO14062_SC
248578252, 156.809906, 5.29615, 18.893, GO14016_LC|GO14046_LC|GO14062_LC
248580640, 156.355905, 5.358589, 17.688, GO14016_LC|GO14046_LC|GO14062_LC
248581476, 154.735942, 5.380167, 19.315, GO14016_LC|GO14046_LC
248581555, 154.770168, 5.382291, 18.326, GO14016_LC|GO14046_LC|GO14019_LC
248584439, 163.767577, 5.45889, 17.522, GO14016_LC|GO14046_LC|GO14062_LC|GO14016_SC
248588851, 155.836676, 5.57942, 16.331, GO14016_LC|GO14096_LC|GO14051_LC|GO14089_LC|GO14080_LC|GO14046_LC|GO14051_SC|GO14080_SC
248592807, 163.704408, 5.687299, 18.615, GO14016_LC|GO14058_LC
248594106, 155.471357, 5.722879, 19.693, GO14016_LC|GO14062_LC
248596522, 155.441962, 5.787047, 16.434, GO14016_LC|GO14062_LC|GO14065_LC|GO14062_SC
248597896, 155.067138, 5.822043, 18.318, GO14016_LC|GO14046_LC|GO14062_LC
248599783, 160.080297, 5.869449, 19.371, GO14016_LC|GO14046_LC|GO14062_LC
248601252, 164.600344, 5.905086, 19.258, GO14016_LC|GO14046_LC|GO14062_LC
248601878, 154.946755, 5.921727, 18.588, GO14016_LC
248602701, 160.97848, 5.941483, 18.861, GO14016_LC|GO14046_LC|GO14062_LC
248603516, 159.821266, 5.961589, 19.472, GO14016_LC|GO14046_LC|GO14062_LC
248603659, 162.948878, 5.965472, 19.933, GO14016_LC|GO14062_LC
248603665, 159.352501, 5.965583, 19.738, GO14016_LC|GO14062_LC
248605773, 158.804017, 6.017609, 17.307, GO14016_LC
248606906, 158.522215, 6.046606, 16.416, GO14016_LC|GO14046_LC|GO14062_LC|GO14062_SC
248607272, 160.994254, 6.055841, 18.778, GO14016_LC|GO14062_LC|GO14016_SC
248607423, 161.572285, 6.059302, 17.262, GO14016_LC
248608148, 159.890781, 6.077192, 18.493, GO14016_LC|GO14046_LC|GO14062_LC
248608953, 153.780132, 6.097772, 17.003, GO14016_LC
248614169, 162.997467, 6.228859, 13.107, GO14016_LC|GO14021_LC
248616323, 164.241803, 6.284773, 18.894, GO14016_LC
248616493, 160.131773, 6.289362, 19.639, GO14016_LC|GO14103_LC
248616906, 156.545008, 6.299462, 17.166, GO14016_LC
248617343, 161.159364, 6.310925, 19.859, GO14016_LC|GO14062_LC
248619606, 155.647494, 6.369135, 19.56, GO14016_LC|GO14062_LC|GO14016_SC
248619861, 155.365136, 6.376164, 19.17, GO14016_LC|GO14089_LC
248621718, 164.236932, 6.422271, 18.523, GO14016_LC
248622493, 154.885937, 6.440934, 19.824, GO14016_LC|GO14062_LC
248623780, 164.400622, 6.474113, 17.767, GO14016_LC
248624594, 163.349067, 6.493419, 19.201, GO14016_LC|GO14046_LC|GO14062_LC
248625371, 160.041661, 6.512133, 18.059, GO14016_LC|GO14016_SC
248625530, 161.332647, 6.516188, 19.819, GO14016_LC|GO14062_LC
248628269, 160.218401, 6.588829, 19.349, GO14016_LC|GO14046_LC
248628910, 161.243067, 6.605296, 17.465, GO14016_LC
248629330, 164.122823, 6.615221, 19.079, GO14016_LC
248631560, 157.657552, 6.669918, 18.314, GO14016_LC
248632674, 159.755102, 6.6985, 19.629, GO14016_LC|GO14062_LC
248634080, 153.973669, 6.73391, 19.122, GO14016_LC
248634592, 164.087204, 6.746097, 18.348, GO14016_LC|GO14046_LC|GO14062_LC
248635938, 162.416822, 6.779755, 19.508, GO14016_LC|GO14046_LC|GO14062_LC
248635955, 155.609552, 6.780263, 19.283, GO14016_LC|GO14046_LC|GO14062_LC
248637059, 154.706638, 6.807827, 18.554, GO14016_LC
248637190, 163.369576, 6.81157, 19.434, GO14016_LC|GO14046_LC|GO14062_LC
248644335, 163.089855, 6.987622, 19.592, GO14016_LC|GO14062_LC
248646405, 155.333682, 7.039447, 19.396, GO14016_LC
