# Summary of K2 Program GO4072

Title: Discovering Planets Orbiting Bright Stars Suitable for Atmospheric Characterization

PI: Fischer, Debra Ann (Yale University)
CoIs: Boyajian, Tabetha Suzanne; Wang, Ji; Schmitt, Joseph; Madhusudhan, Nikku

We propose to observe 73 bright (K < 10), mostly solar-type, main sequence stars to discover transiting planet candidates.  We will eliminate false positives with follow-up Keck AO and measure their masses, a critical parameter for atmospheric modeling, with Yale Keck-HIRES time.  With planets suitable for atmospheric follow-up (i.e., typically planets with large atmospheres), we will use Yale time on a new, near-IR spectrograph, MRO-NESSI, to measure and characterize their atmospheres.  The host star brightness will allow for robust measurements of their pressure-temperature profiles and atmospheric compositions, adding to the extremely small collection of other exoplanets with well-characterized atmospheres orbiting bright stars.  Other potential discoveries include the presence of disequilibrium chemistry and thermal inversions.  A well-characterized exoplanet atmosphere provides important information on planet formation, the planet_x0019_s structure, and fundamental atmospheric physics, while also providing the crucial building blocks towards future measurements of a habitable, Earth-like planet_x0019_s atmosphere.

The discovery of the transiting candidates will be made via a transit-finding computer algorithm and by visual inspection of the light curves for this limited set of stars. To engage the public in this search, we will feature these light curves on the citizen science Planet Hunters project (PI: D. Fischer and C. Lintott) to allow our public volunteers to participate in the search for transiting planets.  This project continues Kepler_x0019_s legacy of discovering and characterizing planets. The ability to complete this project is enabled by Kepler_x0019_s wide-field, continuous monitoring to achieve precise photometric observations for a large number of stars simultaneously.  The deliverable of this project will be at least one bright, nearby exoplanet with measured atmospheric properties. These bright stars will be prime targets for subsequent studies and may eventually serve as targets for the search for life on other planets.

# Targets requested by this program that have been observed (47)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210359769, 58.755996, 12.485583, 9.762, GO4020_LC|GO4018_LC|GO4032_LC|GO4060_LC|GO4048_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4095_LC|GO4012_LC|GO4072_LC|GO4104_LC|GO4024_LC
210364503, 55.367818, 12.607925, 8.599, GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC
210378686, 59.35532, 12.962693, 9.43, GO4029_LC|GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC
210402430, 55.373538, 13.523371, 9.281, GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC
210432248, 53.867109, 14.17484, 9.718, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC
210455478, 63.606878, 14.625035, 8.57, GO4074_SC|GO4018_LC|GO4032_LC|GO4060_LC|GO4067_LC|GO4048_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4074_LC|GO4064_LC|GO4012_LC|GO4072_LC|GO4104_LC|GO4024_LC
210483691, 60.609506, 15.133954, 9.384, GO4060_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC
210487720, 57.137233, 15.202004, 9.241, GO4020_LC|GO4072_LC|GO4104_LC|GO4109_LC
210510363, 58.307915, 15.584819, 9.344, GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC
210517342, 61.567198, 15.698118, 8.395, GO4074_SC|GO4018_LC|GO4032_LC|GO4067_LC|GO4048_LC|GO4033_LC|GO4007_LC|GO4074_LC|GO4012_LC|GO4072_LC|GO4104_LC|GO4024_LC
210517837, 63.890368, 15.70627, 10.462, GO4020_LC|GO4018_LC|GO4032_LC|GO4060_LC|GO4048_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4095_LC|GO4012_LC|GO4072_LC|GO4104_LC|GO4024_LC|GO4109_LC
210519645, 52.776176, 15.736098, 10.179, GO4023_LC|GO4029_LC|GO4033_LC|GO4007_LC|GO4064_LC|GO4072_LC|GO4104_LC
210566397, 54.013241, 16.467413, 7.552, GO4057_LC|GO4033_LC|GO4007_LC|GO4072_LC|GO4104_LC
210579749, 55.938534, 16.667247, 9.982, GO4102_SC|GO4098_SC|GO4020_LC|GO4057_LC|GO4071_LC|GO4060_LC|GO4011_LC|GO4029_LC|GO4072_LC|GO4102_LC|GO4081_LC|GO4098_LC|GO4109_LC
