EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220255967, 10.6705513, 1.695158, 8.841, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220258643, 10.3916616, 1.747954, 8.483, GO8077_LC|GO8028_LC
220259411, 20.0276699, 1.764002, 10.181, GO8032_LC|GO8077_LC|GO8028_LC
220261304, 10.345048, 1.805439, 10.701, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220265562, 20.9049129, 1.901734, 9.823, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220272431, 15.0540895, 2.048301, 9.905, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220272668, 10.822752, 2.0536301, 8.656, GO8077_LC|GO8028_LC
220280695, 22.7268658, 2.2212579, 9.659, GO8077_LC|GO8028_LC|GO8080_LC
220282906, 18.8640232, 2.2706621, 9.741, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220283599, 12.3075438, 2.286031, 9.526, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220284349, 13.8320322, 2.302145, 10.476, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220284621, 10.8701191, 2.3078351, 9.268, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220286247, 15.7314224, 2.3451209, 9.729, GO8077_LC|GO8028_LC
220289831, 21.3768692, 2.4208779, 9.921, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220292523, 11.041441, 2.4764481, 9.797, GO8066_LC|GO8028_LC
220294907, 15.498682, 2.52596, 8.404, GO8051_LC|GO8032_LC|GO8077_LC|GO8002_LC|GO8028_LC|GO8002_SC
220296220, 17.3023453, 2.5516939, 9.338, GO8077_LC|GO8031_LC|GO8028_LC
220296893, 18.4330559, 2.5643771, 9.128, GO8077_LC|GO8028_LC
220297897, 10.8485384, 2.5840991, 8.717, GO8077_LC|GO8028_LC
220298366, 13.7311201, 2.5948291, 10.702, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220298572, 14.5986137, 2.5993741, 9.55, GO8051_LC|GO8032_LC|GO8077_LC|GO8031_LC|GO8028_LC
220299674, 20.7699356, 2.622705, 9.633, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220301335, 14.7601252, 2.658689, 8.875, GO8051_LC|GO8032_LC|GO8077_LC|GO8031_LC|GO8028_LC
220301796, 21.0079975, 2.6695421, 9.893, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220304645, 19.1499329, 2.734864, 8.468, GO8051_LC|GO8077_LC|GO8002_LC|GO8028_LC
220305954, 22.3286324, 2.7637889, 10.116, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220306557, 14.2940502, 2.775568, 9.755, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220310644, 18.9262218, 2.864557, 10.834, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220311218, 12.359868, 2.8762579, 9.326, GO8077_LC|GO8050_LC|GO8031_LC|GO8028_LC
220311344, 18.4662018, 2.8788249, 10.159, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220312606, 11.9467955, 2.9041669, 8.518, GO8051_LC|GO8032_LC|GO8077_LC|GO8031_LC|GO8002_LC|GO8028_LC
220313847, 18.2634068, 2.9294951, 9.959, GO8077_LC|GO8028_LC
220314083, 15.147006, 2.934109, 9.845, GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220315812, 22.6214123, 2.9712, 8.874, GO8051_LC|GO8077_LC|GO8031_LC|GO8028_LC
220316346, 19.0770245, 2.9827299, 10.37, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220316998, 18.5285606, 2.996731, 10.919, GO8077_LC|GO8003_LC|GO8028_LC
220319738, 16.4866982, 3.0558319, 10.631, GO8051_LC|GO8077_LC|GO8028_LC
220320436, 21.2671299, 3.0706749, 8.558, GO8051_LC|GO8032_LC|GO8077_LC|GO8031_LC|GO8028_LC
220327137, 12.899785, 3.2185891, 10.237, GO8077_LC|GO8028_LC
220331203, 14.9712076, 3.3027179, 8.825, GO8051_LC|GO8077_LC|GO8028_LC
220331205, 13.3689661, 3.302767, 9.019, GO8068_LC|GO8077_LC|GO8028_LC
220331852, 14.3361197, 3.3149791, 9.976, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220336170, 22.0565319, 3.4050651, 10.613, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220339422, 12.7600641, 3.4700339, 9.675, GO8051_LC|GO8077_LC|GO8028_LC
220351452, 17.6638412, 3.728215, 9.541, GO8068_LC|GO8051_LC|GO8077_LC|GO8028_LC
220351940, 11.3892117, 3.737817, 10.048, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8028_LC
220354121, 10.5067263, 3.7827151, 9.175, GO8051_LC|GO8032_LC|GO8077_LC|GO8031_LC|GO8033_LC|GO8028_LC
220354247, 22.2815933, 3.7853079, 9.485, GO8032_LC|GO8077_LC|GO8028_LC
220354307, 18.6718655, 3.7866161, 9.067, GO8042_LC|GO8031_LC|GO8036_LC|GO8028_LC
