EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,cadence [min],Investigation IDs
202062472,101.00417,22.74214,12.4,30,GO0046_LC|GO0114_LC
202064526,97.3375,22.183889999999998,16.0,30,GO0055_LC|GO0114_LC
202064532,104.22917,24.75,10.2,30,GO0055_LC|GO0101_LC|GO0113_LC|GO0114_LC
202064534,104.4375,25.20833,11.2,30,GO0055_LC|GO0114_LC
202064535,97.69583,27.473329999999997,11.3,30,GO0055_LC|GO0114_LC
202064539,92.66667,20.42333,13.3,30,GO0055_LC|GO0114_LC
202064541,95.68333,18.531470000000002,12.1,30,GO0055_LC|GO0114_LC
202064447,98.82916999999999,21.296670000000002,11.3,30,GO0051_LC|GO0053_LC|GO0111_LC|GO0114_LC
202064451,93.85833000000001,18.05167,10.9,30,GO0051_LC|GO0114_LC
202064452,100.0125,28.42667,11.5,30,GO0051_LC|GO0097_LC|GO0114_LC|GO0123_LC
202064463,94.87083,20.03667,9.9,30,GO0051_LC|GO0114_LC
202064472,99.85,26.55167,11.1,30,GO0051_LC|GO0114_LC|GO0118_LC
202062191,92.14583,22.61719,8.5,30,GO0036_LC|GO0101_LC|GO0113_LC|GO0114_LC|GO0123_LC
202059333,94.0,23.78322,9.1,30,GO0003_LC|GO0016_LC|GO0049_LC|GO0100_LC|GO0101_LC|GO0109_LC|GO0114_LC
202071278,96.0125,22.893420000000003,10.2,30,GO0097_LC|GO0111_LC|GO0114_LC
202071279,96.00417,20.47,10.2,30,GO0097_LC|GO0101_LC|GO0111_LC|GO0113_LC|GO0114_LC
202062457,93.5,27.703390000000002,9.8,30,GO0043_LC|GO0083_LC|GO0114_LC
202061317,98.05417,25.60625,12.4,30,GO0025_LC|GO0032_LC|GO0040_LC|GO0095_LC|GO0114_LC
202061318,99.68333,18.26972,14.7,30,GO0025_LC|GO0032_LC|GO0040_LC|GO0112_LC|GO0114_LC
202073270,92.85417,18.549889999999998,10.9,30,GO0101_LC|GO0109_LC|GO0113_LC|GO0114_LC
202073297,95.83333,20.83286,15.4,30,GO0101_LC|GO0109_LC|GO0112_LC|GO0114_LC
202072941,96.66667,18.70383,14.8,30,GO0101_LC|GO0109_LC|GO0112_LC|GO0114_LC
202073160,97.65417,19.64122,13.2,30,GO0101_LC|GO0109_LC|GO0114_LC
202072929,97.98333000000001,19.66989,10.8,30,GO0101_LC|GO0109_LC|GO0113_LC|GO0114_LC
202073135,98.67917,15.581560000000001,11.9,30,GO0101_LC|GO0109_LC|GO0114_LC
202072451,99.4,17.79239,11.3,30,GO0100_LC|GO0101_LC|GO0109_LC|GO0114_LC
202073438,99.6625,19.894470000000002,15.0,30,GO0101_LC|GO0109_LC|GO0114_LC
202073043,99.925,17.19211,13.7,30,GO0101_LC|GO0109_LC|GO0114_LC
202073248,101.925,23.93661,12.8,30,GO0101_LC|GO0109_LC|GO0112_LC|GO0114_LC
202070268,93.90833,21.835420000000003,13.5,30,GO0083_LC|GO0114_LC
202070273,101.3875,16.86347,11.4,30,GO0083_LC|GO0114_LC
202061293,94.72083,21.316670000000002,11.0,30,GO0020_LC|GO0049_LC|GO0114_LC
202060447,95.87917,14.199329999999998,9.8,30,GO0017_LC|GO0049_LC|GO0100_LC|GO0101_LC|GO0113_LC|GO0114_LC
202073035,103.9375,20.50333,12.2,30,GO0101_LC|GO0113_LC|GO0114_LC
202073117,93.1375,19.53667,12.7,30,GO0101_LC|GO0113_LC|GO0114_LC
202073145,94.72917,20.598329999999997,11.3,30,GO0101_LC|GO0111_LC|GO0113_LC|GO0114_LC
202073203,101.18333,21.593329999999998,12.9,30,GO0101_LC|GO0113_LC|GO0114_LC
202073218,100.55833,21.73,13.0,30,GO0101_LC|GO0113_LC|GO0114_LC
202073232,98.52917,15.281670000000002,12.3,30,GO0101_LC|GO0111_LC|GO0113_LC|GO0114_LC
202073255,101.60833000000001,25.40333,12.6,30,GO0101_LC|GO0113_LC|GO0114_LC
202073294,95.2375,20.508329999999997,12.4,30,GO0101_LC|GO0113_LC|GO0114_LC
202073309,97.16667,16.495,11.4,30,GO0101_LC|GO0113_LC|GO0114_LC
202073323,100.0125,19.273329999999998,13.0,30,GO0101_LC|GO0113_LC|GO0114_LC
202062100,94.7375,23.10667,10.1,30,GO0036_LC|GO0082_LC|GO0101_LC|GO0111_LC|GO0114_LC
202073371,100.19583,28.078329999999998,10.7,30,GO0101_LC|GO0113_LC|GO0114_LC
202073374,101.8375,23.29167,13.8,30,GO0101_LC|GO0113_LC|GO0114_LC
202073397,103.95833,19.00333,12.6,30,GO0101_LC|GO0114_LC
202073398,92.5125,20.985,13.5,30,GO0101_LC|GO0114_LC
202073402,93.99167,23.398329999999998,10.8,30,GO0101_LC|GO0111_LC|GO0114_LC
