# Summary of K2 Program GO13053

Title: The Open Cluster NGC 1817: A Meeting of Asteroseismology, Stellar Pulsation, and Eclipsing Binaries

PI: Sandquist, Eric (San Diego State University)
CoIs: Arentoft, Torben; Grundahl, Frank; Stello, Dennis; Brogaard, Karsten

NGC 1817 is a rich and relatively young (~1 billion yr) open cluster in the Campaign 13 field. Thanks to its mass, the cluster has a large population of evolved stars that will impact a diverse set of fields in stellar astrophysics. For example, compared to a cluster of similar age (NGC 6811) in the main Kepler field, NGC 1817 has a factor of 5 times more red clump stars. The red clump stars are bright and cool enough to be well suited for asteroseismic analysis, including age determinations. Such a large sample will give us the new opportunity to do a statistically robust asteroseismic age determination for young core-helium burning stars. Previously this could only be done for older clusters that have a heavily populated first-ascent giant branch, and our analysis will produce a much improved calibration of these more massive giant stars.

NGC 1817 is also young enough that main sequence stars fall in the pulsational instability strip, and it is old enough that the most evolved main sequence turnoff stars are also within the strip. The cluster is already known to have a large population of delta Sct and gamma Dor pulsating stars that will benefit from uninterrupted observations, and the sensitivity of the K2 photometry will allow the detection of many additional low-amplitude pulsators that could not be detected from the ground. But the cluster also provides us with the rare opportunity to precisely measure the mass and radius of a pulsating delta Sct star, as one is already known to be part of a cluster eclipsing binary. This would provide a benchmark case for the study of delta Sct pulsators, and the evolved nature of that star will produce an independent determination of the cluster age for comparison with asteroseismic results.

We propose long cadence observations of all of the known red clump star members of the cluster (for asteroseismology), all of the known pulsating stars (with short cadence observations of 3 known to have high frequency modes), the bright eclipsing binary (again with short cadence), and all other bright main sequence members for the detection of additional pulsators and eclipsing systems.

# Targets requested by this program that have been observed (924)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246858055, 78.057698, 16.341903, 14.069, GO13053_LC
246858060, 78.025368, 16.341934, 17.307, GO13053_LC
246858254, 77.982511, 16.343763, 16.701, GO13053_LC
246858291, 78.417367, 16.344061, 16.326, GO13053_LC
246858323, 78.281014, 16.344396, 16.698, GO13053_LC
246858335, 78.048864, 16.344556, 16.145, GO13053_LC
246858349, 78.367308, 16.344662, 16.983, GO13053_LC
246858369, 78.075777, 16.344846, 17.186, GO13053_LC
246858380, 78.163612, 16.345009, 15.604, GO13053_LC|GO13019_LC
246858405, 77.935044, 16.345304, 16.721, GO13053_LC
246858412, 78.080537, 16.34541, 14.882, GO13053_LC
246858492, 78.110947, 16.346232, 16.643, GO13053_LC
246858520, 78.162637, 16.346432, 15.991, GO13053_LC
246858635, 78.066438, 16.347658, 16.298, GO13053_LC
246858661, 78.109646, 16.347939, 17.353, GO13053_LC
246858753, 78.434811, 16.348811, 15.416, GO13053_LC
246858773, 77.995712, 16.348984, 15.174, GO13053_LC
246858962, 78.22867, 16.35091, 16.592, GO13053_LC
246859008, 77.916004, 16.351322, 16.956, GO13053_LC
246859137, 78.393976, 16.352546, 15.488, GO13053_LC
246859198, 78.044001, 16.353087, 16.404, GO13053_LC
246859199, 78.300697, 16.353101, 16.046, GO13053_LC
246859252, 78.166893, 16.353853, 11.945, GO13053_LC|GO13122_LC
246859266, 78.115142, 16.353933, 15.127, GO13053_LC
246859271, 77.933801, 16.353956, 16.592, GO13053_LC
246859439, 78.42398, 16.355453, 15.373, GO13053_LC
246859447, 78.032417, 16.355539, 15.27, GO13053_LC|GO13019_LC
246859647, 78.086334, 16.357547, 16.107, GO13053_LC
246859739, 77.955151, 16.358547, 16.573, GO13053_LC
246859930, 78.431971, 16.360388, 17.253, GO13053_LC
246860168, 77.996423, 16.362683, 15.294, GO13053_LC
246860219, 78.241413, 16.363255, 12.537, GO13053_LC|GO13071_LC|GO13122_LC|GO13090_LC
246860280, 78.199612, 16.363995, 16.614, GO13053_LC
246860284, 78.322427, 16.364025, 13.915, GO13053_LC|GO13122_LC
246860338, 77.962757, 16.364546, 17.159, GO13053_LC
246860357, 78.086393, 16.3647, 16.307, GO13053_LC
246860414, 78.426378, 16.365217, 16.259, GO13053_LC
246860493, 77.405273, 16.365899, 16.058, GO13053_LC
246860837, 77.902336, 16.369492, 15.546, GO13053_LC
246861070, 77.451984, 16.37183, 17.126, GO13053_LC
246861180, 77.983724, 16.372972, 17.33, GO13053_LC
246861205, 78.308023, 16.373144, 14.085, GO13053_LC
246861294, 77.427971, 16.373967, 15.968, GO13053_LC
246861418, 78.119804, 16.375097, 13.484, GO13053_LC|GO13122_LC
246861858, 78.216083, 16.37925, 15.15, GO13053_LC
246861917, 78.260765, 16.379754, 14.043, GO13053_LC|GO13002_LC|GO13037_LC
246862084, 77.541321, 16.381594, 15.48, GO13053_LC
246862101, 78.607362, 16.381736, 14.241, GO13053_LC
246862163, 78.507401, 16.382353, 17.236, GO13053_LC
246862175, 78.511662, 16.38251, 14.984, GO13053_LC
246862250, 78.043565, 16.38343, 15.654, GO13053_LC
246862305, 78.048838, 16.383849, 14.406, GO13053_LC
246862446, 78.423823, 16.385135, 16.368, GO13053_LC
246862682, 78.046191, 16.387486, 16.37, GO13053_LC
246862845, 78.039875, 16.388933, 17.369, GO13053_LC
246863119, 77.977435, 16.391494, 16.732, GO13053_LC
246863237, 78.149348, 16.39269, 16.011, GO13053_LC
246863260, 77.970879, 16.392911, 15.865, GO13053_LC
246863358, 78.424021, 16.39382, 16.967, GO13053_LC
246863441, 78.458202, 16.394714, 16.682, GO13053_LC
246863566, 78.20897, 16.395855, 16.777, GO13053_LC
246863773, 77.431721, 16.397891, 15.845, GO13053_LC
246863835, 78.155978, 16.398491, 17.236, GO13053_LC
246863896, 78.140235, 16.399141, 15.329, GO13053_LC
246863952, 78.036452, 16.399532, 15.265, GO13053_LC
246863956, 78.386482, 16.399567, 16.506, GO13053_LC
246864073, 78.102779, 16.400756, 16.18, GO13053_LC
246864295, 78.082167, 16.402957, 16.411, GO13053_LC
246864311, 77.55602, 16.403196, 16.149, GO13053_LC
246864359, 78.043797, 16.403615, 16.396, GO13053_LC
246864363, 78.050592, 16.403643, 17.381, GO13053_LC
246864761, 78.13816, 16.407914, 13.482, GO13053_LC|GO13122_LC
246864781, 78.16718, 16.40813, 15.603, GO13053_LC
246864906, 78.247233, 16.409596, 15.712, GO13053_LC
246865061, 78.248225, 16.411234, 16.917, GO13053_LC
246865183, 78.337082, 16.412355, 16.288, GO13053_LC
246865216, 78.032075, 16.412729, 16.107, GO13053_LC
246865268, 78.02668, 16.413221, 12.716, GO13053_LC|GO13123_LC|GO13090_LC
246865286, 78.526059, 16.413399, 16.696, GO13053_LC
246865365, 78.339136, 16.414202, 14.752, GO13053_LC
246865438, 78.040939, 16.41494, 16.864, GO13053_LC
246865473, 78.175058, 16.415466, 14.582, GO13053_LC
246865490, 78.473005, 16.415587, 15.922, GO13053_LC
246865542, 78.165854, 16.416083, 13.67, GO13053_LC|GO13122_LC|GO13090_LC
246865690, 77.468792, 16.417746, 15.398, GO13053_LC
246865710, 78.156751, 16.417963, 17.046, GO13053_LC
246865911, 78.254205, 16.41996, 17.006, GO13053_LC
246866122, 78.23618, 16.422201, 15.524, GO13053_LC
246866124, 78.438778, 16.422223, 16.234, GO13053_LC
246866178, 78.307485, 16.422756, 17.003, GO13053_LC
246866279, 78.385034, 16.423997, 14.706, GO13053_LC
246866390, 78.196427, 16.425141, 16.654, GO13053_LC
246866599, 78.22706, 16.427146, 13.424, GO13053_LC|GO13122_LC
246866663, 78.303489, 16.427935, 16.951, GO13053_LC
246866806, 78.296291, 16.429458, 16.451, GO13053_LC
246866936, 77.42096, 16.430881, 15.93, GO13053_LC
246867007, 78.232833, 16.43161, 16.95, GO13053_LC
246867215, 78.386254, 16.433619, 13.617, GO13053_LC|GO13122_LC
246867238, 77.580389, 16.433802, 15.69, GO13053_LC
246867245, 78.296381, 16.433852, 15.679, GO13053_LC
246867256, 77.538492, 16.433981, 15.146, GO13053_LC
246867267, 77.707521, 16.434056, 16.135, GO13053_LC
246867482, 77.467223, 16.436188, 16.452, GO13053_LC
246867489, 78.227197, 16.436251, 15.106, GO13053_LC
246867534, 77.751892, 16.43663, 13.43, GO13053_LC|GO13122_LC|GO13090_LC
246867589, 78.230451, 16.437278, 16.169, GO13053_LC
246867645, 78.197875, 16.437938, 15.183, GO13053_LC
246867775, 78.342519, 16.439108, 17.226, GO13053_LC
246867815, 78.265786, 16.439507, 16.816, GO13053_LC
246868182, 78.114759, 16.442884, 17.23, GO13053_LC
246868315, 78.392144, 16.444283, 16.627, GO13053_LC
246868396, 78.27618, 16.445107, 17.167, GO13053_LC
246868427, 77.673941, 16.44541, 12.431, GO13053_LC|GO13071_LC|GO13122_LC
246868489, 77.69346, 16.446252, 15.437, GO13053_LC
246868582, 77.684964, 16.446989, 16.238, GO13053_LC
246868588, 78.522373, 16.447084, 16.766, GO13053_LC
246868599, 78.300368, 16.447171, 16.775, GO13053_LC
246868669, 78.44717, 16.447786, 15.82, GO13053_LC
246868747, 78.386015, 16.448743, 15.634, GO13053_LC
246868809, 77.800207, 16.449388, 15.205, GO13053_LC
246868873, 78.508036, 16.44994, 15.645, GO13053_LC
246868878, 78.28816, 16.449995, 17.149, GO13053_LC
246868917, 78.276945, 16.45042, 16.658, GO13053_LC
246869370, 77.668, 16.454906, 12.342, GO13053_LC
246869387, 78.299358, 16.45511, 17.16, GO13053_LC
246869588, 78.268486, 16.457159, 16.389, GO13053_LC
246869610, 78.213461, 16.45751, 16.534, GO13053_LC
246869746, 77.818787, 16.45892, 15.868, GO13053_LC|GO13019_LC
246869961, 78.268072, 16.46122, 17.17, GO13053_LC
246870064, 78.318006, 16.462217, 17.362, GO13053_LC
246870092, 77.698504, 16.46252, 16.058, GO13053_LC
