EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
234446956, 258.846604, -19.219432, 10.288, GO11098_LC|GO11052_LC
234455940, 261.375391, -19.168281, 11.476, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
234457647, 258.883079, -19.158768, 11.292, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
234458085, 258.67531, -19.156371, 10.34, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
234459608, 261.327978, -19.147794, 10.858, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
234463748, 258.708151, -19.124639, 10.906, GO11071_LC|GO11122_LC|GO11098_LC
234469674, 261.342843, -19.091393, 10.498, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
234499907, 258.689725, -18.921757, 11.337, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
234508959, 258.729805, -18.871774, 10.303, GO11071_LC|GO11122_LC|GO11098_LC
234573005, 259.135211, -18.513984, 8.998, GO11123_LC|GO11098_LC
234576860, 259.092397, -18.493962, 9.918, GO11123_LC|GO11098_LC
234580977, 260.04275, -18.470995, 10.543, GO11123_LC|GO11098_LC
234585094, 260.06674, -18.448851, 11.041, GO11123_LC|GO11098_LC
234595549, 258.192837, -18.391551, 10.482, GO11098_LC
234596341, 260.549045, -18.387555, 11.01, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
234599110, 260.470841, -18.372924, 11.22, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
234600445, 260.366277, -18.365802, 11.388, GO11071_LC|GO11122_LC|GO11098_LC
234609432, 260.480566, -18.315637, 11.285, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
234614740, 258.953208, -18.286453, 10.817, GO11123_LC|GO11098_LC
234616386, 260.360192, -18.277266, 11.063, GO11071_LC|GO11098_LC
234624663, 258.894572, -18.232011, 10.654, GO11123_LC|GO11098_LC
234640077, 260.005201, -18.147772, 10.442, GO11123_LC|GO11098_LC|GO11065_LC
234641811, 260.036346, -18.138218, 11.062, GO11123_LC|GO11098_LC
234812139, 258.536958, -25.436814, 11.129, GO11048_LC|GO11098_LC
234812878, 258.468654, -25.433933, 11.4, GO11098_LC
235025034, 261.226868, -24.536706, 11.286, GO11123_LC|GO11098_LC
235029643, 261.229007, -24.515869, 11.699, GO11049_LC|GO11123_LC|GO11071_LC|GO11122_LC|GO11098_LC
235115102, 258.435215, -24.098787, 10.655, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
235123139, 258.375419, -24.058767, 11.074, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
235229898, 258.429863, -23.586357, 11.628, GO11098_LC|GO11019_LC
235315779, 258.053773, -23.219285, 10.955, GO11098_LC
235567934, 260.740158, -22.039518, 11.666, GO11071_LC|GO11122_LC|GO11098_LC
235576037, 260.767106, -22.000244, 11.61, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
235610848, 261.337627, -29.898339, 10.416, GO11098_LC
235629235, 261.829115, -29.844366, 10.783, GO11123_LC|GO11098_LC
235632619, 261.769819, -29.834019, 10.313, GO11123_LC|GO11098_LC
235632687, 261.33837, -29.833775, 10.269, GO11123_LC|GO11098_LC
235651836, 258.933608, -29.774973, 11.266, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
235673543, 258.93484, -29.708049, 10.598, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
235754419, 258.325771, -29.46014, 10.946, GO11123_LC|GO11098_LC
235760226, 258.410842, -29.442801, 10.882, GO11049_LC|GO11123_LC|GO11098_LC
235773884, 260.962709, -29.401169, 11.184, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
235792300, 260.94225, -29.344689, 10.611, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
235793808, 261.031954, -29.340176, 10.536, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
235832014, 258.72876, -29.220824, 11.432, GO11071_LC|GO11098_LC
235836023, 258.386845, -29.208626, 10.739, GO11122_LC|GO11098_LC
235836054, 258.290249, -29.208517, 10.664, GO11123_LC|GO11122_LC|GO11098_LC
235838906, 258.438438, -29.199663, 10.983, GO11122_LC|GO11098_LC
235847339, 258.727471, -29.173656, 11.361, GO11098_LC
235850216, 261.159716, -29.165057, 10.617, GO11098_LC
235850327, 258.45045, -29.164708, 11.404, GO11098_LC
235851625, 258.368228, -29.16053, 10.968, GO11123_LC|GO11098_LC
235854898, 260.533681, -29.150321, 10.489, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
235855972, 260.611152, -29.147176, 10.04, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
235862208, 261.184158, -29.12822, 10.205, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
235867920, 261.994234, -29.110821, 9.568, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC|GO11019_LC
235871998, 261.268242, -29.098328, 11.556, GO11071_LC|GO11122_LC|GO11098_LC
235872650, 261.076005, -29.096258, 10.379, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
235873346, 260.090044, -29.094102, 11.406, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
235874707, 260.160323, -29.089918, 11.21, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
235877228, 261.13244, -29.082026, 10.15, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
235906219, 261.058888, -28.990346, 11.158, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
235932414, 261.042186, -28.90915, 11.022, GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC
235934957, 259.128429, -28.901206, 11.284, GO11048_LC|GO11098_LC
235935280, 259.067143, -28.900182, 11.402, GO11049_LC|GO11071_LC|GO11098_LC
235990535, 261.774765, -28.725989, 10.891, GO11123_LC|GO11048_LC|GO11098_LC|GO11019_LC
235992305, 261.768875, -28.720264, 11.239, GO11123_LC|GO11098_LC|GO11019_LC
236112303, 258.234839, -28.335335, 11.005, GO11098_LC
236116584, 258.266533, -28.321336, 9.819, GO11098_LC
236153256, 258.298975, -28.202112, 11.229, GO11098_LC
236164584, 258.227738, -28.164664, 10.946, GO11098_LC
236255784, 260.965104, -27.864747, 11.076, GO11071_LC|GO11122_LC|GO11098_LC
236279061, 260.970136, -27.788303, 11.301, GO11071_LC|GO11122_LC|GO11098_LC
236538662, 258.656855, -26.864442, 10.57, GO11123_LC|GO11098_LC
236545204, 258.634618, -26.83919, 10.668, GO11123_LC|GO11098_LC
236636518, 260.22769, -26.498084, 11.372, GO11049_LC|GO11123_LC|GO11071_LC|GO11122_LC|GO11098_LC
236647822, 260.219142, -26.456841, 10.362, GO11123_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11065_LC
236716089, 259.871083, -26.203604, 11.31, GO11098_LC
236724068, 259.819223, -26.174013, 10.557, GO11098_LC
237711874, 259.316617, -31.032494, 11.14, GO11071_LC|GO11098_LC|GO11024_LC|GO11019_LC
237719954, 259.341636, -31.007857, 11.436, GO11071_LC|GO11098_LC|GO11019_LC
237763225, 259.430345, -30.879463, 11.626, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
237768686, 259.508033, -30.863145, 10.943, GO11122_LC|GO11098_LC|GO11038_LC
237779906, 260.543997, -30.829305, 11.683, GO11071_LC|GO11122_LC|GO11098_LC
237786266, 260.578181, -30.810135, 11.203, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
237812997, 261.415269, -30.730661, 11.582, GO11098_LC
237822707, 260.496317, -30.701834, 10.901, GO11098_LC
237832617, 261.443704, -30.672913, 10.994, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
237833739, 260.580949, -30.669664, 10.823, GO11098_LC
237856653, 258.864437, -30.602121, 10.393, GO11123_LC|GO11098_LC
237873794, 258.883602, -30.550153, 11.009, GO11123_LC|GO11098_LC
237881377, 261.420254, -30.527296, 10.311, GO11123_LC|GO11098_LC
237885218, 261.47829, -30.515817, 11.051, GO11123_LC|GO11098_LC
237905467, 261.942629, -30.456413, 10.336, GO11123_LC|GO11098_LC
237922075, 261.97411, -30.407567, 10.817, GO11123_LC|GO11098_LC
237934654, 260.670761, -30.370355, 11.172, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
237943217, 260.65969, -30.344788, 10.858, GO11071_LC|GO11122_LC|GO11098_LC
237959269, 258.636538, -30.296462, 10.686, GO11123_LC|GO11098_LC
237969432, 259.4809, -30.265701, 10.744, GO11098_LC
237976403, 259.511091, -30.244621, 10.951, GO11098_LC
237981660, 258.674672, -30.229202, 10.286, GO11123_LC|GO11098_LC
237988876, 260.419046, -30.208062, 10.736, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
237992771, 260.367245, -30.19634, 10.539, GO11071_LC|GO11122_LC|GO11098_LC
238001381, 261.405144, -30.170707, 10.664, GO11123_LC|GO11098_LC
238014509, 261.368613, -30.132721, 11.138, GO11098_LC
238135284, 262.293238, -17.582208, 11.128, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
238141671, 262.295559, -17.545873, 10.421, GO11122_LC|GO11098_LC|GO11024_LC
238148779, 262.363456, -17.506277, 11.073, GO11071_LC|GO11122_LC|GO11098_LC
238238992, 262.62975, -17.00557, 11.646, GO11123_LC|GO11098_LC|GO11019_LC
238239318, 262.721603, -17.003868, 10.846, GO11071_LC|GO11122_LC|GO11098_LC
238239890, 262.626707, -17.000699, 10.693, GO11123_LC|GO11098_LC
238247940, 262.726184, -16.956191, 11.296, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
238255756, 262.543781, -16.911689, 11.327, GO11123_LC|GO11098_LC
238274757, 262.412151, -16.805121, 10.568, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
238277236, 262.331424, -16.791418, 9.679, GO11071_LC|GO11122_LC|GO11002_LC|GO11098_LC|GO11024_LC|GO11036_LC|GO11039_LC|GO11052_LC
238306119, 262.760759, -16.628019, 10.734, GO11122_LC|GO11098_LC|GO11024_LC
240263231, 262.328408, -29.960093, 11.079, GO11071_LC|GO11122_LC|GO11101_LC|GO11098_LC|GO11082_LC|GO11052_LC
240277781, 262.313721, -29.911056, 11.309, GO11123_LC|GO11098_LC|GO11019_LC
240287613, 262.238289, -29.878203, 10.917, GO11098_LC
240294323, 262.244538, -29.856386, 10.838, GO11123_LC|GO11098_LC
240308477, 264.243802, -29.809498, 11.28, GO11098_LC|GO11019_LC
240323983, 264.30631, -29.756873, 10.964, GO11098_LC|GO11019_LC
240416335, 262.201078, -29.441188, 11.569, GO11123_LC|GO11098_LC
240418154, 262.167193, -29.434891, 11.588, GO11098_LC
240423064, 263.449655, -29.417328, 10.844, GO11098_LC
240443295, 263.423601, -29.344551, 10.995, GO11098_LC
240494253, 262.071198, -29.159377, 10.013, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC|GO11019_LC
240510029, 262.060165, -29.105381, 11.055, GO11123_LC|GO11098_LC
240548518, 264.878019, -28.969786, 11.265, GO11098_LC
240552358, 264.481249, -28.955938, 10.704, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
240561331, 264.537247, -28.923447, 10.305, GO11071_LC|GO11122_LC|GO11048_LC|GO11098_LC|GO11024_LC|GO11052_LC
242067571, 262.007481, -30.536022, 10.499, GO11098_LC
242083625, 262.418654, -30.478734, 11.564, GO11048_LC|GO11098_LC
242093430, 262.458985, -30.4446, 11.501, GO11098_LC|GO11019_LC
242095102, 263.023977, -30.438741, 10.875, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC
242107091, 262.870153, -30.397803, 10.218, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC
242108633, 263.023918, -30.392445, 11.112, GO11071_LC|GO11122_LC|GO11098_LC
242183928, 262.371518, -30.134119, 10.68, GO11098_LC
242194252, 262.414026, -30.101296, 10.371, GO11123_LC|GO11098_LC
251248662, , , , GO11098_LC
251248663, , , , GO11098_LC
