epic,ra,dec,kp,programs
211682544,129.682381,15.680626,11.407,GO16009_LC|GO16011_LC|GO16021_LC|GO16020_LC|GO16101_LC|GO16015_LC
211857745,132.93248300000002,18.124967,10.687000000000001,GO16009_LC|GO16052_LC|GO16005_LC|GO16083_LC|GO16014_LC|GO16056_LC|GO16030_LC|GO16063_LC
211400445,134.269524,11.646989,9.800999599999999,GO16009_LC|GO16037_LC|GO16052_LC|GO16005_LC|GO16065_LC|GO16014_LC|GO16056_LC|GO16030_LC|GO16063_LC
211892034,136.429034,18.609377,11.583,GO16009_LC|GO16052_LC|GO16014_LC|GO16056_LC
211946397,129.93058100000002,19.419942000000002,10.815999999999999,GO16009_LC|GO16005_LC|GO16056_LC
211589755,135.442872,14.400367999999999,10.675,GO16009_LC|GO16052_LC|GO16005_LC|GO16021_LC|GO16020_LC
211456957,133.692925,12.50544,10.435,GO16009_LC|GO16052_LC|GO16020_LC|GO16083_LC|GO16014_LC|GO16056_LC
251408897,136.32675600000002,25.297833999999998,10.022,GO16009_LC|GO16052_LC|GO16020_LC|GO16083_LC|GO16063_LC
212222467,130.54157,25.04158,10.898,GO16009_LC|GO16028_LC|GO16020_LC|GO16083_LC|GO16063_LC
211863321,134.149467,18.202842,10.156,GO16009_LC
211823952,137.569535,17.656222,9.29,GO16009_LC
211864063,135.811252,18.2136,9.826999699999998,GO16009_LC
211845940,130.794473,17.962279000000002,11.872,GO16009_LC|GO16052_LC|GO16014_LC|GO16056_LC
212017602,134.659086,20.546748,9.036000300000001,GO16009_LC|GO16037_LC|GO16025_LC|GO16068_LC|GO16030_LC|GO16063_LC
251402443,135.074857,24.929345,10.72,GO16009_LC|GO16052_LC|GO16020_LC|GO16083_LC|GO16063_LC
211489708,135.972468,12.991111,11.527000000000001,GO16009_LC|GO16052_LC|GO16005_LC|GO16020_LC|GO16083_LC|GO16014_LC|GO16056_LC
211736498,136.13050800000002,16.41691,10.217,GO16009_LC|GO16028_LC|GO16005_LC|GO16021_LC|GO16020_LC|GO16083_LC|GO16063_LC
211529519,130.139598,13.556391,9.908,GO16009_LC|GO16052_LC|GO16020_LC|GO16065_LC|GO16063_LC
211644723,132.812602,15.162076,10.847000000000001,GO16009_LC|GO16052_LC|GO16021_LC|GO16020_LC
211889233,130.933359,18.568668,11.585,GO16009_LC|GO16052_LC|GO16005_LC|GO16020_LC|GO16014_LC|GO16056_LC
211813352,136.62588200000002,17.506185000000002,10.715,GO16009_LC|GO16028_LC|GO16052_LC|GO16021_LC|GO16020_LC|GO16083_LC
211736506,136.12926299999998,16.417077,10.837,GO16009_LC|GO16014_LC|GO16056_LC
212038542,136.515603,20.898346,11.395999999999999,GO16009_LC|GO16052_LC|GO16021_LC|GO16020_LC|GO16083_LC|GO16014_LC|GO16056_LC
251381571,136.486428,23.563132999999997,10.544,GO16009_LC|GO16028_LC|GO16052_LC|GO16021_LC|GO16020_LC|GO16083_LC
212024392,133.667792,20.659682999999998,11.06,GO16009_LC|GO16052_LC|GO16021_LC|GO16020_LC
212165841,134.23592,23.388999,10.568,GO16009_LC|GO16028_LC|GO16052_LC|GO16021_LC|GO16020_LC
211825387,137.224522,17.677143,8.9809999,GO16009_LC|GO16021_LC
211508503,132.793199,13.259656,10.883,GO16009_LC|GO16021_LC|GO16020_LC
251341401,139.090667,20.367882,11.494000000000002,GO16009_LC|GO16052_LC|GO16005_LC|GO16020_LC|GO16083_LC|GO16014_LC|GO16056_LC
211714829,131.274392,16.115104000000002,11.162,GO16009_LC
211840709,138.51955900000002,17.891638,10.016,GO16009_LC|GO16028_LC|GO16052_LC|GO16021_LC|GO16020_LC|GO16083_LC
211632601,133.262991,14.993663,10.972999999999999,GO16009_LC
212121379,134.151447,22.443085999999997,10.415999999999999,GO16009_LC
211873767,131.230339,18.347205,9.635000199999999,GO16009_LC|GO16028_LC|GO16052_LC|GO16004_LC|GO16021_LC|GO16020_LC
211864396,131.188865,18.218409,11.886,GO16009_LC|GO16052_LC|GO16014_LC|GO16056_LC|GO16030_LC
211656237,136.145959,15.31911,11.064,GO16009_LC|GO16028_LC|GO16052_LC|GO16021_LC|GO16020_LC|GO16083_LC
251284233,139.724551,14.894701999999999,10.554,GO16009_LC|GO16028_LC|GO16052_LC|GO16021_LC|GO16020_LC|GO16083_LC
251309215,140.187121,17.552359,9.2259998,GO16009_LC|GO16028_LC|GO16021_LC|GO16020_LC
211480655,136.55852,12.859502,12.214,GO16009_LC|GO16052_LC|GO16014_LC|GO16056_LC
211949026,131.178085,19.458394000000002,10.809000000000001,GO16009_LC|GO16028_LC|GO16052_LC|GO16021_LC|GO16020_LC
