#Custom ID, type, EPIC ID, RA, Dec, target name
200174096,5,,,,Asteroid.Trojan.111113
200174097,5,,,,Asteroid.Trojan.111113
200174098,5,,,,Asteroid.Trojan.111113
200174099,5,,,,Asteroid.Trojan.111113
200174100,5,,,,Asteroid.Trojan.111113
200174101,5,,,,Asteroid.Trojan.111113
200174102,5,,,,Asteroid.Trojan.111113
200174103,5,,,,Asteroid.Trojan.111113
200174104,5,,,,Asteroid.Trojan.111113
200174105,5,,,,Asteroid.Trojan.111113
200174106,5,,,,Asteroid.Trojan.111113
200174107,5,,,,Asteroid.Trojan.111231
200174108,5,,,,Asteroid.Trojan.111231
200174109,5,,,,Asteroid.Trojan.111231
200174110,5,,,,Asteroid.Trojan.111231
200174111,5,,,,Asteroid.Trojan.111231
200174112,5,,,,Asteroid.Trojan.111231
200174113,5,,,,Asteroid.Trojan.111231
200174114,5,,,,Asteroid.Trojan.111231
200174115,5,,,,Asteroid.Trojan.111231
200174116,5,,,,Asteroid.Trojan.111231
200174117,5,,,,Asteroid.Trojan.111231
200174118,5,,,,Asteroid.Trojan.111231
200174119,5,,,,Asteroid.Trojan.111231
200174120,5,,,,Asteroid.Trojan.111231
200174121,5,,,,Asteroid.Trojan.111231
200174122,5,,,,Asteroid.Trojan.111231
200174123,5,,,,Asteroid.Trojan.111231
200174124,5,,,,Asteroid.Trojan.111231
200174125,5,,,,Asteroid.Trojan.111231
200174126,5,,,,Asteroid.Trojan.111231
200174127,5,,,,Asteroid.Trojan.111231
200174128,5,,,,Asteroid.Trojan.111231
200174129,5,,,,Asteroid.Trojan.111231
200174130,5,,,,Asteroid.Trojan.111231
200174131,5,,,,Asteroid.Trojan.111231
200174132,5,,,,Asteroid.Trojan.111231
200174133,5,,,,Asteroid.Trojan.111231
200174134,5,,,,Asteroid.Trojan.111231
200174135,5,,,,Asteroid.Trojan.111231
200174136,5,,,,Asteroid.Trojan.111231
200174137,5,,,,Asteroid.Trojan.111231
200174138,5,,,,Asteroid.Trojan.111231
200174139,5,,,,Asteroid.Trojan.111231
