MORC to RA, DEC conversion for the 4 Seasons of Kepler	
Jeffrey Van Cleve & Steve Bryson, Kepler Science Office	
07/08/09                                                                    Spring                            Summer                           Fall                         Winter                         Spring, again
      mod             out              row              column        RA              DEC              RA             DEC             RA              DEC              RA             DEC               RA              DEC     
   3.0000000e+00   1.0000000e+00   1.0380000e+03   1.1060000e+03   2.8433498e+02   4.1240369e+01   2.9466279e+02   3.9667872e+01   2.9769938e+02   4.7369989e+01   2.8596066e+02   4.9167872e+01   2.8433498e+02   4.1240367e+01
   3.0000000e+00   2.0000000e+00   2.5000000e+01   1.7000000e+01   2.8648743e+02   4.0931620e+01   2.9530702e+02   4.1244809e+01   2.9537657e+02   4.7896177e+01   2.8549634e+02   4.7545593e+01   2.8648743e+02   4.0931618e+01
   3.0000000e+00   2.0000000e+00   2.5000000e+01   1.1060000e+03   2.8554119e+02   4.1902533e+01   2.9393258e+02   4.0638015e+01   2.9624523e+02   4.6847427e+01   2.8694381e+02   4.8255821e+01   2.8554119e+02   4.1902532e+01
   3.0000000e+00   2.0000000e+00   5.3500000e+02   5.5000000e+02   2.8542521e+02   4.1073508e+01   2.9500525e+02   4.0463404e+01   2.9653463e+02   4.7657448e+01   2.8569849e+02   4.8348309e+01   2.8542521e+02   4.1073506e+01
   3.0000000e+00   2.0000000e+00   1.0380000e+03   1.7000000e+01   2.8529996e+02   4.0269456e+01   2.9603805e+02   4.0272895e+01   2.9684166e+02   4.8440577e+01   2.8448656e+02   4.8436969e+01   2.8529996e+02   4.0269454e+01
   3.0000000e+00   2.0000000e+00   1.0380000e+03   1.1060000e+03   2.8434478e+02   4.1230695e+01   2.9467643e+02   3.9674005e+01   2.9769098e+02   4.7380732e+01   2.8594570e+02   4.9160653e+01   2.8434478e+02   4.1230693e+01
   3.0000000e+00   3.0000000e+00   2.5000000e+01   1.7000000e+01   2.8403872e+02   3.9537122e+01   2.9680846e+02   3.9213944e+01   2.9846563e+02   4.9010299e+01   2.8334963e+02   4.9393042e+01   2.8403872e+02   3.9537119e+01
   3.0000000e+00   3.0000000e+00   2.5000000e+01   1.1060000e+03   2.8307563e+02   4.0487100e+01   2.9546169e+02   3.8623613e+01   2.9929138e+02   4.7939478e+01   2.8481937e+02   5.0131383e+01   2.8307563e+02   4.0487097e+01
   3.0000000e+00   3.0000000e+00   5.3500000e+02   5.5000000e+02   2.8415491e+02   4.0346463e+01   2.9578945e+02   3.9417386e+01   2.9812105e+02   4.8228650e+01   2.8459313e+02   4.9310701e+01   2.8415491e+02   4.0346461e+01
   3.0000000e+00   3.0000000e+00   1.0380000e+03   1.7000000e+01   2.8520153e+02   4.0211880e+01   2.9610035e+02   4.0191053e+01   2.9696617e+02   4.8486870e+01   2.8439801e+02   4.8511228e+01   2.8520153e+02   4.0211878e+01
   3.0000000e+00   3.0000000e+00   1.0380000e+03   1.1060000e+03   2.8424541e+02   4.1172261e+01   2.9473981e+02   3.9592640e+01   2.9781408e+02   4.7426116e+01   2.8585800e+02   4.9236279e+01   2.8424541e+02   4.1172259e+01
   3.0000000e+00   4.0000000e+00   2.5000000e+01   1.7000000e+01   2.8207551e+02   4.1438716e+01   2.9412351e+02   3.8012444e+01   3.0009054e+02   4.6851801e+01   2.8635069e+02   5.0857258e+01   2.8207550e+02   4.1438714e+01
   3.0000000e+00   4.0000000e+00   2.5000000e+01   1.1060000e+03   2.8306577e+02   4.0496661e+01   2.9544819e+02   3.8617572e+01   2.9929954e+02   4.7928626e+01   2.8483445e+02   5.0138746e+01   2.8306576e+02   4.0496658e+01
   3.0000000e+00   4.0000000e+00   5.3500000e+02   5.5000000e+02   2.8315060e+02   4.1327840e+01   2.9440476e+02   3.8796242e+01   2.9896667e+02   4.7125919e+01   2.8612748e+02   5.0055563e+01   2.8315060e+02   4.1327838e+01
   3.0000000e+00   4.0000000e+00   1.0380000e+03   1.7000000e+01   2.8325091e+02   4.2134093e+01   2.9338948e+02   3.8972377e+01   2.9863643e+02   4.6348539e+01   2.8737634e+02   4.9949400e+01   2.8325090e+02   4.2134092e+01
   3.0000000e+00   4.0000000e+00   1.0380000e+03   1.1060000e+03   2.8423561e+02   4.1181925e+01   2.9472619e+02   3.9586512e+01   2.9782248e+02   4.7415364e+01   2.8587297e+02   4.9243511e+01   2.8423561e+02   4.1181924e+01
   4.0000000e+00   1.0000000e+00   2.5000000e+01   1.7000000e+01   2.8682212e+02   4.0584801e+01   2.9580204e+02   4.1460354e+01   2.9505355e+02   4.8267600e+01   2.8499167e+02   4.7284985e+01   2.8682212e+02   4.0584800e+01
   4.0000000e+00   1.0000000e+00   2.5000000e+01   1.1060000e+03   2.8773149e+02   3.9603640e+01   2.9721127e+02   4.2044503e+01   2.9413548e+02   4.9307077e+01   2.8359692e+02   4.6550856e+01   2.8773149e+02   3.9603638e+01
   4.0000000e+00   1.0000000e+00   5.3500000e+02   5.5000000e+02   2.8667225e+02   3.9778633e+01   2.9685187e+02   4.1255324e+01   2.9535227e+02   4.9057527e+01   2.8379742e+02   4.7373165e+01   2.8667225e+02   3.9778630e+01
   4.0000000e+00   1.0000000e+00   1.0380000e+03   1.7000000e+01   2.8563553e+02   3.9927786e+01   2.9652570e+02   4.0484107e+01   2.9652784e+02   4.8814173e+01   2.8398084e+02   4.8173421e+01   2.8563553e+02   3.9927784e+01
   4.0000000e+00   1.0000000e+00   1.0380000e+03   1.1060000e+03   2.8655286e+02   3.8955154e+01   2.9792119e+02   4.1059346e+01   2.9563123e+02   4.9866014e+01   2.8257584e+02   4.7427016e+01   2.8655286e+02   3.8955151e+01
   4.0000000e+00   2.0000000e+00   2.5000000e+01   1.7000000e+01   2.8862355e+02   3.8605233e+01   2.9866127e+02   4.2616212e+01   2.9316887e+02   5.0349664e+01   2.8222576e+02   4.5793017e+01   2.8862355e+02   3.8605232e+01
   4.0000000e+00   2.0000000e+00   2.5000000e+01   1.1060000e+03   2.8774054e+02   3.9593687e+01   2.9722565e+02   4.2050315e+01   2.9412601e+02   4.9317546e+01   2.8358302e+02   4.6543353e+01   2.8774054e+02   3.9593685e+01
   4.0000000e+00   2.0000000e+00   5.3500000e+02   5.5000000e+02   2.8760120e+02   3.8767063e+01   2.9831168e+02   4.1844219e+01   2.9439591e+02   5.0132665e+01   2.8237326e+02   4.6600822e+01   2.8760120e+02   3.8767060e+01
   4.0000000e+00   2.0000000e+00   1.0380000e+03   1.7000000e+01   2.8745413e+02   3.7965585e+01   2.9935543e+02   4.1622990e+01   2.9468520e+02   5.0921168e+01   2.8119693e+02   4.6656150e+01   2.8745414e+02   3.7965582e+01
   4.0000000e+00   2.0000000e+00   1.0380000e+03   1.1060000e+03   2.8656200e+02   3.8945288e+01   2.9793542e+02   4.1065073e+01   2.9562197e+02   4.9876608e+01   2.8256184e+02   4.7419386e+01   2.8656200e+02   3.8945286e+01
   4.0000000e+00   3.0000000e+00   2.5000000e+01   1.7000000e+01   2.8620497e+02   3.7258676e+01   3.0008424e+02   4.0538106e+01   2.9637662e+02   5.1518164e+01   2.8004268e+02   4.7584546e+01   2.8620497e+02   3.7258672e+01
   4.0000000e+00   3.0000000e+00   2.5000000e+01   1.1060000e+03   2.8530557e+02   3.8228399e+01   2.9868178e+02   3.9989670e+01   2.9728661e+02   5.0460881e+01   2.8141445e+02   4.8360872e+01   2.8530557e+02   3.8228395e+01
   4.0000000e+00   3.0000000e+00   5.3500000e+02   5.5000000e+02   2.8634501e+02   3.8065139e+01   2.9905679e+02   4.0772751e+01   2.9604455e+02   5.0731314e+01   2.8124671e+02   4.7534925e+01   2.8634501e+02   3.8065135e+01
   4.0000000e+00   3.0000000e+00   1.0380000e+03   1.7000000e+01   2.8735313e+02   3.7909405e+01   2.9941475e+02   4.1536204e+01   2.9481915e+02   5.0969919e+01   2.8110588e+02   4.6730985e+01   2.8735313e+02   3.7909402e+01
   4.0000000e+00   3.0000000e+00   1.0380000e+03   1.1060000e+03   2.8646123e+02   3.8888723e+01   2.9799573e+02   4.0979776e+01   2.9575279e+02   4.9923993e+01   2.8247204e+02   4.7494616e+01   2.8646123e+02   3.8888720e+01
   4.0000000e+00   4.0000000e+00   2.5000000e+01   1.7000000e+01   2.8437328e+02   3.9201225e+01   2.9728769e+02   3.9419479e+01   2.9816425e+02   4.9385676e+01   2.8284344e+02   4.9127381e+01   2.8437328e+02   3.9201222e+01
   4.0000000e+00   4.0000000e+00   2.5000000e+01   1.1060000e+03   2.8529637e+02   3.8238167e+01   2.9866772e+02   3.9984045e+01   2.9729560e+02   5.0450158e+01   2.8142853e+02   4.8368630e+01   2.8529637e+02   3.8238163e+01
   4.0000000e+00   4.0000000e+00   5.3500000e+02   5.5000000e+02   2.8540843e+02   3.9067146e+01   2.9761333e+02   4.0194107e+01   2.9697458e+02   4.9642531e+01   2.8268057e+02   4.8320488e+01   2.8540843e+02   3.9067143e+01
   4.0000000e+00   4.0000000e+00   1.0380000e+03   1.7000000e+01   2.8553512e+02   3.9870877e+01   2.9658682e+02   4.0400389e+01   2.9665543e+02   4.8860197e+01   2.8389253e+02   4.8248979e+01   2.8553512e+02   3.9870875e+01
