EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200201343, , , , GO17028|111995-LC-SSO_TILE
200201344, , , , GO17028|111995-LC-SSO_TILE
200201345, , , , GO17028|111995-LC-SSO_TILE
200201346, , , , GO17028|111995-LC-SSO_TILE
200201347, , , , GO17028|111995-LC-SSO_TILE
200201348, , , , GO17028|111995-LC-SSO_TILE
200201349, , , , GO17028|111995-LC-SSO_TILE
200201350, , , , GO17028|111995-LC-SSO_TILE
200201351, , , , GO17028|111995-LC-SSO_TILE
200201352, , , , GO17028|111995-LC-SSO_TILE
200201353, , , , GO17028|111995-LC-SSO_TILE
200201354, , , , GO17028|111995-LC-SSO_TILE
200201355, , , , GO17028|111995-LC-SSO_TILE
200201356, , , , GO17028|111995-LC-SSO_TILE
200201357, , , , GO17028|111995-LC-SSO_TILE
200201358, , , , GO17028|111995-LC-SSO_TILE
200201359, , , , GO17028|111995-LC-SSO_TILE
200201360, , , , GO17028|111995-LC-SSO_TILE
200201361, , , , GO17028|111995-LC-SSO_TILE
200201362, , , , GO17028|111995-LC-SSO_TILE
200201363, , , , GO17028|111995-LC-SSO_TILE
200201364, , , , GO17028|111995-LC-SSO_TILE
200201365, , , , GO17028|111995-LC-SSO_TILE
200201366, , , , GO17028|111995-LC-SSO_TILE
200201367, , , , GO17028|111995-LC-SSO_TILE
200201368, , , , GO17028|111995-LC-SSO_TILE
200201369, , , , GO17028|111995-LC-SSO_TILE
200201370, , , , GO17028|111995-LC-SSO_TILE
200201371, , , , GO17028|111995-LC-SSO_TILE
200201372, , , , GO17028|111995-LC-SSO_TILE
200201373, , , , GO17028|111995-LC-SSO_TILE
200201374, , , , GO17028|111995-LC-SSO_TILE
200201375, , , , GO17028|111995-LC-SSO_TILE
200201376, , , , GO17028|111995-LC-SSO_TILE
200201377, , , , GO17028|111995-LC-SSO_TILE
200201378, , , , GO17028|111995-LC-SSO_TILE
200201379, , , , GO17028|111995-LC-SSO_TILE
200201380, , , , GO17028|111995-LC-SSO_TILE
200201381, , , , GO17028|111995-LC-SSO_TILE
200201382, , , , GO17028|111995-LC-SSO_TILE
200201383, , , , GO17028|111995-LC-SSO_TILE
200201384, , , , GO17028|111995-LC-SSO_TILE
200201385, , , , GO17028|111995-LC-SSO_TILE
200201386, , , , GO17028|111995-LC-SSO_TILE
200201387, , , , GO17028|111995-LC-SSO_TILE
200201388, , , , GO17028|111995-LC-SSO_TILE
200201389, , , , GO17028|111995-LC-SSO_TILE
200201390, , , , GO17028|111995-LC-SSO_TILE
200201391, , , , GO17028|111995-LC-SSO_TILE
200201392, , , , GO17028|111995-LC-SSO_TILE
200201393, , , , GO17028|111995-LC-SSO_TILE
200201394, , , , GO17028|111995-LC-SSO_TILE
200201395, , , , GO17028|111995-LC-SSO_TILE
200201396, , , , GO17028|111995-LC-SSO_TILE
200201397, , , , GO17028|111995-LC-SSO_TILE
200201398, , , , GO17028|111995-LC-SSO_TILE
200201399, , , , GO17028|111995-LC-SSO_TILE
200201400, , , , GO17028|111995-LC-SSO_TILE
200201401, , , , GO17028|111995-LC-SSO_TILE
200201402, , , , GO17028|111995-LC-SSO_TILE
200201403, , , , GO17028|111995-LC-SSO_TILE
200201404, , , , GO17028|111995-LC-SSO_TILE
200201405, , , , GO17028|111995-LC-SSO_TILE
200201406, , , , GO17028|111995-LC-SSO_TILE
200201407, , , , GO17028|111995-LC-SSO_TILE
200201408, , , , GO17028|111995-LC-SSO_TILE
200201409, , , , GO17028|111995-LC-SSO_TILE
200201410, , , , GO17028|111995-LC-SSO_TILE
200201411, , , , GO17028|111995-LC-SSO_TILE
200201412, , , , GO17028|111995-LC-SSO_TILE
200201413, , , , GO17028|111995-LC-SSO_TILE
200201414, , , , GO17028|111995-LC-SSO_TILE
200201415, , , , GO17028|111995-LC-SSO_TILE
200201416, , , , GO17028|111995-LC-SSO_TILE
200201417, , , , GO17028|111995-LC-SSO_TILE
200201418, , , , GO17028|111995-LC-SSO_TILE
200201419, , , , GO17028|111995-LC-SSO_TILE
200201420, , , , GO17028|111995-LC-SSO_TILE
200201421, , , , GO17028|111995-LC-SSO_TILE
200201422, , , , GO17028|111995-LC-SSO_TILE
200201423, , , , GO17028|111995-LC-SSO_TILE
200201424, , , , GO17028|111995-LC-SSO_TILE
200201425, , , , GO17028|111995-LC-SSO_TILE
200201426, , , , GO17028|111995-LC-SSO_TILE
200201427, , , , GO17028|111995-LC-SSO_TILE
200201428, , , , GO17028|111995-LC-SSO_TILE
200201429, , , , GO17028|111995-LC-SSO_TILE
200201430, , , , GO17028|111995-LC-SSO_TILE
200201431, , , , GO17028|111995-LC-SSO_TILE
200201432, , , , GO17028|111995-LC-SSO_TILE
200201433, , , , GO17028|111995-LC-SSO_TILE
200201434, , , , GO17028|111995-LC-SSO_TILE
200201435, , , , GO17028|111995-LC-SSO_TILE
200201436, , , , GO17028|111995-LC-SSO_TILE
200201437, , , , GO17028|111995-LC-SSO_TILE
200201438, , , , GO17028|111995-LC-SSO_TILE
200201439, , , , GO17028|111995-LC-SSO_TILE
200201440, , , , GO17028|111995-LC-SSO_TILE
200201441, , , , GO17028|111995-LC-SSO_TILE
200201442, , , , GO17028|111995-LC-SSO_TILE
200201443, , , , GO17028|111995-LC-SSO_TILE
200201444, , , , GO17028|111995-LC-SSO_TILE
200201445, , , , GO17028|111995-LC-SSO_TILE
