#cadence number, black residual [ADU/LC/pixel]
141231, -1.664723
141232, -1.117873
141233, -4.805316
141234, -0.933157
141235, -2.494218
141236, -4.122022
141237, -1.482952
141238, 1.396136
141239, -1.001641
141240, 1.362914
141241, -4.948960
141242, 0.302123
141243, -3.237035
141244, -2.437893
141245, -0.361136
141246, -0.549132
141247, -0.787031
141248, -0.167027
141249, -3.631565
141250, -1.205174
141251, 0.014002
141252, -1.893218
141253, 0.361646
141254, 1.714520
141255, -1.453510
141256, 0.683235
141257, -4.495398
141258, -2.673281
141259, NaN
141260, -2.707990
141261, -3.187842
141262, -3.300495
141263, 1.166347
141264, -5.432529
141265, 2.614298
141266, -1.548236
141267, -3.044690
141268, -3.947386
141269, 2.226701
141270, -1.063085
141271, -2.105712
141272, -1.290299
141273, -1.850154
141274, -1.626321
141275, -0.231672
141276, -3.801282
141277, -3.300987
141278, -2.034027
141279, -1.206454
141280, 2.415622
141281, -5.244611
141282, 0.734453
141283, -1.767098
141284, 1.015686
141285, 0.089381
141286, -1.128369
141287, -0.659859
141288, -3.522848
141289, -3.109133
141290, -4.755630
141291, -4.128417
141292, -3.030916
141293, -1.557196
141294, -4.560825
141295, -4.295674
141296, -2.126744
141297, -2.182825
141298, -3.794887
141299, -0.438405
141300, -4.071353
141301, -2.757273
141302, -3.288688
141303, -1.687125
141304, -1.535435
141305, -2.842506
141306, -3.834733
141307, -2.285146
141308, -4.685100
141309, -0.923556
141310, -0.625297
141311, -1.693731
141312, -4.233690
141313, -4.748252
141314, -3.990184
141315, -2.065389
141316, -4.256319
141317, -4.647897
141318, -4.319287
141319, -1.081646
141320, -3.257205
141321, -2.941384
141322, -3.640420
141323, -3.797838
141324, -0.246393
141325, 0.043546
141326, -2.889239
141327, -0.987560
141328, -6.123683
141329, -3.446107
141330, -1.503433
141331, 0.454797
141332, -1.606522
141333, -3.417575
141334, -0.874273
141335, -3.525800
141336, -4.592309
141337, 0.989160
141338, -4.423576
141339, -4.112183
141340, -4.508189
141341, -3.571057
141342, -0.855712
141343, -2.149874
141344, -3.203092
141345, -1.137970
141346, -4.137272
141347, -0.760345
141348, -1.235256
141349, -3.999039
141350, -4.085619
141351, -1.244216
141352, -4.191876
141353, -3.513009
141354, -3.559743
141355, NaN
141356, 1.362914
141357, -1.069885
141358, -4.580503
141359, -2.977295
141360, -2.232018
141361, -3.687645
141362, -1.680350
141363, -3.148980
141364, -4.419149
141365, 1.511879
141366, -2.041067
141367, -4.389633
141368, -3.122415
141369, -4.958307
141370, -1.110448
141371, -3.121184
141372, -0.483208
141373, -0.114544
141374, -3.256713
141375, -0.718743
141376, -3.114052
141377, -3.370841
141378, -1.303100
141379, -3.075190
141380, -0.592256
141381, -1.611598
141382, -0.881313
141383, -0.677780
141384, -3.600573
141385, 0.787056
141386, -0.627217
141387, -4.672986
141388, -4.185481
141389, -4.067909
141390, -3.529735
141391, -3.670920
141392, -0.430724
141393, -0.143986
141394, -2.763797
141395, -3.991660
141396, -2.790361
141397, -3.555808
141398, -3.791935
141399, -0.225911
141400, -1.196213
141401, -1.842015
141402, -2.061549
141403, -0.407919
141404, -0.563213
141405, -4.634123
141406, -4.229755
141407, -3.986248
141408, -5.122120
141409, -4.696599
141410, -0.212557
141411, -1.381185
141412, -2.862183
141413, -4.512124
141414, -1.976705
141415, -2.521274
141416, -1.242936
141417, -3.045674
141418, -1.340223
141419, 1.489808
141420, -4.105296
141421, -1.053484
141422, -1.388866
141423, -4.152521
141424, -3.715686
141425, -3.226705
141426, -0.250233
141427, -3.298035
141428, -3.180463
141429, -4.123497
141430, -1.389191
141431, -4.587390
141432, -2.926626
141433, -3.079617
141434, -4.361593
141435, -1.575118
141436, -1.255737
141437, -2.659999
141438, 0.760740
141439, -2.818401
141440, -3.073714
141441, -4.879106
141442, -4.697582
141443, -4.600672
141444, -1.456559
141445, -5.237724
141446, -0.715972
141447, -3.532687
141448, 0.033945
141449, -4.062990
141450, -0.824350
141451, NaN
141452, -1.858656
141453, -3.743234
141454, -0.894754
141455, 2.161640
141456, -3.840636
141457, -4.597720
141458, -4.812695
141459, -0.764186
141460, -3.497760
141461, -0.020773
141462, -3.416591
141463, -0.855712
141464, -4.780227
141465, -0.881313
141466, -4.758090
141467, -1.639122
141468, -1.813213
141469, 1.488883
141470, -4.468342
141471, -3.670428
141472, -3.776685
141473, -3.016158
141474, -0.237432
141475, -3.569582
141476, -0.828190
141477, NaN
141478, NaN
141479, NaN
141480, -1.158451
141481, -3.349196
141482, -3.149457
141483, -1.149490
141484, 0.055067
141485, -0.930596
141486, -4.306004
141487, -1.415107
141488, -2.398850
141489, -3.727000
141490, -4.628220
141491, -3.147996
141492, -1.740248
141493, -5.696881
141494, -4.328633
141495, -1.180212
141496, -3.253269
141497, -0.573453
141498, -0.131825
141499, -3.742742
141500, -0.632337
141501, 1.534564
141502, -6.407145
141503, -2.572927
141504, -3.737823
141505, -1.601999
141506, -3.995595
141507, 1.689603
141508, -4.644454
141509, -0.495369
141510, -0.111344
141511, -0.634257
141512, -1.107248
141513, -4.533386
141514, -5.098999
141515, -0.792988
141516, 1.688218
141517, -0.591375
141518, -4.260747
141519, -1.516874
141520, -3.872612
141521, 1.652791
141522, -3.398389
141523, -3.887370
141524, -1.578958
141525, -0.154227
141526, -4.424560
141527, -0.837150
141528, -3.431349
141529, -4.053151
141530, 0.015384
141531, -4.063974
141532, -0.032619
141533, -2.381565
141534, -1.380545
141535, -0.764186
141536, -1.441349
141537, -0.563853
141538, -5.116217
141539, -4.089062
141540, -5.147701
141541, -3.558684
141542, -3.083981
141543, -3.837193
141544, -1.161651
141545, -3.258189
141546, -1.274757
141547, NaN
141548, -2.912852
141549, -1.028523
141550, -5.065056
141551, -1.485512
141552, -0.794908
141553, -2.934497
141554, -4.154981
141555, -1.453510
141556, -3.599098
141557, -4.883533
141558, -4.499160
141559, 1.544254
141560, -4.188924
141561, -2.562104
141562, -3.725350
141563, -4.423576
141564, -0.520789
141565, -5.201321
141566, 0.635024
141567, -4.938137
141568, -3.610904
141569, -4.317319
141570, -4.466374
141571, -3.685678
141572, -4.705945
141573, -2.624785
141574, 1.166178
141575, -3.690105
141576, -0.978599
141577, -3.760943
141578, -4.464898
141579, -4.493923
141580, -4.353230
141581, -4.588865
141582, 0.697813
141583, -4.360609
141584, -3.115036
141585, -1.345343
141586, -1.053735
141587, -3.797305
141588, -0.491528
141589, -0.546572
141590, -3.974934
141591, -1.626961
141592, -1.060656
141593, -3.762419
141594, -3.529243
141595, -3.937055
141596, -4.154489
141597, -5.027669
141598, 1.311696
141599, -3.511534
141600, -3.033375
141601, -4.209586
141602, -5.143273
141603, -2.781506
141604, -4.933684
141605, -3.604017
141606, -4.681349
141607, -1.212214
141608, -4.350278
141609, -1.762650
141610, -1.657043
141611, -3.515961
141612, -4.654784
141613, -0.899234
141614, -0.419844
141615, -1.600719
141616, -1.465031
141617, -4.248940
141618, -2.267744
141619, -5.161967
141620, -3.136681
141621, -1.537995
141622, -1.893218
141623, -0.552972
141624, -0.593295
141625, -2.306300
141626, -2.576782
141627, -3.467260
141628, -4.580503
141629, -1.249977
141630, -3.480542
141631, -1.216055
141632, 1.025342
141633, -4.553446
141634, -4.116610
141635, -4.709881
141636, -2.617744
141637, -0.724503
141638, -0.540811
141639, -3.302954
141640, 0.110110
141641, -7.198812
141642, -1.738028
141643, NaN
141644, -2.858740
141645, -0.942757
141646, -3.634517
141647, -4.717260
141648, -0.506889
141649, -1.289659
141650, -1.297340
141651, -2.758877
141652, -1.084846
141653, -0.302716
141654, -0.950438
141655, -3.526784
141656, -2.763797
141657, -2.942860
141658, -1.889378
141659, -2.346367
141660, -3.716178
141661, -3.803741
141662, -3.277374
141663, -1.031083
141664, 0.876705
141665, -3.757992
141666, -1.821546
141667, -4.448173
141668, -0.369280
141669, -4.062498
141670, -3.372809
141671, -3.693057
141672, -2.500613
141673, -1.706326
141674, -3.493824
141675, -4.141699
141676, -4.710865
141677, -4.653309
141678, -3.189318
141679, -0.639375
141680, -1.278779
141681, -1.475911
141682, -1.199414
141683, -2.289338
141684, -3.912459
141685, -4.010353
141686, -1.956582
141687, -4.654784
141688, -3.550396
141689, -2.432132
141690, -3.586799
141691, -3.718637
141692, -0.662419
141693, -2.821353
141694, -1.567437
141695, -4.106280
141696, -1.195573
141697, -4.729066
141698, -1.631441
141699, -3.942958
141700, -0.961318
141701, -4.156457
141702, -4.426528
141703, -3.861789
141704, -3.374776
141705, -3.533671
141706, -0.731544
141707, -1.079726
141708, 0.064667
141709, -4.013797
141710, -3.187350
141711, -3.648783
141712, -1.778011
141713, -1.500233
141714, -4.383238
141715, 0.549178
141716, -3.001400
141717, -3.374285
141718, -5.629794
141719, -3.635009
141720, -0.779547
141721, -4.430463
141722, -4.854017
141723, -3.996579
141724, -3.859822
141725, -1.595599
141726, -1.199414
141727, -2.712636
141728, -0.423684
141729, -4.193844
141730, 1.369036
141731, -1.809373
141732, -2.436170
141733, -4.481132
141734, -4.768421
