EPIC,rafloat,decfloat,Kp,InvestigationIDs
200252312,,,,GO19028|100475-LC-SSO_TILE
200252313,,,,GO19028|100475-LC-SSO_TILE
200252314,,,,GO19028|100475-LC-SSO_TILE
200252315,,,,GO19028|100475-LC-SSO_TILE
200252316,,,,GO19028|100475-LC-SSO_TILE
200252317,,,,GO19028|100475-LC-SSO_TILE
200252318,,,,GO19028|100475-LC-SSO_TILE
200252319,,,,GO19028|100475-LC-SSO_TILE
200252320,,,,GO19028|100475-LC-SSO_TILE
200252321,,,,GO19028|100475-LC-SSO_TILE
200252322,,,,GO19028|100475-LC-SSO_TILE
200252323,,,,GO19028|100475-LC-SSO_TILE
200252324,,,,GO19028|100475-LC-SSO_TILE
200252325,,,,GO19028|100475-LC-SSO_TILE
200252326,,,,GO19028|100475-LC-SSO_TILE
200252327,,,,GO19028|100475-LC-SSO_TILE
200252328,,,,GO19028|100475-LC-SSO_TILE
200252329,,,,GO19028|100475-LC-SSO_TILE
200252330,,,,GO19028|100475-LC-SSO_TILE
200252331,,,,GO19028|100475-LC-SSO_TILE
200252332,,,,GO19028|100475-LC-SSO_TILE
200252333,,,,GO19028|100475-LC-SSO_TILE
200252334,,,,GO19028|100475-LC-SSO_TILE
200252335,,,,GO19028|100475-LC-SSO_TILE
200252336,,,,GO19028|100475-LC-SSO_TILE
200252337,,,,GO19028|100475-LC-SSO_TILE
200252338,,,,GO19028|100475-LC-SSO_TILE
200252339,,,,GO19028|100475-LC-SSO_TILE
200252340,,,,GO19028|100475-LC-SSO_TILE
200252341,,,,GO19028|100475-LC-SSO_TILE
200252342,,,,GO19028|100475-LC-SSO_TILE
200252343,,,,GO19028|100475-LC-SSO_TILE
200252344,,,,GO19028|100475-LC-SSO_TILE
200252345,,,,GO19028|100475-LC-SSO_TILE
200252346,,,,GO19028|100475-LC-SSO_TILE
200252347,,,,GO19028|100475-LC-SSO_TILE
200252348,,,,GO19028|100475-LC-SSO_TILE
200252349,,,,GO19028|100475-LC-SSO_TILE
200252350,,,,GO19028|100475-LC-SSO_TILE
200252351,,,,GO19028|100475-LC-SSO_TILE
200252352,,,,GO19028|100475-LC-SSO_TILE
200252353,,,,GO19028|100475-LC-SSO_TILE
200252354,,,,GO19028|100475-LC-SSO_TILE
200252355,,,,GO19028|100475-LC-SSO_TILE
200252356,,,,GO19028|100475-LC-SSO_TILE
200252357,,,,GO19028|100475-LC-SSO_TILE
200252358,,,,GO19028|100475-LC-SSO_TILE
200252359,,,,GO19028|100475-LC-SSO_TILE
200252360,,,,GO19028|100475-LC-SSO_TILE
200252361,,,,GO19028|100475-LC-SSO_TILE
200252362,,,,GO19028|100475-LC-SSO_TILE
200252363,,,,GO19028|100475-LC-SSO_TILE
200252364,,,,GO19028|100475-LC-SSO_TILE
200252365,,,,GO19028|100475-LC-SSO_TILE
200252366,,,,GO19028|100475-LC-SSO_TILE
200252367,,,,GO19028|100475-LC-SSO_TILE
200252368,,,,GO19028|100475-LC-SSO_TILE
200252369,,,,GO19028|100475-LC-SSO_TILE
200252370,,,,GO19028|100475-LC-SSO_TILE
200252371,,,,GO19028|100475-LC-SSO_TILE
200252372,,,,GO19028|100475-LC-SSO_TILE
200252373,,,,GO19028|100475-LC-SSO_TILE
200252374,,,,GO19028|100475-LC-SSO_TILE
200252375,,,,GO19028|100475-LC-SSO_TILE
200252376,,,,GO19028|100475-LC-SSO_TILE
200252377,,,,GO19028|100475-LC-SSO_TILE
200252378,,,,GO19028|100475-LC-SSO_TILE
200252379,,,,GO19028|100475-LC-SSO_TILE
200252380,,,,GO19028|100475-LC-SSO_TILE
200252381,,,,GO19028|100475-LC-SSO_TILE
200252382,,,,GO19028|100475-LC-SSO_TILE
200252383,,,,GO19028|100475-LC-SSO_TILE
200252384,,,,GO19028|100475-LC-SSO_TILE
200252385,,,,GO19028|100475-LC-SSO_TILE
200252386,,,,GO19028|100475-LC-SSO_TILE
200252387,,,,GO19028|100475-LC-SSO_TILE
200252388,,,,GO19028|100475-LC-SSO_TILE
200252389,,,,GO19028|100475-LC-SSO_TILE
200252390,,,,GO19028|100475-LC-SSO_TILE
200252391,,,,GO19028|100475-LC-SSO_TILE
200252392,,,,GO19028|100475-LC-SSO_TILE
200252393,,,,GO19028|100475-LC-SSO_TILE
200252394,,,,GO19028|100475-LC-SSO_TILE
200252395,,,,GO19028|100475-LC-SSO_TILE
200252396,,,,GO19028|100475-LC-SSO_TILE
200252397,,,,GO19028|100475-LC-SSO_TILE
200252398,,,,GO19028|100475-LC-SSO_TILE
200252399,,,,GO19028|100475-LC-SSO_TILE
200252400,,,,GO19028|100475-LC-SSO_TILE
200252401,,,,GO19028|100475-LC-SSO_TILE
200252402,,,,GO19028|100475-LC-SSO_TILE
200252403,,,,GO19028|100475-LC-SSO_TILE
200252404,,,,GO19028|100475-LC-SSO_TILE
200252405,,,,GO19028|100475-LC-SSO_TILE
200252406,,,,GO19028|100475-LC-SSO_TILE
200252407,,,,GO19028|100475-LC-SSO_TILE
200252408,,,,GO19028|100475-LC-SSO_TILE
200252409,,,,GO19028|100475-LC-SSO_TILE
200252410,,,,GO19028|100475-LC-SSO_TILE
200252411,,,,GO19028|100475-LC-SSO_TILE
200252412,,,,GO19028|100475-LC-SSO_TILE
200252413,,,,GO19028|100475-LC-SSO_TILE
200252414,,,,GO19028|100475-LC-SSO_TILE
200252415,,,,GO19028|100475-LC-SSO_TILE
200252416,,,,GO19028|100475-LC-SSO_TILE
200252417,,,,GO19028|100475-LC-SSO_TILE
200252418,,,,GO19028|100475-LC-SSO_TILE
200252419,,,,GO19028|100475-LC-SSO_TILE
200252420,,,,GO19028|100475-LC-SSO_TILE
200252421,,,,GO19028|100475-LC-SSO_TILE
200252422,,,,GO19028|100475-LC-SSO_TILE
200252423,,,,GO19028|100475-LC-SSO_TILE
200252424,,,,GO19028|100475-LC-SSO_TILE
200252425,,,,GO19028|100475-LC-SSO_TILE
200252426,,,,GO19028|100475-LC-SSO_TILE
200252427,,,,GO19028|100475-LC-SSO_TILE
200252428,,,,GO19028|100475-LC-SSO_TILE
200252429,,,,GO19028|100475-LC-SSO_TILE
200252430,,,,GO19028|100475-LC-SSO_TILE
200252431,,,,GO19028|100475-LC-SSO_TILE
200252432,,,,GO19028|100475-LC-SSO_TILE
200252433,,,,GO19028|100475-LC-SSO_TILE
200252434,,,,GO19028|100475-LC-SSO_TILE
200252435,,,,GO19028|100475-LC-SSO_TILE
200252436,,,,GO19028|100475-LC-SSO_TILE
200252437,,,,GO19028|100475-LC-SSO_TILE
200252438,,,,GO19028|100475-LC-SSO_TILE
200252439,,,,GO19028|100475-LC-SSO_TILE
200252440,,,,GO19028|100475-LC-SSO_TILE
200252441,,,,GO19028|100475-LC-SSO_TILE
200252442,,,,GO19028|100475-LC-SSO_TILE
200252443,,,,GO19028|100475-LC-SSO_TILE
200252444,,,,GO19028|100475-LC-SSO_TILE
200252445,,,,GO19028|100475-LC-SSO_TILE
200252446,,,,GO19028|100475-LC-SSO_TILE
200252447,,,,GO19028|100475-LC-SSO_TILE
200252448,,,,GO19028|100475-LC-SSO_TILE
200252449,,,,GO19028|100475-LC-SSO_TILE
200252450,,,,GO19028|100475-LC-SSO_TILE
200252451,,,,GO19028|100475-LC-SSO_TILE
200252452,,,,GO19028|100475-LC-SSO_TILE
200252453,,,,GO19028|100475-LC-SSO_TILE
200252454,,,,GO19028|100475-LC-SSO_TILE
200252455,,,,GO19028|100475-LC-SSO_TILE
200252456,,,,GO19028|100475-LC-SSO_TILE
200252457,,,,GO19028|100475-LC-SSO_TILE
200252458,,,,GO19028|100475-LC-SSO_TILE
200252459,,,,GO19028|100475-LC-SSO_TILE
200252460,,,,GO19028|100475-LC-SSO_TILE
200252461,,,,GO19028|100475-LC-SSO_TILE
200252462,,,,GO19028|100475-LC-SSO_TILE
200252463,,,,GO19028|100475-LC-SSO_TILE
200252464,,,,GO19028|100475-LC-SSO_TILE
200252465,,,,GO19028|100475-LC-SSO_TILE
200252466,,,,GO19028|100475-LC-SSO_TILE
200252467,,,,GO19028|100475-LC-SSO_TILE
200252468,,,,GO19028|100475-LC-SSO_TILE
200252469,,,,GO19028|100475-LC-SSO_TILE
200252470,,,,GO19028|100475-LC-SSO_TILE
200252471,,,,GO19028|100475-LC-SSO_TILE
200252472,,,,GO19028|100475-LC-SSO_TILE
200252473,,,,GO19028|100475-LC-SSO_TILE
200252474,,,,GO19028|100475-LC-SSO_TILE
200252475,,,,GO19028|100475-LC-SSO_TILE
200252476,,,,GO19028|100475-LC-SSO_TILE
200252477,,,,GO19028|100475-LC-SSO_TILE
200252478,,,,GO19028|100475-LC-SSO_TILE
200252479,,,,GO19028|100475-LC-SSO_TILE
200252480,,,,GO19028|100475-LC-SSO_TILE
200252481,,,,GO19028|100475-LC-SSO_TILE
200252482,,,,GO19028|100475-LC-SSO_TILE
200252483,,,,GO19028|100475-LC-SSO_TILE
200252484,,,,GO19028|100475-LC-SSO_TILE
200252485,,,,GO19028|100475-LC-SSO_TILE
200252486,,,,GO19028|100475-LC-SSO_TILE
200252487,,,,GO19028|100475-LC-SSO_TILE
200252488,,,,GO19028|100475-LC-SSO_TILE
200252489,,,,GO19028|100475-LC-SSO_TILE
200252490,,,,GO19028|100475-LC-SSO_TILE
200252491,,,,GO19028|100475-LC-SSO_TILE
200252492,,,,GO19028|100475-LC-SSO_TILE
200252493,,,,GO19028|100475-LC-SSO_TILE
200252494,,,,GO19028|100475-LC-SSO_TILE
200252495,,,,GO19028|100475-LC-SSO_TILE
200252496,,,,GO19028|100475-LC-SSO_TILE
200252497,,,,GO19045|134860-LC-SSO_TILE
200252498,,,,GO19045|134860-LC-SSO_TILE
200252499,,,,GO19045|134860-LC-SSO_TILE
200252500,,,,GO19045|134860-LC-SSO_TILE
200252501,,,,GO19045|134860-LC-SSO_TILE
200252502,,,,GO19045|134860-LC-SSO_TILE
200252503,,,,GO19045|134860-LC-SSO_TILE
200252504,,,,GO19045|134860-LC-SSO_TILE
200252505,,,,GO19045|134860-LC-SSO_TILE
200252506,,,,GO19045|134860-LC-SSO_TILE
200252507,,,,GO19045|134860-LC-SSO_TILE
200252508,,,,GO19045|134860-LC-SSO_TILE
200252509,,,,GO19045|134860-LC-SSO_TILE
200252510,,,,GO19045|134860-LC-SSO_TILE
200252511,,,,GO19045|134860-LC-SSO_TILE
200252512,,,,GO19045|134860-LC-SSO_TILE
200252513,,,,GO19045|134860-LC-SSO_TILE
200252514,,,,GO19045|134860-LC-SSO_TILE
200252515,,,,GO19045|134860-LC-SSO_TILE
200252516,,,,GO19045|134860-LC-SSO_TILE
200252517,,,,GO19045|134860-LC-SSO_TILE
200252518,,,,GO19045|134860-LC-SSO_TILE
200252519,,,,GO19045|134860-LC-SSO_TILE
200252520,,,,GO19045|134860-LC-SSO_TILE
200252521,,,,GO19045|134860-LC-SSO_TILE
200252522,,,,GO19045|134860-LC-SSO_TILE
200252523,,,,GO19045|134860-LC-SSO_TILE
200252524,,,,GO19045|134860-LC-SSO_TILE
200252525,,,,GO19045|134860-LC-SSO_TILE
200252526,,,,GO19045|134860-LC-SSO_TILE
200252527,,,,GO19045|134860-LC-SSO_TILE
200252528,,,,GO19045|134860-LC-SSO_TILE
200252529,,,,GO19045|134860-LC-SSO_TILE
200252530,,,,GO19045|134860-LC-SSO_TILE
200252531,,,,GO19045|134860-LC-SSO_TILE
200252532,,,,GO19045|134860-LC-SSO_TILE
200252533,,,,GO19045|134860-LC-SSO_TILE
200252534,,,,GO19045|134860-LC-SSO_TILE
200252535,,,,GO19045|134860-LC-SSO_TILE
200252536,,,,GO19045|134860-LC-SSO_TILE
200252537,,,,GO19045|134860-LC-SSO_TILE
200252538,,,,GO19045|134860-LC-SSO_TILE
200252539,,,,GO19045|134860-LC-SSO_TILE
200252540,,,,GO19045|134860-LC-SSO_TILE
200252541,,,,GO19045|134860-LC-SSO_TILE
200252542,,,,GO19045|134860-LC-SSO_TILE
200252543,,,,GO19045|134860-LC-SSO_TILE
200252544,,,,GO19045|134860-LC-SSO_TILE
200252545,,,,GO19045|134860-LC-SSO_TILE
200252546,,,,GO19045|134860-LC-SSO_TILE
200252547,,,,GO19045|134860-LC-SSO_TILE
200252548,,,,GO19045|134860-LC-SSO_TILE
200252549,,,,GO19045|134860-LC-SSO_TILE
200252550,,,,GO19045|134860-LC-SSO_TILE
200252551,,,,GO19045|134860-LC-SSO_TILE
200252552,,,,GO19045|134860-LC-SSO_TILE
200252553,,,,GO19045|134860-LC-SSO_TILE
200252554,,,,GO19045|134860-LC-SSO_TILE
200252555,,,,GO19045|134860-LC-SSO_TILE
200252556,,,,GO19045|134860-LC-SSO_TILE
200252557,,,,GO19045|134860-LC-SSO_TILE
200252558,,,,GO19045|134860-LC-SSO_TILE
200252559,,,,GO19045|134860-LC-SSO_TILE
200252560,,,,GO19045|134860-LC-SSO_TILE
200252561,,,,GO19045|134860-LC-SSO_TILE
200252562,,,,GO19045|134860-LC-SSO_TILE
200252563,,,,GO19045|134860-LC-SSO_TILE
200252564,,,,GO19045|134860-LC-SSO_TILE
200252565,,,,GO19045|134860-LC-SSO_TILE
200252566,,,,GO19045|134860-LC-SSO_TILE
200252567,,,,GO19045|134860-LC-SSO_TILE
200252568,,,,GO19045|134860-LC-SSO_TILE
200252569,,,,GO19045|134860-LC-SSO_TILE
200252570,,,,GO19045|134860-LC-SSO_TILE
200252571,,,,GO19045|134860-LC-SSO_TILE
200252572,,,,GO19045|134860-LC-SSO_TILE
200252573,,,,GO19045|134860-LC-SSO_TILE
200252574,,,,GO19045|134860-LC-SSO_TILE
200252575,,,,GO19045|134860-LC-SSO_TILE
200252576,,,,GO19045|134860-LC-SSO_TILE
200252577,,,,GO19045|134860-LC-SSO_TILE
