# Summary of K2 Program GO7016

Title: Statistics of Variability in Main-Sequence Stars of Kepler 2 Fields 6 and 7

PI: Guzik, Joyce Ann (Los Alamos National Laboratory)
CoIs: Bradley, Paul A; Jackiewicz, Jason; Kinemuchi, Karen; Nelson, Nicholas; Kosak, Katie

We propose to observe with the Kepler spacecraft in long-cadence mode about one thousand main-sequence stars in each of K2 Fields 6 and 7.  Our goal is to discover new pulsating variables, as well as eclipsing binaries and magnetically active stars with variability produced by rotating spots.  We will use colors and magnitudes listed in the EPIC catalog to select main-sequence stars with Kepler magnitude between approximately 8 and 12.   Our selection of stars in this magnitude range will minimize the number of pixels required, yet the stars will be bright enough for ground-based ground-based follow-up observations including high-resolution spectroscopic observations.

Observations by the Kepler spacecraft have turned out to be ideal for discovery and characterization of pulsations of main-sequence stars that pulsate in radial and non-radial pressure and gravity modes.  The long time series and high precision of the photometry have enabled determining the frequencies and amplitudes of the modes with periods of order a day (g modes) to a few hours (p and mixed modes) using long-cadence data (30-min integrations per data point).    Analysis of the Kepler data has raised a number of questions about the possible pulsation driving mechanisms for gamma Doradus g-mode and delta Scuti p-mode pulsations, and revealed a surprising number of hybrid star candidates that show pulsations in both types of modes.  The Kepler data has also been used to study slowly pulsating B (SPB) stars (g-mode pulsators), beta Cephei stars (p-mode pulsators) and their hybrids to test stellar pulsation theory in the presumably simpler case for these hotter stars with smaller envelope convection zones.  The analysis has also identified a number of apparently non-pulsating stars that lie within the pulsation instability regions established by theory that need to be explained.  We expect to increase the numbers of these types of stars available for detailed study, especially for candidates brighter than those found in the original Kepler field.   We also expect to discover additional eclipsing binaries and magnetically active stars.  

Our sample selection will not be biased toward known pulsators, and will include enough stars to derive statistics of the occurrence of variability.  We will compare our results with similar surveys of stars in the original Kepler Cygnus-Lyra field, and with surveys of stars in young open clusters for K2 Fields 0-5.   We will also produce a catalog of all of the candidate variables, eclipsing binaries, and magnetically active stars that we find.
214791365, 282.4234619, -25.6352654, 10.091, GO7086_LC|GO7078_LC|GO7016_LC|GO7087_LC|GO7028_LC|GO7030_LC
214793732, 282.2299805, -25.6296406, 12.355, GO7032_LC|GO7016_LC
214796132, 282.1264038, -25.6239319, 11.362, GO7032_LC|GO7016_LC
214804292, 282.0995789, -25.6049347, 12.07, GO7032_LC|GO7016_LC|GO7028_LC
214811417, 281.7346191, -25.5883713, 11.816, GO7032_LC|GO7016_LC
214817122, 281.5469971, -25.5751972, 11.748, GO7032_LC|GO7016_LC
214817573, 281.9514771, -25.5741367, 12.15, GO7032_LC|GO7016_LC
214828930, 282.348938, -25.5479794, 11.555, GO7032_LC|GO7016_LC
214829787, 282.1886902, -25.5459747, 12.25, GO7032_LC|GO7016_LC
214834768, 282.3507996, -25.5343857, 12.314, GO7032_LC|GO7016_LC
214859078, 281.8963318, -25.4783764, 11.992, GO7030_LC|GO7016_LC
214862119, 282.466156, -25.4711876, 11.799, GO7032_LC|GO7016_LC
214863852, 282.6405945, -25.4670887, 11.173, GO7032_LC|GO7016_LC|GO7087_LC
214887923, 287.8747253, -25.4112663, 11.902, GO7030_LC|GO7016_LC|GO7087_LC
214892340, 284.4779968, -25.4012794, 9.462, GO7078_LC|GO7016_LC|GO7087_LC|GO7030_LC
214896505, 282.0669556, -25.3916721, 11.5, GO7032_LC|GO7016_LC
214898046, 281.1986389, -25.3880577, 9.429, GO7021_LC|GO7016_LC|GO7042_LC|GO7030_LC
214905993, 281.1723938, -25.3699093, 8.431, GO7086_LC|GO7039_LC|GO7016_LC|GO7087_LC|GO7030_LC|GO7039_SC
214914668, 281.6319275, -25.3502693, 10.508, GO7021_LC|GO7019_LC|GO7016_LC|GO7042_LC
214918279, 289.0996094, -25.3421707, 8.744, GO7017_LC|GO7078_LC|GO7016_LC|GO7042_LC|GO7030_LC
214923460, 282.1149292, -25.3304691, 12.025, GO7032_LC|GO7016_LC
214937265, 282.1521301, -25.2990761, 12.362, GO7032_LC|GO7016_LC
214943902, 282.0602112, -25.2840538, 12.408, GO7032_LC|GO7016_LC
214962044, 282.6712341, -25.2432594, 11.792, GO7086_LC|GO7030_LC|GO7032_LC|GO7016_LC|GO7087_LC
214974178, 281.8243713, -25.2162437, 9.031, GO7039_LC|GO7016_LC|GO7087_LC|GO7030_LC|GO7039_SC
214974729, 282.0921326, -25.215004, 12.05, GO7032_LC|GO7016_LC
214992603, 281.7778015, -25.1750755, 12.117, GO7032_LC|GO7016_LC
214997001, 282.139801, -25.1653214, 12.477, GO7086_LC|GO7016_LC
214997571, 282.5882568, -25.1641521, 9.61, GO7086_LC|GO7016_LC|GO7087_LC
215011458, 284.7333374, -25.1335754, 8.536, GO7019_LC|GO7016_LC|GO7042_LC|GO7030_LC
215035735, 294.2583618, -25.080267, 8.285, GO7039_LC|GO7016_LC|GO7087_LC|GO7030_LC|GO7039_SC
215076557, 284.8553772, -24.9901695, 11.859, GO7030_LC|GO7016_LC
215089789, 282.5759888, -24.9610023, 12.109, GO7032_LC|GO7016_LC
215110533, 280.7650146, -24.9155769, 11.772, GO7030_LC|GO7016_LC|GO7087_LC
215119305, 281.2937622, -24.8966961, 12.333, GO7032_LC|GO7016_LC
215153638, 282.4668579, -24.822319, 12.091, GO7030_LC|GO7016_LC
215169725, 281.8781128, -24.7876339, 12.406, GO7030_LC|GO7016_LC
215205433, 284.7753906, -24.7107449, 10.17, GO7021_LC|GO7016_LC|GO7030_LC
215225387, 282.0361328, -24.6679459, 12.017, GO7032_LC|GO7016_LC
215237468, 281.5238953, -24.6419888, 12.264, GO7032_LC|GO7016_LC
215256310, 284.5273438, -24.6017208, 10.342, GO7078_LC|GO7016_LC|GO7042_LC|GO7030_LC
215409060, 287.9055176, -24.2803059, 11.847, GO7030_LC|GO7016_LC|GO7087_LC
215428276, 288.0497742, -24.2400684, 11.393, GO7086_LC|GO7030_LC|GO7016_LC|GO7087_LC
215469709, 287.9944763, -24.1530056, 10.596, GO7086_LC|GO7016_LC|GO7087_LC|GO7028_LC|GO7030_LC
215493021, 286.0910034, -24.1043682, 12.343, GO7008_LC|GO7016_LC
215584718, 285.2858582, -23.9229031, 11.833, GO7030_LC|GO7016_LC
215588322, 288.9648132, -23.9162788, 10.076, GO7078_LC|GO7016_LC
215599420, 287.8683777, -23.8960629, 10.257, GO7086_LC|GO7016_LC|GO7087_LC|GO7030_LC
215616052, 284.2884827, -23.8662167, 10.392, GO7078_LC|GO7016_LC|GO7030_LC
215632069, 282.4556885, -23.8362293, 9.293, GO7008_LC|GO7041_LC|GO7065_LC|GO7057_LC|GO7016_LC|GO7005_LC|GO7046_LC|GO7023_LC
215632123, 282.4554138, -23.8361492, 8.454, GO7060_LC|GO7016_LC
215636676, 284.3228455, -23.827364, 10.282, GO7061_LC|GO7016_LC|GO7042_LC
215681930, 288.0174561, -23.7405281, 8.163, GO7019_LC|GO7016_LC|GO7042_LC|GO7030_LC
215682566, 280.5765381, -23.7392311, 11.817, GO7030_LC|GO7016_LC|GO7087_LC
215707068, 287.8910217, -23.6931763, 12.083, GO7030_LC|GO7016_LC
215734404, 284.1249084, -23.6413784, 11.744, GO7030_LC|GO7021_LC|GO7016_LC|GO7087_LC
215746211, 284.5115051, -23.6189651, 10.629, GO7078_LC|GO7016_LC
215754710, 290.5551758, -23.6031456, 12.332, GO7078_LC|GO7016_LC
215766631, 295.9207458, -23.5806389, 9.097, GO7078_LC|GO7016_LC|GO7087_LC|GO7030_LC
215786841, 289.9620972, -23.5425358, 11.926, GO7030_LC|GO7016_LC|GO7040_LC
215822538, 287.7224121, -23.4753819, 10.603, GO7016_LC|GO7040_LC|GO7030_LC
215832278, 281.5532837, -23.4568138, 12.472, GO7030_LC|GO7016_LC
215838620, 281.5387573, -23.4449806, 12.356, GO7030_LC|GO7016_LC
215860020, 281.3635559, -23.4051704, 10.738, GO7021_LC|GO7016_LC|GO7030_LC
215863579, 281.5193787, -23.3985271, 11.957, GO7030_LC|GO7016_LC|GO7087_LC
215875814, 289.0968933, -23.375843, 12.473, GO7008_LC|GO7016_LC
215876375, 293.7147522, -23.3748474, 9.72, GO7061_LC|GO7078_LC|GO7016_LC|GO7030_LC
215881525, 280.0335693, -23.3652191, 12.363, GO7030_LC|GO7085_LC|GO7016_LC
215882611, 280.5942993, -23.3633022, 11.804, GO7030_LC|GO7016_LC|GO7087_LC|GO7028_LC
215890227, 281.4487, -23.3493843, 12.394, GO7030_LC|GO7016_LC
215899602, 295.0917053, -23.3318176, 8.155, GO7078_LC|GO7016_LC|GO7030_LC
215909391, 291.0180054, -23.3136654, 8.814, GO7078_LC|GO7016_LC|GO7030_LC
215910507, 284.1676331, -23.3115005, 11.331, GO7030_LC|GO7021_LC|GO7016_LC
215916478, 284.2124634, -23.3003712, 9.466, GO7021_LC|GO7016_LC|GO7030_LC
215920368, 279.9577332, -23.2933426, 11.895, GO7030_LC|GO7085_LC|GO7016_LC|GO7087_LC|GO7028_LC
215946211, 284.7059631, -23.2458076, 11.213, GO7086_LC|GO7085_LC|GO7016_LC
215949695, 285.0064697, -23.2390556, 11.934, GO7030_LC|GO7016_LC
215953080, 279.9101562, -23.2327213, 11.914, GO7030_LC|GO7016_LC
215954155, 280.9205017, -23.2306747, 8.751, GO7021_LC|GO7019_LC|GO7016_LC|GO7042_LC|GO7030_LC
215964333, 280.3746948, -23.2117996, 9.926, GO7061_LC|GO7021_LC|GO7016_LC|GO7042_LC|GO7030_LC
215969849, 288.8426208, -23.2015457, 11.74, GO7008_LC|GO7078_LC|GO7071_LC|GO7016_LC
215971683, 287.9419861, -23.1982346, 12.233, GO7030_LC|GO7016_LC
215981150, 294.1969604, -23.1809425, 9.189, GO7078_LC|GO7016_LC
215981328, 281.7032166, -23.1806011, 11.962, GO7086_LC|GO7030_LC|GO7085_LC|GO7016_LC|GO7087_LC
215985584, 294.7230225, -23.1727238, 10.85, GO7086_LC|GO7016_LC|GO7087_LC|GO7030_LC
215988809, 279.9528198, -23.1666775, 11.929, GO7086_LC|GO7030_LC|GO7085_LC|GO7016_LC|GO7087_LC
216002339, 287.442749, -23.1417198, 12.48, GO7030_LC|GO7016_LC
216003594, 280.7534485, -23.1393356, 12.061, GO7030_LC|GO7016_LC
216005035, 291.4172974, -23.1367073, 9.73, GO7061_LC|GO7016_LC
216006623, 280.5494995, -23.1338425, 9.135, GO7061_LC|GO7016_LC|GO7042_LC|GO7030_LC
216009882, 280.724823, -23.1278095, 12.263, GO7030_LC|GO7016_LC
216019262, 279.9085388, -23.1104164, 11.333, GO7086_LC|GO7030_LC|GO7085_LC|GO7016_LC|GO7087_LC
216040671, 281.0578613, -23.0707798, 12.383, GO7030_LC|GO7085_LC|GO7016_LC
216042060, 286.3864746, -23.0683155, 12.14, GO7030_LC|GO7085_LC|GO7016_LC|GO7028_LC
216042213, 294.7828369, -23.0679951, 10.156, GO7078_LC|GO7016_LC
216043693, 280.5868835, -23.0653324, 11.885, GO7030_LC|GO7016_LC
216050365, 281.3067017, -23.0531006, 12.347, GO7030_LC|GO7016_LC
216053996, 280.9838562, -23.0463505, 11.932, GO7030_LC|GO7085_LC|GO7016_LC|GO7087_LC
216054667, 294.8701782, -23.0452099, 11.782, GO7030_LC|GO7016_LC
216059035, 288.1242981, -23.0372162, 8.451, GO7019_LC|GO7016_LC|GO7042_LC|GO7030_LC
216061278, 286.5012207, -23.0331326, 11.525, GO7086_LC|GO7030_LC|GO7085_LC|GO7016_LC|GO7087_LC
216065948, 280.7393799, -23.0245914, 12.143, GO7030_LC|GO7016_LC|GO7028_LC
216072576, 280.5914612, -23.0121574, 12.069, GO7030_LC|GO7016_LC
216074546, 280.7167664, -23.008606, 11.359, GO7030_LC|GO7021_LC|GO7016_LC
216083671, 286.7480774, -22.9919262, 11.887, GO7030_LC|GO7016_LC
216086491, 287.1387939, -22.9868031, 11.278, GO7086_LC|GO7030_LC|GO7085_LC|GO7016_LC|GO7087_LC|GO7028_LC
216099443, 286.7767944, -22.9629669, 12.075, GO7030_LC|GO7016_LC
216113630, 287.0625916, -22.9369984, 11.83, GO7030_LC|GO7016_LC
216117535, 287.539032, -22.9298134, 12.128, GO7030_LC|GO7016_LC
216123036, 279.7702942, -22.9197769, 11.9, GO7030_LC|GO7016_LC
216130822, 283.3744202, -22.9056435, 9.818, GO7086_LC|GO7085_LC|GO7016_LC|GO7087_LC|GO7030_LC
216150861, 286.5552979, -22.8694134, 11.976, GO7030_LC|GO7016_LC
216160212, 289.6086426, -22.8524494, 12.05, GO7030_LC|GO7016_LC|GO7028_LC
216183727, 287.1703491, -22.8097858, 12.046, GO7030_LC|GO7016_LC|GO7028_LC
216192968, 295.0467834, -22.7930069, 12.356, GO7086_LC|GO7030_LC|GO7016_LC
216193531, 287.3186035, -22.7920036, 12.443, GO7030_LC|GO7085_LC|GO7016_LC|GO7032_LC
216199340, 286.6235046, -22.7812595, 10.55, GO7078_LC|GO7016_LC|GO7087_LC|GO7030_LC
216201859, 279.7588501, -22.7765331, 11.868, GO7030_LC|GO7016_LC
216202250, 279.7979736, -22.7757454, 11.919, GO7030_LC|GO7016_LC
216225809, 279.7802429, -22.7325516, 11.978, GO7030_LC|GO7016_LC
216228024, 295.0988159, -22.7284832, 8.873, GO7039_LC|GO7078_LC|GO7016_LC|GO7087_LC|GO7030_LC|GO7039_SC
216232183, 280.6200256, -22.7205563, 11.805, GO7030_LC|GO7016_LC|GO7087_LC
216237479, 287.4123535, -22.7109852, 11.981, GO7030_LC|GO7016_LC
216251040, 283.9174194, -22.6859894, 11.157, GO7078_LC|GO7016_LC
216252894, 280.920929, -22.6825848, 12.42, GO7030_LC|GO7016_LC
216254956, 279.9012451, -22.6787434, 10.797, GO7021_LC|GO7074_LC|GO7016_LC|GO7030_LC|GO7074_SC
216262918, 280.0458679, -22.6638336, 8.837, GO7061_LC|GO7016_LC|GO7042_LC|GO7030_LC
216264986, 283.8857117, -22.6599846, 11.541, GO7030_LC|GO7078_LC|GO7016_LC
216277931, 279.8201599, -22.6364613, 9.791, GO7086_LC|GO7085_LC|GO7016_LC|GO7030_LC
216288751, 291.8427124, -22.6168213, 8.814, GO7086_LC|GO7085_LC|GO7016_LC|GO7087_LC|GO7030_LC
216302484, 280.4631958, -22.5919247, 12.357, GO7030_LC|GO7016_LC
216305165, 284.3049622, -22.5871449, 12.071, GO7030_LC|GO7085_LC|GO7016_LC
216308801, 280.6363525, -22.5804291, 11.886, GO7030_LC|GO7016_LC
216309782, 280.6069031, -22.5787277, 12.373, GO7030_LC|GO7016_LC
216315260, 279.7400818, -22.5688038, 11.918, GO7030_LC|GO7016_LC
216316812, 288.4118347, -22.5660515, 8.016, GO7019_LC|GO7016_LC|GO7042_LC|GO7030_LC
