# Summary of K2 Program GO5086

Title: Using asteroseismology to trace the evolution of intermediate-mass stars in clusters

PI: Antoci, Victoria (Aarhus University)
CoIs: 

The oscillating A and early F type stars, which do not obey scaling relationships as found in red giants and solar-like stars and are more complicated to analyze, also underwent a Keplerian revolution. For example, we have strong evidence that there is more than one pulsation mechanism at work in Delta Sct stars, showing that convection in the outer envelope can play an important role (Antoci et al. 2011, Antoci et al., submitted). Kurtz et al. (2014) measured for the first time the internal rotation rate for a Delta Sct/Gamma Dor hybrid from examination of splittings of individual oscillation modes.

Here we propose to observe all known pulsators, fainter than 7th magnitude in the V band, of Gamma Dor, Delta Sct, SPB and Be type as well as stars with reliable spectral type identification and atmospheric parameter measurements (v sin i, Teff , log g, ...). Our selected stars are located in clusters that are visible in campaigns 4 and 5. We wish to observe over a hundred of stars in these clusters. The Pleiades, NGC 1647, Hyades, M44 and M67 cover a range of ages (approximately 100 Myr to 4.8 Gyr) and offer _x0018_snapshots_x0019_ in the life of stars over a range of masses with approximately the same initial chemical composition. All clusters, with the exception of M67, are young enough to harbour pulsating, intermediate-mass stars on or near the main sequence. In the case of M67 the turn-off mass is only slightly higher than the solar one, meaning that all massive stars have evolved off the main sequence. However, this cluster has several known pulsating blue stragglers, which are thought to be the product of mergers or accretion in binary systems. The true origin of these stars is still under debate but studying their oscillations may uncover their formation scenario. For example, the helium content in the merger scenario is higher and this will influence the oscillatory behaviour, which we can measure. In other words the K2 mission can for the first time offer a homogeneous sample of oscillating intermediate-mass stars over a range of well determined ages and chemical compositions.

Work plan: After basic photometric reductions and identification of the pulsation modes, we plan to do an asteroseismic analyses of the light curves and explore their oscillatory behaviour. We will use the asteroseismic results to test the recently suggested driving mechanism proposed by Antoci et al. (submitted), which is related to the turbulent pressure in the stellar envelope. We will also probe the edges of the instability regions in the HR diagram and select the best targets to do theoretical in-depth studies. K2 is the only mission in the near future, to do the science proposed here because it delivers homogeneous observations and long uninterrupted data sets of pulsating stars in clusters with sufficient precision over a large range of magnitudes. We will be able to determine the oscillation frequencies unambiguously even for the stars oscillating with periods shorter than the Nyquist frequency imposed by the LC data, as studied by Murphy et al. (in prep).

To summarize, the combination of homogeneous K2 observations with already available ground-based photometric and spectroscopic data as well as constrains set from cluster ensemble studies and eclipsing binary systems is a unique opportunity to do asteroseismic studies of early-type stars.

# Targets requested by this program that have been observed (41)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211797674, 127.413818, 17.283503, 10.548, GO5007_LC|GO5020_LC|GO5029_LC|GO5052_LC|GO5057_LC|GO5086_LC|GO5104_LC|GO5060_LC
211910450, 129.200014, 18.882806, 8.976, GO5018_LC|GO5021_LC|GO5024_LC|GO5033_LC|GO5035_LC|GO5045_LC|GO5048_LC|GO5057_LC|GO5086_LC
211910977, 131.32504, 18.890366, 9.561, GO5012_LC|GO5018_LC|GO5024_LC|GO5032_LC|GO5033_LC|GO5035_LC|GO5048_LC|GO5086_LC|GO5023_LC
211912407, 130.490908, 18.911724, 9.352, GO5074_SC|GO5018_LC|GO5024_LC|GO5032_LC|GO5033_LC|GO5048_LC|GO5074_LC|GO5086_LC
211914004, 130.545032, 18.934374, 7.949, GO5018_LC|GO5024_LC|GO5033_LC|GO5035_LC|GO5040_LC|GO5048_LC|GO5086_LC
211927313, 129.426516, 19.133763, 9.79, GO5007_LC|GO5018_LC|GO5024_LC|GO5029_LC|GO5032_LC|GO5033_LC|GO5048_LC|GO5086_LC|GO5060_LC
211927867, 130.400854, 19.142644, 9.351, GO5074_SC|GO5018_LC|GO5024_LC|GO5029_LC|GO5032_LC|GO5033_LC|GO5035_LC|GO5048_LC|GO5074_LC|GO5086_LC
211931309, 130.137336, 19.194326, 8.929, GO5018_LC|GO5021_LC|GO5024_LC|GO5033_LC|GO5035_LC|GO5040_LC|GO5048_LC|GO5086_LC
211933524, 130.163501, 19.228294, 9.156, GO5033_LC|GO5040_LC|GO5048_LC|GO5086_LC
211935741, 130.326651, 19.260998, 8.059, GO5018_LC|GO5024_LC|GO5033_LC|GO5035_LC|GO5040_LC|GO5048_LC|GO5086_LC|GO5023_LC|GO5064_LC
