EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200068559, , , , GO8034_LC
200068560, , , , GO8034_LC
200068561, , , , GO8034_LC
200068562, , , , GO8034_LC
200068563, , , , GO8034_LC
200068564, , , , GO8034_LC
200068565, , , , GO8034_LC
200068566, , , , GO8034_LC
200068567, , , , GO8034_LC
200068568, , , , GO8034_LC
200068569, , , , GO8034_LC
200068570, , , , GO8034_LC
200068571, , , , GO8034_LC
200068572, , , , GO8034_LC
200068573, , , , GO8034_LC
200068574, , , , GO8034_LC
200068575, , , , GO8034_LC
200068576, , , , GO8034_LC
200068577, , , , GO8034_LC
200068578, , , , GO8034_LC
200068579, , , , GO8034_LC
200068580, , , , GO8034_LC
200068581, , , , GO8034_LC
200068582, , , , GO8034_LC
200068583, , , , GO8034_LC
200068584, , , , GO8034_LC
200068585, , , , GO8034_LC
200068586, , , , GO8034_LC
200068587, , , , GO8034_LC
200068588, , , , GO8034_LC
200068589, , , , GO8034_LC
200068590, , , , GO8034_LC
200068591, , , , GO8034_LC
200068592, , , , GO8034_LC
200068593, , , , GO8034_LC
200068594, , , , GO8034_LC
200068595, , , , GO8034_LC
200068596, , , , GO8034_LC
200068597, , , , GO8034_LC
200068598, , , , GO8034_LC
200068599, , , , GO8034_LC
200068600, , , , GO8034_LC
200068601, , , , GO8034_LC
200068602, , , , GO8034_LC
200068603, , , , GO8034_LC
200068604, , , , GO8034_LC
200068605, , , , GO8034_LC
200068606, , , , GO8034_LC
200068607, , , , GO8034_LC
200068608, , , , GO8034_LC
200068609, , , , GO8034_LC
200068610, , , , GO8034_LC
200068611, , , , GO8034_LC
200068612, , , , GO8034_LC
200068613, , , , GO8034_LC
200068614, , , , GO8034_LC
200068615, , , , GO8034_LC
200068616, , , , GO8034_LC
200068617, , , , GO8034_LC
200068618, , , , GO8034_LC
200068619, , , , GO8034_LC
200068620, , , , GO8034_LC
200068621, , , , GO8034_LC
200068622, , , , GO8034_LC
200068623, , , , GO8034_LC
200068624, , , , GO8034_LC
200068625, , , , GO8034_LC
200068626, , , , GO8034_LC
200068627, , , , GO8034_LC
200068628, , , , GO8034_LC
200068629, , , , GO8034_LC
200068630, , , , GO8034_LC
200068631, , , , GO8034_LC
200068632, , , , GO8034_LC
200068633, , , , GO8034_LC
200068634, , , , GO8034_LC
200068635, , , , GO8034_LC
200068636, , , , GO8034_LC
200068637, , , , GO8034_LC
200068638, , , , GO8034_LC
200068639, , , , GO8034_LC
200068640, , , , GO8034_LC
200068641, , , , GO8034_LC
200068642, , , , GO8034_LC
200068643, , , , GO8034_LC
200068644, , , , GO8034_LC
200068645, , , , GO8034_LC
200068646, , , , GO8034_LC
200068647, , , , GO8034_SC
200068648, , , , GO8034_SC
200068649, , , , GO8034_SC
200068650, , , , GO8034_SC
200068651, , , , GO8034_SC
200068652, , , , GO8034_SC
200068653, , , , GO8034_SC
200068654, , , , GO8034_SC
200068655, , , , GO8034_SC
