# Summary of K2 Program GO19067

Title: Getting a Head Start on TESS

PI: Barclay, Thomas (University of Maryland, Baltimore County)
CoIs: 



# Targets requested by this program that have been observed (1093)
EPIC,RA,Dec,Kp,InvestigationIDs
246446992,344.71210,0.48351,16.90000,GO19053_LC|GO19059_LC|GO19067_LC
246447487,345.31458,0.49917,17.50000,GO19053_LC|GO19059_LC|GO19067_LC
246447786,344.86502,0.50785,12.80300,GO19049_LC|GO19063_LC|GO19065_LC|GO19067_LC|GO19068_LC
246448472,344.94626,0.52907,12.38000,GO19049_LC|GO19065_LC|GO19067_LC
246449662,344.69450,0.56660,12.48100,GO19049_LC|GO19065_LC|GO19067_LC
246450351,345.07043,0.58885,10.26600,GO19003_LC|GO19026_LC|GO19038_LC|GO19049_LC|GO19065_LC|GO19067_LC|GO19068_LC
246450354,344.92908,0.58887,13.84400,GO19063_LC|GO19067_LC|GO19068_LC
246450826,346.06216,0.60357,14.51700,GO19063_LC|GO19067_LC|GO19068_LC
246450867,345.16050,0.60491,14.94300,GO19063_LC|GO19067_LC|GO19068_LC
246451228,345.03815,0.61619,15.95400,GO19063_LC|GO19067_LC|GO19068_LC
246451572,345.26530,0.62709,16.02700,GO19063_LC|GO19067_LC|GO19068_LC
246452098,344.88980,0.64423,12.06600,GO19049_LC|GO19065_LC|GO19067_LC
246452425,345.79788,0.65503,11.21800,GO19003_LC|GO19049_LC|GO19065_LC|GO19067_LC
246452512,345.99207,0.65768,9.18700,GO19003_LC|GO19049_LC|GO19065_LC|GO19067_LC
246452727,345.86368,0.66491,16.15000,GO19063_LC|GO19067_LC|GO19068_LC
246453821,346.22055,0.70308,16.16000,GO19063_LC|GO19067_LC|GO19068_LC
246454145,344.87155,0.71442,14.78100,GO19063_LC|GO19067_LC|GO19068_LC
246454848,346.32630,0.73832,12.21300,GO19049_LC|GO19065_LC|GO19067_LC|GO19068_LC
246455372,345.70877,0.75524,10.81500,GO19049_LC|GO19065_LC|GO19067_LC
246455446,345.99393,0.75720,12.41700,GO19049_LC|GO19065_LC|GO19067_LC
246455588,346.12863,0.76273,12.01300,GO19049_LC|GO19065_LC|GO19067_LC
246456346,345.79617,0.78882,14.16700,GO19063_LC|GO19067_LC|GO19068_LC
246456956,346.19350,0.80927,12.00600,GO19049_LC|GO19065_LC|GO19067_LC
246456972,345.06512,0.81010,11.74800,GO19003_LC|GO19049_LC|GO19065_LC|GO19067_LC
246457016,346.27887,0.81191,17.61000,GO19053_LC|GO19059_LC|GO19067_LC
246457197,346.41953,0.81747,17.80000,GO19053_LC|GO19059_LC|GO19067_LC
246457330,346.37900,0.82230,17.10000,GO19053_LC|GO19059_LC|GO19067_LC
246457463,346.28183,0.82623,16.90000,GO19053_LC|GO19059_LC|GO19067_LC
246457713,346.30228,0.83444,15.20000,GO19053_LC|GO19059_LC|GO19067_LC
246458003,345.77740,0.84427,12.31500,GO19049_LC|GO19065_LC|GO19067_LC
246458303,345.80728,0.85474,16.90000,GO19059_LC|GO19067_LC
246458356,346.27414,0.85637,15.41900,GO19063_LC|GO19067_LC|GO19068_LC
246458787,346.49567,0.87052,16.10000,GO19053_LC|GO19059_LC|GO19067_LC
246459084,346.48203,0.88114,12.27500,GO19049_LC|GO19065_LC|GO19067_LC
246460684,345.00390,0.93698,13.20800,GO19063_LC|GO19067_LC|GO19068_LC
246460943,345.99030,0.94481,10.40600,GO19003_LC|GO19049_LC|GO19065_LC|GO19067_LC
246461366,346.29422,0.95820,12.45400,GO19049_LC|GO19065_LC|GO19067_LC
246461395,345.97125,0.95893,17.70000,GO19053_LC|GO19059_LC|GO19067_LC
246461396,346.52120,0.95897,16.30000,GO19053_LC|GO19059_LC|GO19067_LC
246461516,346.54858,0.96308,12.05600,GO19049_LC|GO19065_LC|GO19067_LC
246462088,346.49982,0.98315,16.53900,GO19063_LC|GO19067_LC
246462265,345.88055,0.98937,16.50000,GO19053_LC|GO19059_LC|GO19067_LC
246462758,346.57340,1.00669,17.00000,GO19053_LC|GO19059_LC|GO19067_LC
246462902,346.00146,1.01110,14.73600,GO19063_LC|GO19067_LC|GO19068_LC
246462956,346.24808,1.01309,11.55800,GO19049_LC|GO19065_LC|GO19067_LC
246463343,345.72140,1.02692,10.44600,GO19003_LC|GO19049_LC|GO19065_LC|GO19067_LC
246463817,345.92197,1.04356,16.49770,GO19059_LC|GO19067_LC
246464136,346.10812,1.05581,17.11000,GO19053_LC|GO19059_LC|GO19067_LC
246464666,345.86176,1.07412,11.56200,GO19049_LC|GO19065_LC|GO19067_LC|GO19068_LC
246464949,345.55777,1.08396,11.56800,GO19049_LC|GO19065_LC|GO19067_LC
246465159,345.66630,1.09100,12.04800,GO19049_LC|GO19065_LC|GO19067_LC
246465243,346.73260,1.09419,11.82600,GO19049_LC|GO19065_LC|GO19067_LC
246465289,345.71860,1.09558,16.20200,GO19063_LC|GO19067_LC|GO19068_LC
246465586,345.64413,1.10635,12.46200,GO19049_LC|GO19065_LC|GO19067_LC
246465737,346.65530,1.11189,12.89500,GO19050_LC|GO19067_LC|GO19068_LC
246466059,346.36768,1.12427,9.14000,GO19050_LC|GO19067_LC|GO19068_LC
246466142,345.72186,1.12755,15.70000,GO19053_LC|GO19059_LC|GO19067_LC
246467148,346.12085,1.16358,15.37400,GO19063_LC|GO19067_LC|GO19068_LC
246467160,346.83040,1.16395,16.73600,GO19063_LC|GO19067_LC|GO19068_LC
246467318,346.27887,1.16946,10.67600,GO19049_LC|GO19065_LC|GO19067_LC|GO19068_LC
246467626,346.51675,1.17945,13.40500,GO19063_LC|GO19067_LC|GO19068_LC
246467962,345.95105,1.19219,13.05700,GO19049_LC|GO19063_LC|GO19067_LC|GO19068_LC
246468124,346.46823,1.19783,14.25700,GO19063_LC|GO19067_LC|GO19068_LC
246468160,346.13885,1.19875,17.50000,GO19053_LC|GO19059_LC|GO19067_LC
