# Summary of K2 Program GO19031

Title: Main Belt Asteroid Studies With Kepler

PI: Marciniak, Anna (Astronomical Observatory Institute)
CoIs: Thomas Muller (Max-Planck-Institut fur extraterrestrische Physik, Garching), Csaba Kiss, Andras Pal, Robert Szakats (Konkoly Obsevatory)



# Targets requested by this program that have been observed (115)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
200262123,,,,GO19031|Ljuba-LC-SSO_TILE
200262124,,,,GO19031|Ljuba-LC-SSO_TILE
200262125,,,,GO19031|Ljuba-LC-SSO_TILE
200262126,,,,GO19031|Ljuba-LC-SSO_TILE
200262127,,,,GO19031|Ljuba-LC-SSO_TILE
200262128,,,,GO19031|Ljuba-LC-SSO_TILE
200262129,,,,GO19031|Ljuba-LC-SSO_TILE
200262130,,,,GO19031|Ljuba-LC-SSO_TILE
200262131,,,,GO19031|Ljuba-LC-SSO_TILE
200262132,,,,GO19031|Ljuba-LC-SSO_TILE
200262133,,,,GO19031|Ljuba-LC-SSO_TILE
200262134,,,,GO19031|Ljuba-LC-SSO_TILE
