EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220165220, 18.5082912, -1.3765841, 15.963, GO8056_LC
220165254, 17.0902348, -1.37561, 16.18, GO8056_LC
220165838, 13.625802, -1.35646, 14.938, GO8056_LC|GO8032_LC
220166077, 18.0280075, -1.348698, 14.668, GO8056_LC|GO8032_LC
220166618, 16.4377766, -1.331892, 14.216, GO8056_LC|GO8031_LC
220166791, 17.8224506, -1.3253, 15.755, GO8056_LC|GO8031_LC
220167071, 16.3355904, -1.3157229, 15.8, GO8056_LC|GO8031_LC
220168663, 16.2943516, -1.265393, 15.551, GO8056_LC|GO8031_LC
220168802, 18.1612549, -1.260639, 15.321, GO8056_LC|GO8059_LC|GO8031_LC
220169000, 17.4824238, -1.252931, 16.287, GO8056_LC
220169473, 13.4493313, -1.23255, 14.953, GO8056_LC|GO8032_LC
220169765, 13.0768681, -1.219479, 15.173, GO8056_LC|GO8031_LC
220169813, 17.694067, -1.217931, 15.512, GO8056_LC|GO8032_LC
220169879, 16.2149868, -1.215112, 16.221, GO8056_LC
220170204, 12.9158068, -1.20075, 15.989, GO8056_LC|GO8031_LC
220170214, 17.0042896, -1.200569, 16.269, GO8056_LC
220170340, 18.1579494, -1.194419, 16.325, GO8056_LC
220170794, 17.4613991, -1.1723011, 15.947, GO8056_LC|GO8031_LC
220170808, 16.6743412, -1.17161, 16.036, GO8056_LC
220170857, 18.5992889, -1.169831, 15.448, GO8056_LC|GO8031_LC
220170904, 13.2916098, -1.167865, 13.085, GO8056_LC|GO8032_LC|GO8042_LC
220171032, 14.0920162, -1.16233, 16.344, GO8056_LC
220171377, 18.3768082, -1.145027, 14.922, GO8056_LC|GO8031_LC
220171406, 15.9339924, -1.143941, 15.773, GO8056_LC|GO8031_LC
220171455, 17.6843548, -1.1416039, 16.333, GO8056_LC
220171524, 16.9022408, -1.137918, 16.43, GO8056_LC
220171564, 13.1532097, -1.136104, 13.241, GO8056_LC|GO8032_LC|GO8042_LC
220171793, 18.4080563, -1.126869, 16.0, GO8056_LC|GO8031_LC
220171861, 16.1014671, -1.124246, 15.366, GO8056_LC
220172218, 16.6621704, -1.108327, 14.748, GO8056_LC|GO8042_LC
220172331, 13.5224819, -1.103687, 15.298, GO8056_LC|GO8031_LC
220172348, 13.0199871, -1.102957, 13.199, GO8056_LC|GO8032_LC|GO8042_LC
220172558, 18.3353691, -1.094497, 15.582, GO8056_LC|GO8012_LC|GO8031_LC
220172677, 12.5578146, -1.088814, 16.171, GO8056_LC
220172740, 16.0124264, -1.0859081, 15.378, GO8056_LC|GO8031_LC
220172874, 18.7626686, -1.079107, 15.518, GO8056_LC|GO8031_LC
220172979, 16.9422283, -1.073511, 15.806, GO8056_LC|GO8031_LC
220173046, 16.2229271, -1.070298, 16.233, GO8056_LC
220173213, 16.3269711, -1.063208, 16.165, GO8056_LC
220173303, 12.9563074, -1.059832, 14.261, GO8056_LC|GO8032_LC|GO8042_LC
220173538, 12.8575964, -1.049804, 16.235, GO8056_LC
220173563, 14.3374653, -1.0491379, 15.738, GO8056_LC|GO8031_LC
220173636, 16.5655651, -1.045465, 13.993, GO8056_LC|GO8032_LC|GO8042_LC
220173749, 14.318614, -1.040746, 15.003, GO8056_LC|GO8031_LC
220174703, 14.3240013, -1.000846, 16.237, GO8056_LC
220175094, 12.7690916, -0.98434, 15.289, GO8056_LC|GO8032_LC
220175494, 14.1573734, -0.966577, 16.165, GO8056_LC
220175595, 18.6667709, -0.961933, 14.58, GO8056_LC|GO8012_LC|GO8032_LC
220175635, 17.6794205, -0.960528, 15.837, GO8056_LC|GO8031_LC
220175642, 14.4772787, -0.96037, 16.024, GO8056_LC
220175790, 12.3954649, -0.95535, 15.595, GO8056_LC|GO8031_LC
220176135, 16.0679588, -0.94086, 13.422, GO8056_LC|GO8032_LC|GO8042_LC
220176136, 17.1468315, -0.940832, 16.287, GO8056_LC
220176315, 13.409584, -0.933811, 16.449, GO8056_LC
220176342, 16.3461952, -0.932846, 12.5, GO8056_LC|GO8068_LC|GO8032_LC|GO8042_LC
220176647, 17.2896214, -0.92101, 15.651, GO8056_LC|GO8031_LC
220176695, 16.6315231, -0.91908, 15.08, GO8056_LC|GO8031_LC
220176698, 12.5095348, -0.919001, 16.01, GO8056_LC
220176726, 16.2592945, -0.91747, 15.553, GO8056_LC|GO8031_LC
220176739, 17.3236122, -0.917042, 14.648, GO8056_LC|GO8031_LC
220176906, 13.4876032, -0.910781, 15.452, GO8056_LC|GO8031_LC
220177136, 12.3121862, -0.902553, 15.442, GO8056_LC|GO8032_LC
220177289, 16.1377525, -0.896537, 15.768, GO8056_LC|GO8031_LC
220177395, 14.53016, -0.892488, 15.515, GO8056_LC|GO8032_LC
220177576, 12.710392, -0.884133, 16.056, GO8056_LC
220177764, 18.2815838, -0.876174, 15.365, GO8056_LC|GO8012_LC|GO8031_LC
220178001, 14.688735, -0.866958, 15.455, GO8056_LC|GO8031_LC
220178376, 12.5035172, -0.852001, 15.356, GO8056_LC|GO8031_LC
220178439, 13.1462259, -0.849296, 13.115, GO8056_LC|GO8032_LC|GO8042_LC
220178797, 19.2888489, -0.835814, 15.997, GO8056_LC|GO8031_LC
220178894, 13.0817242, -0.831883, 15.054, GO8056_LC|GO8032_LC
220178911, 19.3443222, -0.831332, 16.168, GO8056_LC
220179097, 19.3922882, -0.824742, 15.208, GO8056_LC|GO8031_LC
220179357, 13.8704033, -0.813611, 15.535, GO8056_LC|GO8031_LC
220179502, 14.8081522, -0.807561, 15.028, GO8056_LC|GO8032_LC
220179706, 14.0640259, -0.79981, 14.915, GO8056_LC|GO8031_LC
220179724, 16.6330872, -0.799162, 15.237, GO8056_LC|GO8032_LC
220179787, 18.0625839, -0.796957, 16.465, GO8056_LC
220179815, 13.8133402, -0.796076, 15.675, GO8056_LC|GO8031_LC
220180454, 18.3259125, -0.77127, 16.382, GO8056_LC
220180497, 16.6194363, -0.769455, 16.084, GO8056_LC
220180694, 17.1941223, -0.760964, 16.485, GO8056_LC
220180704, 16.9254551, -0.76057, 15.413, GO8056_LC|GO8031_LC
220180708, 13.8349733, -0.760386, 15.802, GO8056_LC|GO8031_LC
220181408, 12.6321287, -0.733798, 15.913, GO8056_LC|GO8031_LC
220181583, 13.4277821, -0.727788, 16.424, GO8056_LC
220182252, 13.9519854, -0.69936, 16.412, GO8056_LC
220182330, 15.8664865, -0.695443, 15.931, GO8056_LC|GO8031_LC
220182342, 13.7540541, -0.695137, 16.499, GO8056_LC
220182344, 19.2459259, -0.695067, 15.595, GO8056_LC|GO8031_LC
220182832, 17.7565212, -0.673976, 16.14, GO8056_LC
220182844, 16.3531265, -0.673423, 15.122, GO8056_LC|GO8059_LC|GO8031_LC
220183289, 12.9780712, -0.654996, 16.35, GO8056_LC
220183549, 17.6297779, -0.644323, 16.153, GO8056_LC
