EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
220220385, 15.0914669, 0.720237, 14.515, GO8056_LC|GO8031_LC
220220442, 16.5359287, 0.721882, 15.497, GO8056_LC|GO8032_LC
220220491, 13.8942738, 0.7237, 16.068, GO8056_LC
220220577, 11.1736107, 0.726551, 14.608, GO8056_LC
220220652, 19.2380676, 0.72915, 16.082, GO8056_LC
220220742, 16.1169128, 0.731974, 15.493, GO8056_LC|GO8031_LC
220220971, 11.1030006, 0.739957, 16.117, GO8056_LC
220220975, 18.5105209, 0.740116, 16.248, GO8056_LC
220221098, 11.6020164, 0.744589, 16.414, GO8056_LC
220221219, 18.6590805, 0.749329, 16.131, GO8056_LC
220221231, 11.7979794, 0.749878, 15.483, GO8056_LC|GO8031_LC
220221271, 16.0059509, 0.751128, 15.842, GO8056_LC|GO8031_LC
220221272, 20.4993801, 0.751209, 14.256, GO8056_LC|GO8031_LC
220221447, 16.7893791, 0.757418, 15.836, GO8056_LC|GO8031_LC
220221607, 11.9339495, 0.763056, 16.19, GO8056_LC
220222001, 20.6277523, 0.775705, 14.181, GO8056_LC|GO8042_LC|GO8031_LC
220222046, 18.1342182, 0.77789, 16.413, GO8056_LC
220222185, 14.7241611, 0.782439, 16.484, GO8056_LC
220222439, 19.7776794, 0.792411, 15.287, GO8056_LC|GO8031_LC
220222459, 15.4250975, 0.793104, 15.203, GO8056_LC|GO8031_LC
220222585, 11.4638805, 0.797822, 16.068, GO8056_LC
220222764, 16.5653286, 0.804153, 15.769, GO8056_LC|GO8031_LC
220222953, 16.9808483, 0.810509, 15.908, GO8056_LC|GO8031_LC
220222985, 20.9879189, 0.812245, 13.141, GO8056_LC|GO8042_LC
220223090, 19.3553066, 0.81616, 15.641, GO8056_LC|GO8031_LC
220223210, 11.2149124, 0.820337, 14.22, GO8056_LC|GO8042_LC
220223295, 11.4705858, 0.822817, 16.318, GO8056_LC
220223359, 20.9663086, 0.824896, 13.743, GO8056_LC|GO8013_LC|GO8059_LC|GO8042_LC|GO8031_LC
220223478, 19.4356632, 0.829453, 13.848, GO8056_LC|GO8032_LC|GO8042_LC
220223483, 18.2686672, 0.829858, 16.325, GO8056_LC
220223508, 20.967411, 0.830503, 13.954, GO8056_LC|GO8013_LC|GO8059_LC|GO8042_LC|GO8031_LC
220223682, 12.1184034, 0.836769, 15.969, GO8056_LC|GO8031_LC
220223816, 15.2724228, 0.841617, 15.493, GO8056_LC|GO8031_LC
220223980, 15.5025845, 0.847505, 15.305, GO8056_LC|GO8032_LC
220224280, 19.2519341, 0.85892, 16.253, GO8056_LC
220224406, 20.7121429, 0.863324, 15.787, GO8056_LC|GO8031_LC
220224805, 14.7980185, 0.876764, 15.967, GO8056_LC|GO8031_LC
220224927, 20.5845318, 0.88099, 16.015, GO8056_LC
220224949, 16.6654739, 0.881634, 16.256, GO8056_LC
220224997, 15.740099, 0.883261, 12.194, GO8056_LC|GO8032_LC|GO8042_LC
220225067, 16.5367985, 0.885483, 16.283, GO8056_LC
220225125, 18.8564701, 0.887283, 16.307, GO8056_LC
220225197, 15.9943876, 0.889684, 16.427, GO8056_LC
220225367, 19.4932995, 0.895877, 16.246, GO8056_LC
220225482, 20.7590752, 0.899802, 16.433, GO8056_LC
220225483, 20.3148117, 0.899924, 16.317, GO8056_LC
220225598, 13.5926886, 0.904196, 16.138, GO8056_LC
220225625, 16.9368629, 0.905128, 15.711, GO8056_LC|GO8031_LC
220225703, 14.6017189, 0.907999, 14.787, GO8056_LC|GO8032_LC
220225917, 18.7563324, 0.914881, 15.906, GO8056_LC
220225982, 11.0060434, 0.917146, 16.264, GO8056_LC
220226272, 18.6607742, 0.927726, 13.471, GO8056_LC|GO8032_LC|GO8042_LC
220226293, 20.6412277, 0.928729, 16.382, GO8056_LC
220226561, 16.4048271, 0.938309, 16.258, GO8056_LC
220226718, 20.0169926, 0.94426, 15.418, GO8056_LC|GO8031_LC
220226938, 16.2418365, 0.952281, 16.29, GO8056_LC
220226990, 21.7020874, 0.953887, 15.225, GO8056_LC|GO8031_LC
220227325, 18.8182793, 0.965941, 15.744, GO8056_LC|GO8031_LC
220227470, 21.9769669, 0.970852, 15.206, GO8056_LC|GO8031_LC
220227607, 13.3444033, 0.975336, 15.6, GO8056_LC|GO8031_LC
220227832, 18.3513927, 0.982032, 14.938, GO8056_LC|GO8031_LC
220227984, 17.1933956, 0.985883, 15.048, GO8056_LC|GO8031_LC
220227996, 11.2521267, 0.986442, 14.89, GO8056_LC|GO8032_LC
220227998, 18.3063774, 0.986605, 15.879, GO8056_LC|GO8031_LC
220228015, 21.4726772, 0.987225, 14.058, GO8056_LC|GO8032_LC|GO8042_LC
220228016, 15.1123657, 0.987291, 11.927, GO8056_LC|GO8032_LC|GO8042_LC
220228134, 18.3602123, 0.991368, 16.313, GO8056_LC
220228163, 18.9240379, 0.992157, 15.864, GO8056_LC|GO8031_LC
220228185, 16.5352459, 0.99318, 16.129, GO8056_LC
220228191, 11.4453449, 0.993345, 15.711, GO8056_LC|GO8031_LC
220228207, 19.1626091, 0.993833, 16.252, GO8056_LC
220228222, 16.7090931, 0.994469, 16.291, GO8056_LC
220228345, 12.1445341, 0.999194, 15.696, GO8056_LC|GO8031_LC
220228382, 16.7181225, 1.000427, 16.169, GO8056_LC
220228491, 19.211132, 1.004371, 16.065, GO8056_LC
220228753, 16.7452221, 1.012332, 16.437, GO8056_LC
220228779, 11.221653, 1.013122, 16.234, GO8056_LC
220228827, 15.421278, 1.014467, 15.565, GO8056_LC|GO8031_LC
220228910, 20.4923477, 1.0168771, 15.525, GO8056_LC|GO8031_LC
220228948, 12.029151, 1.018257, 15.852, GO8056_LC|GO8032_LC
220228955, 19.0040874, 1.0184259, 15.442, GO8056_LC|GO8031_LC
220229050, 11.4473629, 1.021024, 13.962, GO8056_LC|GO8042_LC|GO8031_LC
220229145, 15.8857374, 1.024565, 16.239, GO8056_LC
220229280, 20.6874886, 1.0293159, 16.094, GO8056_LC
220229500, 22.0542393, 1.036736, 16.414, GO8056_LC
220229552, 14.7892094, 1.038735, 16.442, GO8056_LC
220229647, 14.6883001, 1.041666, 11.827, GO8056_LC|GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220229674, 21.8843746, 1.0424089, 16.482, GO8056_LC
220229690, 17.0176868, 1.0431941, 15.253, GO8056_LC|GO8031_LC
220229803, 17.2427711, 1.047051, 12.843, GO8056_LC|GO8068_LC
220229827, 18.9240608, 1.0479831, 15.063, GO8056_LC|GO8031_LC
220229874, 20.6485538, 1.0494649, 16.394, GO8056_LC
220230023, 15.5520678, 1.05584, 16.202, GO8056_LC
220230043, 18.9122677, 1.05667, 15.63, GO8056_LC|GO8031_LC
220230146, 21.8654041, 1.060219, 16.328, GO8056_LC
220230220, 15.1017056, 1.062943, 16.323, GO8056_LC
220230398, 16.5494328, 1.0686131, 15.716, GO8056_LC|GO8059_LC|GO8031_LC
220230466, 20.1237049, 1.071026, 16.287, GO8056_LC
220230484, 15.1643295, 1.0718451, 16.397, GO8056_LC
220230652, 20.1544952, 1.078153, 16.176, GO8056_LC
220230686, 11.1332407, 1.079283, 15.292, GO8056_LC|GO8031_LC
220230833, 16.6476059, 1.083433, 16.313, GO8056_LC
220230853, 18.7408962, 1.084138, 15.158, GO8056_LC|GO8032_LC
220230999, 18.7687569, 1.089361, 15.402, GO8056_LC|GO8032_LC
220231098, 16.2821636, 1.0927989, 15.905, GO8056_LC|GO8031_LC
220231160, 20.1277504, 1.094744, 16.414, GO8056_LC
220231365, 19.8257408, 1.101262, 14.899, GO8056_LC|GO8031_LC
220231599, 16.0091076, 1.110054, 14.963, GO8056_LC|GO8032_LC
220231738, 16.7613716, 1.114953, 15.361, GO8056_LC|GO8031_LC
220231744, 11.0507536, 1.1151021, 15.045, GO8056_LC|GO8031_LC
220231755, 16.0018291, 1.115586, 14.911, GO8056_LC|GO8031_LC
220231760, 16.4632511, 1.115801, 16.497, GO8056_LC
220231820, 12.3750229, 1.117947, 16.16, GO8056_LC
220231825, 21.4327583, 1.1182311, 14.02, GO8056_LC
220232157, 11.220458, 1.129413, 15.629, GO8056_LC|GO8031_LC
220232200, 21.4925518, 1.1313469, 14.95, GO8056_LC|GO8031_LC
220232421, 21.3471985, 1.139109, 13.621, GO8056_LC|GO8032_LC|GO8042_LC
220232505, 21.9367447, 1.142135, 15.301, GO8056_LC|GO8031_LC
220232535, 19.5522003, 1.143259, 15.058, GO8056_LC
220232786, 11.6291637, 1.152022, 16.017, GO8056_LC
220233215, 16.0883617, 1.167289, 16.36, GO8056_LC
220233299, 19.3687763, 1.170915, 16.342, GO8056_LC
220233302, 14.6990538, 1.170979, 15.087, GO8056_LC|GO8031_LC
220233560, 21.4912796, 1.18001, 15.444, GO8056_LC|GO8031_LC
220233786, 19.2646713, 1.18788, 16.259, GO8056_LC
220233806, 21.4580002, 1.188535, 14.023, GO8056_LC|GO8032_LC|GO8042_LC
220234445, 21.8449821, 1.209523, 15.921, GO8056_LC|GO8031_LC
220234524, 17.1076584, 1.212208, 15.168, GO8056_LC|GO8032_LC
220234553, 18.8054981, 1.213365, 16.099, GO8056_LC
220234843, 12.6191807, 1.2231359, 15.058, GO8056_LC|GO8032_LC
220235674, 15.2044916, 1.2511621, 15.653, GO8056_LC|GO8031_LC
220235735, 16.1991997, 1.2529351, 15.381, GO8056_LC|GO8031_LC
220235940, 16.9331169, 1.258998, 14.662, GO8056_LC|GO8031_LC
220236740, 19.6535778, 1.276718, 14.462, GO8056_LC|GO8032_LC
220236867, 18.6577454, 1.279416, 15.635, GO8056_LC
220237138, 11.9777203, 1.285395, 15.551, GO8056_LC
220237166, 19.6857548, 1.285919, 15.59, GO8056_LC|GO8032_LC
220237308, 20.2987423, 1.289057, 13.285, GO8056_LC|GO8032_LC|GO8077_LC|GO8042_LC
220237354, 14.35536, 1.289995, 12.215, GO8056_LC|GO8068_LC|GO8032_LC|GO8042_LC|GO8008_LC
220237357, 16.8891735, 1.290051, 14.96, GO8056_LC|GO8032_LC
220237496, 14.5204277, 1.293312, 13.372, GO8056_LC|GO8032_LC|GO8042_LC
220237820, 18.7161503, 1.299971, 15.96, GO8056_LC
220237869, 19.9166908, 1.301062, 14.193, GO8056_LC|GO8031_LC
220237951, 14.6700287, 1.3030061, 16.384, GO8056_LC
220237958, 16.3587933, 1.303268, 14.388, GO8056_LC|GO8032_LC
220238524, 15.0828466, 1.315375, 16.483, GO8056_LC
220239179, 19.0371933, 1.328988, 16.073, GO8056_LC
220239301, 14.9128647, 1.331477, 14.497, GO8056_LC|GO8032_LC
220239869, 22.2920284, 1.344411, 15.769, GO8056_LC|GO8031_LC
220240009, 15.0638475, 1.3476011, 14.526, GO8056_LC|GO8032_LC|GO8042_LC
220240616, 12.3461637, 1.362929, 15.543, GO8056_LC|GO8032_LC
220241035, 12.5298061, 1.372396, 15.417, GO8056_LC|GO8032_LC
220241226, 22.2735958, 1.376709, 14.988, GO8056_LC
220241257, 14.8622017, 1.3774329, 14.058, GO8056_LC|GO8032_LC|GO8042_LC
220241596, 21.8970299, 1.3853199, 14.397, GO8056_LC|GO8031_LC
220241786, 14.1546965, 1.38973, 15.662, GO8056_LC|GO8032_LC
220242130, 21.3205318, 1.397383, 14.342, GO8056_LC|GO8032_LC|GO8042_LC
220242171, 15.2698412, 1.398068, 16.285, GO8056_LC
220242462, 14.2972517, 1.405371, 16.493, GO8056_LC
220242732, 18.9903965, 1.411263, 14.547, GO8056_LC
220242758, 15.6083813, 1.412003, 16.335, GO8056_LC
220243035, 19.6980534, 1.418785, 16.341, GO8056_LC
220243079, 22.6645317, 1.419605, 14.753, GO8056_LC|GO8032_LC
220244045, 21.2150745, 1.442474, 16.02, GO8056_LC
220244164, 21.3392906, 1.4457051, 16.239, GO8056_LC
220244792, 16.2118702, 1.4595751, 14.688, GO8056_LC|GO8032_LC
220244907, 12.8475723, 1.461921, 15.555, GO8056_LC|GO8032_LC|GO8059_LC
220244938, 15.3277159, 1.462414, 12.937, GO8056_LC|GO8068_LC|GO8032_LC|GO8042_LC
220245283, 17.6360359, 1.4705, 15.409, GO8056_LC|GO8032_LC
220245620, 10.7993078, 1.478007, 12.64, GO8056_LC|GO8068_LC|GO8013_LC|GO8032_LC|GO8077_LC|GO8042_LC
220245770, 16.3141174, 1.481429, 13.769, GO8056_LC|GO8032_LC|GO8077_LC|GO8042_LC
220245993, 18.8961296, 1.48658, 16.247, GO8056_LC
220246141, 21.9671898, 1.490039, 16.375, GO8056_LC
220246167, 19.2968559, 1.490594, 16.388, GO8056_LC
220246568, 20.4039173, 1.5000269, 16.238, GO8056_LC
220246646, 20.0420361, 1.502035, 16.374, GO8056_LC
220246733, 15.0891705, 1.503755, 15.277, GO8056_LC|GO8032_LC
220246763, 16.3660851, 1.504554, 16.298, GO8056_LC
220246916, 16.3125057, 1.507668, 14.833, GO8056_LC|GO8031_LC
220247132, 19.3799744, 1.512733, 14.283, GO8056_LC|GO8032_LC|GO8042_LC
220247277, 22.3119392, 1.515874, 15.383, GO8056_LC|GO8031_LC
220247356, 14.0969877, 1.517345, 15.576, GO8056_LC
220247760, 22.6177959, 1.525986, 15.651, GO8056_LC|GO8031_LC
220248074, 21.8249111, 1.5330451, 13.631, GO8056_LC|GO8032_LC|GO8042_LC
220248711, 10.9681234, 1.546272, 16.385, GO8056_LC
220249300, 21.7992096, 1.5584559, 16.375, GO8056_LC
220250276, 16.6769772, 1.57865, 13.76, GO8056_LC|GO8032_LC|GO8042_LC
220250469, 14.7450237, 1.5822721, 16.102, GO8056_LC
220250876, 21.693388, 1.59068, 14.867, GO8056_LC|GO8031_LC
220250951, 22.4032249, 1.592243, 16.459, GO8056_LC
220251032, 10.6035681, 1.593986, 16.325, GO8056_LC
220251182, 15.424428, 1.597015, 16.341, GO8056_LC
220251317, 12.88095, 1.599841, 12.758, GO8056_LC|GO8068_LC|GO8032_LC|GO8042_LC
220252379, 14.1677513, 1.620993, 12.772, GO8056_LC|GO8068_LC|GO8032_LC|GO8042_LC
220252479, 16.452795, 1.622766, 16.394, GO8056_LC
220253279, 10.9766712, 1.638634, 15.91, GO8056_LC
220254036, 20.3538151, 1.654351, 14.482, GO8056_LC|GO8031_LC
220254084, 10.8505163, 1.655376, 16.042, GO8056_LC
220254442, 21.2611523, 1.662991, 16.265, GO8056_LC
220254958, 18.1938114, 1.673908, 14.961, GO8056_LC|GO8031_LC
220255065, 11.319519, 1.676221, 12.74, GO8056_LC|GO8013_LC|GO8042_LC|GO8031_LC
220255181, 16.024044, 1.678183, 16.235, GO8056_LC
220255188, 15.8594208, 1.6782579, 15.404, GO8056_LC|GO8031_LC
220255206, 11.3241987, 1.678681, 12.654, GO8056_LC|GO8068_LC|GO8013_LC|GO8032_LC|GO8042_LC
220255693, 15.6000719, 1.6892281, 16.134, GO8056_LC
220255934, 22.4979286, 1.694474, 16.164, GO8056_LC
220256064, 16.8011742, 1.696852, 11.954, GO8056_LC|GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC|GO8008_LC
220256179, 15.9112501, 1.699071, 14.688, GO8056_LC|GO8031_LC
220256428, 22.969677, 1.703776, 14.341, GO8056_LC|GO8031_LC
220256529, 21.6506367, 1.7056969, 16.474, GO8056_LC
220256564, 21.0100498, 1.706468, 16.279, GO8056_LC
220256890, 15.7907639, 1.7130001, 15.471, GO8056_LC|GO8031_LC
220256959, 21.7951546, 1.714353, 13.147, GO8056_LC|GO8032_LC|GO8042_LC
220257245, 17.6397152, 1.719304, 16.033, GO8056_LC
220257938, 11.037056, 1.733068, 15.804, GO8056_LC
220258168, 21.4635582, 1.738167, 15.633, GO8056_LC|GO8031_LC
220258264, 22.9267216, 1.740042, 15.264, GO8056_LC|GO8031_LC
220258396, 22.2818222, 1.742763, 11.786, GO8056_LC|GO8068_LC|GO8032_LC|GO8077_LC|GO8042_LC
220258560, 14.4260731, 1.7462749, 16.282, GO8056_LC
220259030, 11.9460621, 1.755841, 15.111, GO8056_LC|GO8032_LC
220259100, 21.84692, 1.757273, 14.346, GO8056_LC|GO8042_LC
220259414, 19.8495159, 1.764045, 15.186, GO8056_LC|GO8031_LC
220259489, 22.3565712, 1.765698, 16.409, GO8056_LC
220259611, 16.4671402, 1.7687171, 16.418, GO8056_LC
220260075, 19.3729515, 1.778996, 16.001, GO8056_LC|GO8031_LC
220260189, 17.8086681, 1.781486, 15.616, GO8056_LC
220260659, 19.9909554, 1.79164, 15.73, GO8056_LC|GO8032_LC
220260751, 17.5684948, 1.793473, 15.278, GO8056_LC|GO8031_LC
220260884, 20.1822605, 1.796922, 15.762, GO8056_LC|GO8031_LC
220261002, 22.0897007, 1.799589, 16.153, GO8056_LC
220261082, 10.7551851, 1.801333, 15.106, GO8056_LC|GO8031_LC
220261358, 11.9510288, 1.8068711, 15.441, GO8056_LC|GO8031_LC
220261509, 12.5952578, 1.810515, 15.422, GO8056_LC|GO8032_LC
220261617, 12.9692774, 1.812785, 15.307, GO8056_LC|GO8031_LC
220261655, 22.8466759, 1.8136851, 16.281, GO8056_LC
220262199, 12.1561756, 1.826499, 14.373, GO8056_LC|GO8032_LC
220262404, 20.1215858, 1.831365, 16.004, GO8056_LC|GO8031_LC
220262694, 23.2190304, 1.83829, 16.076, GO8056_LC
220262725, 22.0252743, 1.838784, 16.218, GO8056_LC
220262900, 10.3353853, 1.843009, 14.951, GO8056_LC|GO8013_LC|GO8031_LC
220262962, 22.0725555, 1.844169, 16.029, GO8056_LC
220263089, 22.3787804, 1.847174, 16.141, GO8056_LC
220263144, 23.3024597, 1.848356, 13.91, GO8056_LC|GO8042_LC
220263161, 23.2542725, 1.848683, 15.862, GO8056_LC|GO8031_LC
220263254, 10.9040279, 1.851081, 16.411, GO8056_LC
220263279, 22.4569092, 1.851716, 15.916, GO8056_LC|GO8031_LC
220264210, 15.4011631, 1.872319, 15.011, GO8056_LC|GO8032_LC
220264224, 15.651124, 1.872551, 15.54, GO8056_LC|GO8032_LC
220264572, 15.9111738, 1.879913, 16.324, GO8056_LC
220264716, 10.8802872, 1.88318, 14.168, GO8056_LC|GO8042_LC|GO8031_LC
220264754, 22.4871311, 1.884025, 15.911, GO8056_LC|GO8031_LC
220264841, 22.0731392, 1.885932, 15.746, GO8056_LC|GO8031_LC
220264930, 14.6772919, 1.888096, 15.588, GO8056_LC
220265249, 21.2353153, 1.895161, 15.665, GO8056_LC|GO8031_LC
220265472, 22.4968529, 1.899803, 15.351, GO8056_LC|GO8031_LC
220265733, 11.9898148, 1.905404, 14.968, GO8056_LC|GO8032_LC
220265768, 17.3041878, 1.906189, 16.269, GO8056_LC
220265913, 11.7746248, 1.909758, 15.709, GO8056_LC|GO8031_LC
220265960, 18.1979179, 1.910971, 12.776, GO8056_LC|GO8021_LC|GO8042_LC|GO8008_LC
220266025, 19.7111397, 1.912378, 16.388, GO8056_LC
220266145, 17.6671238, 1.9150881, 16.112, GO8056_LC
220266187, 18.5490513, 1.916109, 15.838, GO8056_LC|GO8032_LC
220266255, 15.5338287, 1.918035, 15.081, GO8056_LC|GO8032_LC
220266256, 19.6073551, 1.9180419, 11.846, GO8056_LC|GO8068_LC|GO8032_LC|GO8042_LC|GO8008_LC
220266520, 19.5147896, 1.9245321, 14.727, GO8056_LC|GO8032_LC
220266588, 11.3802414, 1.9259861, 15.198, GO8056_LC|GO8031_LC
220266976, 16.1570969, 1.933702, 16.324, GO8056_LC
220267160, 23.0576439, 1.937832, 15.555, GO8056_LC|GO8031_LC
220267210, 13.0588417, 1.9389369, 15.206, GO8056_LC
220267259, 15.3396368, 1.940043, 12.673, GO8056_LC|GO8068_LC|GO8032_LC|GO8042_LC
220267635, 22.1927338, 1.947722, 15.826, GO8056_LC|GO8031_LC
220268376, 22.2378178, 1.964161, 15.861, GO8056_LC|GO8031_LC
220268541, 21.1522312, 1.967487, 16.081, GO8056_LC
220268697, 11.1771402, 1.970564, 14.312, GO8056_LC|GO8031_LC
220268775, 21.4621468, 1.972306, 16.447, GO8056_LC
220269325, 11.8984613, 1.984269, 16.409, GO8056_LC
220269614, 21.9733295, 1.990333, 14.991, GO8056_LC|GO8032_LC
220269791, 12.0378857, 1.993907, 15.088, GO8056_LC|GO8031_LC
220270094, 17.3398647, 1.9998029, 12.862, GO8056_LC|GO8068_LC|GO8032_LC|GO8042_LC
220270620, 17.2070065, 2.010329, 15.562, GO8056_LC|GO8031_LC
220270741, 16.4790249, 2.0130639, 15.845, GO8056_LC|GO8032_LC
220270756, 21.2969036, 2.013294, 15.398, GO8056_LC
220271300, 19.9763756, 2.0243039, 16.193, GO8056_LC
220271418, 18.6965446, 2.0268021, 15.857, GO8056_LC|GO8031_LC
220271846, 17.4414272, 2.0355179, 15.848, GO8056_LC|GO8032_LC
220272252, 19.8334484, 2.0443399, 16.201, GO8056_LC
220272394, 14.885458, 2.047179, 16.396, GO8056_LC
220272487, 20.8375359, 2.049824, 15.691, GO8056_LC|GO8031_LC
220272682, 11.6706581, 2.0538869, 14.956, GO8056_LC|GO8031_LC
220272723, 10.7484074, 2.054426, 14.734, GO8056_LC|GO8032_LC
220272730, 18.69314, 2.0545781, 16.27, GO8056_LC
220272937, 10.3724842, 2.0585229, 14.537, GO8056_LC|GO8032_LC|GO8042_LC
220272956, 15.8787298, 2.0589659, 13.886, GO8056_LC|GO8032_LC|GO8077_LC|GO8042_LC
220273147, 11.4635487, 2.0634251, 15.941, GO8056_LC
220273251, 12.904314, 2.0654609, 15.097, GO8056_LC|GO8031_LC
220273294, 14.9682388, 2.0661359, 15.059, GO8056_LC|GO8031_LC
220273435, 14.9899063, 2.0688159, 15.045, GO8056_LC|GO8031_LC
220273540, 18.5778961, 2.0708399, 16.319, GO8056_LC
220274039, 21.5225868, 2.0813739, 15.822, GO8056_LC
220274898, 13.7703791, 2.099751, 14.124, GO8056_LC|GO8042_LC
220275089, 19.8388538, 2.103478, 16.436, GO8056_LC
220275265, 23.2304096, 2.107379, 16.062, GO8056_LC
220275390, 18.2710953, 2.1097331, 14.128, GO8056_LC|GO8032_LC|GO8042_LC
220275394, 11.8632479, 2.109782, 14.662, GO8056_LC|GO8031_LC
220275625, 17.5980682, 2.1140161, 14.72, GO8056_LC|GO8032_LC
220275823, 19.9224186, 2.1184199, 14.924, GO8056_LC|GO8031_LC
220275881, 12.8998213, 2.119457, 14.863, GO8056_LC|GO8042_LC
220276021, 17.1090565, 2.1222179, 15.513, GO8056_LC|GO8031_LC
220276785, 17.3845367, 2.13884, 15.416, GO8056_LC|GO8031_LC
220277256, 12.2857342, 2.1484301, 14.534, GO8056_LC
220277257, 21.4435368, 2.1484411, 15.869, GO8056_LC
220277262, 11.0029325, 2.14856, 15.715, GO8056_LC|GO8031_LC
220277692, 20.9039097, 2.1578851, 15.529, GO8056_LC|GO8031_LC
220277697, 11.9711199, 2.1580889, 16.061, GO8056_LC
220277886, 21.1502972, 2.1621161, 14.829, GO8056_LC
220277929, 10.5156126, 2.1627989, 15.884, GO8056_LC
220278157, 13.9257517, 2.167191, 14.829, GO8056_LC|GO8032_LC|GO8059_LC
220278416, 19.9078598, 2.172636, 16.465, GO8056_LC
220278524, 20.7214394, 2.174825, 15.208, GO8056_LC|GO8031_LC
220279123, 22.0861378, 2.188416, 15.095, GO8056_LC|GO8031_LC
220279124, 18.5456219, 2.1884179, 16.132, GO8056_LC
220279224, 10.6392756, 2.190949, 16.421, GO8056_LC
220279477, 20.7718639, 2.1961169, 14.173, GO8056_LC|GO8032_LC|GO8042_LC
220279498, 11.5858545, 2.1965799, 15.747, GO8056_LC|GO8031_LC
220279601, 12.8505898, 2.198627, 13.785, GO8056_LC|GO8032_LC|GO8077_LC|GO8042_LC
220280028, 12.3806992, 2.2076919, 16.404, GO8056_LC
220280325, 22.1086197, 2.213608, 16.106, GO8056_LC
220280402, 17.7553368, 2.215296, 14.882, GO8056_LC|GO8031_LC
220280531, 22.1277561, 2.218065, 15.494, GO8056_LC
220280774, 11.9637547, 2.2229199, 15.814, GO8056_LC
220280952, 20.5994148, 2.2268209, 16.305, GO8056_LC
220281054, 15.510808, 2.2289851, 13.954, GO8056_LC|GO8042_LC|GO8031_LC
220281191, 11.2650042, 2.2325759, 15.731, GO8056_LC|GO8031_LC
220281209, 11.296258, 2.232913, 16.272, GO8056_LC
220281406, 16.3117218, 2.2370901, 16.12, GO8056_LC
220281618, 16.2798615, 2.242059, 15.101, GO8056_LC|GO8032_LC
220281677, 18.668047, 2.2432029, 14.673, GO8056_LC
220281705, 12.7383842, 2.2437389, 15.227, GO8056_LC|GO8031_LC
220281773, 18.6798649, 2.2451839, 14.667, GO8056_LC
220282022, 17.6378708, 2.2507451, 15.633, GO8056_LC
220282102, 15.1428194, 2.2526309, 16.38, GO8056_LC
220282433, 11.2950106, 2.2599881, 15.14, GO8056_LC|GO8031_LC
220282690, 15.4315224, 2.2659171, 16.342, GO8056_LC
220282986, 21.9161797, 2.2722421, 15.701, GO8056_LC|GO8032_LC
220283408, 18.9418106, 2.2820439, 15.025, GO8056_LC|GO8032_LC
220283448, 17.3425808, 2.283031, 16.435, GO8056_LC
220283478, 17.8034115, 2.2836299, 14.556, GO8056_LC|GO8032_LC|GO8042_LC
220283792, 10.1968241, 2.290529, 16.474, GO8056_LC
220283879, 12.2337799, 2.292541, 15.328, GO8056_LC|GO8031_LC
220284049, 18.9689426, 2.296267, 15.816, GO8056_LC|GO8031_LC
220284705, 17.7487011, 2.309655, 15.697, GO8056_LC|GO8031_LC
220284745, 12.840107, 2.3103909, 15.979, GO8056_LC|GO8031_LC
220285070, 18.8233948, 2.3175869, 16.026, GO8056_LC
220285109, 18.6618652, 2.318553, 15.818, GO8056_LC|GO8031_LC
220285249, 16.0471478, 2.3221359, 14.2, GO8056_LC|GO8032_LC|GO8042_LC
220285587, 17.8960876, 2.3303671, 11.694, GO8056_LC|GO8068_LC|GO8032_LC|GO8042_LC
220285693, 22.8816261, 2.333128, 16.427, GO8056_LC
220285806, 17.7103596, 2.335629, 15.021, GO8056_LC|GO8032_LC
220286168, 23.0160255, 2.3434269, 15.832, GO8056_LC|GO8031_LC
220286206, 11.194212, 2.3442349, 15.143, GO8056_LC|GO8031_LC
220286274, 19.04706, 2.345628, 16.184, GO8056_LC
220286319, 21.2631454, 2.346431, 14.903, GO8056_LC
220286351, 17.4164429, 2.3472011, 15.958, GO8056_LC|GO8031_LC
220286462, 11.84723, 2.3494101, 16.283, GO8056_LC
220286480, 21.7357674, 2.3497031, 16.379, GO8056_LC
220286859, 16.1759243, 2.357512, 16.103, GO8056_LC
220287004, 10.9726219, 2.36057, 14.622, GO8056_LC|GO8013_LC|GO8059_LC|GO8031_LC
220287221, 18.9056282, 2.3646779, 16.202, GO8056_LC
220287507, 11.5276518, 2.370357, 15.636, GO8056_LC
220287795, 10.5020523, 2.3764579, 12.054, GO8056_LC|GO8042_LC|GO8008_LC
220287994, 18.4839115, 2.3807459, 13.83, GO8056_LC|GO8032_LC|GO8042_LC
220288315, 21.9558067, 2.3881691, 16.085, GO8056_LC
220288486, 14.2522717, 2.3914101, 13.869, GO8056_LC|GO8042_LC
220288776, 21.8118534, 2.3982921, 15.211, GO8056_LC|GO8031_LC
220289053, 23.1477203, 2.404479, 14.959, GO8056_LC|GO8031_LC
220289738, 22.9860096, 2.418978, 15.56, GO8056_LC|GO8059_LC|GO8031_LC
220290165, 17.6221294, 2.427824, 15.514, GO8056_LC|GO8031_LC
220290194, 15.9200125, 2.4283819, 15.793, GO8056_LC|GO8032_LC
220290395, 21.3860493, 2.4324341, 14.7, GO8056_LC|GO8032_LC
220290754, 13.7474051, 2.439893, 16.301, GO8056_LC
220290917, 22.5338821, 2.4431131, 15.976, GO8056_LC|GO8031_LC
