# Summary of K2 Program GO17063

Title: The K2 M Dwarf Project

PI: Dressing, Courtney (University of California, Berkeley)
CoIs: Ian Crossfield (MIT), Joshua Schlieder (NASA Goddard), Kevin Hardegree-Ullman(University of Toledo), Jessie Christiansen (NExScI/IPAC), Erik Petigura (Caltech)



# Targets requested by this program that have been observed (3210)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212567033, 202.2603302, -11.3067493, 16.432, GO17063_LC
212567299, 206.038269, -11.3017979, 16.92, GO17063_LC
212567475, 201.6078644, -11.2980642, 16.354, GO17063_LC
212567489, 204.4092865, -11.297658, 15.727, GO17063_LC|GO17068_LC
212567608, 204.6140289, -11.2949457, 16.213, GO17063_LC
212567828, 199.1669312, -11.2900372, 16.016, GO17063_LC|GO17068_LC
212567845, 202.858429, -11.2896414, 16.561, GO17063_LC
212568084, 204.7806244, -11.2844934, 17.033, GO17063_LC
212568175, 201.1115875, -11.2822018, 15.194, GO17063_LC|GO17068_LC
212568514, 202.7938232, -11.2753792, 15.29, GO17063_LC|GO17068_LC
212568561, 203.162262, -11.2745209, 16.23, GO17063_LC
212568667, 201.7409363, -11.2726917, 16.11, GO17063_LC|GO17068_LC
212568748, 199.6519623, -11.2709656, 17.543, GO17063_LC
212568881, 199.6427612, -11.2685337, 14.512, GO17063_LC|GO17068_LC
212569187, 207.470047, -11.2620029, 14.185, GO17049_LC|GO17063_LC|GO17068_LC
212569242, 204.9088135, -11.2610941, 15.942, GO17063_LC|GO17068_LC
212569400, 203.2619934, -11.257103, 15.299, GO17063_LC|GO17068_LC
212569487, 205.6711578, -11.2552509, 16.777, GO17063_LC
212569624, 207.8186798, -11.2527561, 16.285, GO17063_LC
212569881, 204.4783325, -11.2470617, 16.498, GO17063_LC
212570204, 202.2596741, -11.2401133, 16.5, GO17063_LC
212570224, 208.6850433, -11.2396955, 16.158, GO17063_LC|GO17068_LC
212570296, 205.8963928, -11.2383776, 14.666, GO17063_LC|GO17068_LC
212570321, 207.4317169, -11.2378378, 15.717, GO17063_LC|GO17068_LC
212570322, 200.1806183, -11.2377663, 16.825, GO17063_LC
212570406, 199.8963776, -11.235755, 16.702, GO17063_LC
212570556, 209.1178284, -11.2326927, 16.569, GO17063_LC
212570592, 204.1114807, -11.231987, 15.753, GO17063_LC|GO17068_LC
212570693, 208.1972198, -11.22964, 14.484, GO17049_LC|GO17063_LC|GO17068_LC
212571113, 202.248764, -11.2207594, 13.226, GO17049_LC|GO17063_LC|GO17068_LC
212571484, 204.3287506, -11.2129593, 15.908, GO17063_LC|GO17068_LC
212571538, 199.1152802, -11.2117004, 13.923, GO17063_LC|GO17068_LC
212571690, 203.8703156, -11.208744, 15.579, GO17063_LC|GO17068_LC
212571730, 206.789856, -11.2078104, 12.754, GO17063_LC|GO17065_LC|GO17068_LC
212572050, 204.3744507, -11.2012119, 14.959, GO17063_LC|GO17068_LC
212572176, 198.5436096, -11.1983662, 13.098, GO17049_LC|GO17063_LC|GO17068_LC
212572246, 205.9989319, -11.1969824, 16.374, GO17063_LC
212572291, 198.9874268, -11.1957865, 16.956, GO17063_LC
212572452, 204.4417572, -11.1922235, 14.769, GO17011_LC|GO17027_LC|GO17063_LC|GO17068_LC
212572454, 204.7935944, -11.1921701, 15.735, GO17063_LC|GO17068_LC
212572549, 202.8695526, -11.1900692, 16.868, GO17063_LC
212572966, 205.2693481, -11.1813984, 15.512, GO17063_LC|GO17068_LC
212572993, 209.1140442, -11.1807079, 15.53, GO17063_LC|GO17068_LC
212573146, 202.199234, -11.1772575, 14.708, GO17011_LC|GO17063_LC|GO17068_LC
212573367, 208.8551178, -11.1719122, 16.729, GO17063_LC
212573402, 203.170639, -11.1710491, 16.756, GO17063_LC
212573455, 203.174408, -11.1698427, 15.706, GO17063_LC|GO17068_LC
212573497, 204.2367706, -11.1686831, 13.662, GO17063_LC|GO17068_LC
212573522, 209.1099854, -11.1680794, 14.708, GO17063_LC|GO17068_LC
212574042, 201.6863708, -11.1570196, 16.247, GO17063_LC
212574149, 199.4745483, -11.1550226, 16.851, GO17063_LC
212574157, 199.4041901, -11.1548214, 16.25, GO17063_LC
212574202, 205.6300354, -11.1537304, 16.686, GO17063_LC
212574343, 199.3805542, -11.1504831, 17.234, GO17063_LC
212574747, 207.1959839, -11.1411867, 16.738, GO17063_LC
212574791, 199.9758606, -11.1401062, 17.085, GO17063_LC
212574823, 207.8695679, -11.1393661, 14.735, GO17063_LC|GO17068_LC
212574860, 201.5692444, -11.138525, 16.135, GO17063_LC|GO17068_LC
212575000, 205.2966766, -11.1358719, 16.145, GO17063_LC
212575008, 198.2909088, -11.1357241, 14.028, GO17011_LC|GO17063_LC|GO17068_LC
212575069, 205.2979126, -11.1343889, 12.675, GO17063_LC|GO17068_LC
212575304, 205.9132996, -11.1286831, 16.53, GO17063_LC
212575823, 201.7617798, -11.1172037, 17.364, GO17063_LC
212575929, 198.2783813, -11.115118, 14.814, GO17011_LC|GO17063_LC|GO17068_LC
212575958, 207.5930023, -11.1145706, 17.033, GO17063_LC
212576077, 202.0291748, -11.1118975, 16.605, GO17063_LC
212576083, 199.2348328, -11.1118031, 15.313, GO17063_LC|GO17068_LC
212576345, 198.2724304, -11.1067152, 17.332, GO17063_LC
212576493, 204.3926239, -11.1039009, 14.162, GO17011_LC|GO17063_LC|GO17064_LC|GO17068_LC
212576504, 208.1942902, -11.1036406, 15.744, GO17063_LC|GO17068_LC
212576539, 207.2525482, -11.1031437, 16.341, GO17063_LC
212576594, 207.4797211, -11.1020126, 16.373, GO17063_LC
212576761, 199.5121307, -11.0988626, 17.054, GO17063_LC
212576789, 208.9413452, -11.0981398, 16.86, GO17063_LC
212576802, 208.9677734, -11.0978413, 16.154, GO17063_LC|GO17068_LC
212576821, 199.8042603, -11.0974016, 15.903, GO17063_LC|GO17068_LC
212576861, 199.9659424, -11.0965204, 14.44, GO17011_LC|GO17063_LC|GO17068_LC
212576955, 202.4143829, -11.0944319, 14.604, GO17011_LC|GO17063_LC|GO17068_LC
212576956, 207.0209961, -11.0944061, 15.269, GO17063_LC|GO17068_LC
212577103, 206.7933807, -11.0911274, 15.1, GO17063_LC|GO17068_LC
212577277, 204.6872406, -11.0874481, 17.299, GO17063_LC
212577444, 205.6710968, -11.0840168, 17.314, GO17063_LC
212577560, 203.0187683, -11.0815907, 16.662, GO17063_LC
212577816, 203.9179993, -11.0766973, 14.682, GO17063_LC|GO17068_LC
212577954, 204.9266052, -11.0738964, 14.162, GO17011_LC|GO17063_LC|GO17068_LC
212577956, 198.3744354, -11.0738688, 15.431, GO17063_LC|GO17068_LC
212578336, 207.7234192, -11.0657969, 17.464, GO17063_LC
212578445, 205.8804474, -11.0631189, 16.52, GO17063_LC
212578572, 208.6022186, -11.0600939, 12.058, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212579112, 204.8810883, -11.0487003, 15.411, GO17063_LC|GO17068_LC
212579728, 197.9590607, -11.035408, 16.135, GO17063_LC|GO17068_LC
212579797, 207.4056244, -11.0339699, 16.552, GO17063_LC
212580089, 204.4764099, -11.0275965, 15.136, GO17063_LC|GO17068_LC
212580209, 199.4354553, -11.0252552, 17.217, GO17063_LC
212580429, 205.2024536, -11.0198641, 14.294, GO17049_LC|GO17063_LC|GO17068_LC
212580443, 199.0943298, -11.0195189, 16.638, GO17063_LC
212580577, 207.4564056, -11.0161133, 12.075, GO17063_LC|GO17068_LC
212580797, 206.1833038, -11.0110569, 13.807, GO17040_LC|GO17063_LC|GO17068_LC
212581111, 198.3361053, -11.0039644, 16.591, GO17063_LC
212581351, 198.076828, -10.9988403, 16.003, GO17063_LC|GO17068_LC
212581427, 205.2885132, -10.9971428, 15.608, GO17063_LC|GO17068_LC
212581569, 205.4465027, -10.9937286, 15.475, GO17063_LC|GO17068_LC
212582152, 201.2559509, -10.9811373, 15.855, GO17063_LC|GO17068_LC
212582189, 205.9484558, -10.9802876, 15.432, GO17063_LC|GO17068_LC
212582326, 199.1080933, -10.9772463, 15.357, GO17063_LC|GO17068_LC
212582699, 198.6974487, -10.9694357, 16.171, GO17063_LC|GO17068_LC
212582953, 206.1631775, -10.9639559, 14.19, GO17040_LC|GO17063_LC|GO17068_LC
212583086, 208.9740601, -10.9608183, 16.92, GO17063_LC
212583098, 207.437149, -10.9605455, 15.163, GO17063_LC|GO17068_LC
212583132, 198.9304352, -10.9598703, 14.976, GO17011_LC|GO17063_LC|GO17068_LC
212583161, 208.792923, -10.9591646, 15.702, GO17063_LC|GO17068_LC
212583232, 202.6133728, -10.957736, 12.328, GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212583249, 201.4824066, -10.957345, 14.828, GO17063_LC|GO17068_LC
212583360, 200.2727966, -10.9546728, 17.164, GO17063_LC
212583472, 199.2453766, -10.9523888, 15.47, GO17063_LC|GO17068_LC
212583473, 201.1465302, -10.9523582, 16.186, GO17063_LC|GO17068_LC
212583529, 202.467804, -10.9513731, 16.934, GO17063_LC
212583788, 201.8891754, -10.9456234, 14.958, GO17011_LC|GO17063_LC|GO17068_LC
212583824, 200.1068878, -10.9449139, 16.546, GO17063_LC
212584014, 207.8397217, -10.9411926, 16.176, GO17063_LC|GO17068_LC
212584421, 208.1488647, -10.9317446, 16.727, GO17063_LC
212584794, 198.1592712, -10.9233189, 14.451, GO17049_LC|GO17063_LC|GO17068_LC
212584830, 198.8770447, -10.9229212, 16.057, GO17063_LC|GO17068_LC
212584895, 207.0207672, -10.9215231, 16.586, GO17063_LC
212584899, 202.7490845, -10.9213943, 13.769, GO17049_LC|GO17063_LC|GO17068_LC
212585077, 204.8967896, -10.9176331, 16.313, GO17063_LC
212585100, 200.8750458, -10.9172277, 15.191, GO17063_LC|GO17068_LC
212585170, 198.983017, -10.9157848, 15.788, GO17063_LC|GO17068_LC
212585527, 202.9765472, -10.9081354, 13.639, GO17049_LC|GO17063_LC|GO17068_LC
212585619, 201.8648224, -10.9056864, 16.52, GO17063_LC
212585848, 204.4259491, -10.9005098, 17.146, GO17063_LC
212585978, 206.1873322, -10.8979206, 15.165, GO17063_LC|GO17068_LC
212585979, 208.7745972, -10.8979139, 15.263, GO17063_LC|GO17068_LC
212585999, 203.18927, -10.8976011, 15.937, GO17063_LC|GO17068_LC
212586114, 201.8993988, -10.894908, 16.013, GO17063_LC|GO17068_LC
212586132, 207.5497437, -10.8945484, 16.839, GO17063_LC
212586324, 208.0591583, -10.8906374, 17.226, GO17063_LC
212586344, 206.8941345, -10.8900938, 16.642, GO17063_LC
212586436, 200.3028412, -10.8883629, 14.823, GO17063_LC|GO17068_LC
212586711, 200.3239594, -10.8831911, 16.579, GO17063_LC
212587267, 208.5590057, -10.8714628, 14.894, GO17011_LC|GO17063_LC|GO17068_LC
212587337, 199.3599701, -10.8701925, 17.411, GO17063_LC
212587691, 205.6169281, -10.8619022, 16.047, GO17063_LC|GO17068_LC
212587758, 201.2649231, -10.860158, 16.522, GO17063_LC
212587769, 201.0732269, -10.8600044, 13.434, GO17063_LC|GO17068_LC
212587874, 206.7977753, -10.8580408, 14.283, GO17049_LC|GO17063_LC|GO17068_LC
212587888, 204.7438812, -10.8577814, 16.676, GO17063_LC
212588084, 204.7413177, -10.8538771, 14.837, GO17011_LC|GO17063_LC|GO17068_LC
212588298, 207.8846741, -10.8497581, 12.867, GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212588788, 202.051712, -10.8392868, 14.211, GO17049_LC|GO17063_LC|GO17068_LC
212589090, 202.3633575, -10.8329239, 15.338, GO17063_LC|GO17068_LC
212589129, 199.0160828, -10.8321314, 15.49, GO17063_LC|GO17068_LC
212589175, 202.7354126, -10.831315, 15.388, GO17063_LC|GO17068_LC
212589274, 201.8270111, -10.8289404, 17.445, GO17063_LC
212589550, 205.5336456, -10.8226194, 14.828, GO17063_LC|GO17068_LC
212589591, 201.0545044, -10.8220053, 15.649, GO17063_LC|GO17068_LC
212589901, 206.8429871, -10.8157673, 13.682, GO17063_LC|GO17064_LC|GO17068_LC
212590172, 204.3765564, -10.8096981, 11.829, GO17054_LC|GO17063_LC|GO17065_LC|GO17068_LC
212590531, 203.0486908, -10.801837, 16.209, GO17063_LC
212590658, 197.9596252, -10.7988749, 16.315, GO17063_LC
212590707, 207.190506, -10.7979498, 15.995, GO17063_LC|GO17068_LC
212590724, 201.1674652, -10.7975864, 16.646, GO17063_LC
212590832, 198.500061, -10.7953844, 16.487, GO17063_LC
212590912, 200.8889465, -10.7933998, 15.445, GO17063_LC|GO17068_LC
212591170, 201.4455872, -10.7880039, 15.511, GO17063_LC|GO17068_LC
212591429, 205.5401764, -10.7822418, 17.243, GO17063_LC
212591483, 204.4073792, -10.7812166, 12.234, GO17011_LC|GO17063_LC
212591487, 202.7792053, -10.7811565, 15.787, GO17063_LC|GO17068_LC
212591509, 202.0624695, -10.7807531, 16.007, GO17063_LC|GO17068_LC
212591550, 205.4699402, -10.7798319, 16.453, GO17063_LC
212591566, 204.2904968, -10.7796841, 15.575, GO17063_LC|GO17068_LC
212591627, 201.433548, -10.7784882, 15.899, GO17063_LC|GO17068_LC
212591758, 204.4389801, -10.7757511, 16.791, GO17063_LC
212591766, 202.4360046, -10.7755184, 14.611, GO17063_LC|GO17068_LC
212591769, 199.486618, -10.7755013, 15.92, GO17063_LC|GO17068_LC
212592101, 205.6712189, -10.7685289, 16.831, GO17048_LC|GO17063_LC
212592263, 205.6549072, -10.7648878, 13.979, GO17063_LC|GO17068_LC
212592314, 200.9725037, -10.7634449, 15.745, GO17063_LC|GO17068_LC
212592503, 199.2338104, -10.7588224, 15.546, GO17063_LC|GO17068_LC
212592643, 203.96138, -10.755434, 13.337, GO17049_LC|GO17063_LC|GO17068_LC
212592846, 199.8677216, -10.7506962, 15.015, GO17063_LC|GO17068_LC
212592937, 205.3967133, -10.7485971, 16.705, GO17063_LC
212593141, 201.1607971, -10.7445889, 16.33, GO17063_LC
212593313, 202.7110443, -10.7407084, 15.666, GO17063_LC|GO17068_LC
212593747, 200.370636, -10.7306995, 16.937, GO17063_LC
212593755, 198.0906525, -10.7303991, 16.545, GO17063_LC
212593874, 199.3025665, -10.7283268, 13.945, GO17049_LC|GO17063_LC|GO17068_LC
212593977, 199.08078, -10.7259398, 16.629, GO17063_LC
212594152, 202.3877716, -10.7219229, 16.102, GO17063_LC|GO17068_LC
212594512, 204.8599701, -10.7138386, 17.277, GO17063_LC
212594525, 202.0404968, -10.7135429, 15.888, GO17063_LC|GO17068_LC
212594634, 208.2020874, -10.7105074, 15.038, GO17063_LC|GO17068_LC
212594721, 199.6371002, -10.7081184, 15.21, GO17063_LC|GO17068_LC
212594806, 208.4221497, -10.7062044, 16.931, GO17063_LC
212594810, 199.5587769, -10.7061453, 17.838, GO17063_LC
212595030, 201.1702423, -10.7015657, 17.195, GO17063_LC
212595113, 198.4803619, -10.6998186, 14.336, GO17011_LC|GO17063_LC|GO17068_LC
212595298, 201.4000702, -10.6957188, 14.86, GO17063_LC|GO17068_LC
212595559, 205.2708588, -10.689703, 15.304, GO17063_LC|GO17068_LC
212595604, 208.5227814, -10.6888418, 14.467, GO17063_LC|GO17068_LC
212595796, 198.8158722, -10.6844044, 17.166, GO17063_LC
212595831, 205.3314209, -10.6836348, 16.929, GO17063_LC
212595940, 208.7763824, -10.6808844, 16.622, GO17063_LC
212595958, 201.1268463, -10.6803751, 15.853, GO17063_LC|GO17068_LC
212596094, 205.4934692, -10.6773329, 15.634, GO17063_LC|GO17068_LC
212596232, 204.9568024, -10.6744556, 15.542, GO17063_LC|GO17068_LC
212596276, 202.2595062, -10.6734629, 15.673, GO17063_LC|GO17068_LC
212596358, 198.7909546, -10.671649, 16.706, GO17063_LC
212596434, 202.306839, -10.6700153, 16.527, GO17063_LC
212596450, 207.6176453, -10.6695118, 13.192, GO17063_LC|GO17068_LC
212596616, 203.9976349, -10.6658258, 16.69, GO17063_LC
212596758, 206.1518402, -10.6628418, 15.97, GO17063_LC|GO17068_LC
212596879, 199.4736633, -10.6603584, 15.507, GO17063_LC|GO17068_LC
212596889, 202.237915, -10.6601524, 13.827, GO17049_LC|GO17063_LC|GO17068_LC
212596911, 201.9217072, -10.6596994, 17.352, GO17063_LC
212597035, 208.9059601, -10.6570663, 16.37, GO17063_LC
212597541, 205.4270935, -10.6449928, 15.292, GO17063_LC|GO17068_LC
212597602, 208.9478302, -10.6436701, 15.504, GO17063_LC|GO17068_LC
212598138, 198.5567474, -10.6302872, 14.817, GO17063_LC|GO17068_LC
212598194, 207.4392853, -10.6291285, 16.873, GO17063_LC
212598455, 209.1366119, -10.6232452, 17.767, GO17063_LC
212598493, 207.8617249, -10.6223173, 16.912, GO17063_LC
212598769, 208.7075348, -10.6161966, 16.494, GO17063_LC
212598811, 203.3408356, -10.6153288, 16.654, GO17063_LC
212598887, 204.0415649, -10.613759, 16.349, GO17063_LC
212599014, 206.1663971, -10.6113567, 16.372, GO17063_LC
212599028, 202.0331573, -10.6109266, 16.451, GO17063_LC
212599054, 203.0975342, -10.6103973, 16.931, GO17063_LC
212599068, 199.6934662, -10.6101875, 15.644, GO17063_LC|GO17068_LC
212599166, 201.9507446, -10.6075773, 14.795, GO17063_LC|GO17068_LC
212599176, 198.3336334, -10.6072865, 14.792, GO17063_LC|GO17068_LC
212599280, 198.0144806, -10.6049814, 15.516, GO17063_LC|GO17068_LC
212599361, 200.3645172, -10.6032248, 16.638, GO17063_LC
212599367, 201.3450012, -10.6030998, 17.6, GO17063_LC
212599392, 204.2833252, -10.6024818, 17.487, GO17063_LC
212599421, 198.8340149, -10.6018381, 13.794, GO17049_LC|GO17063_LC|GO17068_LC
212599446, 199.9954224, -10.601284, 15.556, GO17063_LC|GO17068_LC
212599905, 205.9223328, -10.5909615, 16.988, GO17063_LC
212599925, 208.7300873, -10.5905676, 15.093, GO17063_LC|GO17068_LC
212599970, 206.9942474, -10.5892963, 17.076, GO17063_LC
212600025, 208.8448181, -10.5877428, 15.682, GO17063_LC|GO17068_LC
212600074, 198.1597137, -10.5867424, 16.109, GO17063_LC|GO17068_LC
212600172, 199.293869, -10.5847864, 15.141, GO17063_LC|GO17068_LC
212600270, 199.9064941, -10.5827446, 15.706, GO17063_LC|GO17068_LC
212600436, 198.891449, -10.5791464, 16.43, GO17063_LC
212600445, 204.7262268, -10.5788984, 17.149, GO17063_LC
212600579, 204.8882904, -10.576231, 16.263, GO17063_LC
212600605, 204.4709167, -10.5757523, 13.653, GO17049_LC|GO17063_LC|GO17068_LC
212600843, 206.1832733, -10.5704308, 15.015, GO17063_LC|GO17068_LC
212601233, 204.8380127, -10.5616655, 14.997, GO17011_LC|GO17063_LC|GO17064_LC|GO17068_LC
212601372, 206.2769928, -10.558301, 15.242, GO17063_LC|GO17068_LC
212601393, 208.8785553, -10.5576658, 16.126, GO17063_LC|GO17068_LC
212601414, 200.1570129, -10.5573483, 17.018, GO17063_LC
212601505, 202.6416626, -10.5553885, 14.486, GO17063_LC|GO17064_LC|GO17068_LC
212601675, 205.1480408, -10.5512152, 16.648, GO17063_LC
212601822, 205.4614868, -10.5481291, 17.03, GO17063_LC
212602799, 209.0682526, -10.526062, 15.999, GO17063_LC|GO17068_LC
212602912, 206.9378967, -10.5239744, 16.694, GO17063_LC
212602936, 199.7640686, -10.5234385, 15.314, GO17063_LC|GO17068_LC
212603027, 204.6090393, -10.5215034, 14.639, GO17063_LC|GO17068_LC
212603057, 202.8559418, -10.5207767, 16.442, GO17063_LC
212603199, 198.3274078, -10.5173244, 17.131, GO17063_LC
212603239, 204.6649475, -10.5165758, 17.161, GO17063_LC
212603416, 204.5423431, -10.5128031, 15.493, GO17063_LC|GO17068_LC
212603478, 202.6652374, -10.5113192, 17.278, GO17063_LC
212603636, 207.4629669, -10.5072355, 16.862, GO17063_LC
212603637, 201.2442017, -10.5072212, 16.903, GO17063_LC
212603710, 200.4351349, -10.505929, 16.254, GO17063_LC
212603829, 199.2775574, -10.5032997, 13.049, GO17049_LC|GO17063_LC|GO17068_LC
212603965, 205.2033386, -10.5001154, 13.083, GO17063_LC|GO17068_LC
212603977, 204.4267731, -10.4998245, 14.413, GO17049_LC|GO17063_LC|GO17064_LC|GO17068_LC
212604154, 204.7876587, -10.495554, 16.302, GO17063_LC
212604234, 207.296524, -10.4929781, 14.409, GO17063_LC|GO17068_LC
212604255, 209.1000824, -10.4925318, 15.473, GO17063_LC|GO17068_LC
212604256, 203.9953308, -10.4925261, 16.216, GO17063_LC
212604627, 204.3006439, -10.4844856, 16.237, GO17063_LC
212604789, 199.5677185, -10.4811926, 16.015, GO17063_LC|GO17068_LC
212604810, 202.0081787, -10.480794, 16.507, GO17063_LC
212604872, 207.3190308, -10.4791136, 16.679, GO17063_LC
212604890, 202.3871155, -10.4788818, 15.985, GO17063_LC|GO17068_LC
212605263, 198.6651001, -10.470787, 15.115, GO17063_LC|GO17064_LC|GO17068_LC
212605424, 198.5344543, -10.4673519, 16.822, GO17063_LC
212605439, 205.7192078, -10.4669161, 17.131, GO17063_LC
212605467, 207.2071686, -10.4663401, 16.203, GO17063_LC|GO17068_LC
212605484, 206.9678802, -10.4660749, 16.225, GO17063_LC
212605934, 202.6701355, -10.4563751, 14.203, GO17063_LC|GO17068_LC
212606290, 208.9338379, -10.4475298, 16.508, GO17063_LC
212606388, 199.4526825, -10.445096, 16.676, GO17063_LC
212606754, 208.4608917, -10.4369402, 15.007, GO17063_LC|GO17068_LC
212606774, 202.338562, -10.4365158, 14.584, GO17063_LC|GO17068_LC
212607105, 208.4971008, -10.4292221, 16.128, GO17063_LC|GO17068_LC
212607681, 208.4856415, -10.4161205, 16.458, GO17063_LC
212608001, 208.2012177, -10.4088631, 16.451, GO17063_LC
212608014, 202.3972626, -10.4085703, 15.713, GO17063_LC|GO17068_LC
212608213, 208.2996063, -10.4040442, 16.635, GO17063_LC
212608224, 206.9406281, -10.4038067, 15.108, GO17063_LC|GO17068_LC
212608321, 205.5767212, -10.4016857, 16.026, GO17063_LC|GO17068_LC
212608389, 199.4983215, -10.3996601, 15.462, GO17063_LC|GO17068_LC
212608449, 208.5779877, -10.3981829, 16.7, GO17063_LC
212608653, 208.3412476, -10.3939753, 17.107, GO17063_LC
212608938, 202.564621, -10.3878222, 15.973, GO17063_LC|GO17068_LC
212608944, 205.186554, -10.3877687, 16.027, GO17063_LC|GO17068_LC
212608962, 208.3399353, -10.3873234, 15.049, GO17063_LC|GO17068_LC
212609007, 206.2486267, -10.3863249, 16.255, GO17063_LC
212609147, 199.0833282, -10.3830929, 14.829, GO17063_LC|GO17068_LC
212609199, 202.0342407, -10.3818817, 15.372, GO17063_LC|GO17068_LC
212609365, 205.0020905, -10.3779879, 14.64, GO17063_LC|GO17068_LC
212609399, 200.0011749, -10.3772631, 16.597, GO17063_LC
212609797, 204.1060486, -10.3679953, 13.217, GO17049_LC|GO17063_LC|GO17068_LC
212609814, 208.1884155, -10.3676243, 13.43, GO17063_LC|GO17068_LC
212609840, 198.6001434, -10.3670073, 16.179, GO17063_LC|GO17068_LC
212609851, 208.8173218, -10.3667841, 15.164, GO17002_LC|GO17005_LC|GO17063_LC|GO17068_LC
212610097, 198.9183044, -10.361392, 17.135, GO17063_LC
212610229, 207.5867767, -10.3586702, 11.753, GO17001_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212610231, 204.6884613, -10.3586311, 15.666, GO17063_LC|GO17068_LC
212610233, 203.9934998, -10.3585844, 16.946, GO17063_LC
212610328, 201.8878632, -10.356596, 13.236, GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212610586, 200.3190002, -10.3503227, 16.12, GO17063_LC|GO17068_LC
212610603, 198.2645569, -10.3499336, 17.069, GO17063_LC
212610898, 205.7234039, -10.3430738, 15.472, GO17063_LC|GO17068_LC
212611214, 204.9571075, -10.3357086, 17.002, GO17063_LC
212611244, 205.4140778, -10.3349915, 14.764, GO17063_LC|GO17068_LC
212611444, 205.7572327, -10.3303766, 14.917, GO17011_LC|GO17063_LC|GO17068_LC
212611475, 208.1199951, -10.3297081, 16.995, GO17063_LC
212611494, 201.7120972, -10.3293629, 16.95, GO17063_LC
212611501, 199.7977753, -10.3292751, 16.93, GO17063_LC
212611512, 205.8999481, -10.3289118, 14.725, GO17063_LC|GO17068_LC
212611622, 198.3254852, -10.3266516, 17.581, GO17063_LC
212611657, 201.2715759, -10.3259296, 16.879, GO17063_LC
212611740, 205.7752686, -10.3237543, 14.891, GO17063_LC|GO17068_LC
212611822, 205.0480957, -10.3220282, 14.554, GO17063_LC|GO17068_LC
212611828, 199.2058563, -10.3217621, 12.846, GO17001_LC|GO17052_LC|GO17063_LC|GO17068_LC|GO17052_SC
212611916, 202.3341827, -10.319438, 16.715, GO17063_LC
212611975, 202.7973938, -10.317977, 16.991, GO17063_LC
212612006, 201.8612823, -10.3172398, 13.372, GO17049_LC|GO17063_LC|GO17068_LC
212612266, 198.6417389, -10.3117514, 14.301, GO17011_LC|GO17063_LC|GO17068_LC
212612353, 198.353363, -10.3099718, 16.756, GO17063_LC
212612383, 207.2531738, -10.3094397, 16.73, GO17063_LC
212612386, 198.7376404, -10.3093672, 16.804, GO17063_LC
212612605, 204.8536072, -10.3041801, 14.556, GO17011_LC|GO17063_LC|GO17068_LC
212612729, 204.5494385, -10.3013706, 14.534, GO17011_LC|GO17063_LC|GO17068_LC
212612754, 198.4845428, -10.3008766, 16.625, GO17063_LC
212612797, 198.3911133, -10.2999296, 15.353, GO17063_LC|GO17068_LC
212612871, 198.1725464, -10.2983189, 15.245, GO17063_LC|GO17068_LC
212612904, 206.0328979, -10.2976522, 16.067, GO17063_LC|GO17068_LC
212613090, 202.4572144, -10.2934828, 16.038, GO17063_LC|GO17068_LC
212613120, 202.6250458, -10.2930164, 15.759, GO17063_LC|GO17068_LC
212613149, 205.8948212, -10.2924232, 16.275, GO17063_LC
212613238, 209.0287781, -10.2904797, 16.13, GO17063_LC|GO17068_LC
212613309, 202.4070587, -10.2890863, 13.481, GO17049_LC|GO17063_LC|GO17068_LC
212613850, 207.2446136, -10.2763977, 15.01, GO17063_LC|GO17068_LC
212613929, 208.8325806, -10.2745209, 15.927, GO17063_LC|GO17068_LC
212613930, 208.3567963, -10.2744999, 16.278, GO17063_LC
212614029, 198.5453033, -10.2722597, 12.375, GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212614057, 209.1645813, -10.2716188, 16.866, GO17063_LC
212614110, 207.8721771, -10.2702665, 13.753, GO17063_LC|GO17068_LC
212614139, 202.4957733, -10.26966, 15.352, GO17063_LC|GO17068_LC
212614453, 209.0396576, -10.2626829, 16.133, GO17063_LC|GO17068_LC
212614474, 207.8516541, -10.2622461, 15.063, GO17063_LC|GO17068_LC
212614492, 198.0800934, -10.261838, 15.582, GO17063_LC|GO17068_LC
212614899, 201.6937256, -10.2525158, 15.521, GO17063_LC|GO17068_LC
212614976, 203.2160645, -10.2508879, 16.44, GO17063_LC
212615099, 207.4476929, -10.2481413, 15.66, GO17063_LC|GO17068_LC
212615102, 209.1602936, -10.2480907, 13.545, GO17063_LC|GO17068_LC
212615189, 200.4946747, -10.2463942, 12.732, GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212615255, 202.2137909, -10.2452335, 17.022, GO17063_LC
212615297, 198.6495667, -10.244216, 14.671, GO17063_LC|GO17068_LC
212615760, 198.0489655, -10.2325516, 14.724, GO17011_LC|GO17063_LC|GO17068_LC
212615905, 202.0372467, -10.2292805, 17.058, GO17063_LC
212616092, 205.700058, -10.2246857, 16.845, GO17063_LC
212616204, 202.9144745, -10.2222929, 16.775, GO17063_LC
