# Summary of K2 Program GO17063

Title: The K2 M Dwarf Project

PI: Dressing, Courtney (University of California, Berkeley)
CoIs: Ian Crossfield (MIT), Joshua Schlieder (NASA Goddard), Kevin Hardegree-Ullman(University of Toledo), Jessie Christiansen (NExScI/IPAC), Erik Petigura (Caltech)



# Targets requested by this program that have been observed (3210)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212431325, 202.6078949, -14.2097073, 14.509, GO17063_LC|GO17068_LC
212432266, 201.3556213, -14.1897058, 16.711, GO17063_LC
212432311, 202.1347046, -14.1888475, 16.357, GO17063_LC
212432548, 200.4147949, -14.1840162, 15.88, GO17063_LC|GO17068_LC
212432654, 199.2369385, -14.1812305, 16.805, GO17063_LC
212432989, 199.6279144, -14.1727476, 15.924, GO17063_LC|GO17068_LC
212433635, 201.0430298, -14.1587811, 17.375, GO17063_LC
212433754, 201.3905792, -14.1558218, 14.878, GO17011_LC|GO17063_LC|GO17068_LC
212433881, 202.7854309, -14.1527643, 14.058, GO17063_LC|GO17068_LC
212434003, 204.9319305, -14.1499491, 15.533, GO17063_LC|GO17068_LC
212434019, 200.6365967, -14.1494436, 17.426, GO17063_LC
212434162, 202.539566, -14.1459951, 15.556, GO17063_LC|GO17068_LC
212434300, 203.9091797, -14.1429682, 15.607, GO17063_LC|GO17068_LC
212434468, 203.7301025, -14.1394558, 16.337, GO17063_LC
212435087, 203.4001465, -14.1253223, 17.168, GO17063_LC
212435115, 199.0844269, -14.1247139, 16.015, GO17063_LC|GO17068_LC
212435280, 199.6228638, -14.1210289, 16.845, GO17063_LC
212435847, 200.7948608, -14.1091166, 16.908, GO17063_LC
212436031, 204.133667, -14.1053171, 15.892, GO17063_LC|GO17068_LC
212436190, 202.7840424, -14.1023817, 15.816, GO17063_LC|GO17068_LC
212436307, 205.6890411, -14.0999985, 16.329, GO17059_LC|GO17063_LC
212436515, 204.3904419, -14.0955505, 17.439, GO17063_LC
212436627, 200.4143066, -14.0935669, 15.839, GO17063_LC|GO17068_LC
212436792, 201.9792175, -14.0899534, 17.302, GO17063_LC
212436842, 199.2203369, -14.0889473, 17.48, GO17063_LC
212436939, 199.2034149, -14.0870781, 15.557, GO17063_LC|GO17068_LC
212436963, 201.4432526, -14.0866203, 16.279, GO17063_LC
212437071, 202.2888031, -14.0842123, 16.585, GO17063_LC
212437384, 199.2989655, -14.0772619, 16.163, GO17063_LC|GO17068_LC
212437481, 205.6895752, -14.0749779, 16.389, GO17063_LC
212437506, 200.5802917, -14.0745859, 16.943, GO17063_LC
212437660, 202.7631226, -14.0709972, 16.765, GO17063_LC
212437687, 198.4553223, -14.0704336, 15.737, GO17063_LC|GO17068_LC
212437760, 204.0316162, -14.0689163, 14.554, GO17063_LC|GO17068_LC
212437780, 201.7914276, -14.0684195, 15.776, GO17063_LC|GO17068_LC
212437824, 205.0460968, -14.0673609, 13.693, GO17049_LC|GO17063_LC|GO17068_LC
212438051, 201.0764465, -14.0622196, 16.535, GO17063_LC
212438324, 205.333252, -14.0553122, 17.101, GO17063_LC
212438336, 201.5648041, -14.0550594, 12.522, GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212438475, 202.0118713, -14.0520992, 16.071, GO17063_LC|GO17068_LC
212438734, 199.2947998, -14.0462332, 17.344, GO17063_LC
212438743, 200.9341888, -14.0460176, 11.061, GO17001_LC|GO17038_LC|GO17052_LC|GO17063_LC|GO17065_LC|GO17068_LC|GO17052_SC
212439050, 198.1894836, -14.0389566, 16.723, GO17063_LC
212439083, 200.7261658, -14.0381603, 14.298, GO17049_LC|GO17063_LC|GO17068_LC
212439288, 201.4168701, -14.0337429, 16.71, GO17063_LC
212439494, 201.2740936, -14.029047, 13.733, GO17011_LC|GO17063_LC|GO17068_LC
212439664, 199.6178589, -14.0256472, 14.787, GO17011_LC|GO17063_LC|GO17068_LC
212439671, 204.0910645, -14.0255451, 15.91, GO17063_LC|GO17068_LC
212439805, 199.2348175, -14.022522, 16.063, GO17063_LC
212440433, 201.9321289, -14.0091476, 17.861, GO17063_LC
212440591, 199.893219, -14.0055723, 16.282, GO17063_LC|GO17068_LC
212440603, 199.131958, -14.0053072, 15.777, GO17063_LC|GO17068_LC
212441152, 197.7888336, -13.9926176, 16.183, GO17063_LC
212441715, 199.0424957, -13.9808769, 16.325, GO17063_LC
212441768, 197.7594452, -13.9798517, 17.368, GO17063_LC
212441780, 202.8791962, -13.979661, 11.209, GO17049_LC|GO17063_LC|GO17065_LC|GO17068_LC
212441823, 199.3916779, -13.978487, 15.089, GO17063_LC|GO17068_LC
212441856, 198.8982544, -13.9776115, 14.786, GO17063_LC|GO17068_LC
212441982, 201.5415649, -13.9749022, 16.406, GO17063_LC
212441984, 204.9631958, -13.9748926, 14.416, GO17049_LC|GO17063_LC|GO17068_LC
212442119, 199.7600555, -13.971941, 15.737, GO17063_LC|GO17068_LC
212442160, 198.6542664, -13.9710712, 16.545, GO17063_LC
212442272, 199.2731018, -13.9684992, 16.706, GO17063_LC
212442327, 199.7984619, -13.9672861, 17.589, GO17063_LC
212442340, 198.3370819, -13.9670935, 16.008, GO17063_LC
212442578, 205.1515961, -13.9618263, 14.508, GO17011_LC|GO17063_LC|GO17068_LC
212442595, 198.2831116, -13.9613466, 16.776, GO17063_LC
212442601, 200.4273071, -13.9612408, 15.329, GO17063_LC|GO17068_LC
212442863, 202.043396, -13.9556551, 14.368, GO17063_LC|GO17068_LC
212443341, 201.4130707, -13.9451342, 13.969, GO17049_LC|GO17063_LC|GO17068_LC
212443441, 202.8692627, -13.9430428, 16.269, GO17063_LC
212443463, 198.10849, -13.942625, 15.061, GO17063_LC|GO17068_LC
212443596, 197.6703644, -13.9401617, 13.311, GO17063_LC|GO17068_LC
212443603, 198.7248383, -13.9400187, 15.641, GO17063_LC|GO17068_LC
212443701, 201.2167053, -13.9379234, 16.789, GO17063_LC
212443878, 199.1457214, -13.9341421, 14.957, GO17063_LC|GO17068_LC
212444121, 198.8060455, -13.9286232, 16.814, GO17063_LC
212444137, 201.5960083, -13.9282761, 15.758, GO17063_LC|GO17068_LC
212444231, 198.7873383, -13.9260778, 14.625, GO17011_LC|GO17063_LC|GO17068_LC
212444774, 199.8200073, -13.9150562, 14.362, GO17063_LC|GO17068_LC
212445110, 198.1246948, -13.9078913, 15.412, GO17063_LC|GO17068_LC
212445227, 201.2530975, -13.9053164, 15.222, GO17063_LC|GO17068_LC
212445313, 198.1626129, -13.9032745, 16.934, GO17063_LC
212445373, 199.0534515, -13.901948, 16.507, GO17063_LC
212445718, 201.4521027, -13.8944063, 17.073, GO17063_LC
212445743, 202.4603271, -13.894021, 15.91, GO17063_LC|GO17068_LC
212445788, 201.1340942, -13.8928709, 16.675, GO17063_LC
212445915, 199.4800415, -13.8906155, 16.542, GO17063_LC
212446024, 202.6200104, -13.8884039, 15.694, GO17063_LC|GO17068_LC
212446155, 198.8486023, -13.8855476, 16.413, GO17063_LC
212446502, 202.266449, -13.8779116, 17.797, GO17063_LC
212446586, 198.8569336, -13.8762703, 14.27, GO17011_LC|GO17063_LC|GO17068_LC
212446756, 199.3592834, -13.8729429, 16.738, GO17063_LC
212447788, 197.8007202, -13.8496189, 15.577, GO17063_LC|GO17068_LC
