# Summary of K2 Program GO8066

Title: Catch K2-Twos: Finding the Best Planets for Ground-Based Follow Up Spectrophotometry

PI: Mandell, Avi M (NASA GSFC)
CoIs: Morris, Brett M; Huitson, Catherine; Angerhausen, Daniel

Studying extrasolar planets is one of the major frontiers of astronomy today.  The field has transformed from simple identification to comprehensive categorization and characterization of exoplanets and exoplanetary systems. Analyses of data provided by the NASA's Kepler mission has revolutionized this field by compiling a statistically significant number of transiting planets and planetary candidates, providing  time series data for a large sample of systems that can be utilized in consistent comparative studies (e.g. Angerhausen et al., 2015).

One promising new way to further characterize some of these transiting systems are methods using ground-based multi-object spectrographs for transit and eclipse spectrophotometry such as GMOS in the optical (e.g. Stevenson et al., 2014; Huitson et al., 2015, in prep.) or MOSFIRE in the infrared (e.g. Crossfield et al., 2013; Morris et al, 2015, subm.).  These emerging ground-based methods allow access to larger apertures and better time-sampling of transit lightcurves than equivalent HST methods. They therefore have the potential to observe transits at the precisions achievable from space but at a fraction of the cost and with the possibility of repeated measurements in wavelength bands not available from space until the start of JWST. 

However, most of the planets found by the Kepler telescope have host stars that are too faint to be followed up with spectrophotometric techniques even with space based platforms such as Hubble or Spitzer. The ground-based methods are even further constrained by the need for similarly bright comparison stars in close neighborhood to the observed host star of the transiting system. In order to reduce instrumental systematics and optimize the time-sampling needed for transit atmosphere observations, the comparison stars must be bright, of similar magnitude to the exoplanet host star and be within a few arcmin.

To identify ideal candidates for ground-based characterization studies, we therefore we propose to use the single, visible wavelength instrument on board of K2 to obtain high-precision long cadence photometry on of the best suited 500 pairs of similarly bright stars (mag < 12, separation < 5 arcmin). Assuming an occurrence of well-vetted planet candidates with P d 30 d of about ~2%, we expect to find ~20 systems that will be accessible for spectrophotometric follow up from the ground.
220295669, 21.0396919, 2.540838, 10.151, GO8066_LC|GO8042_LC
220295918, 21.0904026, 2.545826, 10.935, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220297533, 21.1010551, 2.5766599, 11.261, GO8066_LC|GO8042_LC
220298803, 23.0817242, 2.604625, 10.295, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220299565, 23.1433334, 2.620199, 11.24, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220300698, 22.0327034, 2.645436, 10.852, GO8032_LC|GO8077_LC|GO8066_LC
220301584, 22.066473, 2.6649139, 11.102, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220302096, 17.1135406, 2.6763141, 10.586, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220302343, 18.5559864, 2.6815131, 9.789, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220303654, 18.4853516, 2.7117829, 9.61, GO8066_LC|GO8042_LC
220303873, 17.0816231, 2.7167239, 11.054, GO8032_LC|GO8077_LC|GO8066_LC
220304824, 11.76616, 2.738549, 11.142, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220305859, 17.0259418, 2.761251, 11.128, GO8066_LC|GO8042_LC|GO8036_LC
220308496, 11.7575274, 2.818753, 11.453, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220308879, 18.9483204, 2.827085, 10.663, GO8066_LC|GO8042_LC
220310644, 18.9262218, 2.864557, 10.834, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220315646, 11.7423096, 2.967803, 11.185, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220316170, 11.7826958, 2.978776, 11.512, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220316208, 14.7988806, 2.9797289, 11.608, GO8066_LC|GO8042_LC
220316781, 19.022213, 2.9923761, 11.542, GO8077_LC|GO8066_LC|GO8031_LC
220317014, 19.0219326, 2.9969299, 10.693, GO8066_LC|GO8042_LC
220318804, 14.798913, 3.035331, 11.762, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220323325, 10.0417204, 3.1347239, 11.478, GO8056_LC|GO8068_LC|GO8032_LC|GO8066_LC|GO8042_LC|GO8008_LC
220323733, 10.0761366, 3.1440051, 10.731, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220329169, 9.8367252, 3.261718, 10.824, GO8066_LC|GO8042_LC|GO8036_LC
220330817, 16.8244572, 3.2949741, 9.399, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8031_LC
220331614, 22.123951, 3.310611, 10.711, GO8066_LC|GO8042_LC
220331839, 9.8663979, 3.314822, 9.703, GO8068_LC|GO8066_LC
220331891, 17.1176662, 3.3158441, 11.024, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220332601, 16.827549, 3.330442, 9.689, GO8066_LC|GO8042_LC
220333324, 13.1474047, 3.3461289, 10.111, GO8066_LC|GO8042_LC
220333502, 17.124733, 3.3494079, 11.221, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220334352, 13.1971979, 3.367677, 11.352, GO8066_LC|GO8042_LC
220334419, 22.0948372, 3.368989, 11.767, GO8068_LC|GO8077_LC|GO8066_LC|GO8042_LC
220334751, 13.1051502, 3.3760309, 11.312, GO8066_LC|GO8042_LC
220336170, 22.0565319, 3.4050651, 10.613, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220337249, 22.5019817, 3.426595, 10.278, GO8066_LC|GO8042_LC
220338290, 17.8039646, 3.4474831, 11.559, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC
220339292, 18.2982979, 3.4674139, 11.266, GO8068_LC|GO8077_LC|GO8066_LC
220339873, 17.8777637, 3.4796989, 9.718, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220340300, 22.5260677, 3.4886391, 11.539, GO8032_LC|GO8077_LC|GO8066_LC
220341359, 17.8310051, 3.5110559, 9.699, GO8066_LC|GO8042_LC
220342461, 18.2986412, 3.535691, 11.395, GO8032_LC|GO8077_LC|GO8066_LC
220352106, 14.5545454, 3.7410829, 11.721, GO8032_LC|GO8077_LC|GO8066_LC
220353789, 14.5369177, 3.7757461, 11.201, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220356535, 16.1612701, 3.832715, 10.02, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220356929, 14.9903631, 3.840781, 11.167, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8042_LC
220358193, 15.013999, 3.8659921, 10.824, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220358253, 18.7362232, 3.867147, 10.374, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220358346, 16.2210026, 3.8686481, 9.446, GO8051_LC|GO8077_LC|GO8066_LC|GO8031_LC|GO8028_LC
220360242, 18.7556057, 3.906157, 10.058, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220363916, 9.548583, 3.981565, 9.123, GO8066_LC|GO8042_LC
220365308, 9.5190887, 4.010385, 10.346, GO8077_LC|GO8066_LC|GO8028_LC
220369195, 14.85427, 4.089231, 10.715, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220369736, 14.9337797, 4.100718, 10.37, GO8066_LC|GO8042_LC
220371178, 13.0676146, 4.129632, 11.486, GO8066_LC|GO8042_LC|GO8036_LC
220371423, 10.7310143, 4.1347518, 11.264, GO8068_LC|GO8077_LC|GO8066_LC
220372747, 13.1284914, 4.1610112, 10.438, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220374147, 10.7232456, 4.1887479, 10.543, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220376489, 15.726119, 4.237309, 10.357, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220376741, 15.7834568, 4.2425108, 9.412, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220380118, 11.2911921, 4.312995, 10.675, GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220380876, 11.2204533, 4.32828, 10.915, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220381193, 11.2635469, 4.3348031, 11.209, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220382597, 16.0313301, 4.3652968, 10.007, GO8066_LC|GO8042_LC
220384186, 18.3137016, 4.3976722, 11.393, GO8051_LC|GO8066_LC|GO8042_LC
220385353, 18.2784195, 4.4214849, 11.05, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220385398, 16.0035439, 4.4222469, 11.543, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220386588, 16.5403042, 4.4455318, 10.723, GO8051_LC|GO8077_LC|GO8066_LC
220386694, 16.0732498, 4.4479232, 10.332, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220387868, 14.1987686, 4.4722838, 11.484, GO8032_LC|GO8066_LC|GO8042_LC|GO8036_LC
220389508, 14.2124367, 4.5043449, 11.545, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220389882, 16.52211, 4.5112648, 10.249, GO8066_LC|GO8042_LC|GO8036_LC
220390128, 9.427104, 4.5164838, 9.229, GO8066_LC|GO8042_LC
220390436, 14.5351477, 4.5223608, 11.01, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220390692, 17.1918087, 4.5272431, 11.364, GO8068_LC|GO8013_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8059_LC|GO8066_LC|GO8042_LC
220391753, 14.4989929, 4.549077, 11.276, GO8068_LC|GO8077_LC|GO8066_LC
220391862, 17.2489433, 4.5515118, 11.521, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220392210, 9.3579464, 4.5587711, 10.426, GO8066_LC|GO8042_LC
220392240, 14.5951891, 4.5593581, 9.471, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8028_LC
220392356, 9.5665121, 4.561841, 10.72, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220392564, 10.5213032, 4.5659499, 11.576, GO8066_LC|GO8042_LC
220393129, 15.7064686, 4.5767808, 11.072, GO8077_LC|GO8066_LC
220393252, 15.7747927, 4.5794392, 10.575, GO8066_LC|GO8042_LC|GO8036_LC
220394047, 9.5225554, 4.5955958, 10.811, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220394715, 13.5462189, 4.6083179, 10.613, GO8066_LC|GO8042_LC
220394983, 13.5953341, 4.6140981, 11.382, GO8066_LC|GO8042_LC
220395050, 10.4805632, 4.6151881, 9.715, GO8066_LC|GO8042_LC
220400606, 10.631999, 4.7265339, 10.597, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220401438, 9.9798136, 4.7437582, 10.734, GO8068_LC|GO8077_LC|GO8066_LC|GO8042_LC
220401561, 10.5820589, 4.7461228, 9.409, GO8051_LC|GO8032_LC|GO8077_LC|GO8059_LC|GO8066_LC|GO8033_LC
220402097, 10.0458937, 4.7566042, 10.837, GO8066_LC|GO8042_LC
220402599, 10.5934753, 4.7661829, 9.977, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8059_LC|GO8066_LC|GO8033_LC
220404643, 10.3668652, 4.807549, 10.397, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220404775, 10.5829039, 4.8104391, 9.696, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220406074, 11.708169, 4.836338, 8.842, GO8066_LC|GO8042_LC
220407060, 10.7041044, 4.8549471, 9.609, GO8066_LC|GO8042_LC
220407921, 10.3889246, 4.8701229, 10.565, GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220408286, 10.7659464, 4.8770971, 10.805, GO8066_LC|GO8042_LC
220408526, 10.6818352, 4.8813939, 11.018, GO8068_LC|GO8077_LC|GO8066_LC
220409205, 11.6626911, 4.8939528, 9.475, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220412094, 11.7104473, 4.9522648, 9.479, GO8066_LC|GO8042_LC
220413039, 22.8050156, 4.9697599, 11.382, GO8066_LC|GO8042_LC
220416385, 16.8436928, 5.0356178, 10.294, GO8068_LC|GO8051_LC|GO8077_LC|GO8066_LC|GO8028_LC
220416730, 15.6935368, 5.042181, 9.775, GO8077_LC|GO8066_LC|GO8028_LC
220416956, 22.8367844, 5.0463939, 11.05, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
220417297, 16.7852802, 5.0530162, 10.491, GO8066_LC|GO8042_LC
220417414, 15.7356043, 5.0548449, 10.633, GO8066_LC|GO8042_LC
220417909, 13.0799856, 5.0646992, 11.2, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220418062, 12.2598, 5.0678821, 11.72, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220418283, 13.0170498, 5.0718751, 11.528, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220418637, 15.8810015, 5.078486, 11.538, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8042_LC
220419332, 22.5532188, 5.0919371, 11.088, GO8077_LC|GO8066_LC
220419587, 22.5931473, 5.0968728, 10.749, GO8068_LC|GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220419589, 17.0347214, 5.096911, 9.117, GO8051_LC|GO8032_LC|GO8077_LC|GO8066_LC
220421500, 10.5573034, 5.1329069, 9.943, GO8066_LC|GO8042_LC
220421555, 12.2786083, 5.1339822, 11.19, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC|GO8033_LC
220422244, 15.9113369, 5.1471019, 10.496, GO8077_LC|GO8066_LC
220423211, 16.9931316, 5.166678, 9.953, GO8066_LC|GO8042_LC|GO8036_LC
220423354, 16.0956402, 5.1691599, 11.048, GO8068_LC|GO8032_LC|GO8077_LC|GO8066_LC
