EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
228877473, 189.557229, -3.659143, 17.796, GO10045_LC|GO10018_LC|GO10014_LC|GO10019_LC|GO10048_LC|GO10045_SC|GO10048_SC
228886332, 188.733151, -3.513083, 17.996, GO10902_LC|GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10902_SC|GO10048_SC
228900584, 187.768631, -3.266015, 17.253, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228904088, 192.107817, -3.203336, 18.856, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228904106, 192.185032, -3.202978, 19.269, GO10019_LC|GO10006_LC
228908905, 183.242538, -3.120528, 17.962, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
228931507, 184.477561, -2.723171, 18.693, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228938232, 193.557443, -2.602363, 18.309, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228939929, 193.128904, -2.5716, 17.463, GO10018_LC|GO10019_LC|GO10006_LC
228944520, 192.21376, -2.490206, 18.615, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10018_SC|GO10048_SC
228952212, 191.161559, -2.352106, 18.46, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10018_SC|GO10048_SC
228953047, 187.93748, -2.337051, 18.554, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228954599, 193.741991, -2.310498, 16.691, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
228960916, 192.74455, -2.199854, 17.961, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
228961516, 190.720941, -2.189525, 18.167, GO10019_LC|GO10006_LC
228971952, 192.986281, -1.997019, 19.273, GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228972893, 187.889788, -1.979636, 18.721, GO10065_LC|GO10019_LC|GO10052_LC
228974142, 193.190753, -1.956497, 17.846, GO10018_LC|GO10019_LC|GO10006_LC
228975179, 185.908571, -1.938097, 19.05, GO10019_LC
228979673, 189.269588, -1.85638, 17.399, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228984805, 192.164577, -1.765018, 19.289, GO10019_LC|GO10006_LC
228985602, 190.145392, -1.749926, 19.34, GO10019_LC|GO10006_LC
228988175, 183.714519, -1.703129, 18.853, GO10019_LC|GO10006_LC
228989483, 189.546484, -1.679589, 18.09, GO10018_LC|GO10019_LC|GO10048_LC|GO10048_SC
228990612, 189.653074, -1.660033, 18.986, GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228997493, 187.893777, -1.5357, 14.541, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10028_LC|GO10048_SC
228999011, 186.817972, -1.510217, 19.306, GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229010089, 191.157108, -1.310707, 19.034, GO10019_LC|GO10006_LC
229010341, 193.649225, -1.306121, 19.197, GO10019_LC
229011123, 185.515905, -1.29128, 18.17, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229013546, 187.784663, -1.243987, 17.902, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
229016181, 191.953853, -1.186465, 16.843, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
229022713, 192.91579, -1.048361, 18.442, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10018_SC|GO10048_SC
229024814, 189.792404, -1.00148, 19.355, GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229029998, 190.373603, -0.880439, 18.984, GO10902_LC|GO10019_LC|GO10006_LC|GO10902_SC
229035574, 189.636899, -0.758303, 18.449, GO10018_LC|GO10019_LC|GO10006_LC
229037256, 186.849962, -0.721189, 18.618, GO10018_LC|GO10019_LC|GO10006_LC
229037979, 184.680381, -0.704863, 19.095, GO10019_LC|GO10006_LC
229040775, 187.594438, -0.643653, 19.006, GO10019_LC
229041897, 190.02648, -0.616911, 18.217, GO10902_LC|GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10902_SC|GO10048_SC
229052153, 185.166557, -0.382992, 19.492, GO10019_LC|GO10006_LC
229056690, 187.49675, -0.287366, 17.513, GO10902_LC|GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10902_SC|GO10048_SC
229057166, 186.791208, -0.277489, 19.402, GO10019_LC|GO10006_LC
229061365, 186.974004, -0.180778, 18.164, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
229081583, 189.654658, 0.311992, 19.112, GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229103879, 189.582366, 0.880096, 18.881, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229112448, 191.629617, 1.100898, 19.438, GO10019_LC
229119187, 191.410978, 1.271584, 16.64, GO10018_LC|GO10019_LC|GO10006_LC
229137289, 191.727898, 1.697639, 18.842, GO10018_LC|GO10019_LC|GO10006_LC
229146138, 187.539675, 1.907036, 18.476, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
229152706, 189.708233, 2.070921, 18.672, GO10018_LC|GO10019_LC|GO10006_LC
229154226, 185.415792, 2.110634, 18.504, GO10018_LC|GO10019_LC|GO10006_LC
229154640, 190.872655, 2.121335, 18.34, GO10018_LC|GO10019_LC|GO10018_SC
229163519, 189.055881, 2.360268, 18.276, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10018_SC|GO10048_SC
