EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200161231, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161232, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161233, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161234, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161235, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161236, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161237, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161238, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161239, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161240, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161241, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161242, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161243, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161244, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161245, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161246, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161247, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161248, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161249, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161250, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161251, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161252, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161253, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161254, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161255, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161256, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161257, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161258, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161259, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161260, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161261, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161262, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161263, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161264, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161265, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161266, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161267, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161268, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161269, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161270, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161271, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161272, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161273, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161274, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161275, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161276, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161277, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161278, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161279, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161280, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161281, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161282, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161283, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161284, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161285, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161286, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161287, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161288, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161289, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161290, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161291, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161292, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161293, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161294, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161295, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161296, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161297, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161298, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161299, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161300, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161301, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161302, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161303, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161304, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161305, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161306, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161307, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161308, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161309, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161310, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161311, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161312, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161313, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161314, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161315, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161316, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161317, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
200161318, , , , GO12033_LC|GO12034_LC|GO12057_LC|Chiron-LC-SSO_TILE
