EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
228779074, 192.361015, -7.660107, 18.948, GO10018_LC|GO10019_LC|GO10006_LC
228782059, 191.409232, -7.527324, 18.424, GO10018_LC|GO10006_LC|GO10048_LC|GO10048_SC
228796212, 191.194356, -6.940515, 18.83, GO10018_LC|GO10006_LC
228799644, 190.986573, -6.799575, 17.495, GO10006_LC
228822395, 190.410753, -5.839766, 17.814, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228828420, 188.906686, -5.59364, 16.582, GO10018_LC|GO10019_LC|GO10006_LC|GO10011_LC|GO10018_SC
228851681, 190.670625, -4.621505, 18.873, GO10018_LC|GO10019_LC|GO10006_LC
228876362, 187.331708, -3.677507, 18.769, GO10006_LC
228876899, 187.922242, -3.668794, 18.861, GO10018_LC|GO10006_LC|GO10052_LC
228886332, 188.733151, -3.513083, 17.996, GO10902_LC|GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10902_SC|GO10048_SC
228900584, 187.768631, -3.266015, 17.253, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228904088, 192.107817, -3.203336, 18.856, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228904106, 192.185032, -3.202978, 19.269, GO10019_LC|GO10006_LC
228904396, 185.008193, -3.198422, 18.839, GO10018_LC|GO10006_LC|GO10052_LC
228906225, 187.915848, -3.166745, 17.557, GO10006_LC
228908905, 183.242538, -3.120528, 17.962, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
228914323, 193.12336, -3.02492, 15.761, GO10018_LC|GO10004_LC|GO10006_LC|GO10007_LC|GO10031_LC|GO10004_SC|GO10007_SC
228931507, 184.477561, -2.723171, 18.693, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228938232, 193.557443, -2.602363, 18.309, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228939929, 193.128904, -2.5716, 17.463, GO10018_LC|GO10019_LC|GO10006_LC
228944520, 192.21376, -2.490206, 18.615, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10018_SC|GO10048_SC
228952212, 191.161559, -2.352106, 18.46, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10018_SC|GO10048_SC
228953047, 187.93748, -2.337051, 18.554, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10048_SC
228954599, 193.741991, -2.310498, 16.691, GO10018_LC|GO10019_LC|GO10006_LC|GO10048_LC|GO10011_LC|GO10048_SC
228960704, 189.589527, -2.203192, 18.488, GO10018_LC|GO10006_LC|GO10048_LC|GO10048_SC
