# Targets requested by this program that have been observed (35)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
228808323, 184.472463, -6.43108, 7.748, GO10051_LC|GO10077_LC|GO10031_LC|GO10002_LC|GO10028_LC|GO10002_SC
228815846, 185.864825, -6.118793, 8.314, GO10051_LC|GO10032_LC|GO10077_LC|GO10002_LC|GO10028_LC|GO10002_SC
228818122, 187.508019, -6.023408, 8.233, GO10051_LC|GO10077_LC|GO10002_LC|GO10028_LC|GO10002_SC
228837389, 190.49828, -5.220857, 8.578, GO10051_LC|GO10032_LC|GO10002_LC|GO10033_LC|GO10002_SC
228854980, 186.534643, -4.480717, 8.932, GO10051_LC|GO10032_LC|GO10077_LC|GO10002_LC|GO10028_LC|GO10002_SC
228855799, 188.544581, -4.446477, 8.33, GO10051_LC|GO10077_LC|GO10031_LC|GO10002_LC|GO10028_LC|GO10002_SC
228859478, 187.185555, -4.29068, 8.126, GO10051_LC|GO10077_LC|GO10031_LC|GO10002_LC|GO10028_LC|GO10002_SC
228884975, 186.753236, -3.534916, 8.563, GO10901_LC|GO10013_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10002_LC|GO10033_LC|GO10002_SC
228953911, 189.278455, -2.322105, 8.319, GO10051_LC|GO10077_LC|GO10002_LC|GO10002_SC
228984381, 188.018539, -1.772357, 7.192, GO10051_LC|GO10077_LC|GO10031_LC|GO10002_LC|GO10002_SC
229057353, 188.245336, -0.273464, 8.659, GO10051_LC|GO10077_LC|GO10002_LC|GO10028_LC|GO10002_SC
229078032, 189.634366, 0.217338, 8.839, GO10051_LC|GO10077_LC|GO10002_LC|GO10028_LC|GO10002_SC
229088988, 190.512401, 0.495247, 8.515, GO10051_LC|GO10077_LC|GO10002_LC|GO10028_LC|GO10002_SC
229110376, 188.285029, 1.043995, 8.198, GO10051_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10002_LC|GO10002_SC
229159911, 188.816451, 2.260993, 6.984, GO10051_LC|GO10077_LC|GO10031_LC|GO10002_LC|GO10028_LC|GO10002_SC
