EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246398395, 352.202341, -1.047254, 17.291, GO12078_LC
246398582, 351.011252, -1.041324, 18.112, GO12078_LC
246398652, 350.829848, -1.039289, 17.434, GO12078_LC
246398939, 349.379284, -1.030496, 18.336, GO12078_LC
246399164, 351.841081, -1.023316, 17.753, GO12078_LC
246399206, 345.91077, -1.022102, 17.391, GO12078_LC
246399212, 350.807429, -1.021844, 18.344, GO12078_LC
246399457, 347.658423, -1.014647, 18.138, GO12078_LC
246399757, 351.165261, -1.005662, 17.406, GO12078_LC
246399868, 353.352697, -1.001982, 18.352, GO12078_LC
246399941, 352.208325, -0.999903, 17.456, GO12078_LC
246400377, 353.166846, -0.986164, 17.943, GO12078_LC
246400397, 348.740693, -0.985403, 18.388, GO12078_LC
246400496, 351.860063, -0.982656, 18.02, GO12078_LC
246400606, 353.465349, -0.979014, 17.98, GO12078_LC
246400733, 353.096499, -0.975189, 17.813, GO12078_LC
246400952, 351.406064, -0.969452, 18.235, GO12078_LC
246401125, 350.944458, -0.963808, 18.398, GO12078_LC
246401543, 351.280665, -0.950054, 17.791, GO12078_LC
246401672, 348.151377, -0.945593, 18.3, GO12078_LC
246401936, 349.38401, -0.936621, 18.241, GO12078_LC
246402167, 351.566152, -0.929042, 17.714, GO12078_LC
246402507, 352.347822, -0.918994, 17.785, GO12078_LC
246402868, 351.548155, -0.907819, 18.069, GO12078_LC
246402921, 352.659229, -0.906318, 17.285, GO12078_LC
246402925, 349.3364, -0.906271, 17.749, GO12078_LC
246403128, 349.441978, -0.900061, 18.396, GO12078_LC
246403165, 351.506748, -0.898818, 18.319, GO12078_LC
246403350, 349.450371, -0.892683, 17.601, GO12078_LC
246403368, 345.825201, -0.891977, 17.293, GO12078_LC
246403437, 352.274413, -0.89008, 17.726, GO12078_LC
246403763, 351.84975, -0.879424, 18.39, GO12078_LC
246403884, 346.159384, -0.875024, 18.044, GO12078_LC
246403898, 352.114891, -0.874611, 18.801, GO12078_LC
246403920, 348.471376, -0.873746, 17.869, GO12078_LC
246403943, 351.079979, -0.873221, 18.147, GO12078_LC
246404028, 351.656024, -0.870069, 17.667, GO12078_LC
246404065, 346.498083, -0.869105, 18.104, GO12078_LC
246404321, 352.001362, -0.860981, 18.523, GO12078_LC
246404426, 348.372146, -0.857612, 17.152, GO12078_LC
246404444, 347.07808, -0.85676, 18.136, GO12078_LC
246404592, 346.453616, -0.852103, 18.072, GO12078_LC
246404902, 349.239809, -0.842061, 17.147, GO12078_LC
246404932, 347.936963, -0.841143, 16.64, GO12078_LC
246404944, 353.457991, -0.840683, 16.847, GO12078_LC
246405061, 351.555206, -0.837171, 17.505, GO12078_LC
246405095, 352.540817, -0.836523, 17.477, GO12078_LC
246405235, 351.682215, -0.832305, 18.203, GO12078_LC
246405293, 345.915819, -0.830373, 17.821, GO12078_LC
246405527, 351.921082, -0.822632, 18.555, GO12078_LC
246405533, 351.300014, -0.822472, 18.31, GO12078_LC
246405793, 348.855042, -0.814978, 17.128, GO12078_LC
246405863, 351.95449, -0.813187, 18.334, GO12078_LC
246405909, 353.245635, -0.811653, 18.365, GO12078_LC
246405911, 348.084598, -0.811566, 18.136, GO12078_LC
