EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246455847, 351.596236, 0.771447, 16.97, GO12078_LC
246455941, 350.773841, 0.775002, 18.444, GO12078_LC
246455956, 351.19814, 0.775461, 17.951, GO12078_LC
246456117, 351.868959, 0.780865, 17.817, GO12078_LC
246456154, 349.512938, 0.782291, 17.148, GO12078_LC
246456769, 350.801364, 0.803097, 17.475, GO12078_LC
246456830, 350.712492, 0.805142, 18.425, GO12078_LC
246456843, 351.993878, 0.805563, 17.481, GO12078_LC
246456889, 348.56374, 0.807525, 16.928, GO12078_LC
246457287, 348.121028, 0.820447, 18.13, GO12078_LC
246457347, 349.67188, 0.822792, 18.01, GO12078_LC
246457370, 349.88747, 0.823521, 17.662, GO12078_LC
246457677, 350.277132, 0.832984, 18.057, GO12078_LC
246457916, 352.014277, 0.841449, 18.425, GO12078_LC
246457927, 351.847425, 0.841745, 17.758, GO12078_LC
246457929, 350.620985, 0.841858, 17.976, GO12078_LC
246457932, 350.963636, 0.841926, 18.06, GO12078_LC
246458073, 351.430914, 0.846485, 17.768, GO12078_LC
246458651, 350.758431, 0.866182, 18.481, GO12078_LC
246458905, 348.550127, 0.874227, 18.007, GO12078_LC
246459002, 350.444601, 0.877874, 17.072, GO12078_LC
246459335, 351.859353, 0.889948, 18.13, GO12078_LC
246459359, 351.849444, 0.891001, 18.55, GO12078_LC
246459490, 351.936814, 0.895921, 18.169, GO12078_LC
246459570, 351.460536, 0.898791, 17.609, GO12078_LC
246459613, 349.638391, 0.900418, 17.913, GO12078_LC
246459846, 349.953842, 0.908526, 17.167, GO12078_LC
246459947, 349.471897, 0.911934, 17.934, GO12078_LC
246460060, 352.185064, 0.915539, 17.501, GO12078_LC
246460133, 351.135742, 0.91823, 17.729, GO12078_LC
246460341, 349.986506, 0.924954, 17.883, GO12078_LC
246460342, 349.329885, 0.92503, 18.036, GO12078_LC
246460362, 349.63913, 0.925665, 17.388, GO12078_LC
246460379, 351.415717, 0.926243, 18.503, GO12078_LC
246460525, 350.892847, 0.931758, 17.18, GO12078_LC
246460670, 352.200482, 0.936643, 18.2, GO12078_LC
246460933, 352.125258, 0.944465, 18.365, GO12078_LC
246461223, 349.690473, 0.953498, 17.706, GO12078_LC
246461330, 351.681022, 0.957197, 17.576, GO12078_LC|GO12015_LC
246461686, 350.465907, 0.968302, 18.233, GO12078_LC
246461784, 350.937641, 0.97184, 16.813, GO12078_LC
246462030, 351.148028, 0.981061, 17.245, GO12078_LC
246462165, 351.688532, 0.985753, 17.996, GO12078_LC
246462194, 350.639503, 0.986956, 17.385, GO12078_LC
246462199, 348.583643, 0.987104, 16.797, GO12078_LC
246462234, 351.55579, 0.988201, 18.178, GO12078_LC
246462242, 350.750946, 0.988432, 18.443, GO12078_LC
246462274, 350.96289, 0.98958, 17.15, GO12078_LC
246462307, 351.286218, 0.990834, 17.841, GO12078_LC
246462339, 348.665733, 0.991943, 18.209, GO12078_LC
246462486, 351.183677, 0.996383, 19.036, GO12078_LC
246462875, 351.041482, 1.01037, 17.844, GO12078_LC
246462963, 351.622016, 1.013314, 17.891, GO12078_LC
246463002, 351.348625, 1.014691, 18.31, GO12078_LC
246463104, 348.450466, 1.018625, 17.891, GO12078_LC
246463457, 348.66154, 1.030501, 17.546, GO12078_LC
246463462, 351.603146, 1.030678, 18.453, GO12078_LC
246463850, 349.563123, 1.044787, 17.867, GO12078_LC
246463865, 348.422425, 1.045209, 18.033, GO12078_LC
246463980, 350.213157, 1.049351, 18.205, GO12078_LC
246464024, 350.137174, 1.051349, 17.214, GO12078_LC
246464148, 350.942196, 1.056224, 18.399, GO12078_LC
246464202, 349.972439, 1.057908, 18.004, GO12078_LC
246464245, 348.571288, 1.059195, 18.489, GO12078_LC
246464313, 350.29686, 1.061591, 18.186, GO12078_LC
246464375, 352.027456, 1.063594, 17.701, GO12078_LC
246464441, 350.880102, 1.065944, 18.022, GO12078_LC
246464444, 351.973724, 1.066057, 17.205, GO12078_LC
246465011, 349.87696, 1.085839, 17.921, GO12078_LC
246465329, 351.475569, 1.097135, 18.392, GO12078_LC
246465704, 351.318518, 1.110644, 16.772, GO12078_LC
246466243, 350.045161, 1.130878, 17.851, GO12078_LC
246466319, 349.681095, 1.133532, 18.458, GO12078_LC
246466592, 350.637445, 1.143387, 17.996, GO12078_LC
246466758, 350.019002, 1.149322, 17.998, GO12078_LC
246467522, 349.441201, 1.175852, 17.536, GO12078_LC
246467569, 351.274776, 1.177374, 18.137, GO12078_LC
246467705, 350.865114, 1.182168, 18.177, GO12078_LC
246467725, 351.971105, 1.182729, 17.144, GO12078_LC
246467820, 351.805529, 1.186916, 17.436, GO12078_LC
246467824, 351.8127, 1.187031, 17.004, GO12078_LC
246468270, 349.347224, 1.203108, 18.114, GO12078_LC
246468442, 351.210706, 1.209079, 18.464, GO12078_LC
246468631, 350.118834, 1.21567, 17.232, GO12078_LC
246468713, 350.96951, 1.218801, 17.285, GO12078_LC
246468959, 349.215794, 1.227387, 18.27, GO12078_LC
246469145, 349.541055, 1.233653, 18.624, GO12078_LC
246469250, 350.530312, 1.237085, 18.318, GO12078_LC
246469653, 349.595993, 1.251522, 17.948, GO12078_LC
246469882, 350.85575, 1.259415, 17.346, GO12078_LC
246470024, 349.093894, 1.263124, 17.743, GO12078_LC
251456426, , , , GO12078_LC
251456427, , , , GO12078_LC
251456429, , , , GO12078_LC
251456433, , , , GO12078_LC
251456434, , , , GO12078_LC
251456436, , , , GO12078_LC
251456438, , , , GO12078_LC
251456439, , , , GO12078_LC
251456441, , , , GO12078_LC
251456442, , , , GO12078_LC
251456444, , , , GO12078_LC
251456445, , , , GO12078_LC
251456446, , , , GO12078_LC
251456448, , , , GO12078_LC
251456449, , , , GO12078_LC
251456450, , , , GO12078_LC
251456451, , , , GO12078_LC
251456452, , , , GO12078_LC
251456453, , , , GO12078_LC
251456455, , , , GO12078_LC
251456456, , , , GO12078_LC
251456457, , , , GO12078_LC
251456459, , , , GO12078_LC
251456460, , , , GO12078_LC
251456461, , , , GO12078_LC
251456463, , , , GO12078_LC
251456464, , , , GO12078_LC
251456468, , , , GO12078_LC
251456469, , , , GO12078_LC
251456470, , , , GO12078_LC
251456472, , , , GO12078_LC
251456473, , , , GO12078_LC
251456474, , , , GO12078_LC
251456475, , , , GO12078_LC
251456476, , , , GO12078_LC
251456477, , , , GO12078_LC
251456478, , , , GO12078_LC
251456479, , , , GO12078_LC
251456481, , , , GO12078_LC
251456482, , , , GO12078_LC
251456483, , , , GO12078_LC
251456486, , , , GO12078_LC
251456487, , , , GO12078_LC
251456488, , , , GO12078_LC
251456489, , , , GO12078_LC
251456490, , , , GO12078_LC
251456491, , , , GO12078_LC
251456492, , , , GO12078_LC
251456493, , , , GO12078_LC
251456494, , , , GO12078_LC
251456495, , , , GO12078_LC
251456497, , , , GO12078_LC
251456499, , , , GO12078_LC
251456501, , , , GO12078_LC
251456502, , , , GO12078_LC
251456503, , , , GO12078_LC
251456504, , , , GO12078_LC
251456505, , , , GO12078_LC
251456506, , , , GO12078_LC
251456507, , , , GO12078_LC
251456509, , , , GO12078_LC
251456510, , , , GO12078_LC
251456511, , , , GO12078_LC
251456512, , , , GO12078_LC
251456513, , , , GO12078_LC
251456514, , , , GO12078_LC
251456515, , , , GO12078_LC
251456516, , , , GO12078_LC
251456517, , , , GO12078_LC
251456519, , , , GO12078_LC
251456520, , , , GO12078_LC
251456524, , , , GO12078_LC
251456525, , , , GO12078_LC
251456527, , , , GO12078_LC
251456528, , , , GO12078_LC
251456529, , , , GO12078_LC
251456531, , , , GO12078_LC
251456532, , , , GO12078_LC
251456533, , , , GO12078_LC
251456535, , , , GO12078_LC
251456536, , , , GO12078_LC
251456537, , , , GO12078_LC
251456538, , , , GO12078_LC
251456540, , , , GO12078_LC
251456541, , , , GO12078_LC
251456542, , , , GO12078_LC
251456543, , , , GO12078_LC
251456545, , , , GO12078_LC
251456546, , , , GO12078_LC
251456547, , , , GO12078_LC
251456548, , , , GO12078_LC
251456549, , , , GO12078_LC
251456550, , , , GO12078_LC
251456551, , , , GO12078_LC
251456552, , , , GO12078_LC
251456554, , , , GO12078_LC
251456555, , , , GO12078_LC
251456556, , , , GO12078_LC
251456557, , , , GO12078_LC
251456558, , , , GO12078_LC
251456559, , , , GO12078_LC
251456560, , , , GO12078_LC
251456561, , , , GO12078_LC
251456562, , , , GO12078_LC
251456564, , , , GO12078_LC
251456565, , , , GO12078_LC
251456566, , , , GO12078_LC
251456567, , , , GO12078_LC
251456568, , , , GO12078_LC
251456569, , , , GO12078_LC
251456570, , , , GO12078_LC
251456571, , , , GO12078_LC
251456572, , , , GO12078_LC
251456573, , , , GO12078_LC
251456576, , , , GO12078_LC
251456577, , , , GO12078_LC
251456578, , , , GO12078_LC
251456580, , , , GO12078_LC
251456581, , , , GO12078_LC
251456582, , , , GO12078_LC
251456583, , , , GO12078_LC
251456584, , , , GO12078_LC
251456585, , , , GO12078_LC
251456586, , , , GO12078_LC
251456589, , , , GO12078_LC
251456591, , , , GO12078_LC
251456592, , , , GO12078_LC
251456593, , , , GO12078_LC
251456595, , , , GO12078_LC
251456596, , , , GO12078_LC
251456597, , , , GO12078_LC
251456599, , , , GO12078_LC
251456600, , , , GO12078_LC
251456601, , , , GO12078_LC
251456602, , , , GO12078_LC
251456603, , , , GO12078_LC
251456604, , , , GO12078_LC
251456605, , , , GO12078_LC
251456606, , , , GO12078_LC
251456608, , , , GO12078_LC
251456609, , , , GO12078_LC
251456610, , , , GO12078_LC
251456611, , , , GO12078_LC
251456612, , , , GO12078_LC
251456613, , , , GO12078_LC
251456615, , , , GO12078_LC
251456618, , , , GO12078_LC
251456619, , , , GO12078_LC
251456620, , , , GO12078_LC
251456622, , , , GO12078_LC
251456624, , , , GO12078_LC
251456625, , , , GO12078_LC
251456627, , , , GO12078_LC
251456628, , , , GO12078_LC
251456629, , , , GO12078_LC
251456630, , , , GO12078_LC
251456631, , , , GO12078_LC
251456633, , , , GO12078_LC
251456634, , , , GO12078_LC
251456635, , , , GO12078_LC
251456636, , , , GO12078_LC
251456637, , , , GO12078_LC
251456638, , , , GO12078_LC
251456639, , , , GO12078_LC
251456640, , , , GO12078_LC
251456641, , , , GO12078_LC
251456642, , , , GO12078_LC
251456643, , , , GO12078_LC
251456644, , , , GO12078_LC
251456645, , , , GO12078_LC
251456646, , , , GO12078_LC
251456648, , , , GO12078_LC
251456649, , , , GO12078_LC
251456650, , , , GO12078_LC
251456651, , , , GO12078_LC
251456652, , , , GO12078_LC
251456655, , , , GO12078_LC
251456656, , , , GO12078_LC
251456660, , , , GO12078_LC
251456661, , , , GO12078_LC
251456662, , , , GO12078_LC
251456663, , , , GO12078_LC
251456664, , , , GO12078_LC
251456665, , , , GO12078_LC
251456666, , , , GO12078_LC
251456668, , , , GO12078_LC
251456669, , , , GO12078_LC
251456670, , , , GO12078_LC
251456672, , , , GO12078_LC
251456673, , , , GO12078_LC
251456674, , , , GO12078_LC
251456677, , , , GO12078_LC
251456678, , , , GO12078_LC
251456679, , , , GO12078_LC
251456680, , , , GO12078_LC
251456681, , , , GO12078_LC
251456682, , , , GO12078_LC
251456683, , , , GO12078_LC
