EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
228777784, 192.323716, -7.717361, 11.329, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
228780831, 186.923234, -7.581753, 9.299, GO10066_LC|GO10042_LC
228781119, 186.999038, -7.568098, 8.764, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10002_LC|GO10028_LC|GO10002_SC
228781979, 187.295584, -7.531007, 11.577, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
228782431, 187.193559, -7.512918, 10.531, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
228782636, 187.230809, -7.504651, 11.855, GO10066_LC|GO10042_LC|GO10036_LC
228783708, 192.344211, -7.457567, 10.172, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228784379, 192.396594, -7.428746, 11.235, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
228784557, 192.627328, -7.42239, 9.677, GO10077_LC|GO10066_LC|GO10028_LC
228785951, 192.603866, -7.363558, 9.431, GO10066_LC|GO10042_LC
228785962, 186.499271, -7.362913, 11.36, GO10066_LC|GO10042_LC
228786921, 186.472686, -7.322965, 11.116, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
228787642, 183.476973, -7.292064, 11.133, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
228787818, 186.409469, -7.284588, 10.399, GO10040_LC|GO10066_LC
228789280, 183.480027, -7.224127, 11.21, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228790507, 186.813389, -7.174415, 11.094, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
228790929, 186.74514, -7.157177, 9.98, GO10066_LC|GO10042_LC
228792568, 192.280667, -7.089004, 11.318, GO10068_LC|GO10077_LC|GO10066_LC
228794347, 192.295545, -7.01917, 11.115, GO10077_LC|GO10066_LC
228796120, 192.810203, -6.944977, 9.069, GO10066_LC|GO10042_LC
228797147, 192.850538, -6.899746, 10.713, GO10077_LC|GO10066_LC
228797231, 187.334521, -6.896017, 11.308, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228798716, 187.288592, -6.835556, 10.623, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228804239, 191.182139, -6.601026, 10.041, GO10066_LC|GO10042_LC
228804283, 191.131076, -6.599427, 11.373, GO10066_LC|GO10042_LC|GO10036_LC
228805110, 191.132842, -6.566503, 11.303, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228806049, 186.786921, -6.527645, 9.903, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC|GO10028_LC
228807607, 186.752342, -6.462376, 10.268, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC|GO10042_LC
228808198, 185.355145, -6.437139, 10.43, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228808967, 183.951997, -6.403087, 10.259, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10031_LC
228809882, 185.347136, -6.365994, 11.627, GO10066_LC|GO10042_LC|GO10036_LC
228810091, 183.960754, -6.357417, 10.889, GO10032_LC|GO10077_LC|GO10066_LC
228811074, 187.052053, -6.316814, 11.663, GO10041_LC|GO10066_LC|GO10042_LC
228811490, 186.420663, -6.299544, 11.603, GO10066_LC|GO10042_LC
228811596, 187.094665, -6.294825, 11.836, GO10068_LC|GO10077_LC|GO10066_LC
228812764, 186.45288, -6.244266, 10.253, GO10066_LC
228812948, 184.015399, -6.237205, 11.468, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228813422, 186.362054, -6.21691, 9.703, GO10066_LC|GO10042_LC|GO10036_LC
228813981, 186.473091, -6.193052, 11.197, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
228814055, 184.061277, -6.190142, 10.445, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228814667, 186.335415, -6.165869, 11.809, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228815191, 186.38095, -6.146057, 11.421, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
228819084, 186.04101, -5.985109, 9.814, GO10066_LC|GO10042_LC
228820632, 185.337052, -5.916405, 10.353, GO10066_LC|GO10042_LC|GO10036_LC
228820760, 186.051245, -5.911621, 11.21, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
228821138, 185.387583, -5.89582, 9.768, GO10066_LC|GO10042_LC
228822720, 185.380368, -5.82719, 11.342, GO10066_LC|GO10042_LC
228823923, 185.734242, -5.780019, 9.008, GO10077_LC|GO10066_LC|GO10028_LC
228824634, 185.677545, -5.75064, 10.236, GO10068_LC|GO10077_LC|GO10066_LC
228832912, 189.300898, -5.408813, 11.754, GO10051_LC|GO10066_LC|GO10042_LC|GO10036_LC
228834106, 189.579864, -5.358549, 9.563, GO10066_LC|GO10042_LC|GO10031_LC|GO10036_LC
228834278, 189.327357, -5.351008, 10.948, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228834788, 189.6868, -5.328144, 9.358, GO10013_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10031_LC
228834920, 188.857972, -5.32264, 10.071, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
228835662, 188.764747, -5.29337, 11.162, GO10068_LC|GO10051_LC|GO10077_LC|GO10055_LC|GO10066_LC
228836456, 188.814318, -5.262183, 11.517, GO10032_LC|GO10077_LC|GO10066_LC
228837554, 188.636441, -5.214527, 10.337, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC|GO10042_LC
228838179, 188.68363, -5.187909, 10.849, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228839832, 187.811319, -5.11832, 11.619, GO10068_LC|GO10077_LC|GO10066_LC|GO10042_LC|GO10036_LC
228840073, 186.593163, -5.107391, 9.98, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228840723, 187.802215, -5.081986, 10.984, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228840972, 189.866117, -5.070872, 10.572, GO10051_LC|GO10066_LC|GO10042_LC
228841205, 190.405319, -5.061971, 11.156, GO10068_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC|GO10042_LC|GO10033_LC
228841356, 186.614504, -5.056027, 10.54, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228841878, 189.791797, -5.034813, 10.743, GO10066_LC|GO10042_LC
228842365, 189.924748, -5.013971, 10.422, GO10066_LC|GO10042_LC
228842583, 190.461003, -5.00512, 10.823, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
228843244, 186.518582, -4.976981, 11.17, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228844178, 186.587934, -4.93962, 10.742, GO10032_LC|GO10077_LC|GO10066_LC
228845138, 186.540382, -4.897973, 10.413, GO10051_LC|GO10032_LC|GO10040_LC|GO10066_LC|GO10042_LC|GO10036_LC
228849302, 185.923776, -4.720705, 9.777, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC|GO10036_LC
228849413, 185.665833, -4.716055, 11.212, GO10066_LC|GO10042_LC
228849468, 185.960375, -4.713458, 11.729, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228849790, 185.622393, -4.701342, 9.638, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228850202, 187.046409, -4.684306, 10.599, GO10068_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC|GO10042_LC
228850247, 186.407364, -4.682318, 10.973, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228850371, 186.984582, -4.677721, 9.541, GO10077_LC|GO10066_LC|GO10050_LC|GO10028_LC
228851011, 186.764234, -4.649898, 11.605, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228851029, 186.814974, -4.649088, 10.637, GO10077_LC|GO10066_LC
228851117, 186.454093, -4.645733, 11.75, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228851831, 185.488794, -4.614514, 10.102, GO10066_LC
228851838, 186.484895, -4.614038, 10.209, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228852915, 185.525568, -4.569662, 11.018, GO10066_LC|GO10042_LC
228853722, 186.487841, -4.534556, 10.803, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228854129, 186.559114, -4.517854, 11.548, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228854380, 186.319983, -4.506887, 10.108, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC
228854738, 186.463852, -4.4915, 11.452, GO10066_LC|GO10042_LC
228854757, 187.595148, -4.49066, 10.298, GO10077_LC|GO10066_LC|GO10028_LC
228855016, 190.675203, -4.479243, 9.905, GO10066_LC|GO10036_LC
228855115, 186.766189, -4.475267, 11.224, GO10066_LC|GO10042_LC|GO10036_LC
228855196, 190.624606, -4.47165, 10.946, GO10068_LC|GO10077_LC|GO10066_LC|GO10036_LC
228855236, 189.145315, -4.470178, 10.825, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC|GO10033_LC
228855498, 189.070938, -4.45936, 10.665, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC|GO10033_LC
228855726, 186.311656, -4.449608, 10.582, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228855821, 187.692674, -4.445537, 9.467, GO10051_LC|GO10032_LC|GO10077_LC|GO10059_LC|GO10066_LC|GO10028_LC
228855946, 186.766852, -4.440357, 10.294, GO10066_LC|GO10042_LC
228856248, 187.619746, -4.427682, 9.839, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228856524, 186.361933, -4.416207, 10.18, GO10066_LC|GO10042_LC
228856753, 187.317539, -4.405399, 11.71, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228857338, 189.695248, -4.378847, 10.006, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
228858167, 187.305274, -4.345283, 11.699, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228858203, 186.159393, -4.343691, 10.627, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228858734, 189.696948, -4.321421, 12.35, GO10056_LC|GO10068_LC|GO10021_LC|GO10066_LC|GO10042_LC|GO10008_LC|GO10049_LC
228859270, 186.162908, -4.299523, 9.665, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC|GO10028_LC
228860395, 186.510059, -4.252597, 10.951, GO10032_LC|GO10066_LC|GO10042_LC
228860766, 186.464493, -4.236925, 10.554, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228860767, 185.821421, -4.236912, 11.288, GO10066_LC|GO10042_LC
228861247, 190.631687, -4.216617, 10.648, GO10066_LC
228862012, 190.682342, -4.186301, 11.56, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
228862367, 185.795495, -4.171799, 9.681, GO10051_LC|GO10077_LC|GO10066_LC|GO10031_LC|GO10028_LC
228871025, 187.602283, -3.793723, 11.397, GO10032_LC|GO10066_LC|GO10033_LC
228871352, 187.55153, -3.781036, 10.123, GO10051_LC|GO10077_LC|GO10066_LC
228882669, 189.381865, -3.573879, 8.934, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
228898114, 189.698511, -3.309071, 9.446, GO10077_LC|GO10066_LC|GO10003_LC|GO10028_LC
228899139, 189.666184, -3.290738, 11.137, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
228899329, 186.79283, -3.287523, 8.46, GO10066_LC
228902151, 186.832658, -3.238268, 9.51, GO10066_LC|GO10042_LC
228903514, 188.846564, -3.213888, 9.924, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
228907130, 188.795361, -3.150683, 11.512, GO10032_LC|GO10077_LC|GO10066_LC
228930027, 190.458245, -2.750451, 8.786, GO10051_LC|GO10077_LC|GO10066_LC|GO10031_LC|GO10028_LC
228932843, 190.48427, -2.699553, 10.16, GO10051_LC|GO10077_LC|GO10066_LC|GO10031_LC
228933720, 190.403843, -2.684086, 11.506, GO10068_LC|GO10032_LC|GO10066_LC
228933769, 190.429279, -2.683173, 9.965, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10031_LC
228935379, 190.498169, -2.654373, 11.395, GO10077_LC|GO10066_LC
228936391, 190.380256, -2.636109, 11.536, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228941169, 188.826503, -2.549654, 11.736, GO10077_LC|GO10066_LC
228941902, 188.749958, -2.536506, 10.178, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228944940, 187.955088, -2.482894, 11.661, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
228946213, 190.825534, -2.460011, 10.717, GO10066_LC|GO10042_LC|GO10036_LC
228947755, 190.851512, -2.431821, 11.774, GO10066_LC|GO10042_LC
228948523, 187.890018, -2.418276, 11.267, GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
228948544, 187.825858, -2.417938, 10.933, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
228949025, 187.980923, -2.409445, 10.596, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
228952706, 189.027404, -2.343189, 10.713, GO10066_LC|GO10042_LC
228952767, 188.950616, -2.34184, 9.211, GO10066_LC|GO10042_LC
228955567, 188.92208, -2.29279, 10.088, GO10051_LC|GO10066_LC|GO10042_LC|GO10036_LC
228959694, 193.888875, -2.220671, 10.538, GO10066_LC
228962987, 188.890471, -2.161227, 10.682, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228963054, 193.89611, -2.160049, 10.809, GO10066_LC|GO10031_LC
228963953, 187.797603, -2.144003, 9.965, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
228967204, 188.903005, -2.084257, 11.727, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228967671, 186.207786, -2.075968, 10.406, GO10051_LC|GO10077_LC|GO10066_LC
228968185, 187.791204, -2.066872, 9.759, GO10068_LC|GO10077_LC|GO10066_LC
228970871, 186.216854, -2.016267, 11.553, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
228971703, 193.855373, -2.001253, 10.268, GO10068_LC|GO10077_LC|GO10066_LC|GO10042_LC
228973232, 193.896739, -1.973422, 11.552, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228975436, 190.359616, -1.933387, 11.673, GO10066_LC
228977940, 186.619849, -1.887939, 9.429, GO10901_LC|GO10068_LC|GO10066_LC
228978192, 192.427738, -1.883258, 10.831, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC|GO10036_LC
228978528, 192.372131, -1.877024, 11.572, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228979538, 186.549058, -1.859313, 10.404, GO10066_LC
228985596, 186.772582, -1.74999, 11.071, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228985703, 192.790597, -1.748315, 9.217, GO10066_LC|GO10042_LC
228987222, 192.730813, -1.720172, 10.001, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228988086, 186.813228, -1.704868, 11.736, GO10051_LC|GO10077_LC|GO10059_LC|GO10066_LC
228990077, 193.234565, -1.669777, 10.926, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228991456, 193.277211, -1.644943, 11.406, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
229002817, 192.391626, -1.442659, 11.105, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
229004284, 192.355601, -1.41519, 10.072, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229009996, 187.260627, -1.312415, 11.617, GO10077_LC|GO10066_LC
229011745, 187.320082, -1.279674, 10.734, GO10066_LC|GO10042_LC
229011954, 186.487105, -1.275579, 10.245, GO10051_LC|GO10077_LC|GO10066_LC|GO10031_LC
229013223, 186.55486, -1.251875, 11.194, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229020433, 187.023438, -1.097309, 10.195, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10028_LC
229022038, 186.955667, -1.063599, 11.052, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
229024432, 191.982727, -1.010308, 9.295, GO10077_LC|GO10066_LC|GO10028_LC
229026759, 192.013859, -0.95468, 10.862, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10028_LC
229036806, 190.29887, -0.731733, 10.727, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
229037441, 190.348867, -0.716558, 10.103, GO10066_LC|GO10042_LC
229038534, 189.326859, -0.69227, 10.779, GO10066_LC|GO10042_LC
229041196, 189.357684, -0.633791, 10.817, GO10066_LC|GO10042_LC
229043377, 190.047809, -0.581583, 10.349, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10028_LC
229045654, 190.000454, -0.529347, 9.712, GO10077_LC|GO10066_LC|GO10003_LC|GO10028_LC
229049265, 187.04002, -0.447035, 10.039, GO10066_LC|GO10042_LC
229050189, 186.942596, -0.425492, 11.302, GO10032_LC|GO10077_LC|GO10066_LC
229050982, 186.99834, -0.408592, 11.034, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
229056060, 187.21216, -0.300338, 11.557, GO10066_LC|GO10042_LC|GO10036_LC
229057074, 187.143632, -0.279462, 11.512, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229060699, 187.658211, -0.195613, 10.76, GO10066_LC|GO10042_LC|GO10036_LC
229061224, 186.691056, -0.183315, 8.526, GO10077_LC|GO10066_LC|GO10028_LC
229061782, 186.687355, -0.170389, 10.939, GO10032_LC|GO10077_LC|GO10066_LC
229062363, 187.724307, -0.156665, 11.738, GO10066_LC|GO10042_LC
229062677, 186.642248, -0.14881, 9.436, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229063669, 187.546144, -0.124227, 11.161, GO10066_LC|GO10042_LC
229064219, 187.626026, -0.10989, 10.176, GO10051_LC|GO10077_LC|GO10066_LC|GO10050_LC|GO10028_LC
229064383, 187.681061, -0.106034, 10.43, GO10066_LC|GO10042_LC
229079720, 190.168096, 0.263616, 9.372, GO10066_LC|GO10042_LC
229080617, 190.139798, 0.286524, 9.783, GO10066_LC|GO10042_LC
229084318, 190.636306, 0.382649, 11.736, GO10066_LC|GO10042_LC
229085127, 188.040758, 0.403056, 11.538, GO10077_LC|GO10066_LC
229085464, 190.656453, 0.411881, 11.428, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229086591, 188.084015, 0.438732, 10.014, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229088595, 190.658469, 0.485842, 11.62, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
229095965, 188.441631, 0.670444, 10.216, GO10066_LC|GO10042_LC|GO10036_LC
229097470, 188.438227, 0.709981, 10.269, GO10051_LC|GO10077_LC|GO10066_LC|GO10028_LC
229101328, 190.877041, 0.812712, 9.244, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229101444, 190.959465, 0.815738, 9.654, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229101835, 187.685171, 0.827461, 11.066, GO10066_LC|GO10042_LC|GO10036_LC
229102880, 187.711169, 0.854545, 9.876, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229106647, 190.799755, 0.947057, 9.841, GO10066_LC|GO10042_LC
229108111, 189.868903, 0.98582, 11.236, GO10032_LC|GO10077_LC|GO10066_LC
229109215, 190.822298, 1.014972, 11.421, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
229109549, 190.767566, 1.023034, 10.445, GO10077_LC|GO10066_LC
229109930, 189.861948, 1.032904, 9.733, GO10051_LC|GO10077_LC|GO10066_LC|GO10050_LC|GO10028_LC
229111526, 190.366103, 1.076086, 11.239, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
229111865, 187.7973, 1.084668, 10.175, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10028_LC
229112146, 190.024049, 1.093083, 11.006, GO10066_LC|GO10042_LC
229112699, 190.296432, 1.108123, 11.484, GO10032_LC|GO10077_LC|GO10066_LC
229113371, 187.813485, 1.124828, 9.334, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229114143, 189.973995, 1.145684, 10.408, GO10066_LC|GO10042_LC
229114251, 187.225753, 1.148525, 8.965, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229115319, 187.302894, 1.176559, 10.029, GO10066_LC|GO10042_LC
229118175, 187.527977, 1.248458, 11.487, GO10077_LC|GO10066_LC|GO10042_LC|GO10036_LC
229119550, 187.575516, 1.280402, 9.968, GO10051_LC|GO10066_LC|GO10042_LC
229122877, 191.353886, 1.359344, 10.704, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229123814, 191.433376, 1.381351, 10.378, GO10051_LC|GO10066_LC|GO10042_LC
229126998, 191.444865, 1.453849, 10.322, GO10066_LC|GO10042_LC
229127118, 186.985302, 1.456817, 9.736, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC|GO10042_LC
229128309, 189.819003, 1.484821, 11.146, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
229129876, 189.880189, 1.52241, 11.536, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
229130468, 187.005182, 1.536738, 11.376, GO10066_LC|GO10042_LC
229133179, 190.549259, 1.601424, 11.306, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
229133720, 187.134854, 1.613639, 11.477, GO10068_LC|GO10077_LC|GO10066_LC|GO10042_LC
229133911, 187.153757, 1.617177, 9.812, GO10051_LC|GO10077_LC|GO10066_LC
229134259, 190.657198, 1.625211, 9.745, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229135012, 187.188509, 1.643096, 10.233, GO10066_LC|GO10042_LC
229135377, 190.533825, 1.652142, 11.708, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC|GO10036_LC
229140530, 190.763474, 1.772048, 11.662, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
229141080, 190.909326, 1.785189, 10.303, GO10051_LC|GO10066_LC|GO10042_LC|GO10036_LC
229142240, 190.948219, 1.813229, 10.578, GO10066_LC|GO10042_LC
229142411, 189.938419, 1.817881, 11.396, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229142747, 190.057739, 1.825042, 10.726, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
229142812, 190.722047, 1.826511, 10.844, GO10066_LC|GO10042_LC
229144331, 190.076622, 1.862105, 11.583, GO10066_LC|GO10042_LC
229144437, 189.963774, 1.864777, 10.79, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
229150180, 188.774845, 2.00617, 11.651, GO10051_LC|GO10077_LC|GO10066_LC
229152174, 188.750434, 2.057223, 11.458, GO10068_LC|GO10077_LC|GO10066_LC|GO10042_LC|GO10036_LC
229164725, 188.579295, 2.39304, 8.898, GO10051_LC|GO10077_LC|GO10066_LC|GO10028_LC
229166612, 188.579261, 2.444512, 9.156, GO10066_LC|GO10042_LC|GO10028_LC
229176852, 187.825171, 2.732704, 10.974, GO10077_LC|GO10066_LC|GO10042_LC
229177211, 187.755826, 2.743736, 10.943, GO10051_LC|GO10066_LC|GO10042_LC|GO10036_LC
229179894, 187.050378, 2.823395, 11.145, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
229181989, 187.058655, 2.889381, 10.508, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
