EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
201158054, 182.819259, -5.103322, 10.499, GO10066_LC|GO10042_LC
201162465, 180.024551, -4.998034, 11.614, GO10077_LC|GO10066_LC
201162894, 180.022873, -4.987157, 10.855, GO10066_LC|GO10042_LC
201164368, 180.068935, -4.95296, 11.612, GO10066_LC|GO10042_LC
201165665, 181.097433, -4.922465, 9.592, GO10066_LC|GO10042_LC
201166680, 181.121405, -4.899185, 10.897, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201175016, 179.802829, -4.697235, 11.116, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
201176307, 179.810301, -4.664644, 11.602, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
201193341, 183.109309, -4.258144, 10.061, GO10066_LC|GO10042_LC
201194761, 183.184053, -4.223607, 11.546, GO10066_LC|GO10042_LC|GO10036_LC
201209947, 181.201068, -3.869587, 11.103, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201212359, 181.230836, -3.811666, 10.523, GO10901_LC|GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201215767, 184.081526, -3.734415, 10.268, GO10077_LC|GO10066_LC|GO10028_LC
201218013, 184.089629, -3.694901, 10.979, GO10032_LC|GO10077_LC|GO10066_LC
201223630, 180.614472, -3.605102, 11.573, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
201224464, 183.004106, -3.592341, 11.436, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201225119, 183.295602, -3.582855, 10.546, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201225286, 180.540899, -3.580723, 11.729, GO10068_LC|GO10077_LC|GO10066_LC
201225292, 181.560048, -3.580657, 11.32, GO10066_LC|GO10042_LC|GO10036_LC
201226362, 183.073752, -3.565042, 10.805, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201226392, 183.3365, -3.56465, 11.068, GO10066_LC|GO10042_LC|GO10036_LC
201226471, 181.592278, -3.563464, 10.5, GO10051_LC|GO10066_LC|GO10042_LC
201240283, 184.838919, -3.356499, 11.473, GO10068_LC|GO10077_LC|GO10066_LC
201244088, 184.82163, -3.298965, 10.015, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201263681, 185.080758, -3.000518, 10.309, GO10066_LC|GO10042_LC
201267653, 180.180781, -2.94056, 11.407, GO10906_LC|GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201268743, 185.090898, -2.9239, 11.26, GO10068_LC|GO10032_LC|GO10066_LC|GO10042_LC|GO10033_LC
201270035, 180.239366, -2.904702, 11.646, GO10068_LC|GO10077_LC|GO10066_LC|GO10042_LC
201273712, 183.918801, -2.848649, 11.467, GO10077_LC|GO10066_LC
201277354, 183.897646, -2.792898, 9.696, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201285127, 180.659507, -2.675545, 11.286, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
201288952, 180.650376, -2.615608, 9.876, GO10066_LC|GO10042_LC
201294760, 181.442909, -2.528715, 10.078, GO10051_LC|GO10066_LC|GO10042_LC
201299177, 181.477711, -2.463261, 8.852, GO10077_LC|GO10066_LC|GO10028_LC
201303324, 183.968814, -2.401451, 11.286, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC|GO10033_LC
201305323, 182.037372, -2.370929, 11.408, GO10051_LC|GO10066_LC|GO10042_LC
201305553, 182.115827, -2.367449, 11.578, GO10032_LC|GO10077_LC|GO10066_LC
201306684, 183.991756, -2.349945, 11.674, GO10068_LC|GO10077_LC|GO10066_LC
201324383, 180.675315, -2.087332, 11.153, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201327341, 185.334542, -2.042839, 11.713, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201328370, 180.757707, -2.027642, 11.423, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201328851, 180.69661, -2.02065, 10.499, GO10066_LC|GO10028_LC
201329887, 185.271276, -2.005415, 10.85, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201332176, 180.452465, -1.973377, 11.278, GO10068_LC|GO10077_LC|GO10066_LC
201335555, 180.485264, -1.922521, 10.338, GO10066_LC|GO10042_LC
201378090, 183.585864, -1.292123, 11.366, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201380891, 183.538465, -1.249156, 10.697, GO10051_LC|GO10032_LC|GO10066_LC|GO10033_LC|GO10028_LC
201382898, 184.59614, -1.219017, 11.809, GO10066_LC|GO10036_LC
201386192, 183.559079, -1.16871, 9.726, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC|GO10028_LC
201386279, 184.538968, -1.167299, 10.173, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC|GO10028_LC
201397123, 183.244264, -1.00524, 10.359, GO10066_LC|GO10042_LC
201402332, 183.239546, -0.925439, 10.324, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC|GO10028_LC
201412179, 182.412658, -0.773648, 9.538, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201413152, 182.357685, -0.758544, 8.285, GO10051_LC|GO10077_LC|GO10066_LC|GO10028_LC
201415722, 180.456031, -0.719287, 11.219, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
201416151, 184.319649, -0.712878, 10.624, GO10056_LC|GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC|GO10008_LC
201416741, 184.253017, -0.704164, 10.799, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201418304, 180.385745, -0.679819, 10.84, GO10066_LC|GO10042_LC
201419619, 181.986305, -0.66045, 10.052, GO10041_LC|GO10066_LC|GO10042_LC
201422009, 182.060107, -0.624772, 11.739, GO10068_LC|GO10013_LC|GO10032_LC|GO10077_LC|GO10059_LC|GO10066_LC|GO10042_LC|GO10033_LC
201431499, 182.145266, -0.48673, 10.178, GO10066_LC|GO10042_LC|GO10036_LC
201431768, 182.092517, -0.48263, 10.618, GO10056_LC|GO10021_LC|GO10032_LC|GO10066_LC|GO10042_LC|GO10033_LC|GO10008_LC|GO10049_LC
201433531, 182.146132, -0.456759, 10.334, GO10032_LC|GO10037_LC|GO10077_LC|GO10066_LC|GO10033_LC|GO10028_LC|GO10037_SC
201445669, 181.163952, -0.280815, 10.248, GO10068_LC|GO10032_LC|GO10077_LC|GO10059_LC|GO10066_LC|GO10033_LC
201449415, 181.199375, -0.22672, 10.448, GO10032_LC|GO10066_LC|GO10033_LC
201460700, 185.630615, -0.064636, 11.04, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
201460855, 184.375811, -0.062316, 11.051, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
201463238, 184.362789, -0.027751, 10.898, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
201464313, 184.46331, -0.012819, 10.992, GO10066_LC|GO10042_LC
201464438, 184.350519, -0.011034, 9.608, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10028_LC
201464888, 185.579957, -0.003975, 10.772, GO10066_LC|GO10042_LC
201467243, 184.432403, 0.031637, 9.467, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10028_LC
201472240, 181.399302, 0.10565, 11.484, GO10066_LC|GO10042_LC
201473727, 181.522577, 0.127082, 10.27, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201474238, 181.458338, 0.134016, 10.103, GO10066_LC|GO10042_LC|GO10036_LC
201477134, 184.31418, 0.177333, 10.337, GO10068_LC|GO10051_LC|GO10032_LC|GO10066_LC|GO10042_LC
201479832, 180.943605, 0.217608, 11.366, GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201480074, 180.987048, 0.221416, 11.218, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10033_LC
201482103, 184.337706, 0.252137, 11.505, GO10032_LC|GO10066_LC|GO10042_LC|GO10036_LC
201511428, 181.121938, 0.697872, 9.509, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201514257, 182.431001, 0.74205, 11.727, GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
201515363, 181.164447, 0.759594, 9.326, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201518261, 182.378721, 0.803375, 9.822, GO10051_LC|GO10066_LC|GO10028_LC
201519475, 185.772354, 0.821722, 11.092, GO10066_LC|GO10042_LC
201523857, 185.799057, 0.890481, 11.567, GO10066_LC|GO10042_LC|GO10036_LC
201531633, 181.07968, 1.011643, 10.823, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201531943, 181.004242, 1.016158, 10.929, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201573140, 186.000601, 1.632683, 10.906, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10042_LC
201574329, 185.95868, 1.650857, 9.947, GO10066_LC|GO10028_LC
201591763, 184.792312, 1.916892, 10.614, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
201592394, 184.890993, 1.926171, 10.36, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201593356, 184.06514, 1.941531, 11.175, GO10051_LC|GO10077_LC|GO10066_LC|GO10050_LC
201593816, 184.815994, 1.948642, 10.861, GO10066_LC|GO10042_LC
201594160, 184.022286, 1.953582, 10.343, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC|GO10028_LC
201614952, 185.945776, 2.274626, 11.405, GO10066_LC|GO10042_LC
201616438, 186.019545, 2.297889, 9.891, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201616606, 184.15222, 2.300584, 10.475, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC|GO10050_LC
201617921, 184.181084, 2.320277, 9.947, GO10066_LC|GO10042_LC
201626109, 185.984262, 2.446443, 11.664, GO10066_LC|GO10042_LC
201627743, 186.034086, 2.472298, 11.248, GO10066_LC|GO10042_LC
201642124, 185.793841, 2.695671, 10.887, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201647230, 185.776984, 2.772875, 10.759, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201649952, 185.832966, 2.815678, 9.736, GO10066_LC|GO10042_LC
201652287, 185.876251, 2.852077, 9.679, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201654566, 184.366091, 2.887844, 9.911, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10059_LC|GO10066_LC
201656130, 184.292813, 2.912314, 10.07, GO10066_LC
201656473, 184.763899, 2.917893, 11.364, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
201658221, 184.783677, 2.946476, 9.457, GO10066_LC|GO10042_LC
201659529, 184.216064, 2.968052, 12.126, GO10056_LC|GO10068_LC|GO10032_LC|GO10066_LC|GO10048_LC|GO10008_LC|GO10048_SC
201660388, 184.1538, 2.982361, 9.874, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10028_LC
228709313, 188.793337, -10.893536, 10.952, GO10051_LC|GO10077_LC|GO10066_LC
228709679, 188.832365, -10.874444, 9.894, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228710833, 186.77185, -10.817153, 11.631, GO10077_LC|GO10066_LC
228711106, 189.685472, -10.802669, 10.518, GO10068_LC|GO10032_LC|GO10077_LC|GO10040_LC|GO10066_LC|GO10042_LC
228711303, 186.818042, -10.793543, 11.65, GO10066_LC|GO10042_LC
228711804, 189.758869, -10.767422, 11.555, GO10032_LC|GO10077_LC|GO10066_LC
228712138, 186.883349, -10.74994, 10.473, GO10901_LC|GO10066_LC
228713874, 185.732159, -10.661583, 11.157, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228714259, 185.68029, -10.641609, 10.572, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228714918, 185.788361, -10.608284, 11.668, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228715060, 185.706804, -10.601012, 10.697, GO10066_LC|GO10042_LC
228719106, 188.684606, -10.3966, 11.29, GO10066_LC|GO10042_LC
228719452, 188.630454, -10.3784, 9.988, GO10066_LC|GO10042_LC
228722640, 187.472887, -10.223738, 11.542, GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228723337, 184.867613, -10.190869, 9.252, GO10066_LC|GO10042_LC
228723598, 187.52049, -10.178547, 10.315, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC|GO10036_LC
228723727, 184.901688, -10.172, 10.363, GO10051_LC|GO10066_LC|GO10042_LC
228725299, 182.671307, -10.093108, 11.013, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228725316, 182.850983, -10.09234, 9.836, GO10066_LC|GO10042_LC
228725387, 182.721087, -10.088956, 11.388, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228726239, 182.311021, -10.047159, 10.787, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228726299, 182.854814, -10.044422, 10.088, GO10066_LC|GO10042_LC
228726859, 182.233597, -10.016312, 9.799, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228729736, 188.396201, -9.877759, 11.423, GO10066_LC|GO10042_LC
228729886, 188.429943, -9.871353, 10.739, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
228729990, 189.4489, -9.86631, 10.081, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
228730841, 189.455561, -9.825064, 11.65, GO10066_LC|GO10042_LC
228731086, 189.796165, -9.813477, 11.458, GO10032_LC|GO10077_LC|GO10066_LC
228731379, 189.739499, -9.798625, 10.585, GO10066_LC|GO10042_LC
228732283, 183.574439, -9.752085, 10.28, GO10068_LC|GO10051_LC|GO10032_LC|GO10077_LC|GO10066_LC
228732468, 188.03472, -9.742711, 11.51, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
228732713, 189.613385, -9.73054, 11.096, GO10066_LC|GO10042_LC
228733091, 186.896041, -9.712091, 9.934, GO10066_LC|GO10042_LC
228733161, 188.018125, -9.707977, 11.537, GO10077_LC|GO10066_LC
228733251, 183.538338, -9.703778, 10.45, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228733614, 189.888912, -9.685977, 11.551, GO10068_LC|GO10032_LC|GO10077_LC|GO10066_LC
228733739, 186.840314, -9.680078, 10.08, GO10068_LC|GO10051_LC|GO10077_LC|GO10066_LC
