EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
203998036, 254.208533, -24.077335, 10.398, GO11071_LC|GO11122_LC|GO11052_LC
204010237, 253.953327, -24.024228, 9.139, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
204013715, 254.559561, -24.009204, 10.454, GO11122_LC|GO11024_LC|GO11052_LC
204018908, 254.252619, -23.988, 10.577, GO11122_LC|GO11052_LC
204019242, 254.696384, -23.986697, 8.215, GO11122_LC|GO11052_LC|GO11019_LC
204019418, 253.576073, -23.986067, 10.109, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11902_LC
204048121, 254.654251, -23.875265, 10.782, GO11122_LC|GO11038_LC|GO11052_LC
204063021, 254.192178, -23.816217, 10.693, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
204087841, 253.48489, -23.715512, 11.227, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11902_LC
204115959, 254.562225, -23.602642, 10.042, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC|GO11019_LC
204120596, 254.909436, -23.584214, 11.12, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC
204123071, 254.506147, -23.5744, 9.302, GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC|GO11019_LC
204227757, 253.370493, -23.163968, 11.081, GO11071_LC|GO11122_LC|GO11002_LC|GO11036_LC|GO11052_LC|GO11019_LC
204245244, 254.136795, -23.09435, 11.142, GO11071_LC|GO11122_LC|GO11052_LC
204246005, 254.076983, -23.091496, 11.247, GO11122_LC|GO11038_LC|GO11052_LC
204261715, 254.528066, -23.028765, 9.537, GO11122_LC|GO11052_LC|GO11019_LC
204263077, 253.547076, -23.023475, 10.566, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204292619, 253.009141, -22.909288, 8.226, GO11122_LC|GO11052_LC|GO11019_LC
204293435, 254.63993, -22.905928, 10.538, GO11071_LC|GO11122_LC|GO11052_LC
204347633, 253.825534, -22.68989, 10.657, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204360339, 254.257381, -22.64013, 11.183, GO11071_LC|GO11122_LC|GO11052_LC
204367681, 252.721995, -22.611754, 10.994, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
204395039, 254.068263, -22.504565, 11.032, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204408598, 254.294838, -22.451617, 10.484, GO11071_LC|GO11122_LC|GO11052_LC
204413920, 254.927249, -22.43093, 10.602, GO11071_LC|GO11122_LC|GO11052_LC
204443742, 252.965134, -22.313743, 11.182, GO11071_LC|GO11122_LC|GO11052_LC
204453133, 254.443389, -22.276732, 11.001, GO11002_LC|GO11052_LC
204470855, 252.720075, -22.205801, 9.404, GO11012_LC|GO11071_LC|GO11122_LC|GO11024_LC|GO11039_LC|GO11052_LC
204480233, 254.810444, -22.168963, 10.518, GO11049_LC|GO11071_LC|GO11122_LC|GO11024_LC|GO11050_LC|GO11052_LC
204484609, 253.09745, -22.151144, 10.651, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204485997, 254.512153, -22.145436, 10.331, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
204487716, 254.629906, -22.138574, 11.047, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204488605, 254.14983, -22.13499, 10.644, GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204492726, 254.635087, -22.117968, 10.667, GO11122_LC|GO11024_LC|GO11052_LC
204510284, 254.077649, -22.045439, 10.239, GO11101_LC|GO11052_LC|GO11127_LC
204510921, 253.666901, -22.042927, 9.092, GO11049_LC|GO11071_LC|GO11002_LC|GO11036_LC|GO11050_LC|GO11052_LC|GO11019_LC
204527042, 254.032944, -21.975746, 10.567, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204546002, 254.047686, -21.897402, 10.973, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204546743, 254.367037, -21.894165, 10.96, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204550234, 253.659983, -21.879598, 8.113, GO11113_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
204553253, 253.382359, -21.866812, 9.749, GO11071_LC|GO11122_LC|GO11052_LC
204563383, 254.888482, -21.823711, 10.472, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
204574887, 254.424701, -21.775267, 8.327, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
204591054, 253.875981, -21.707859, 10.191, GO11122_LC|GO11052_LC|GO11127_LC
204626125, 254.959629, -21.560199, 9.887, GO11071_LC|GO11122_LC|GO11052_LC
204626193, 253.980631, -21.559983, 10.279, GO11122_LC|GO11024_LC|GO11052_LC
204627634, 254.055031, -21.553806, 9.835, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
204629939, 253.857818, -21.544009, 10.328, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
204630013, 252.989063, -21.543704, 10.794, GO11122_LC|GO11038_LC|GO11052_LC
204630318, 253.085832, -21.542365, 10.831, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
204656501, 252.613812, -21.431255, 10.786, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
204680129, 252.985028, -21.330622, 9.677, GO11122_LC|GO11002_LC|GO11036_LC|GO11052_LC
204708035, 254.827724, -21.209142, 11.049, GO11071_LC|GO11122_LC|GO11052_LC
204737284, 253.747994, -21.08151, 9.69, GO11071_LC|GO11122_LC|GO11052_LC
204804677, 254.61776, -20.785634, 8.817, GO11122_LC|GO11002_LC|GO11024_LC|GO11052_LC|GO11019_LC
221115664, 266.206987, -29.746536, 10.044, GO11122_LC|GO11052_LC
221230980, 266.004542, -29.505914, 9.427, GO11113_LC|GO11122_LC|GO11101_LC|GO11052_LC
221274531, 265.740761, -29.41493, 10.289, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
221340075, 265.656405, -29.2807, 10.667, GO11071_LC|GO11122_LC|GO11052_LC
221434459, 265.491289, -29.092659, 9.104, GO11122_LC|GO11038_LC|GO11024_LC|GO11052_LC|GO11019_LC
221467802, 265.978396, -29.028256, 10.427, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
221488995, 265.972828, -28.988389, 10.699, GO11049_LC|GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
221497154, 265.87713, -28.972933, 10.884, GO11122_LC|GO11052_LC|GO11019_LC
221529794, 265.149666, -28.911889, 10.363, GO11123_LC|GO11052_LC
221531843, 264.995372, -28.907997, 10.109, GO11071_LC|GO11052_LC
221561231, 264.920287, -28.853356, 9.94, GO11049_LC|GO11122_LC|GO11002_LC|GO11095_LC|GO11086_LC|GO11052_LC|GO11019_LC
221597630, 265.884228, -28.788074, 10.764, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
221601156, 265.861872, -28.781923, 9.926, GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
221607841, 264.717781, -28.770371, 10.887, GO11122_LC|GO11052_LC
221625394, 265.848096, -28.739914, 11.239, GO11122_LC|GO11024_LC|GO11052_LC
221627134, 265.265929, -28.736833, 10.346, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
221645700, 265.981421, -28.704963, 11.305, GO11122_LC|GO11038_LC|GO11052_LC
221647234, 265.353085, -28.702374, 9.456, GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
221659487, 266.00174, -28.681423, 10.747, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
221662833, 265.831609, -28.675752, 10.525, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
221680216, 265.923651, -28.646219, 10.597, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
221706667, 264.889698, -28.601371, 11.347, GO11123_LC|GO11101_LC|GO11082_LC|GO11052_LC|GO11019_LC|GO11127_LC
221715725, 265.413584, -28.586339, 10.952, GO11071_LC|GO11122_LC|GO11052_LC
221755535, 264.586033, -28.520799, 11.287, GO11122_LC|GO11024_LC|GO11052_LC
221767967, 264.877293, -28.500556, 10.49, GO11122_LC|GO11052_LC|GO11019_LC
221788083, 265.832037, -28.46859, 10.581, GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
221798903, 265.726113, -28.451415, 9.961, GO11122_LC|GO11002_LC|GO11052_LC
221800513, 264.423346, -28.448768, 10.596, GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
221804163, 265.928925, -28.443032, 10.866, GO11122_LC|GO11052_LC
221806836, 265.737023, -28.438772, 10.714, GO11122_LC|GO11101_LC|GO11052_LC
221807806, 264.435951, -28.437282, 8.071, GO11113_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11127_LC
221812915, 265.054122, -28.429286, 10.478, GO11122_LC|GO11101_LC|GO11038_LC|GO11024_LC|GO11052_LC|GO11019_LC
221823709, 264.752764, -28.412556, 7.654, GO11012_LC|GO11122_LC|GO11024_LC|GO11039_LC|GO11052_LC|GO11019_LC|GO11012_SC
221835782, 264.837642, -28.393858, 9.81, GO11122_LC|GO11101_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11127_LC
221860056, 265.882457, -28.356618, 9.818, GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
