EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
223761953, 267.570354, -25.432696, 9.493, GO11113_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
223779931, 267.706777, -25.402181, 10.856, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
223815859, 268.241925, -25.341254, 11.473, GO11122_LC|GO11101_LC|GO11052_LC
223858033, 266.830756, -25.269703, 10.16, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
223866806, 266.534875, -25.254881, 9.444, GO11049_LC|GO11071_LC|GO11052_LC
223869987, 268.34838, -25.249481, 11.377, GO11038_LC|GO11052_LC
223869999, 268.348338, -25.249466, 11.522, GO11038_LC|GO11052_LC
223877191, 266.238, -25.237345, 10.757, GO11112_LC|GO11049_LC|GO11071_LC|GO11122_LC|GO11101_LC|GO11059_LC|GO11082_LC|GO11052_LC
223878759, 266.014633, -25.234678, 10.07, GO11071_LC|GO11122_LC|GO11052_LC
223903293, 267.490447, -25.193539, 10.937, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC
223906194, 266.932425, -25.188838, 8.428, GO11122_LC|GO11052_LC|GO11019_LC
223906564, 267.213003, -25.18828, 10.326, GO11122_LC|GO11024_LC|GO11052_LC
223938753, 267.812906, -25.133995, 10.663, GO11049_LC|GO11052_LC
223960302, 267.238589, -25.0976, 10.177, GO11122_LC|GO11052_LC|GO11127_LC
223975961, 267.82804, -25.070974, 9.283, GO11071_LC|GO11122_LC|GO11052_LC
223983332, 267.345992, -25.058516, 10.708, GO11122_LC|GO11052_LC|GO11127_LC
223995987, 266.627313, -25.036885, 10.894, GO11071_LC|GO11052_LC
223999325, 267.950529, -25.031048, 11.115, GO11071_LC|GO11122_LC|GO11101_LC|GO11082_LC|GO11052_LC
224003948, 266.358957, -25.02312, 10.854, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
224005838, 268.016228, -25.019915, 11.0, GO11071_LC|GO11122_LC|GO11052_LC
224063509, 266.816024, -24.920692, 9.866, GO11071_LC|GO11122_LC|GO11052_LC
224063665, 268.212842, -24.920389, 10.746, GO11122_LC|GO11052_LC
224087101, 267.737122, -24.879159, 10.9, GO11122_LC|GO11024_LC|GO11052_LC
224087320, 267.528882, -24.878779, 10.392, GO11071_LC|GO11122_LC|GO11052_LC
224091419, 267.876526, -24.871211, 9.96, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
224097075, 268.023718, -24.86111, 10.065, GO11122_LC|GO11024_LC|GO11052_LC|GO11127_LC
224112121, 267.293575, -24.834333, 9.861, GO11113_LC|GO11122_LC|GO11052_LC|GO11127_LC
224112999, 267.562257, -24.832761, 10.743, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
224120828, 266.893048, -24.818721, 10.688, GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
224138371, 267.674902, -24.787578, 10.795, GO11071_LC|GO11122_LC|GO11052_LC
224151341, 267.758894, -24.76441, 10.051, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
224163079, 266.550468, -24.743062, 10.093, GO11122_LC|GO11101_LC|GO11038_LC|GO11024_LC|GO11052_LC|GO11127_LC
224213356, 268.156944, -24.651812, 11.669, GO11122_LC|GO11038_LC|GO11052_LC
224262903, 267.650384, -24.561978, 10.45, GO11122_LC|GO11101_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11127_LC
224273534, 267.75028, -24.542457, 10.227, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
224291476, 267.817986, -24.509709, 9.023, GO11071_LC|GO11107_LC|GO11122_LC|GO11101_LC|GO11024_LC|GO11052_LC|GO11127_LC
224308411, 267.024202, -24.478946, 10.818, GO11071_LC|GO11122_LC|GO11052_LC
224318789, 267.304803, -24.459876, 11.774, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
224319791, 267.439379, -24.458057, 9.523, GO11107_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
224375273, 264.595992, -24.357827, 10.507, GO11071_LC|GO11122_LC|GO11052_LC
224384502, 264.820314, -24.341308, 10.959, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
224394580, 263.251479, -24.323205, 8.741, GO11071_LC|GO11122_LC|GO11024_LC|GO11086_LC|GO11052_LC
224415647, 264.54833, -24.28593, 10.24, GO11071_LC|GO11122_LC|GO11052_LC
224490019, 264.849901, -24.153728, 11.094, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC
224495835, 263.301771, -24.142943, 9.353, GO11071_LC|GO11122_LC|GO11052_LC
224500494, 263.34415, -24.134446, 11.016, GO11071_LC|GO11122_LC|GO11052_LC
224524884, 263.205488, -24.091182, 10.711, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
224553508, 264.691509, -24.041268, 9.196, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
224580277, 264.822399, -23.994857, 10.733, GO11071_LC|GO11122_LC|GO11052_LC
224594632, 264.587493, -23.969953, 10.871, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
224660603, 263.106691, -23.855714, 10.752, GO11071_LC|GO11122_LC|GO11052_LC
224667880, 263.462796, -23.842988, 11.091, GO11071_LC|GO11122_LC|GO11052_LC
224668666, 262.706654, -23.8416, 7.349, GO11122_LC|GO11039_LC|GO11052_LC|GO11019_LC
224694765, 263.870345, -23.796766, 10.159, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC|GO11019_LC
224720218, 264.14449, -23.753889, 10.25, GO11122_LC|GO11050_LC|GO11052_LC|GO11019_LC
224754523, 264.327434, -23.696065, 10.895, GO11113_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC
224802642, 264.108758, -23.615132, 10.318, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC|GO11019_LC
224829617, 264.338903, -23.569857, 10.257, GO11107_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC|GO11127_LC
224884968, 263.97045, -23.478018, 10.987, GO11123_LC|GO11052_LC
224937601, 263.224336, -23.390902, 10.479, GO11122_LC|GO11052_LC|GO11019_LC
224938189, 264.484267, -23.389921, 10.708, GO11122_LC|GO11052_LC|GO11019_LC
224938527, 264.445177, -23.389367, 8.576, GO11002_LC|GO11024_LC|GO11052_LC|GO11019_LC
224988439, 264.547924, -23.307246, 10.336, GO11107_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC
225015728, 262.451656, -23.262499, 9.509, GO11049_LC|GO11071_LC|GO11122_LC|GO11028_LC|GO11050_LC|GO11052_LC|GO11019_LC
225027981, 262.154177, -23.242498, 10.161, GO11049_LC|GO11122_LC|GO11050_LC|GO11052_LC|GO11019_LC
225033756, 263.531413, -23.233059, 9.931, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
225048843, 264.585096, -23.207986, 9.547, GO11049_LC|GO11122_LC|GO11002_LC|GO11036_LC|GO11050_LC|GO11052_LC|GO11019_LC
225068581, 262.762573, -23.175237, 8.92, GO11113_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
225070732, 261.505407, -23.171633, 8.135, GO11012_LC|GO11122_LC|GO11024_LC|GO11039_LC|GO11052_LC|GO11019_LC|GO11012_SC
225073769, 263.063855, -23.166591, 10.258, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
225110302, 262.598141, -23.104175, 10.915, GO11049_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11050_LC|GO11052_LC|GO11019_LC
225149364, 262.642933, -23.037398, 10.787, GO11122_LC|GO11038_LC|GO11052_LC
225152827, 263.509909, -23.031446, 7.356, GO11122_LC|GO11024_LC|GO11039_LC|GO11052_LC|GO11019_LC
225170743, 263.419018, -23.000366, 10.87, GO11122_LC|GO11052_LC|GO11019_LC
225171224, 262.987364, -22.999548, 9.771, GO11071_LC|GO11122_LC|GO11002_LC|GO11052_LC|GO11019_LC
225183634, 263.438798, -22.978209, 9.524, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
225199200, 262.527195, -22.951338, 8.863, GO11012_LC|GO11049_LC|GO11071_LC|GO11002_LC|GO11036_LC|GO11050_LC|GO11052_LC|GO11019_LC
225207849, 263.924066, -22.93616, 10.743, GO11122_LC|GO11052_LC|GO11019_LC
225280363, 264.268829, -22.807951, 10.1, GO11122_LC|GO11028_LC|GO11052_LC|GO11019_LC
225300403, 264.106345, -22.771643, 10.997, GO11071_LC|GO11122_LC|GO11101_LC|GO11082_LC|GO11052_LC|GO11019_LC
225369219, 263.387852, -22.648443, 9.08, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
225387450, 262.066592, -22.615791, 11.12, GO11071_LC|GO11122_LC|GO11052_LC
225406132, 264.515901, -22.581919, 8.095, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
225415691, 263.887163, -22.565063, 10.32, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
225428041, 264.009371, -22.542672, 8.597, GO11122_LC|GO11052_LC|GO11019_LC
225446307, 263.20146, -22.508639, 10.38, GO11071_LC|GO11122_LC|GO11052_LC
225483151, 264.120973, -22.441086, 8.933, GO11107_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
225492675, 263.016317, -22.423862, 11.103, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
225495734, 262.621272, -22.418223, 10.438, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
225595194, 264.141609, -22.234812, 10.781, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC
225602160, 263.551588, -22.222347, 9.486, GO11107_LC|GO11122_LC|GO11101_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11127_LC
225618802, 264.301528, -22.192051, 11.015, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
225681685, 264.362142, -22.078235, 10.077, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
225848395, 263.29091, -21.761304, 9.56, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
225945324, 263.21103, -21.571723, 10.504, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
225962122, 264.333267, -21.539116, 9.779, GO11107_LC|GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC|GO11127_LC
225988884, 263.757897, -21.487498, 9.626, GO11122_LC|GO11002_LC|GO11052_LC|GO11019_LC
225990054, 262.764426, -21.485288, 9.612, GO11109_LC|GO11122_LC|GO11002_LC|GO11101_LC|GO11024_LC|GO11052_LC|GO11902_LC
226016123, 262.144174, -21.435492, 9.913, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
226020583, 262.280164, -21.426631, 10.705, GO11049_LC|GO11123_LC|GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC
226021059, 263.094359, -21.425753, 10.492, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
226104601, 263.649868, -21.262731, 11.124, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC
226113210, 262.317301, -21.245614, 9.704, GO11049_LC|GO11071_LC|GO11122_LC|GO11002_LC|GO11052_LC
226177802, 263.591444, -21.117816, 10.573, GO11122_LC|GO11052_LC|GO11019_LC
226204174, 263.668404, -21.064452, 10.848, GO11049_LC|GO11122_LC|GO11052_LC|GO11019_LC
226209797, 263.682779, -21.052819, 10.623, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
226235614, 263.89798, -20.999287, 9.22, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
226253039, 262.067481, -20.963689, 8.437, GO11012_LC|GO11071_LC|GO11122_LC|GO11002_LC|GO11024_LC|GO11052_LC|GO11012_SC
226256676, 264.192735, -20.956251, 7.986, GO11122_LC|GO11002_LC|GO11024_LC|GO11052_LC|GO11019_LC
226290845, 263.300309, -20.885542, 10.937, GO11071_LC|GO11122_LC|GO11052_LC
226312865, 263.256806, -20.839411, 10.812, GO11071_LC|GO11122_LC|GO11052_LC
226326992, 263.913963, -20.809771, 8.88, GO11122_LC|GO11052_LC|GO11019_LC
226339600, 263.669131, -20.783366, 10.776, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
226399293, 263.839433, -20.657962, 10.389, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
226464131, 261.845051, -20.517059, 8.657, GO11012_LC|GO11122_LC|GO11024_LC|GO11039_LC|GO11052_LC|GO11019_LC|GO11012_SC
226487362, 261.811209, -20.464264, 10.742, GO11122_LC|GO11052_LC|GO11019_LC
226501546, 263.627457, -20.431024, 11.412, GO11071_LC|GO11036_LC|GO11052_LC|GO11019_LC
226501636, 263.627238, -20.430818, 11.11, GO11071_LC|GO11122_LC|GO11002_LC|GO11036_LC|GO11052_LC|GO11019_LC
226540309, 263.84992, -20.34205, 10.696, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
226552222, 261.807896, -20.314591, 9.285, GO11113_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11019_LC|GO11127_LC
226642518, 263.59837, -20.103134, 10.044, GO11122_LC|GO11052_LC
226690780, 261.700339, -19.987668, 9.485, GO11071_LC|GO11122_LC|GO11002_LC|GO11052_LC
226696623, 262.027702, -19.973739, 10.04, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
226709274, 262.283144, -19.942933, 11.17, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
226728233, 263.888708, -19.896595, 9.13, GO11071_LC|GO11122_LC|GO11002_LC|GO11024_LC|GO11052_LC
226754182, 262.782665, -19.83219, 10.14, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
226804388, 263.300959, -19.706367, 11.614, GO11071_LC|GO11122_LC|GO11101_LC|GO11052_LC|GO11127_LC
226824729, 262.663357, -19.655875, 10.433, GO11049_LC|GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
226862331, 263.531419, -19.56343, 10.152, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
226887557, 263.4664, -19.500946, 10.267, GO11071_LC|GO11122_LC|GO11052_LC
227186839, 263.573517, -18.776706, 9.89, GO11122_LC|GO11052_LC|GO11127_LC
227231984, 262.361265, -18.66422, 9.464, GO11109_LC|GO11122_LC|GO11052_LC
227255262, 263.587929, -18.606014, 10.009, GO11113_LC|GO11122_LC|GO11038_LC|GO11052_LC|GO11127_LC
227289372, 263.353746, -18.521102, 10.66, GO11122_LC|GO11052_LC
227362195, 263.362483, -18.339788, 7.687, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
227410388, 263.639112, -18.220834, 7.081, GO11002_LC|GO11052_LC
227447356, 262.435088, -18.129725, 10.51, GO11122_LC|GO11038_LC|GO11052_LC
227482606, 263.330939, -18.042658, 9.277, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
227530901, 262.502424, -17.918248, 10.197, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
227546022, 262.668748, -17.879423, 8.999, GO11012_LC|GO11122_LC|GO11002_LC|GO11024_LC|GO11052_LC|GO11019_LC
227562661, 263.49556, -17.836289, 7.901, GO11122_LC|GO11002_LC|GO11024_LC|GO11052_LC|GO11019_LC
227583584, 263.061811, -17.781942, 10.058, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
227654459, 262.436629, -17.592788, 9.011, GO11122_LC|GO11052_LC|GO11019_LC
227731612, 262.738278, -17.37347, 8.271, GO11049_LC|GO11122_LC|GO11048_LC|GO11052_LC|GO11019_LC
227807830, 262.803463, -17.142143, 8.59, GO11113_LC|GO11122_LC|GO11002_LC|GO11101_LC|GO11038_LC|GO11052_LC|GO11127_LC
227818592, 263.406889, -17.109501, 10.123, GO11107_LC|GO11122_LC|GO11038_LC|GO11052_LC|GO11127_LC
227918616, 262.998079, -16.791574, 10.043, GO11122_LC|GO11052_LC
227962381, 263.13503, -16.642864, 9.577, GO11122_LC|GO11038_LC|GO11052_LC|GO11127_LC
229409753, 253.491464, -28.952263, 8.515, GO11122_LC|GO11002_LC|GO11036_LC|GO11052_LC|GO11019_LC
229432566, 253.95471, -28.601579, 10.429, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
229443384, 253.408084, -28.403672, 9.684, GO11113_LC|GO11101_LC|GO11052_LC|GO11127_LC
229461937, 253.55992, -27.960399, 10.025, GO11122_LC|GO11052_LC
229470659, 253.940712, -27.648303, 10.239, GO11101_LC|GO11052_LC
229471870, 253.929666, -27.590484, 9.817, GO11038_LC|GO11052_LC
229472276, 253.612529, -27.569015, 8.774, GO11122_LC|GO11002_LC|GO11038_LC|GO11052_LC
229478092, 253.959529, -27.160577, 9.939, GO11122_LC|GO11002_LC|GO11052_LC
230194154, 256.201132, -17.957531, 7.801, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230229559, 257.268787, -17.569368, 8.416, GO11122_LC|GO11052_LC|GO11019_LC
230494187, 257.778261, -21.938811, 10.654, GO11071_LC|GO11122_LC|GO11052_LC
230495089, 255.896901, -21.930337, 11.526, GO11049_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
230496094, 256.597024, -21.920577, 11.499, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
230498609, 257.856345, -21.897385, 8.991, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230499607, 256.052941, -21.887881, 11.298, GO11122_LC|GO11024_LC|GO11052_LC
230501389, 256.104819, -21.870692, 10.747, GO11049_LC|GO11123_LC|GO11071_LC|GO11122_LC|GO11050_LC|GO11052_LC
230511209, 256.173978, -21.777054, 9.457, GO11049_LC|GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
230511762, 256.658185, -21.771866, 10.395, GO11049_LC|GO11123_LC|GO11071_LC|GO11122_LC|GO11052_LC
230519069, 256.382503, -21.70217, 10.447, GO11122_LC|GO11052_LC
230534568, 256.294837, -21.555992, 10.76, GO11071_LC|GO11122_LC|GO11002_LC|GO11052_LC
230539987, 257.2477, -21.505481, 10.706, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
230552291, 255.902171, -21.387949, 9.816, GO11122_LC|GO11052_LC
230557616, 257.117965, -21.337056, 10.855, GO11122_LC|GO11002_LC|GO11052_LC|GO11019_LC
230559412, 257.028646, -21.319295, 10.199, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
230559783, 256.543453, -21.315634, 9.544, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
230561460, 256.409775, -21.299582, 10.655, GO11071_LC|GO11122_LC|GO11052_LC
230570792, 255.626341, -21.208979, 9.827, GO11071_LC|GO11122_LC|GO11052_LC
230572392, 257.519693, -21.194379, 11.011, GO11071_LC|GO11122_LC|GO11052_LC
230572950, 257.411716, -21.188622, 11.062, GO11071_LC|GO11122_LC|GO11052_LC
230576491, 255.717247, -21.154948, 10.497, GO11122_LC|GO11038_LC|GO11052_LC|GO11127_LC
230588454, 256.065116, -21.042665, 9.069, GO11122_LC|GO11052_LC|GO11127_LC
230592953, 257.289897, -20.999603, 11.307, GO11071_LC|GO11122_LC|GO11052_LC
230611205, 256.258156, -20.825096, 9.941, GO11122_LC|GO11024_LC|GO11052_LC
230615512, 257.525341, -20.783671, 9.447, GO11107_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC
230616631, 257.367859, -20.773378, 8.508, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230618049, 257.292669, -20.759759, 10.008, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230631967, 257.181309, -20.627265, 10.405, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230648601, 257.283448, -20.469047, 10.201, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230649783, 257.349298, -20.458085, 10.224, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230650969, 257.365387, -20.447259, 11.234, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230653391, 257.841615, -20.424712, 7.507, GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC
230653899, 257.009719, -20.419815, 11.189, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC
230658113, 257.434651, -20.380162, 10.052, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230718142, 257.069531, -19.800422, 9.717, GO11071_LC|GO11122_LC|GO11002_LC|GO11098_LC|GO11024_LC|GO11052_LC|GO11019_LC
230719474, 256.513274, -19.786983, 9.653, GO11071_LC|GO11122_LC|GO11052_LC
230726475, 256.634501, -19.719649, 9.922, GO11071_LC|GO11122_LC|GO11052_LC
230730981, 257.22255, -19.676413, 9.763, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
230736405, 256.979916, -19.624652, 11.015, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC
230739405, 257.28775, -19.595892, 11.145, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC
230740586, 257.706202, -19.584965, 10.13, GO11122_LC|GO11038_LC|GO11024_LC|GO11052_LC
230741400, 257.398616, -19.576597, 10.776, GO11122_LC|GO11024_LC|GO11052_LC
230748267, 257.603248, -19.511105, 9.854, GO11107_LC|GO11052_LC
230753303, 255.901091, -19.462166, 9.758, GO11109_LC|GO11002_LC|GO11052_LC
230756009, 257.562235, -19.436265, 7.027, GO11122_LC|GO11002_LC|GO11052_LC|GO11019_LC|GO11127_LC
230759043, 257.104639, -19.40645, 9.513, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230762644, 256.399738, -19.37181, 9.966, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
230764706, 257.028904, -19.351352, 10.918, GO11071_LC|GO11122_LC|GO11052_LC|GO11019_LC
230776160, 256.848797, -19.240046, 9.639, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
230779342, 255.515658, -19.208835, 9.639, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
230823605, 255.839021, -18.776062, 10.284, GO11113_LC|GO11122_LC|GO11052_LC|GO11127_LC
230825789, 257.67234, -18.754923, 9.742, GO11122_LC|GO11052_LC|GO11127_LC
230832888, 256.3392, -18.684933, 9.55, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
230835780, 256.087397, -18.656398, 9.824, GO11122_LC|GO11024_LC|GO11052_LC
230838275, 256.575894, -18.631964, 9.771, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC|GO11019_LC
230857836, 257.03671, -18.437587, 9.957, GO11049_LC|GO11002_LC|GO11052_LC|GO11019_LC
230863832, 257.079512, -18.378205, 8.811, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
230875820, 257.281337, -18.256326, 8.478, GO11122_LC|GO11002_LC|GO11024_LC|GO11052_LC|GO11019_LC
230879998, 255.060509, -18.214165, 8.389, GO11071_LC|GO11122_LC|GO11048_LC|GO11002_LC|GO11024_LC|GO11052_LC|GO11019_LC
230884366, 257.112706, -18.170077, 8.424, GO11107_LC|GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC
230887315, 256.111844, -18.139048, 8.473, GO11012_LC|GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11012_SC
230889563, 256.451489, -18.116137, 7.949, GO11122_LC|GO11052_LC|GO11019_LC|GO11127_LC
230951232, 256.296606, -25.727314, 11.199, GO11122_LC|GO11002_LC|GO11052_LC
230967937, 255.345034, -25.635549, 10.146, GO11038_LC|GO11052_LC|GO11019_LC
230976057, 254.849607, -25.589778, 10.36, GO11122_LC|GO11038_LC|GO11052_LC|GO11019_LC
230977569, 256.878139, -25.580875, 10.821, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
230979390, 257.616597, -25.570855, 10.71, GO11122_LC|GO11052_LC
230994871, 257.650212, -25.48191, 10.488, GO11071_LC|GO11122_LC|GO11052_LC
230995585, 256.344113, -25.477502, 8.159, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
230998682, 256.963379, -25.458598, 8.859, GO11122_LC|GO11052_LC
231012520, 256.473572, -25.376181, 10.655, GO11071_LC|GO11122_LC|GO11052_LC
231016723, 256.17968, -25.351393, 9.99, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
231019327, 255.06885, -25.335851, 9.523, GO11122_LC|GO11052_LC|GO11019_LC
231022271, 257.869863, -25.318007, 9.442, GO11049_LC|GO11071_LC|GO11122_LC|GO11002_LC|GO11052_LC|GO11019_LC
231022389, 256.253574, -25.317443, 9.495, GO11071_LC|GO11122_LC|GO11098_LC|GO11024_LC|GO11052_LC
231026868, 256.708343, -25.290446, 10.386, GO11122_LC|GO11038_LC|GO11052_LC
231027316, 255.364253, -25.287544, 8.272, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
231034638, 256.17417, -25.242928, 11.185, GO11071_LC|GO11122_LC|GO11052_LC
231037706, 256.729804, -25.224005, 9.951, GO11071_LC|GO11122_LC|GO11052_LC
231040900, 257.854628, -25.20419, 10.679, GO11122_LC|GO11052_LC
231046148, 254.965823, -25.171892, 9.787, GO11122_LC|GO11002_LC|GO11038_LC|GO11052_LC|GO11019_LC
231051311, 255.511202, -25.139558, 10.63, GO11101_LC|GO11052_LC|GO11127_LC
231054615, 255.414939, -25.118284, 9.832, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
231056178, 256.870365, -25.108789, 10.555, GO11122_LC|GO11024_LC|GO11052_LC
231056263, 256.631997, -25.108256, 11.105, GO11122_LC|GO11038_LC|GO11052_LC
231059091, 254.83305, -25.089881, 10.358, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
231068161, 257.837184, -25.031636, 8.243, GO11122_LC|GO11024_LC|GO11052_LC|GO11019_LC
231068969, 256.995512, -25.026657, 10.775, GO11122_LC|GO11052_LC
231069572, 257.186897, -25.022926, 10.356, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
231081322, 257.708605, -24.946795, 8.267, GO11122_LC|GO11002_LC|GO11038_LC|GO11052_LC|GO11019_LC
231081534, 257.706015, -24.945413, 8.692, GO11122_LC|GO11052_LC|GO11019_LC
231086509, 257.151668, -24.912653, 10.56, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
231090900, 255.196099, -24.884019, 10.602, GO11071_LC|GO11122_LC|GO11098_LC|GO11052_LC|GO11019_LC
231097481, 257.665393, -24.840649, 11.026, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
231102479, 257.78893, -24.807122, 10.087, GO11122_LC|GO11052_LC
231104824, 256.471045, -24.791323, 10.621, GO11122_LC|GO11052_LC
231105828, 256.706163, -24.784574, 9.964, GO11122_LC|GO11024_LC|GO11052_LC
231107517, 256.944225, -24.773556, 9.206, GO11122_LC|GO11028_LC|GO11052_LC
231112361, 256.992124, -24.741995, 13.647, GO11021_LC|GO11052_LC
231117203, 256.653978, -24.709899, 9.595, GO11122_LC|GO11024_LC|GO11052_LC
231119482, 256.677116, -24.694854, 10.221, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
231121259, 256.772133, -24.682874, 10.645, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
231125775, 257.673408, -24.653003, 10.302, GO11049_LC|GO11071_LC|GO11122_LC|GO11052_LC
231129644, 256.842464, -24.626865, 9.987, GO11071_LC|GO11122_LC|GO11024_LC|GO11052_LC
231135327, 257.967021, -24.589093, 10.324, GO11122_LC|GO11052_LC
