EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212303372, 204.4676666, -17.4297295, 14.015, GO6016_LC
212304015, 204.5921021, -17.4094276, 14.067, GO6008_LC|GO6016_LC|GO6032_LC|GO6054_LC
212304096, 204.1376495, -17.4065914, 14.273, GO6016_LC|GO6032_LC
212304104, 204.5961761, -17.4064331, 13.504, GO6016_LC|GO6032_LC|GO6054_LC
212304845, 207.0247345, -17.3841476, 14.985, GO6016_LC
212306003, 206.1472321, -17.3500061, 13.225, GO6016_LC|GO6030_LC
212306126, 199.8425598, -17.3463707, 12.437, GO6016_LC|GO6030_LC
212306578, 203.390152, -17.3326759, 13.149, GO6016_LC|GO6030_LC
212306636, 207.7185822, -17.3311253, 13.832, GO6016_LC|GO6030_LC
212306748, 207.7209015, -17.3279381, 14.184, GO6016_LC
212307479, 203.0039825, -17.3070679, 14.286, GO6016_LC
212308530, 207.138092, -17.2774086, 14.695, GO6008_LC|GO6016_LC
212309760, 204.29953, -17.240633, 13.816, GO6016_LC|GO6032_LC
212309773, 204.2965851, -17.2403011, 14.033, GO6016_LC
212310371, 200.5160828, -17.2220364, 14.77, GO6016_LC
212310858, 207.4056549, -17.2083397, 14.98, GO6008_LC|GO6016_LC
212311534, 208.0856323, -17.1891518, 14.494, GO6008_LC|GO6016_LC|GO6032_LC
212311906, 202.7919159, -17.1791515, 14.111, GO6016_LC
212313406, 207.1290741, -17.1348286, 13.329, GO6016_LC|GO6030_LC
212314590, 200.9495087, -17.0986633, 14.598, GO6008_LC|GO6016_LC|GO6032_LC
212315267, 208.0935974, -17.0797234, 13.76, GO6016_LC|GO6030_LC|GO6043_LC
212315336, 203.5479584, -17.0778179, 14.145, GO6016_LC
212315707, 203.5431519, -17.0677204, 14.73, GO6016_LC
212316634, 206.5986176, -17.0418701, 11.249, GO6016_LC
212316853, 207.7619781, -17.0357304, 14.886, GO6016_LC|GO6054_LC
212316905, 207.7660065, -17.0339966, 14.479, GO6016_LC|GO6032_LC|GO6054_LC
212317804, 200.514389, -17.010006, 14.335, GO6016_LC
212318223, 207.7861786, -16.9985466, 14.627, GO6016_LC|GO6032_LC
212318392, 206.1773682, -16.9940109, 14.617, GO6016_LC|GO6032_LC
212318857, 203.6191559, -16.9814186, 14.726, GO6016_LC|GO6054_LC
212319205, 203.0643311, -16.9708443, 14.179, GO6008_LC|GO6016_LC
212320717, 201.2470245, -16.9270153, 14.906, GO6008_LC|GO6016_LC|GO6071_LC
212321953, 206.1515808, -16.8906937, 12.873, GO6016_LC|GO6030_LC|GO6043_LC
212322020, 206.1503754, -16.8885975, 13.369, GO6016_LC|GO6030_LC
212322076, 204.3241882, -16.8871288, 14.424, GO6016_LC
212322182, 204.390625, -16.884201, 14.743, GO6016_LC
212323171, 201.5260773, -16.8584881, 6.341, GO6016_LC|GO6075_LC
212323190, 205.9657288, -16.8580418, 14.861, GO6016_LC
212323345, 199.9365387, -16.8539734, 14.937, GO6016_LC
212323503, 201.8392487, -16.8490715, 14.944, GO6016_LC
212323521, 208.0930328, -16.8484573, 14.395, GO6008_LC|GO6016_LC|GO6032_LC
212323769, 203.8620605, -16.8411579, 14.569, GO6016_LC
212323776, 203.8599854, -16.8409367, 14.49, GO6016_LC
212324774, 206.1518097, -16.8116856, 12.008, GO6016_LC|GO6032_LC
212324836, 200.0224152, -16.8102608, 14.413, GO6016_LC
212324925, 206.1481934, -16.8076725, 13.042, GO6016_LC|GO6030_LC
212325786, 203.3881226, -16.7838383, 13.064, GO6016_LC
212326145, 204.6529846, -16.7737808, 14.387, GO6016_LC
212326908, 207.2048645, -16.7518425, 11.954, GO6016_LC|GO6032_LC|GO6078_LC|GO6084_LC
212327041, 207.2068634, -16.7481613, 12.29, GO6016_LC|GO6032_LC|GO6084_LC
212327341, 203.1112366, -16.7402515, 14.835, GO6016_LC
212327733, 207.2673035, -16.7287827, 14.63, GO6008_LC|GO6016_LC|GO6032_LC
212327812, 207.5162964, -16.7266331, 14.445, GO6008_LC|GO6016_LC|GO6032_LC
212327944, 205.2294769, -16.7239075, 14.844, GO6008_LC|GO6016_LC
212329298, 207.8775024, -16.6859283, 13.204, GO6008_LC|GO6016_LC|GO6030_LC|GO6071_LC
212329330, 207.8758392, -16.6849194, 12.534, GO6008_LC|GO6016_LC|GO6032_LC|GO6071_LC|GO6086_LC
212329867, 204.0808411, -16.6706715, 14.808, GO6008_LC|GO6016_LC|GO6071_LC
