# Summary of K2 Program GO16001

Title: Gyrochronology and Magnetic Activity in Wide Binaries with K2

PI: Davenport, James Robert Arthur (Western Washington University)
CoIs: Otani, Tomomi; Buzasi, Derek L; Oswalt, Terry D

We propose to observe approximately 660 wide binary star systems with K2 to simultaneously constrain their rotation periods and flare rates. These systems will allow us to improve calibrations of the age-rotation-activity relationship for field stars across a wide range in age. Flare rates and rotation periods will be measured using previously developed toolkits, and this sample will add to the ongoing analysis of Kepler and K2 wide binary systems.

Stars lose angular momentum as they age, causing their rotation periods to decline at a predictable rate. This "gyrochronology" method provides us with a means to determine stellar ages to within ~10% for Sun-like stars (Barnes 2010 ApJ 722 222). Wide binary systems help to extend the usable mass and age range for gyrochronology, and will be able to test new models of weakened magnetic braking in old field stars (e.g. van Saders et al. 2016 Nature, 529, 181).  A subset of the proposed sample contains white dwarf components whose cooling ages provide a benchmark against which their main sequence companions rotation ages may be compared.
211879192, 134.594194, 18.424573, 12.962, GO16001_LC|GO16005_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16052_LC|GO16074_LC|GO16083_LC
211906132, 131.373281, 18.817486, 8.056, GO16001_LC|GO16021_LC|GO16028_LC|GO16063_LC
211909987, 131.335545, 18.875395, 8.859, GO16001_LC|GO16021_LC|GO16031_LC|GO16060_LC
211910977, 131.32504, 18.890366, 9.561, GO16001_LC|GO16021_LC|GO16022_LC|GO16028_LC|GO16031_LC|GO16060_LC|GO16065_LC
211914045, 129.797676, 18.934938, 11.132, GO16001_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16052_LC
211918335, 130.007101, 18.999848, 10.042, GO16001_LC|GO16009_LC|GO16010_LC|GO16021_LC|GO16022_LC|GO16028_LC|GO16031_LC|GO16060_LC|GO16065_LC
211920612, 130.9839, 19.034175, 8.433, GO16001_LC|GO16009_LC|GO16021_LC|GO16038_LC|GO16044_LC|GO16065_LC|GO16038_SC
211933891, 131.669218, 19.233635, 10.387, GO16001_LC|GO16021_LC
211935518, 130.476516, 19.257418, 11.181, GO16001_LC|GO16009_LC|GO16021_LC|GO16022_LC|GO16031_LC|GO16060_LC|GO16065_LC|GO16071_LC
211954451, 129.961314, 19.540814, 6.409, GO16001_LC|GO16003_LC|GO16031_LC
211955190, 129.985399, 19.552991, 7.337, GO16001_LC|GO16006_LC|GO16021_LC|GO16031_LC
211957527, 137.042131, 19.58805, 13.16, GO16001_LC|GO16005_LC|GO16021_LC|GO16052_LC
211962912, 130.092028, 19.669939, 6.236, GO16001_LC|GO16003_LC|GO16031_LC
211964025, 130.086448, 19.686737, 7.605, GO16001_LC|GO16006_LC|GO16010_LC|GO16021_LC|GO16031_LC
212015356, 136.678861, 20.509862, 8.36, GO16001_LC|GO16041_LC|GO16052_LC|GO16065_LC
212019900, 134.099021, 20.584477, 10.837, GO16001_LC|GO16021_LC
212038083, 132.837738, 20.890027, 10.284, GO16001_LC|GO16021_LC|GO16028_LC
212070276, 126.889398, 21.460888, 9.118, GO16001_LC|GO16009_LC|GO16021_LC|GO16028_LC
212159393, 136.307008, 23.240375, 12.199, GO16001_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16052_LC|GO16083_LC
212160907, 131.334047, 23.273798, 12.329, GO16001_LC|GO16009_LC|GO16021_LC
212161918, 134.312559, 23.296435, 12.495, GO16001_LC|GO16052_LC
212165121, 133.03864, 23.372946, 11.545, GO16001_LC|GO16009_LC
212168289, 134.108029, 23.446228, 12.259, GO16001_LC|GO16009_LC|GO16021_LC
212181661, 135.205252, 23.780045, 8.95, GO16001_LC|GO16009_LC|GO16010_LC|GO16021_LC|GO16028_LC|GO16034_LC|GO16041_LC|GO16063_LC
212181684, 130.737351, 23.780693, 11.418, GO16001_LC|GO16021_LC|GO16028_LC
212182310, 130.491859, 23.798885, 8.758, GO16001_LC|GO16004_LC
212188298, 131.727452, 23.958291, 12.121, GO16001_LC|GO16009_LC|GO16021_LC|GO16052_LC|GO16083_LC
212188653, 133.250399, 23.967364, 11.114, GO16001_LC|GO16009_LC|GO16021_LC|GO16028_LC
212194110, 130.500117, 24.11669, 12.819, GO16001_LC|GO16009_LC|GO16020_LC|GO16021_LC
212194811, 130.761487, 24.137161, 9.84, GO16001_LC|GO16010_LC|GO16020_LC|GO16037_LC|GO16052_LC|GO16063_LC
212205954, 134.496897, 24.472923, 11.785, GO16001_LC|GO16009_LC|GO16039_LC|GO16065_LC|GO16083_LC
212207080, 130.368344, 24.509085, 11.159, GO16001_LC|GO16021_LC|GO16028_LC|GO16083_LC
251287671, 139.640812, 15.270736, 12.967, GO16001_LC|GO16005_LC|GO16009_LC|GO16041_LC|GO16052_LC|GO16083_LC
251317129, 139.952961, 18.270408, 9.84, GO16001_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC
251322682, 140.446311, 18.746338, 8.436, GO16001_LC|GO16009_LC|GO16021_LC|GO16028_LC|GO16063_LC
251327508, 140.772478, 19.157679, 11.42, GO16001_LC|GO16005_LC|GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16031_LC|GO16041_LC|GO16052_LC|GO16083_LC
251379331, 137.197791, 23.405202, 12.892, GO16001_LC|GO16009_LC|GO16021_LC
251387264, 136.372091, 23.95915, 11.371, GO16001_LC|GO16052_LC
251408086, 137.089344, 25.252952, 11.762, GO16001_LC|GO16021_LC|GO16083_LC
