EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246615751, 72.144012, 13.427207, 11.838, GO13009_LC
246628676, 73.206749, 13.617936, 11.002, GO13009_LC|GO13048_LC
246646208, 70.994018, 13.865031, 12.117, GO13009_LC
246650193, 72.426172, 13.919835, 14.001, GO13123_LC|GO13009_LC
246670996, 70.987011, 14.200571, 12.6, GO13009_LC
246676629, 74.868392, 14.273303, 14.261, GO13009_LC
246682490, 74.769616, 14.348877, 13.531, GO13009_LC
246695532, 74.942391, 14.515401, 11.404, GO13117_LC|GO13049_LC|GO13123_LC|GO13009_LC|GO13048_LC|GO13016_LC|GO13082_LC
246702820, 72.833216, 14.608468, 9.843, GO13123_LC|GO13009_LC
246718076, 75.617285, 14.796949, 12.897, GO13123_LC|GO13009_LC
246719002, 67.869962, 14.808499, 12.229, GO13009_LC
246726527, 75.876073, 14.901155, 10.811, GO13009_LC|GO13098_LC
246727991, 74.858738, 14.919218, 9.366, GO13071_LC|GO13009_LC|GO13122_LC|GO13024_LC
246730187, 74.316027, 14.94575, 13.436, GO13009_LC
246730761, 74.649562, 14.952396, 14.811, GO13123_LC|GO13009_LC
246731470, 74.076107, 14.960934, 12.399, GO13123_LC|GO13009_LC
246734770, 72.531665, 15.000043, 13.415, GO13009_LC
246742340, 75.101331, 15.090351, 9.814, GO13071_LC|GO13009_LC|GO13122_LC|GO13002_LC|GO13024_LC|GO13082_LC
246745532, 69.098416, 15.127279, 12.779, GO13009_LC
246746662, 71.466557, 15.140579, 10.194, GO13071_LC|GO13009_LC|GO13122_LC|GO13019_LC
246747304, 68.15841, 15.147928, 16.834, GO13009_LC
246750060, 75.007934, 15.180431, 11.334, GO13123_LC|GO13009_LC
246752099, 70.80453, 15.204283, 11.697, GO13009_LC
246752392, 70.925117, 15.207648, 12.028, GO13009_LC
246756030, 68.476909, 15.248499, 12.296, GO13123_LC|GO13009_LC
246757781, 68.889445, 15.269121, 11.266, GO13123_LC|GO13009_LC
246758668, 77.745452, 15.279754, 11.489, GO13009_LC|GO13048_LC
246760205, 74.25269, 15.298097, 10.176, GO13117_LC|GO13071_LC|GO13009_LC|GO13122_LC|GO13016_LC|GO13002_LC|GO13082_LC
246762724, 73.002085, 15.327233, 12.082, GO13009_LC|GO13048_LC
246763563, 78.267688, 15.337097, 12.558, GO13009_LC
246765756, 74.195021, 15.362768, 14.432, GO13117_LC|GO13123_LC|GO13009_LC|GO13016_LC|GO13082_LC
246770655, 74.323576, 15.419298, 9.974, GO13117_LC|GO13123_LC|GO13009_LC|GO13016_LC|GO13002_LC|GO13082_LC
246776923, 69.41478, 15.489403, 14.047, GO13009_LC
246777371, 77.750726, 15.494053, 11.981, GO13123_LC|GO13009_LC
246786926, 76.617877, 15.598966, 10.905, GO13009_LC|GO13048_LC
246788123, 76.828785, 15.611819, 12.745, GO13009_LC
246791024, 74.529534, 15.644452, 10.769, GO13123_LC|GO13009_LC|GO13052_LC|GO13903_LC
246796319, 68.557024, 15.701759, 12.511, GO13123_LC|GO13009_LC
246798563, 69.615211, 15.727223, 12.915, GO13117_LC|GO13009_LC|GO13016_LC|GO13082_LC
246798693, 74.852362, 15.728412, 12.32, GO13123_LC|GO13009_LC
246799660, 75.25157, 15.738451, 11.092, GO13123_LC|GO13009_LC|GO13098_LC
246801415, 72.43765, 15.757658, 11.535, GO13009_LC
246802443, 69.661877, 15.767938, 13.377, GO13009_LC
246802680, 69.66279, 15.770447, 10.471, GO13117_LC|GO13049_LC|GO13009_LC|GO13016_LC|GO13002_LC|GO13082_LC|GO13903_LC
246815623, 74.056548, 15.906084, 12.124, GO13117_LC|GO13123_LC|GO13009_LC|GO13016_LC|GO13082_LC|GO13118_LC
246818496, 70.599272, 15.936375, 12.925, GO13049_LC|GO13009_LC
246819979, 70.529255, 15.952634, 10.482, GO13049_LC|GO13071_LC|GO13009_LC|GO13122_LC
246823393, 69.235158, 15.98821, 11.605, GO13123_LC|GO13009_LC
246825172, 74.235602, 16.006899, 13.523, GO13117_LC|GO13123_LC|GO13009_LC|GO13016_LC|GO13082_LC|GO13118_LC
246831226, 68.996601, 16.070447, 13.18, GO13123_LC|GO13009_LC
246835564, 73.300644, 16.115061, 12.947, GO13009_LC
246843815, 76.425507, 16.198325, 9.109, GO13009_LC|GO13019_LC
246844015, 77.404556, 16.200462, 12.909, GO13123_LC|GO13009_LC
246846411, 73.752021, 16.224512, 12.202, GO13009_LC
246848340, 74.05315, 16.244795, 14.765, GO13009_LC
246850182, 75.499376, 16.263371, 11.623, GO13009_LC|GO13048_LC
246863138, 75.520999, 16.391663, 12.225, GO13009_LC
246866887, 70.891362, 16.430314, 12.383, GO13123_LC|GO13009_LC
246867518, 71.315464, 16.436481, 13.182, GO13009_LC
246875826, 77.694496, 16.5166, 9.96, GO13123_LC|GO13009_LC|GO13098_LC
246877387, 70.760227, 16.532265, 14.092, GO13123_LC|GO13009_LC
246885255, 68.742257, 16.610187, 12.444, GO13123_LC|GO13009_LC
246899244, 71.481262, 16.746386, 10.918, GO13071_LC|GO13009_LC|GO13122_LC|GO13065_LC
246904877, 77.052522, 16.799901, 11.112, GO13123_LC|GO13009_LC
246912374, 70.586028, 16.872475, 12.438, GO13123_LC|GO13009_LC
246916617, 71.503548, 16.914331, 14.636, GO13009_LC
246918781, 68.435406, 16.935574, 11.119, GO13123_LC|GO13009_LC|GO13048_LC
246921672, 71.669983, 16.963969, 12.951, GO13123_LC|GO13009_LC
246923013, 76.615701, 16.977535, 9.718, GO13009_LC
246923113, 71.775872, 16.978558, 10.545, GO13117_LC|GO13009_LC|GO13016_LC|GO13082_LC|GO13058_LC|GO13119_LC|GO13005_LC|GO13118_LC|GO13117_SC|GO13118_SC
246923297, 72.391622, 16.980194, 11.227, GO13049_LC|GO13071_LC|GO13009_LC|GO13122_LC
246925324, 71.721091, 17.000025, 12.57, GO13117_LC|GO13009_LC|GO13016_LC|GO13002_LC|GO13082_LC|GO13119_LC|GO13005_LC|GO13118_LC|GO13117_SC|GO13119_SC
246926943, 72.163505, 17.016273, 10.415, GO13071_LC|GO13009_LC
246929818, 71.745747, 17.043852, 12.746, GO13117_LC|GO13071_LC|GO13009_LC|GO13016_LC|GO13002_LC|GO13121_LC|GO13082_LC|GO13119_LC|GO13118_LC
246931408, 77.87002, 17.059148, 11.17, GO13123_LC|GO13009_LC|GO13048_LC
246931542, 72.174582, 17.060398, 14.848, GO13117_LC|GO13009_LC|GO13118_LC
246932072, 68.439796, 17.065267, 11.429, GO13009_LC
246932950, 68.896933, 17.073317, 9.404, GO13049_LC|GO13071_LC|GO13009_LC|GO13122_LC|GO13024_LC
