# Summary of K2 Program GO14001

Title: Gyrochronology and Magnetic Activity in Wide Binaries with K2

PI: Davenport, James Robert Arthur (Western Washington University)
CoIs: Otani, Tomomi; Buzasi, Derek L; Oswalt, Terry D

We propose to observe approximately 660 wide binary star systems with K2 to simultaneously constrain their rotation periods and flare rates. These systems will allow us to improve calibrations of the age-rotation-activity relationship for field stars across a wide range in age. Flare rates and rotation periods will be measured using previously developed toolkits, and this sample will add to the ongoing analysis of Kepler and K2 wide binary systems.

Stars lose angular momentum as they age, causing their rotation periods to decline at a predictable rate. This "gyrochronology" method provides us with a means to determine stellar ages to within ~10% for Sun-like stars (Barnes 2010 ApJ 722 222). Wide binary systems help to extend the usable mass and age range for gyrochronology, and will be able to test new models of weakened magnetic braking in old field stars (e.g. van Saders et al. 2016 Nature, 529, 181).  A subset of the proposed sample contains white dwarf components whose cooling ages provide a benchmark against which their main sequence companions rotation ages may be compared.

Because slower rotation weakens the internal magnetic dynamo, flare rates are predicted to decline over time. As a result, older stars like the Sun exhibit very few "super flares". The detailed evolution of flare rates for main sequence stars of spectral types G, K, and M is poorly constrained, however, due to the small number of flare stars with known ages. Any wide binary component with a measurable flare rate and rotation age is extremely valuable for such calibrations. These systems will also become important benchmarks for other facets of magnetic activity, such as tracking the evolution of activity cycles and starspot filling factors.

# Targets requested by this program that have been observed (249)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
248474515, 158.080899, 2.313762, 15.767, GO14041_LC|GO14001_LC|GO14052_LC|GO14005_LC|GO14083_LC
248475943, 156.832544, 2.357399, 11.504, GO14001_LC|GO14009_LC|GO14021_LC
248476320, 156.054903, 2.368017, 7.729, GO14003_LC|GO14025_LC|GO14068_LC|GO14063_LC|GO14001_LC|GO14004_LC
248480964, 156.306896, 2.524777, 16.261, GO14001_LC
248482653, 157.916435, 2.585991, 10.576, GO14001_LC|GO14021_LC
248483005, 156.204759, 2.597486, 15.453, GO14074_LC|GO14001_LC|GO14052_LC
248485175, 156.347599, 2.666956, 15.39, GO14001_LC
248496236, 158.976074, 3.026575, 16.183, GO14001_LC
248497653, 159.316245, 3.072956, 11.64, GO14001_LC|GO14009_LC|GO14021_LC|GO14020_LC|GO14083_LC
248501140, 159.80415, 3.177705, 14.862, GO14041_LC|GO14001_LC|GO14052_LC|GO14039_LC
248510605, 160.095688, 3.478932, 14.542, GO14041_LC|GO14074_LC|GO14001_LC|GO14052_LC|GO14005_LC|GO14083_LC
248511792, 160.982366, 3.51539, 16.875, GO14001_LC
248513468, 156.875874, 3.563547, 7.88, GO14003_LC|GO14001_LC
248513884, 159.977889, 3.575324, 16.39, GO14001_LC
248513903, 157.288419, 3.57579, 16.233, GO14084_LC|GO14001_LC
