EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
245924321, 353.496484, -11.995271, 10.67, GO12019_LC|GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC
245924476, 353.245906, -11.987614, 8.328, GO12019_LC|GO12052_LC|GO12039_LC|GO12024_LC|GO12122_LC
245924682, 353.432145, -11.977996, 11.074, GO12019_LC|GO12052_LC
245924774, 353.040883, -11.97295, 9.543, GO12019_LC|GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC
245924775, 353.396095, -11.972936, 14.151, GO12019_LC|GO12123_LC
245925509, 353.800326, -11.937303, 14.87, GO12019_LC|GO12123_LC
245925695, 352.91571, -11.92775, 15.837, GO12019_LC|GO12123_LC
245929017, 352.806491, -11.766384, 15.343, GO12019_LC|GO12123_LC
245929667, 352.981204, -11.733939, 15.446, GO12019_LC|GO12123_LC
245931121, 348.317704, -11.660968, 14.446, GO12019_LC|GO12123_LC
245932763, 353.806466, -11.5803, 14.56, GO12019_LC|GO12018_LC|GO12123_LC
245932815, 353.800157, -11.577651, 8.163, GO12019_LC|GO12052_LC|GO12028_LC|GO12024_LC|GO12002_LC|GO12122_LC
245932827, 353.800169, -11.577066, 9.633, GO12019_LC|GO12071_LC
245933019, 352.771838, -11.567174, 15.83, GO12019_LC|GO12123_LC
245933690, 353.483172, -11.532904, 9.182, GO12019_LC|GO12123_LC
245934004, 353.705367, -11.517222, 14.946, GO12019_LC|GO12123_LC
245935401, 352.021647, -11.449751, 6.157, GO12019_LC|GO12035_LC|GO12048_LC|GO12904_LC
245935535, 348.563274, -11.44334, 15.311, GO12019_LC|GO12123_LC
245935658, 351.36412, -11.437187, 13.099, GO12019_LC|GO12122_LC
245935707, 351.359716, -11.4352, 13.076, GO12019_LC|GO12123_LC
245935805, 351.50439, -11.430642, 14.584, GO12019_LC|GO12018_LC|GO12123_LC
245937834, 353.164002, -11.32918, 9.106, GO12019_LC|GO12036_LC|GO12024_LC|GO12002_LC|GO12122_LC|GO12071_LC|GO12049_LC
245939039, 351.533556, -11.269613, 13.885, GO12019_LC|GO12048_LC|GO12123_LC
245939801, 348.500562, -11.232952, 15.678, GO12019_LC|GO12123_LC
245940399, 353.49354, -11.205337, 14.084, GO12019_LC|GO12018_LC|GO12123_LC
245940514, 352.140971, -11.200205, 14.593, GO12019_LC|GO12018_LC|GO12123_LC
245942121, 349.943917, -11.128305, 12.929, GO12019_LC|GO12122_LC|GO12071_LC|GO12123_LC
245942737, 353.390549, -11.104195, 15.005, GO12019_LC|GO12123_LC
245943752, 350.007899, -11.065831, 15.594, GO12019_LC|GO12123_LC
245943813, 352.596441, -11.063371, 15.512, GO12019_LC|GO12123_LC
245943893, 350.294339, -11.061049, 14.198, GO12019_LC|GO12123_LC
245944681, 351.689555, -11.032598, 8.471, GO12127_LC|GO12019_LC|GO12052_LC|GO12113_LC
245944808, 351.681077, -11.027962, 14.508, GO12019_LC|GO12123_LC
245944977, 355.127411, -11.022064, 13.459, GO12019_LC|GO12015_LC
245945743, 352.984564, -10.994583, 8.59, GO12019_LC|GO12028_LC|GO12048_LC
245945898, 354.670333, -10.989639, 15.685, GO12019_LC|GO12123_LC
245946954, 348.725554, -10.95225, 13.796, GO12019_LC|GO12122_LC
245947003, 348.729994, -10.950843, 13.512, GO12019_LC|GO12122_LC
245948843, 351.994108, -10.889439, 15.794, GO12019_LC|GO12123_LC
245951126, 353.822744, -10.819521, 14.328, GO12019_LC|GO12018_LC|GO12123_LC
245951438, 347.72275, -10.810027, 14.344, GO12019_LC|GO12123_LC
245951843, 353.693855, -10.797906, 14.46, GO12019_LC|GO12123_LC
245951899, 353.694546, -10.795944, 14.46, GO12019_LC|GO12123_LC
245952824, 353.742807, -10.765801, 14.293, GO12019_LC|GO12018_LC|GO12123_LC
245955763, 347.770819, -10.675551, 9.972, GO12019_LC|GO12052_LC|GO12024_LC|GO12122_LC
245957901, 348.112495, -10.615242, 14.339, GO12019_LC|GO12018_LC|GO12123_LC
245958329, 353.170562, -10.603309, 15.705, GO12019_LC|GO12123_LC
245958677, 353.54269, -10.593411, 14.019, GO12019_LC|GO12123_LC
245960234, 355.135896, -10.55021, 14.397, GO12019_LC|GO12018_LC|GO12123_LC
245961244, 349.879455, -10.522575, 14.124, GO12019_LC|GO12018_LC|GO12123_LC
245961434, 347.489125, -10.516718, 8.119, GO12019_LC|GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12012_LC|GO12012_SC
245961513, 353.425628, -10.514259, 13.7, GO12019_LC|GO12002_LC|GO12122_LC|GO12123_LC|GO12014_LC
245961552, 349.830615, -10.51332, 15.742, GO12019_LC|GO12123_LC
245961598, 354.707517, -10.511764, 14.575, GO12019_LC|GO12018_LC|GO12123_LC
245961614, 353.426173, -10.511349, 14.056, GO12019_LC|GO12123_LC|GO12014_LC
245961683, 347.869972, -10.509535, 9.075, GO12019_LC|GO12052_LC|GO12024_LC|GO12122_LC|GO12904_LC
245962105, 353.571775, -10.497496, 15.188, GO12019_LC|GO12123_LC
245962544, 349.253802, -10.485153, 15.621, GO12019_LC|GO12123_LC
245963689, 352.249647, -10.453377, 13.548, GO12019_LC|GO12122_LC
245964784, 347.710111, -10.423498, 10.187, GO12019_LC|GO12052_LC|GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC
245964880, 349.035098, -10.420661, 13.508, GO12019_LC|GO12122_LC
245965884, 353.153247, -10.393999, 15.701, GO12019_LC|GO12123_LC
245966016, 353.059064, -10.390109, 9.914, GO12019_LC|GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC
245967873, 347.348038, -10.336869, 9.95, GO12019_LC|GO12024_LC|GO12048_LC|GO12122_LC|GO12071_LC|GO12049_LC
245967890, 348.149237, -10.33623, 9.104, GO12019_LC|GO12024_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12904_LC
245968646, 348.549015, -10.315648, 13.704, GO12019_LC|GO12123_LC
245969565, 347.797574, -10.290548, 14.474, GO12019_LC|GO12123_LC
245971879, 350.731345, -10.228235, 15.706, GO12019_LC|GO12123_LC
245971930, 355.255882, -10.22687, 14.126, GO12019_LC|GO12018_LC|GO12123_LC
245972163, 355.418123, -10.220086, 15.883, GO12019_LC|GO12123_LC
245972373, 348.0281, -10.21441, 14.392, GO12019_LC|GO12123_LC
245973031, 356.090815, -10.195188, 15.859, GO12019_LC|GO12040_LC
245973053, 355.694497, -10.194542, 14.181, GO12019_LC|GO12123_LC
245973246, 351.107046, -10.18933, 14.402, GO12019_LC|GO12123_LC
245974508, 352.714312, -10.155774, 9.229, GO12019_LC|GO12052_LC|GO12024_LC|GO12122_LC
245975225, 353.269444, -10.135756, 15.627, GO12019_LC|GO12123_LC
