# Summary of K2 Program GO12036

Title: Searching For Planets In Binary Stars

PI: Wang, Ji (California Institute of Technology)
CoIs: Riddle, Reed L; Baranec, Christoph; Law, Nicholas M; Jensen-Clem, Rebecca; Salama, Maissa; Mawet, Dimitri Paul Quentin; Huang, Xu; Duev, Dmitry

Prior to the launch of the Kepler mission, we already knew that there are hundreds of binary stars in its field of view. For these binary stars, we find a striking deficiency of small planets. We propose to observe more known binary stars to confirm the deficiency. We consider only S-type circumstellar planet system, in which a planet orbits one of the binary stars, NOT circumbinary planets (P-type).

Our sample consists of 1208 binary stars, which represents the largest sample of binary stars for planet search. This sample will allow us to study small and large planets in binary stars. The former can be uniquely probed by the K2 mission. We will reduce the measurement uncertainty by a factor of 2-3, which will place better constraints on the occurrence rate of planets in binary stars

Targeting binary stars with no prior information of planet helps to unambiguously address the planet occurrence rate in binary stars. Increasing the sample size helps not only to confirm the deficiency of planets in binary stars but also study the influence of stellar companions on planets with different sizes and orbital separations. Future NASA mission in search of habitable worlds will inevitably encounter with this question: to select binary stars or not, which account for 33% of stars in the solar neighborhood. This proposal will pave the way to solve this question.

# Targets requested by this program that have been observed (54)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
246319339, 349.796544, -2.675298, 9.834, GO12036_LC|GO12002_LC|GO12048_LC|GO12123_LC
246322669, 354.094899, -2.60959, 16.399, GO12036_LC|GO12002_LC|GO12018_LC|GO12014_LC
246330402, 352.023764, -2.459157, 8.343, GO12019_LC|GO12050_LC|GO12036_LC|GO12024_LC|GO12006_LC|GO12002_LC|GO12122_LC|GO12071_LC|GO12049_LC|GO12014_LC
246330944, 346.592756, -2.448972, 13.698, GO12019_LC|GO12036_LC|GO12006_LC|GO12002_LC|GO12018_LC|GO12123_LC
246385330, 353.290202, -1.376669, 18.782, GO12036_LC|GO12002_LC
246391727, 345.702055, -1.240681, 10.957, GO12036_LC|GO12065_LC|GO12002_LC
246397470, 353.249429, -1.074192, 11.122, GO12019_LC|GO12036_LC|GO12071_LC
246397478, 353.249813, -1.07401, 10.63, GO12019_LC|GO12052_LC|GO12036_LC|GO12002_LC|GO12122_LC|GO12071_LC
246405404, 347.446235, -0.826307, 9.904, GO12083_LC|GO12036_LC|GO12002_LC|GO12122_LC|GO12071_LC
246407971, 348.933279, -0.750209, 14.762, GO12036_LC|GO12006_LC|GO12002_LC|GO12018_LC|GO12123_LC
246424113, 349.603028, -0.245368, 15.402, GO12036_LC|GO12006_LC|GO12002_LC|GO12018_LC|GO12123_LC|GO12049_LC|GO12014_LC
246436464, 348.239049, 0.150132, 16.381, GO12036_LC|GO12002_LC
246458130, 348.54265, 0.848505, 14.604, GO12019_LC|GO12036_LC|GO12006_LC|GO12002_LC|GO12123_LC
246491480, 350.294357, 1.841306, 10.777, GO12036_LC|GO12098_LC|GO12002_LC|GO12122_LC|GO12071_LC|GO12123_LC
