EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
202717132, 243.812412, -28.62559, 12.944, GO2017_LC|GO2049_LC|GO2014_SC|GO2059_SC|GO2008_SC|GO2105_SC
205389468, 245.628328, -17.878653, 18.353, GO2014_LC|GO2017_LC|GO2049_LC|GO2007_SC|GO2105_SC|GO2059_SC
