EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
216204161, 290.1634827, -22.772337, 11.468, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC|GO7028_LC
216207217, 281.8020325, -22.7667751, 9.246, GO7086_LC|GO7078_LC|GO7085_LC|GO7087_LC|GO7030_LC
216209843, 286.3631592, -22.7620182, 11.924, GO7030_LC|GO7087_LC
216227602, 281.6248779, -22.7292252, 11.994, GO7030_LC|GO7087_LC
216228024, 295.0988159, -22.7284832, 8.873, GO7039_LC|GO7078_LC|GO7016_LC|GO7087_LC|GO7030_LC|GO7039_SC
216232183, 280.6200256, -22.7205563, 11.805, GO7030_LC|GO7016_LC|GO7087_LC
216259393, 280.9279785, -22.6704502, 7.965, GO7039_LC|GO7078_LC|GO7087_LC|GO7030_LC
216262447, 291.193573, -22.6647243, 11.941, GO7030_LC|GO7087_LC
216285792, 286.4512024, -22.6222191, 11.843, GO7030_LC|GO7087_LC|GO7028_LC
216288751, 291.8427124, -22.6168213, 8.814, GO7086_LC|GO7085_LC|GO7016_LC|GO7087_LC|GO7030_LC
216291585, 283.9042053, -22.6115589, 11.507, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
216303709, 289.6445007, -22.5897388, 11.988, GO7030_LC|GO7085_LC|GO7087_LC|GO7028_LC
216315797, 291.4126587, -22.5678501, 11.964, GO7030_LC|GO7087_LC|GO7028_LC
216337721, 287.8505249, -22.5280933, 11.987, GO7030_LC|GO7085_LC|GO7087_LC|GO7028_LC
216346928, 286.8886108, -22.5116005, 11.891, GO7030_LC|GO7087_LC
216351083, 283.3661194, -22.5042076, 11.968, GO7030_LC|GO7085_LC|GO7087_LC
216353098, 288.4393921, -22.5006523, 11.966, GO7030_LC|GO7016_LC|GO7087_LC
216359963, 287.6106567, -22.4883671, 10.722, GO7086_LC|GO7085_LC|GO7016_LC|GO7087_LC|GO7030_LC
216372466, 284.8815308, -22.4661617, 11.91, GO7030_LC|GO7087_LC|GO7028_LC
216391382, 287.5806885, -22.4319439, 10.982, GO7086_LC|GO7085_LC|GO7087_LC|GO7030_LC
216393858, 289.7495728, -22.4276257, 11.576, GO7086_LC|GO7030_LC|GO7085_LC|GO7016_LC|GO7087_LC
216394172, 279.6422424, -22.4270706, 11.37, GO7086_LC|GO7030_LC|GO7085_LC|GO7016_LC|GO7087_LC
216395033, 285.0971069, -22.4255867, 11.848, GO7030_LC|GO7085_LC|GO7087_LC
216400215, 285.0316162, -22.4160137, 11.915, GO7030_LC|GO7085_LC|GO7087_LC
216402879, 295.2536621, -22.4113407, 11.947, GO7030_LC|GO7087_LC
216470489, 281.5552979, -22.2897873, 11.892, GO7030_LC|GO7085_LC|GO7087_LC|GO7028_LC
216470916, 281.490509, -22.2890167, 11.356, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
216475984, 291.0541382, -22.2800922, 11.574, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
216481483, 290.2024536, -22.2702484, 11.927, GO7030_LC|GO7085_LC|GO7087_LC
216483395, 283.8825684, -22.2668362, 9.726, GO7086_LC|GO7085_LC|GO7087_LC|GO7028_LC|GO7030_LC
216496777, 289.6138916, -22.2431355, 11.947, GO7030_LC|GO7087_LC
216540788, 284.4657898, -22.1644707, 11.808, GO7030_LC|GO7085_LC|GO7087_LC|GO7028_LC
216545895, 289.4877014, -22.1554642, 11.868, GO7030_LC|GO7087_LC
216552548, 291.9243469, -22.1434364, 10.296, GO7086_LC|GO7085_LC|GO7087_LC|GO7028_LC|GO7030_LC
216555145, 285.1858826, -22.1387482, 11.811, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC|GO7028_LC
216559489, 288.3981018, -22.1310711, 11.884, GO7030_LC|GO7087_LC
216567894, 286.006134, -22.1160221, 10.328, GO7086_LC|GO7078_LC|GO7085_LC|GO7087_LC|GO7030_LC
216578060, 290.7477722, -22.0978584, 11.98, GO7030_LC|GO7087_LC
216593670, 280.9319458, -22.069952, 11.892, GO7030_LC|GO7016_LC|GO7087_LC
216608149, 290.8750916, -22.0443153, 11.973, GO7030_LC|GO7087_LC
216609213, 281.3919067, -22.042448, 10.151, GO7086_LC|GO7085_LC|GO7087_LC|GO7030_LC
216610112, 284.8463135, -22.0407581, 11.982, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
216612855, 284.7896118, -22.0358219, 11.44, GO7021_LC|GO7087_LC
216630037, 290.3853149, -22.0051384, 11.949, GO7030_LC|GO7087_LC|GO7028_LC
216662737, 289.8809814, -21.947567, 9.554, GO7086_LC|GO7064_LC|GO7085_LC|GO7087_LC|GO7028_LC|GO7030_LC
216664029, 283.7460327, -21.9453106, 11.381, GO7086_LC|GO7030_LC|GO7085_LC|GO7016_LC|GO7087_LC
216668281, 282.7077332, -21.9376373, 11.995, GO7030_LC|GO7085_LC|GO7087_LC
216684873, 289.9832153, -21.908289, 11.848, GO7030_LC|GO7087_LC
216694621, 290.3839111, -21.8910675, 11.602, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
216698688, 281.9069824, -21.8837624, 11.785, GO7086_LC|GO7030_LC|GO7087_LC
216706750, 284.5016174, -21.8695278, 11.357, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
216709344, 279.7679443, -21.8648357, 11.071, GO7021_LC|GO7016_LC|GO7087_LC|GO7030_LC
216711314, 286.0969543, -21.8613853, 11.739, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
216715238, 289.9104919, -21.8544388, 11.869, GO7030_LC|GO7087_LC
216726346, 286.2427368, -21.8344841, 11.919, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC|GO7028_LC
216735106, 279.6517029, -21.8190365, 10.442, GO7086_LC|GO7078_LC|GO7016_LC|GO7087_LC|GO7030_LC
216746115, 290.9631958, -21.7993202, 11.235, GO7078_LC|GO7016_LC|GO7087_LC|GO7028_LC|GO7030_LC
216752799, 289.3212585, -21.7874718, 11.831, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
216757766, 283.6542358, -21.778616, 10.849, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
216769803, 289.2956848, -21.757021, 8.202, GO7039_LC|GO7016_LC|GO7087_LC|GO7030_LC
216778519, 284.9881287, -21.7413616, 11.712, GO7030_LC|GO7078_LC|GO7087_LC
216784886, 286.8847961, -21.7299614, 10.872, GO7078_LC|GO7016_LC|GO7087_LC|GO7030_LC
216799958, 284.3724365, -21.7030697, 11.907, GO7030_LC|GO7087_LC
216802763, 286.6211548, -21.6980648, 9.436, GO7078_LC|GO7087_LC|GO7030_LC
216824669, 286.5174561, -21.6588669, 11.907, GO7030_LC|GO7087_LC
216833863, 284.6878052, -21.6424541, 11.186, GO7078_LC|GO7087_LC|GO7030_LC
216850515, 285.9949036, -21.6129742, 11.837, GO7086_LC|GO7030_LC|GO7087_LC
216858738, 291.2048645, -21.5983715, 11.867, GO7030_LC|GO7087_LC
216863315, 284.5144958, -21.590271, 11.924, GO7030_LC|GO7087_LC|GO7028_LC
216896381, 286.0845337, -21.5314617, 7.995, GO7086_LC|GO7039_LC|GO7078_LC|GO7087_LC|GO7030_LC
216897120, 291.3936157, -21.5301762, 11.963, GO7030_LC|GO7085_LC|GO7087_LC
216899848, 283.4059448, -21.5252666, 11.964, GO7030_LC|GO7087_LC
216911713, 280.8460999, -21.5037212, 10.982, GO7086_LC|GO7087_LC|GO7030_LC
216913716, 283.6589661, -21.5001774, 11.33, GO7086_LC|GO7030_LC|GO7087_LC
216931153, 287.4134827, -21.4696732, 8.36, GO7039_LC|GO7087_LC|GO7030_LC
216940339, 286.170105, -21.4533539, 11.818, GO7030_LC|GO7087_LC
216949464, 285.1125793, -21.4371719, 11.876, GO7030_LC|GO7087_LC
216951860, 285.7220764, -21.4330082, 11.842, GO7030_LC|GO7087_LC
216974174, 285.7287292, -21.3938599, 11.999, GO7030_LC|GO7087_LC
216978846, 286.0834961, -21.3856258, 11.845, GO7030_LC|GO7087_LC
216985248, 284.4330139, -21.3743515, 11.73, GO7086_LC|GO7030_LC|GO7087_LC
216993173, 286.2286072, -21.3602657, 11.987, GO7030_LC|GO7087_LC|GO7028_LC
216994291, 286.2300415, -21.3583164, 11.987, GO7030_LC|GO7078_LC|GO7087_LC|GO7028_LC
217011669, 284.1430969, -21.3278732, 11.455, GO7086_LC|GO7030_LC|GO7087_LC
217031634, 282.4627686, -21.2922153, 11.928, GO7086_LC|GO7030_LC|GO7087_LC
217036896, 287.6779785, -21.2830086, 11.881, GO7030_LC|GO7087_LC|GO7028_LC
217037043, 290.1839905, -21.2827549, 11.988, GO7030_LC|GO7085_LC|GO7087_LC|GO7028_LC
217044580, 284.2761841, -21.2691898, 10.214, GO7086_LC|GO7087_LC|GO7030_LC
217048814, 290.1886292, -21.2617474, 11.719, GO7086_LC|GO7030_LC|GO7085_LC|GO7087_LC
217052007, 291.1907349, -21.2560959, 10.642, GO7086_LC|GO7085_LC|GO7087_LC|GO7030_LC
217052775, 290.9029236, -21.2547112, 11.952, GO7030_LC|GO7064_LC|GO7087_LC
217052859, 281.1748352, -21.2545643, 11.854, GO7030_LC|GO7087_LC|GO7028_LC
217060477, 287.5851135, -21.2414684, 11.798, GO7030_LC|GO7087_LC
217067150, 286.4352722, -21.2296772, 11.594, GO7086_LC|GO7030_LC|GO7087_LC|GO7032_LC
217093494, 284.9386292, -21.1834965, 11.54, GO7030_LC|GO7078_LC|GO7087_LC
217106897, 281.5031738, -21.1598721, 11.787, GO7030_LC|GO7087_LC
217112341, 282.7402954, -21.1501904, 11.861, GO7030_LC|GO7087_LC|GO7028_LC
217125625, 284.4561157, -21.1267796, 11.78, GO7030_LC|GO7016_LC|GO7087_LC|GO7028_LC
217139029, 287.0541382, -21.1029167, 10.896, GO7086_LC|GO7087_LC|GO7030_LC
217172699, 287.6244202, -21.0435791, 10.465, GO7086_LC|GO7087_LC|GO7030_LC
217180531, 286.2099304, -21.0296535, 11.868, GO7030_LC|GO7021_LC|GO7087_LC
217192231, 287.3076172, -21.0087547, 11.91, GO7030_LC|GO7087_LC
217194137, 286.54776, -21.0053825, 11.216, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC|GO7032_LC
217194538, 282.4012756, -21.0046806, 11.901, GO7030_LC|GO7087_LC
217195024, 284.7855225, -21.0038109, 11.852, GO7030_LC|GO7087_LC
217196328, 289.047821, -21.0014954, 10.76, GO7021_LC|GO7087_LC|GO7030_LC
217206235, 287.3741455, -20.9840317, 11.991, GO7086_LC|GO7030_LC|GO7087_LC
217206236, 285.6483459, -20.9840279, 11.533, GO7086_LC|GO7030_LC|GO7087_LC
217207075, 286.7779541, -20.982584, 11.906, GO7030_LC|GO7087_LC
217246732, 291.1883545, -20.9120541, 11.814, GO7030_LC|GO7087_LC|GO7028_LC
217248727, 283.1323242, -20.9085617, 11.908, GO7030_LC|GO7087_LC
217260603, 287.2970581, -20.8876228, 11.999, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
217264344, 287.8303833, -20.8809433, 11.198, GO7086_LC|GO7087_LC|GO7030_LC
217284953, 286.5254517, -20.8443375, 11.874, GO7030_LC|GO7087_LC
217285247, 285.5408325, -20.8437862, 11.986, GO7030_LC|GO7087_LC
217292273, 286.0692444, -20.8313313, 10.372, GO7086_LC|GO7016_LC|GO7087_LC|GO7030_LC
217316653, 287.5121155, -20.7884235, 11.937, GO7030_LC|GO7087_LC|GO7028_LC
217326832, 282.7677612, -20.7706127, 11.819, GO7086_LC|GO7030_LC|GO7087_LC
217332180, 286.2425232, -20.7611523, 11.98, GO7030_LC|GO7016_LC|GO7087_LC|GO7028_LC
217336349, 285.6107483, -20.7538548, 11.922, GO7030_LC|GO7087_LC
217347885, 288.008606, -20.7337513, 11.801, GO7030_LC|GO7087_LC
217353473, 288.0832825, -20.7236938, 11.774, GO7030_LC|GO7087_LC
217354041, 286.1271362, -20.7226753, 11.893, GO7030_LC|GO7016_LC|GO7087_LC|GO7028_LC
217355494, 289.6855164, -20.7200947, 11.633, GO7086_LC|GO7030_LC|GO7087_LC
217383781, 285.5682373, -20.6706924, 10.912, GO7086_LC|GO7087_LC|GO7030_LC
217393644, 283.140686, -20.6533966, 11.596, GO7086_LC|GO7030_LC|GO7087_LC
217410495, 290.0901794, -20.6237545, 11.712, GO7086_LC|GO7030_LC|GO7087_LC
217418845, 286.255127, -20.6090908, 11.878, GO7030_LC|GO7016_LC|GO7087_LC
217423003, 287.1719971, -20.6018105, 11.844, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
217436972, 286.5387268, -20.5773239, 11.926, GO7030_LC|GO7087_LC
217466021, 288.6071167, -20.5260563, 11.587, GO7030_LC|GO7078_LC|GO7087_LC
217474602, 287.6379089, -20.5111694, 11.996, GO7086_LC|GO7030_LC|GO7087_LC|GO7032_LC
217485640, 288.6180115, -20.4920273, 11.96, GO7030_LC|GO7087_LC
217488618, 283.6104431, -20.4868813, 11.297, GO7086_LC|GO7030_LC|GO7087_LC
217488703, 287.7575378, -20.4867134, 11.913, GO7030_LC|GO7087_LC
217511135, 284.2200623, -20.4469395, 11.792, GO7086_LC|GO7030_LC|GO7071_LC|GO7087_LC
217528927, 286.5813599, -20.4158306, 11.942, GO7030_LC|GO7087_LC|GO7028_LC
217531906, 287.2688599, -20.4105053, 11.442, GO7086_LC|GO7030_LC|GO7087_LC
217542523, 290.6726685, -20.3922501, 11.899, GO7030_LC|GO7087_LC
217544666, 288.90271, -20.3885384, 11.701, GO7030_LC|GO7021_LC|GO7016_LC|GO7087_LC
217557367, 287.5151672, -20.3662872, 11.267, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
217565954, 284.5154114, -20.3513107, 11.842, GO7030_LC|GO7087_LC|GO7028_LC
217577904, 288.7330627, -20.3301029, 11.946, GO7030_LC|GO7016_LC|GO7087_LC|GO7028_LC
217594825, 287.1001892, -20.3003292, 11.87, GO7030_LC|GO7087_LC|GO7028_LC
217595075, 290.4177246, -20.2998753, 11.928, GO7030_LC|GO7087_LC
217596777, 285.8328857, -20.2968712, 10.389, GO7086_LC|GO7016_LC|GO7087_LC|GO7030_LC
217596871, 282.3093262, -20.2967167, 11.827, GO7030_LC|GO7087_LC
217603923, 286.1344604, -20.2846241, 11.531, GO7086_LC|GO7030_LC|GO7087_LC
217617371, 282.1395569, -20.2611179, 11.982, GO7030_LC|GO7087_LC
217626604, 289.2728271, -20.2450256, 11.815, GO7030_LC|GO7087_LC
217627556, 289.8748474, -20.2434196, 11.338, GO7086_LC|GO7030_LC|GO7078_LC|GO7087_LC
217630657, 290.0394592, -20.2380219, 11.961, GO7030_LC|GO7087_LC|GO7028_LC
217635364, 284.3104553, -20.2297478, 11.992, GO7030_LC|GO7087_LC
217639603, 282.6088562, -20.2222099, 11.818, GO7030_LC|GO7016_LC|GO7087_LC|GO7028_LC
217640352, 290.2850037, -20.220808, 11.898, GO7030_LC|GO7087_LC
217648798, 287.1927795, -20.2058754, 10.835, GO7086_LC|GO7087_LC|GO7030_LC
217656193, 282.1520386, -20.1929207, 11.899, GO7030_LC|GO7087_LC
217659812, 287.2987976, -20.1866379, 11.998, GO7030_LC|GO7087_LC
217660759, 286.9635315, -20.1850243, 11.883, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
217678626, 287.2820129, -20.1537914, 11.818, GO7030_LC|GO7087_LC
217684381, 285.9844055, -20.1434956, 11.933, GO7030_LC|GO7087_LC
217690602, 287.6465149, -20.1326008, 11.999, GO7030_LC|GO7087_LC|GO7028_LC
217700486, 290.9216614, -20.1152859, 11.241, GO7086_LC|GO7087_LC|GO7030_LC
217712151, 289.6761475, -20.0947399, 11.825, GO7030_LC|GO7087_LC
217723006, 285.6341248, -20.075861, 11.797, GO7030_LC|GO7087_LC
217730828, 282.263916, -20.0618839, 11.638, GO7086_LC|GO7030_LC|GO7087_LC
217749234, 287.7732239, -20.0294838, 10.345, GO7086_LC|GO7078_LC|GO7087_LC|GO7028_LC|GO7030_LC
217750012, 287.658905, -20.0281544, 10.584, GO7086_LC|GO7087_LC|GO7030_LC
217762562, 287.7472229, -20.0058651, 11.865, GO7086_LC|GO7030_LC|GO7087_LC
217772061, 283.3224792, -19.9890747, 11.806, GO7030_LC|GO7087_LC
217783102, 289.3077698, -19.9698372, 10.76, GO7086_LC|GO7087_LC|GO7030_LC
217784735, 287.0681458, -19.9671745, 11.992, GO7030_LC|GO7087_LC
217818726, 282.401001, -19.9075127, 10.883, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
217820901, 285.48172, -19.9037647, 11.927, GO7030_LC|GO7087_LC
217846081, 290.0103149, -19.8594856, 11.854, GO7030_LC|GO7087_LC
217858306, 285.6651306, -19.8380852, 11.934, GO7086_LC|GO7030_LC|GO7087_LC
217873337, 285.6817627, -19.8117676, 11.771, GO7030_LC|GO7087_LC
217873675, 292.1841125, -19.8112068, 11.854, GO7030_LC|GO7087_LC
217884795, 285.8246155, -19.7914524, 11.782, GO7086_LC|GO7030_LC|GO7087_LC
217890371, 286.9195557, -19.781723, 11.702, GO7086_LC|GO7030_LC|GO7087_LC
217891525, 282.0877075, -19.7796917, 11.935, GO7030_LC|GO7087_LC
217904699, 286.4710083, -19.756424, 10.548, GO7086_LC|GO7087_LC|GO7030_LC
217921499, 286.8080139, -19.7263241, 10.829, GO7086_LC|GO7087_LC|GO7030_LC
217921669, 289.6819763, -19.7260036, 11.945, GO7030_LC|GO7087_LC
217930911, 287.303833, -19.7098541, 11.854, GO7030_LC|GO7087_LC|GO7028_LC
217932609, 286.7240601, -19.7069244, 11.732, GO7086_LC|GO7030_LC|GO7087_LC
217935281, 287.3393555, -19.7021904, 11.968, GO7030_LC|GO7087_LC
217942445, 283.3938904, -19.6895676, 11.913, GO7030_LC|GO7087_LC
217942653, 284.1296692, -19.6891479, 11.773, GO7030_LC|GO7087_LC|GO7028_LC
217945635, 282.4233093, -19.683815, 11.253, GO7086_LC|GO7087_LC|GO7030_LC
217958375, 289.9362793, -19.6612034, 10.88, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
217962970, 288.9902954, -19.6531162, 11.473, GO7086_LC|GO7030_LC|GO7087_LC
217973648, 282.233429, -19.6344452, 11.734, GO7086_LC|GO7030_LC|GO7087_LC
217974859, 288.5319519, -19.6323509, 9.751, GO7078_LC|GO7087_LC|GO7030_LC
217984560, 290.3134155, -19.6151733, 11.94, GO7030_LC|GO7087_LC
217985295, 282.0158691, -19.6138058, 11.934, GO7030_LC|GO7087_LC
217999387, 287.5401917, -19.5889053, 11.98, GO7030_LC|GO7087_LC
218002737, 288.4378967, -19.5828457, 11.498, GO7086_LC|GO7030_LC|GO7087_LC
218029400, 289.1091309, -19.5358791, 10.138, GO7086_LC|GO7087_LC|GO7030_LC|GO7032_LC
218040924, 284.2769775, -19.5155334, 11.808, GO7030_LC|GO7087_LC
218070138, 282.2529602, -19.4638023, 11.977, GO7030_LC|GO7087_LC
218070682, 290.7434998, -19.4629211, 11.791, GO7030_LC|GO7087_LC|GO7028_LC
218071860, 282.6565247, -19.4608536, 11.967, GO7086_LC|GO7030_LC|GO7087_LC
218083592, 290.5838623, -19.4401455, 11.807, GO7030_LC|GO7087_LC
218089972, 284.0756531, -19.4288387, 11.832, GO7030_LC|GO7087_LC
218094034, 291.5696716, -19.4217911, 11.893, GO7030_LC|GO7087_LC
218099136, 290.7331238, -19.4126205, 11.787, GO7030_LC|GO7087_LC
218100265, 290.7318115, -19.4106579, 11.787, GO7030_LC|GO7087_LC
218104271, 287.3624573, -19.4036636, 11.954, GO7030_LC|GO7087_LC
218105625, 293.6934814, -19.4012775, 11.958, GO7030_LC|GO7087_LC
218111411, 282.2868042, -19.3908596, 11.967, GO7030_LC|GO7087_LC
218112085, 285.1038818, -19.3896275, 11.947, GO7030_LC|GO7087_LC
218112924, 285.1030884, -19.3882141, 11.947, GO7030_LC|GO7087_LC
218116119, 292.8511047, -19.3826485, 11.923, GO7030_LC|GO7087_LC|GO7028_LC
218121151, 287.0078735, -19.3736725, 11.92, GO7030_LC|GO7087_LC
218123517, 283.1956482, -19.3694572, 11.784, GO7030_LC|GO7087_LC
218132283, 291.9576721, -19.3537865, 11.884, GO7030_LC|GO7087_LC
218136208, 292.8808594, -19.3466663, 10.672, GO7086_LC|GO7087_LC|GO7030_LC
218140721, 284.2951965, -19.3385887, 11.091, GO7086_LC|GO7087_LC|GO7030_LC
218149803, 287.168335, -19.3223763, 11.825, GO7030_LC|GO7087_LC
218174351, 284.0190735, -19.2782745, 11.867, GO7030_LC|GO7087_LC|GO7028_LC
218179100, 289.9504395, -19.2696247, 9.692, GO7086_LC|GO7078_LC|GO7087_LC|GO7030_LC
218181593, 282.6713562, -19.2651138, 11.942, GO7030_LC|GO7087_LC
218186161, 289.4602356, -19.2568512, 11.933, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
218188984, 291.9559937, -19.2518005, 11.152, GO7086_LC|GO7087_LC|GO7030_LC
218190848, 283.5962524, -19.2482681, 11.891, GO7030_LC|GO7087_LC
218196814, 292.6054077, -19.2372971, 11.957, GO7030_LC|GO7087_LC
218197771, 288.1837158, -19.2355499, 8.085, GO7039_LC|GO7016_LC|GO7087_LC|GO7030_LC
218210723, 290.7156372, -19.2122345, 11.929, GO7030_LC|GO7087_LC
218213278, 282.6744995, -19.2076454, 11.815, GO7030_LC|GO7087_LC
218215419, 283.1451416, -19.2039089, 11.908, GO7030_LC|GO7087_LC
218218634, 292.4333801, -19.1980019, 11.783, GO7030_LC|GO7087_LC
218222255, 289.6086426, -19.191473, 11.915, GO7030_LC|GO7087_LC|GO7028_LC
218229460, 293.8330078, -19.1787891, 11.791, GO7030_LC|GO7087_LC
218236692, 293.0093079, -19.1657524, 11.976, GO7030_LC|GO7087_LC
218243303, 290.6479797, -19.1538773, 11.813, GO7030_LC|GO7087_LC
218254138, 282.9228821, -19.1343842, 11.859, GO7030_LC|GO7087_LC
218255667, 282.6912842, -19.1316109, 11.142, GO7086_LC|GO7087_LC|GO7030_LC
218259373, 290.2503662, -19.1248188, 11.892, GO7030_LC|GO7087_LC
218261616, 289.5693359, -19.1209259, 11.993, GO7030_LC|GO7087_LC
218279986, 281.9620056, -19.0877323, 11.873, GO7030_LC|GO7087_LC
218285826, 283.0270996, -19.0773468, 11.093, GO7086_LC|GO7087_LC|GO7030_LC
218288501, 285.9078369, -19.0725937, 11.9, GO7030_LC|GO7087_LC
218300572, 282.1593628, -19.0510502, 11.919, GO7030_LC|GO7087_LC
218302396, 291.3302002, -19.0478039, 11.884, GO7030_LC|GO7064_LC|GO7087_LC
218303899, 283.338623, -19.0451584, 11.602, GO7086_LC|GO7030_LC|GO7087_LC
218317640, 282.3157043, -19.0204353, 11.99, GO7030_LC|GO7087_LC
218326111, 285.9791565, -19.00527, 11.917, GO7030_LC|GO7087_LC
218335157, 282.8900452, -18.9887295, 11.962, GO7030_LC|GO7087_LC
218345082, 281.9744873, -18.9706726, 11.995, GO7030_LC|GO7087_LC|GO7028_LC
218347578, 284.1278076, -18.9662151, 11.133, GO7086_LC|GO7087_LC|GO7030_LC
218355691, 281.666687, -18.9514122, 10.834, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
218365707, 285.3187561, -18.9334373, 11.478, GO7030_LC|GO7078_LC|GO7087_LC|GO7028_LC
218367893, 283.5167847, -18.9295273, 11.277, GO7086_LC|GO7030_LC|GO7087_LC
218373747, 292.6195679, -18.918911, 11.259, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
218374074, 289.4003601, -18.9183121, 11.927, GO7030_LC|GO7087_LC
218376326, 282.0290833, -18.9142036, 11.812, GO7030_LC|GO7021_LC|GO7087_LC
218381023, 285.6963196, -18.9056034, 11.929, GO7030_LC|GO7087_LC
218381032, 283.1967468, -18.9055901, 11.977, GO7030_LC|GO7087_LC
218387697, 293.0684204, -18.893631, 11.25, GO7086_LC|GO7016_LC|GO7087_LC|GO7030_LC
218388024, 288.5533447, -18.8929977, 11.966, GO7030_LC|GO7087_LC
218390099, 290.1515503, -18.8893414, 11.187, GO7021_LC|GO7087_LC|GO7030_LC
218409837, 285.2404175, -18.8537025, 10.704, GO7086_LC|GO7087_LC|GO7030_LC
218411547, 290.5505066, -18.8506584, 11.865, GO7030_LC|GO7087_LC
218423627, 289.6741638, -18.8284836, 11.976, GO7030_LC|GO7087_LC
218433402, 286.5748596, -18.8108387, 11.111, GO7086_LC|GO7087_LC|GO7030_LC
218435898, 282.2558899, -18.8063202, 11.947, GO7030_LC|GO7087_LC
218443375, 285.0491943, -18.7930069, 11.9, GO7030_LC|GO7087_LC
218445083, 292.9410706, -18.7897987, 11.98, GO7030_LC|GO7087_LC
218445910, 285.7402649, -18.7883339, 11.911, GO7030_LC|GO7087_LC
218448857, 290.0667114, -18.7829151, 9.834, GO7086_LC|GO7087_LC|GO7030_LC
218449424, 292.4118958, -18.7819405, 11.935, GO7030_LC|GO7087_LC
218466849, 282.6154785, -18.7507381, 11.91, GO7030_LC|GO7087_LC
218475986, 289.9122009, -18.7343445, 11.889, GO7030_LC|GO7087_LC|GO7028_LC
218490305, 293.3243408, -18.7083626, 11.884, GO7030_LC|GO7087_LC
218494619, 282.5252075, -18.7005062, 11.829, GO7030_LC|GO7087_LC
218519401, 281.6999207, -18.6552486, 11.772, GO7030_LC|GO7087_LC|GO7028_LC
218520238, 281.7961731, -18.6537209, 10.331, GO7086_LC|GO7087_LC|GO7030_LC
218526393, 282.12146, -18.6427574, 11.853, GO7030_LC|GO7087_LC
218527248, 287.1270142, -18.6412525, 11.572, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
218528816, 289.6581726, -18.6384373, 11.875, GO7030_LC|GO7087_LC|GO7028_LC
218538196, 287.2075195, -18.6212692, 11.229, GO7086_LC|GO7087_LC|GO7030_LC
218543789, 291.6150818, -18.6110992, 11.814, GO7030_LC|GO7087_LC|GO7028_LC
218544019, 282.3598938, -18.6106853, 11.906, GO7030_LC|GO7087_LC|GO7028_LC
218546854, 282.4828491, -18.6054535, 11.893, GO7030_LC|GO7087_LC
218551429, 290.3535461, -18.5971146, 11.946, GO7030_LC|GO7087_LC
218552560, 290.3511963, -18.5950642, 11.946, GO7086_LC|GO7030_LC|GO7087_LC
218554300, 293.0914307, -18.5918751, 11.952, GO7086_LC|GO7030_LC|GO7087_LC
218558567, 282.0932617, -18.5839691, 11.837, GO7030_LC|GO7087_LC
218561436, 286.4133606, -18.578764, 11.904, GO7030_LC|GO7087_LC
218566037, 281.6159363, -18.5704288, 11.847, GO7030_LC|GO7087_LC
218583323, 286.4960327, -18.5384235, 11.852, GO7030_LC|GO7087_LC
218587419, 282.5763855, -18.5307026, 11.776, GO7030_LC|GO7087_LC
218589724, 286.7114563, -18.5264549, 11.965, GO7021_LC|GO7087_LC
218596142, 283.7523193, -18.5145855, 11.916, GO7030_LC|GO7087_LC|GO7028_LC
218597874, 285.8049011, -18.5113716, 11.684, GO7086_LC|GO7030_LC|GO7087_LC
218615482, 290.1021118, -18.4787483, 11.81, GO7086_LC|GO7030_LC|GO7087_LC
218632133, 284.6291199, -18.4476566, 11.335, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
218633308, 283.789032, -18.4454727, 10.466, GO7086_LC|GO7087_LC|GO7028_LC|GO7030_LC
218647813, 282.2415466, -18.4185085, 11.884, GO7030_LC|GO7087_LC|GO7028_LC
218654595, 287.0744934, -18.4057693, 11.903, GO7030_LC|GO7087_LC
218655790, 292.8702087, -18.4035225, 10.128, GO7086_LC|GO7087_LC
218656620, 281.5614014, -18.4019928, 11.992, GO7030_LC|GO7087_LC
