EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
213415746, 286.9076233, -29.5040226, 11.862, GO7086_LC|GO7030_LC|GO7087_LC
213417254, 285.6416321, -29.4986362, 11.972, GO7030_LC|GO7087_LC
213419637, 286.3742065, -29.4900551, 11.87, GO7030_LC|GO7021_LC|GO7087_LC
213443931, 290.2346191, -29.4032707, 11.92, GO7030_LC|GO7087_LC
213460155, 291.4995422, -29.3460522, 10.96, GO7086_LC|GO7087_LC|GO7030_LC
213461850, 286.6528625, -29.3401203, 11.967, GO7030_LC|GO7087_LC|GO7028_LC
213468362, 289.9425964, -29.3172951, 11.613, GO7086_LC|GO7030_LC|GO7087_LC
213474401, 285.8251648, -29.2963791, 11.863, GO7030_LC|GO7087_LC
213476868, 291.0386353, -29.2875767, 11.241, GO7086_LC|GO7087_LC|GO7030_LC
213478642, 288.8724365, -29.2814655, 11.861, GO7030_LC|GO7087_LC
213490311, 290.0152893, -29.2408943, 11.634, GO7030_LC|GO7032_LC|GO7087_LC
213501145, 290.8460388, -29.2030334, 11.821, GO7086_LC|GO7030_LC|GO7087_LC
213511872, 286.2111511, -29.1665382, 11.82, GO7030_LC|GO7087_LC|GO7028_LC
213515453, 285.8172913, -29.1540413, 11.906, GO7030_LC|GO7087_LC
213517172, 287.0748596, -29.1482048, 11.786, GO7086_LC|GO7030_LC|GO7087_LC
213525444, 285.4067383, -29.1196728, 11.844, GO7030_LC|GO7087_LC
213525465, 291.7182007, -29.1196175, 11.886, GO7008_LC|GO7086_LC|GO7030_LC|GO7087_LC
213531128, 282.2568054, -29.1004257, 11.835, GO7086_LC|GO7030_LC|GO7087_LC
213543961, 286.4844971, -29.0571251, 10.816, GO7086_LC|GO7087_LC
213566723, 289.5377808, -28.9807148, 11.879, GO7030_LC|GO7087_LC
213567629, 286.1405945, -28.9776459, 11.836, GO7030_LC|GO7087_LC
213569108, 287.1593933, -28.9726143, 11.691, GO7086_LC|GO7030_LC|GO7087_LC
213571052, 283.0214233, -28.9663372, 11.679, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213587494, 286.1689148, -28.9115257, 11.915, GO7030_LC|GO7087_LC
213592379, 285.9396667, -28.8959064, 10.82, GO7086_LC|GO7087_LC|GO7030_LC
213598471, 291.2267151, -28.8755856, 11.566, GO7086_LC|GO7030_LC|GO7087_LC
213600549, 286.7342834, -28.8688087, 11.492, GO7086_LC|GO7030_LC|GO7087_LC|GO7028_LC
213608014, 291.1418457, -28.8441582, 11.805, GO7030_LC|GO7087_LC
213611319, 281.9375, -28.8332081, 11.662, GO7086_LC|GO7030_LC|GO7087_LC
213612253, 289.082428, -28.8301411, 11.858, GO7030_LC|GO7021_LC|GO7087_LC
213615093, 288.1018066, -28.8208923, 11.97, GO7030_LC|GO7087_LC
213622038, 292.605011, -28.7985878, 11.962, GO7030_LC|GO7087_LC
213633669, 284.2724304, -28.7603531, 11.998, GO7030_LC|GO7087_LC
213641080, 289.5952454, -28.7364674, 10.715, GO7086_LC|GO7087_LC|GO7030_LC
213642832, 282.9467468, -28.7306995, 11.718, GO7030_LC|GO7021_LC|GO7087_LC|GO7028_LC
213645426, 293.1996155, -28.7224827, 11.903, GO7030_LC|GO7087_LC
213645437, 281.877594, -28.7224636, 11.95, GO7030_LC|GO7087_LC|GO7028_LC
213654331, 292.8634949, -28.6939545, 11.995, GO7030_LC|GO7087_LC|GO7028_LC
213654996, 286.8079529, -28.6917725, 11.264, GO7086_LC|GO7087_LC|GO7030_LC
213655804, 288.9170227, -28.6892014, 10.265, GO7016_LC|GO7040_LC|GO7087_LC|GO7028_LC|GO7030_LC
213656995, 290.9338989, -28.6852036, 11.825, GO7030_LC|GO7087_LC
