EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
219073403, 289.2479248, -17.5839539, 18.156, GO7035_LC
219074848, 288.5428467, -17.5806084, 14.265, GO7035_LC
219077748, 288.5375061, -17.5742035, 13.414, GO7035_LC
219077993, 289.2424316, -17.5736561, 17.851, GO7035_LC
219078271, 288.5197449, -17.5730705, 13.982, GO7035_LC
219079131, 288.9581604, -17.5711765, 12.977, GO7035_LC|GO7030_LC
219079269, 288.6558533, -17.5708866, 17.007, GO7035_LC
219080844, 289.1364136, -17.5675907, 13.443, GO7035_LC
219083156, 288.7986145, -17.5626316, 17.362, GO7035_LC
219084891, 288.3843079, -17.5589104, 11.065, GO7086_LC|GO7035_LC|GO7087_LC|GO7030_LC
219085549, 289.2219238, -17.5575047, 17.765, GO7035_LC
219085650, 288.925354, -17.5573254, 16.384, GO7035_LC
219086837, 288.5558472, -17.5546494, 14.062, GO7035_LC
219088599, 288.9408875, -17.5508308, 14.272, GO7035_LC
219090478, 288.5300903, -17.5467224, 13.724, GO7035_LC
219092257, 289.4718933, -17.5427055, 14.474, GO7035_LC|GO7056_LC
219092498, 288.481781, -17.5422077, 12.833, GO7035_LC|GO7030_LC
219093169, 289.5212097, -17.5407333, 18.175, GO7035_LC
219095417, 287.913147, -17.5357113, 13.953, GO7035_LC
219098524, 289.2562866, -17.5290794, 13.041, GO7035_LC|GO7030_LC
219100036, 289.3923035, -17.5257778, 13.722, GO7035_LC
219101607, 289.0281677, -17.522459, 12.462, GO7035_LC
219103347, 288.4515686, -17.5188389, 14.154, GO7035_LC
219104619, 289.0007019, -17.5160255, 13.744, GO7035_LC
219106425, 289.4737854, -17.5120773, 17.094, GO7035_LC
219107267, 288.8661499, -17.5100765, 17.791, GO7035_LC
219112427, 288.578186, -17.498806, 17.912, GO7035_LC
219113426, 289.3132935, -17.4965858, 17.599, GO7035_LC
219115432, 289.6887207, -17.4923534, 13.35, GO7035_LC|GO7030_LC|GO7056_LC
219116746, 288.4203186, -17.4894714, 17.22, GO7035_LC
219118006, 289.1997986, -17.4867077, 12.77, GO7035_LC|GO7030_LC
219119877, 289.1247864, -17.4826241, 16.573, GO7035_LC
219120013, 288.3970642, -17.4823246, 13.626, GO7035_LC
219121053, 289.5128784, -17.4800949, 13.82, GO7035_LC
219127173, 288.510498, -17.4668159, 15.899, GO7035_LC
219127243, 288.7593689, -17.4666653, 13.502, GO7035_LC
219128477, 289.6400757, -17.4640007, 14.21, GO7035_LC
219129730, 289.2297058, -17.4613037, 13.115, GO7035_LC
219132524, 289.4844971, -17.4552727, 17.255, GO7035_LC
219132726, 288.5113525, -17.4548073, 17.395, GO7035_LC
219134004, 289.0810547, -17.4518166, 12.545, GO7035_LC|GO7030_LC
219134456, 288.4176941, -17.4508152, 13.083, GO7035_LC
219135309, 289.178833, -17.4488602, 17.291, GO7035_LC
219136118, 288.4981384, -17.4471188, 13.303, GO7035_LC
219136507, 288.8367615, -17.4462852, 11.568, GO7086_LC|GO7035_LC|GO7030_LC|GO7087_LC
219137402, 288.8487854, -17.4442749, 16.249, GO7035_LC
219137521, 288.3890076, -17.4440308, 13.737, GO7035_LC
219138972, 288.6058655, -17.4406872, 14.039, GO7035_LC
219141357, 288.547699, -17.435627, 13.813, GO7035_LC
219141523, 288.9038391, -17.4352951, 16.015, GO7035_LC
219142554, 289.2947083, -17.4330845, 12.656, GO7035_LC
219142601, 288.9798584, -17.4329872, 13.314, GO7035_LC
219144458, 289.1061401, -17.4288044, 13.593, GO7035_LC
219145872, 289.4831238, -17.4257946, 15.969, GO7035_LC
219146623, 288.761322, -17.4240513, 12.025, GO7035_LC|GO7030_LC
219147400, 288.9811096, -17.4223576, 13.802, GO7035_LC
219149032, 289.4170532, -17.4187679, 15.845, GO7035_LC
219150883, 288.7010498, -17.4147053, 12.69, GO7035_LC|GO7084_LC
219152100, 288.4533997, -17.4120083, 17.049, GO7035_LC
219153123, 288.544342, -17.4097862, 13.289, GO7035_LC
219153224, 289.4431152, -17.4095554, 12.73, GO7035_LC
219154868, 288.8161926, -17.4059467, 12.429, GO7035_LC
219155665, 289.4724731, -17.4041615, 15.956, GO7035_LC
219156219, 288.7723389, -17.4029388, 13.295, GO7035_LC
219158046, 288.6497803, -17.3988552, 17.835, GO7035_LC
219158098, 288.4265137, -17.398735, 16.481, GO7035_LC
219158206, 289.5651855, -17.3984985, 12.444, GO7035_LC
219158878, 289.2695007, -17.3969498, 13.622, GO7035_LC
219161541, 288.8634338, -17.3911781, 13.588, GO7035_LC
219161742, 288.9713745, -17.3906918, 14.082, GO7035_LC
219164254, 288.6645203, -17.3852634, 17.233, GO7035_LC
219164660, 289.296936, -17.3843632, 13.807, GO7035_LC
219164853, 288.7816772, -17.3839455, 13.538, GO7035_LC
219169199, 288.5573425, -17.3740273, 17.438, GO7035_LC
219169489, 289.2985229, -17.3734016, 14.085, GO7035_LC
219170435, 288.4771729, -17.3712864, 18.164, GO7035_LC
