EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200062662, , , , GO7012_LC|LC_pluto__TILE
200062663, , , , GO7012_LC|LC_pluto__TILE
200062664, , , , GO7012_LC|LC_pluto__TILE
200062665, , , , GO7012_LC|LC_pluto__TILE
200062666, , , , GO7012_LC|LC_pluto__TILE
200062667, , , , GO7012_LC|LC_pluto__TILE
200062668, , , , GO7012_LC|LC_pluto__TILE
200062669, , , , GO7012_LC|LC_pluto__TILE
200062670, , , , GO7012_LC|LC_pluto__TILE
200062671, , , , GO7012_LC|LC_pluto__TILE
200062672, , , , GO7012_LC|LC_pluto__TILE
200062673, , , , GO7012_LC|LC_pluto__TILE
200062674, , , , GO7012_LC|LC_pluto__TILE
200062675, , , , GO7012_LC|LC_pluto__TILE
200062676, , , , GO7012_LC|LC_pluto__TILE
200062677, , , , GO7012_LC|LC_pluto__TILE
200062678, , , , GO7012_LC|LC_pluto__TILE
200062679, , , , GO7012_LC|LC_pluto__TILE
200062680, , , , GO7012_LC|LC_pluto__TILE
200062681, , , , GO7012_LC|LC_pluto__TILE
200062682, , , , GO7012_LC|LC_pluto__TILE
200062683, , , , GO7012_LC|LC_pluto__TILE
200062684, , , , GO7012_LC|LC_pluto__TILE
200062685, , , , GO7012_LC|LC_pluto__TILE
200062686, , , , GO7012_LC|LC_pluto__TILE
200062687, , , , GO7012_LC|LC_pluto__TILE
200062688, , , , GO7012_LC|LC_pluto__TILE
200062689, , , , GO7012_LC|LC_pluto__TILE
200062690, , , , GO7012_LC|LC_pluto__TILE
200062691, , , , GO7012_LC|LC_pluto__TILE
200062692, , , , GO7012_LC|LC_pluto__TILE
200062693, , , , GO7012_LC|LC_pluto__TILE
200062694, , , , GO7012_LC|LC_pluto__TILE
200062695, , , , GO7012_LC|LC_pluto__TILE
200062696, , , , GO7012_LC|LC_pluto__TILE
200062697, , , , GO7012_LC|LC_pluto__TILE
200062698, , , , GO7012_LC|LC_pluto__TILE
200062699, , , , GO7012_LC|LC_pluto__TILE
200062700, , , , GO7012_LC|LC_pluto__TILE
200062701, , , , GO7012_LC|LC_pluto__TILE
200062702, , , , GO7012_LC|LC_pluto__TILE
200062703, , , , GO7012_LC|LC_pluto__TILE
200062704, , , , GO7012_LC|LC_pluto__TILE
200062705, , , , GO7012_LC|LC_pluto__TILE
200062706, , , , GO7012_LC|LC_pluto__TILE
200062707, , , , GO7012_LC|LC_pluto__TILE
200062708, , , , GO7012_LC|LC_pluto__TILE
200062709, , , , GO7012_LC|LC_pluto__TILE
200062710, , , , GO7012_LC|LC_pluto__TILE
200062711, , , , GO7012_LC|LC_pluto__TILE
200062712, , , , GO7012_LC|LC_pluto__TILE
200062713, , , , GO7012_LC|LC_pluto__TILE
200062714, , , , GO7012_LC|LC_pluto__TILE
200062715, , , , GO7012_LC|LC_pluto__TILE
200062716, , , , GO7012_LC|LC_pluto__TILE
200062717, , , , GO7012_LC|LC_pluto__TILE
200062718, , , , GO7012_LC|LC_pluto__TILE
