# Summary of K2 Program GO19003

Title: Planets and Stellar Populations

PI: Cochran, William (University of Texas at Austin)
CoIs: Michael Endl (University of Texas at Austin), Davide Gandolfi (Universitat Heidelberg), Martin Patzold (Universitat zu Koln), Heike Rauer (DLR Berlin)



# Targets requested by this program that have been observed (804)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
206528999,341.21042,-4.27310,10.77500,GO19003_LC|GO19049_LC|GO19065_LC
206529262,341.63672,-4.26782,11.55100,GO19003_LC|GO19049_LC|GO19065_LC
206532003,341.35275,-4.20829,11.65000,GO19003_LC|GO19049_LC|GO19065_LC
206539422,340.55600,-4.04025,9.68900,GO19003_LC|GO19049_LC
206541512,340.65125,-3.99369,12.13000,GO19003_LC|GO19049_LC
206542042,341.19913,-3.98100,10.05100,GO19003_LC|GO19054_LC
245930102,347.86066,-11.71195,11.05600,GO19003_LC|GO19049_LC|GO19065_LC
245931711,348.51678,-11.62941,9.94400,GO19003_LC|GO19049_LC|GO19065_LC|GO19067_LC
245934066,348.26650,-11.51446,10.81900,GO19003_LC|GO19049_LC|GO19065_LC
245934824,348.11710,-11.47710,11.18200,GO19003_LC|GO19049_LC|GO19065_LC
245937504,348.36926,-11.34482,10.44000,GO19003_LC|GO19049_LC
245938659,348.67114,-11.28870,11.00000,GO19003_LC|GO19049_LC|GO19065_LC
245940325,347.84103,-11.20875,11.13400,GO19003_LC|GO19049_LC
245942914,347.63727,-11.09706,11.45100,GO19003_LC|GO19049_LC|GO19065_LC
245944383,348.94077,-11.04333,9.25500,GO19003_LC|GO19049_LC|GO19065_LC
245945769,347.75607,-10.99376,10.20900,GO19003_LC|GO19049_LC|GO19065_LC
245946172,348.49045,-10.97990,9.69100,GO19003_LC|GO19032_LC|GO19049_LC|GO19065_LC
245947103,349.25244,-10.94818,11.24700,GO19003_LC|GO19049_LC
245947624,348.78958,-10.93195,9.42100,GO19003_LC|GO19049_LC|GO19065_LC
245948952,349.76602,-10.88621,11.16800,GO19003_LC
245949037,348.32263,-10.88361,10.52800,GO19003_LC|GO19049_LC
245949134,347.15980,-10.88049,10.25800,GO19003_LC|GO19049_LC|GO19065_LC
