EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
211437161, 134.091794, 12.203478, 17.715, GO16079_LC|GO16095_LC|GO16102_LC
211437252, 137.257766, 12.20483, 16.547, GO16079_LC|GO16102_LC
211437592, 137.273127, 12.209709, 16.771, GO16079_LC|GO16102_LC
211437690, 129.785675, 12.211038, 18.178, GO16079_LC|GO16102_LC
211437695, 137.205204, 12.2111, 17.514, GO16079_LC|GO16102_LC
211437954, 133.755255, 12.21539, 16.926, GO16102_LC
211438123, 134.505231, 12.217865, 16.648, GO16102_LC
211438525, 135.296895, 12.223873, 17.881, GO16102_LC
211438535, 130.080829, 12.224052, 17.091, GO16102_LC
211438617, 136.298788, 12.225347, 16.951, GO16102_LC
211438703, 132.843121, 12.22673, 19.292, GO16102_LC
211438754, 136.052608, 12.227534, 17.311, GO16102_LC
211438958, 134.357015, 12.23058, 17.18, GO16102_LC
211439202, 135.783696, 12.23402, 17.504, GO16079_LC|GO16095_LC|GO16102_LC
211439395, 133.519166, 12.236926, 17.134, GO16079_LC|GO16102_LC
211439401, 136.84823, 12.237008, 17.566, GO16095_LC|GO16102_LC
211439577, 137.265114, 12.239841, 17.223, GO16079_LC|GO16102_LC
211439881, 134.433064, 12.244793, 18.189, GO16079_LC|GO16102_LC
211439899, 130.05585, 12.245103, 17.287, GO16102_LC
211439911, 132.608648, 12.245228, 17.155, GO16102_LC
211439981, 129.972697, 12.246364, 16.279, GO16079_LC|GO16102_LC
211440264, 135.925306, 12.25034, 18.022, GO16079_LC|GO16095_LC|GO16102_LC
211440597, 132.650133, 12.255411, 17.584, GO16079_LC|GO16102_LC
211440645, 133.63735, 12.256127, 17.652, GO16102_LC
211440680, 133.407866, 12.25662, 17.252, GO16079_LC|GO16102_LC
211440751, 133.295226, 12.25763, 18.214, GO16079_LC|GO16095_LC|GO16102_LC
211441006, 135.722092, 12.261602, 18.081, GO16079_LC|GO16102_LC
211441405, 134.081413, 12.26758, 17.542, GO16079_LC|GO16102_LC
211441573, 130.086782, 12.270261, 17.728, GO16102_LC
211441820, 133.626209, 12.274025, 17.482, GO16079_LC|GO16102_LC
211442029, 132.660102, 12.277677, 17.1, GO16079_LC|GO16102_LC
211442224, 133.144971, 12.280709, 17.432, GO16079_LC|GO16102_LC
211442241, 133.090532, 12.281028, 17.639, GO16079_LC|GO16102_LC
211442328, 135.42175, 12.282361, 17.675, GO16079_LC|GO16102_LC
211442430, 129.692427, 12.284065, 18.013, GO16102_LC
211442504, 134.359857, 12.285075, 16.946, GO16079_LC|GO16102_LC
211442981, 137.232043, 12.292462, 16.848, GO16079_LC|GO16102_LC
211443372, 132.433121, 12.298751, 18.313, GO16102_LC
211443414, 133.631063, 12.299308, 17.253, GO16079_LC|GO16102_LC
211443601, 135.884976, 12.302542, 17.337, GO16079_LC|GO16102_LC
211443653, 133.918073, 12.303278, 16.171, GO16079_LC|GO16102_LC
211444138, 129.627229, 12.31029, 15.351, GO16052_LC|GO16079_LC|GO16102_LC
211444183, 135.202469, 12.311093, 16.899, GO16079_LC|GO16102_LC
211444233, 136.148468, 12.311728, 17.658, GO16102_LC
211444375, 136.371754, 12.314188, 18.211, GO16079_LC|GO16102_LC
211444422, 129.823432, 12.314979, 17.879, GO16079_LC|GO16102_LC
211444440, 137.107162, 12.315157, 15.764, GO16079_LC|GO16102_LC
211444663, 135.254591, 12.318369, 17.046, GO16079_LC|GO16102_LC
211445074, 135.920689, 12.324591, 16.436, GO16079_LC|GO16102_LC
211445917, 129.678459, 12.33842, 16.657, GO16079_LC|GO16102_LC
211446070, 132.680924, 12.341067, 17.208, GO16079_LC|GO16102_LC
211446110, 130.401879, 12.341674, 17.751, GO16102_LC
211446259, 137.211164, 12.343793, 16.331, GO16079_LC|GO16102_LC
211446449, 136.85208, 12.346675, 17.594, GO16102_LC
211446473, 132.786503, 12.347132, 17.791, GO16079_LC|GO16102_LC
211446579, 129.678877, 12.348636, 17.111, GO16079_LC|GO16102_LC
211446663, 136.419699, 12.350126, 17.712, GO16102_LC
211446823, 135.741033, 12.352497, 16.339, GO16079_LC|GO16102_LC
211446997, 133.817121, 12.355025, 17.125, GO16079_LC|GO16102_LC
211447028, 135.499861, 12.355537, 17.105, GO16102_LC
211447161, 133.857215, 12.357555, 17.883, GO16102_LC
211447232, 129.675598, 12.358607, 16.961, GO16079_LC|GO16102_LC
211447428, 135.757458, 12.361235, 16.479, GO16079_LC|GO16095_LC|GO16102_LC
211447639, 133.820761, 12.364225, 17.091, GO16102_LC
211447689, 132.573377, 12.365014, 17.567, GO16079_LC|GO16102_LC
211447820, 133.830586, 12.367455, 17.357, GO16079_LC|GO16102_LC
211447943, 131.390111, 12.369022, 17.272, GO16008_LC|GO16079_LC|GO16102_LC
211447974, 129.672175, 12.369502, 17.383, GO16079_LC|GO16102_LC
211448210, 129.654772, 12.373317, 17.537, GO16079_LC|GO16102_LC
211448422, 137.220034, 12.376289, 17.788, GO16079_LC|GO16102_LC
211448562, 131.699259, 12.378429, 17.546, GO16102_LC
211448563, 134.620329, 12.378436, 18.258, GO16079_LC|GO16102_LC
211448648, 133.840543, 12.379855, 16.912, GO16079_LC|GO16102_LC
211448740, 132.917267, 12.381434, 17.051, GO16079_LC|GO16102_LC
211448751, 132.771695, 12.381618, 16.663, GO16079_LC|GO16102_LC
211448861, 134.085044, 12.383289, 17.622, GO16079_LC|GO16095_LC|GO16102_LC
211448966, 129.682869, 12.384929, 16.121, GO16079_LC|GO16102_LC
211449065, 130.688049, 12.386329, 17.339, GO16079_LC|GO16102_LC
211449211, 134.417339, 12.38852, 17.811, GO16102_LC
211449564, 131.358272, 12.393844, 17.272, GO16102_LC
211449622, 132.786331, 12.394708, 15.573, GO16079_LC|GO16102_LC
211449784, 134.009815, 12.397379, 18.376, GO16102_LC
211449934, 130.210952, 12.39947, 16.875, GO16102_LC
211449957, 137.195008, 12.399781, 16.631, GO16102_LC
211449983, 133.116882, 12.400064, 17.346, GO16079_LC|GO16102_LC
211450025, 133.996764, 12.400673, 17.73, GO16102_LC
211450035, 137.273851, 12.400957, 17.428, GO16079_LC|GO16102_LC
211450211, 134.589436, 12.403347, 17.957, GO16079_LC|GO16102_LC
211450253, 132.849137, 12.403839, 17.741, GO16102_LC
211450521, 132.997441, 12.408053, 16.978, GO16102_LC
211452035, 129.697578, 12.431085, 16.561, GO16079_LC|GO16102_LC
211452117, 135.727036, 12.432454, 16.306, GO16079_LC|GO16102_LC
211452162, 133.901884, 12.433078, 17.055, GO16079_LC|GO16102_LC
211452476, 133.407271, 12.437451, 16.431, GO16079_LC|GO16102_LC
211452612, 137.400949, 12.439296, 17.23, GO16079_LC|GO16102_LC
211452634, 137.36835, 12.43973, 16.609, GO16079_LC|GO16102_LC
211452691, 137.350793, 12.440611, 17.389, GO16102_LC
211452784, 134.603905, 12.442, 16.393, GO16079_LC|GO16102_LC
211453104, 134.224056, 12.447063, 16.786, GO16079_LC|GO16102_LC
211453121, 131.170871, 12.447182, 17.065, GO16079_LC|GO16102_LC
211453508, 136.427705, 12.453239, 17.094, GO16079_LC|GO16102_LC
211453666, 135.460036, 12.455894, 17.99, GO16102_LC
211453806, 136.031689, 12.457793, 17.593, GO16079_LC|GO16102_LC
211453985, 129.490037, 12.460236, 17.565, GO16079_LC|GO16102_LC
211454015, 134.118335, 12.460654, 15.934, GO16079_LC|GO16095_LC|GO16102_LC
211454100, 137.309462, 12.462006, 17.508, GO16079_LC|GO16102_LC
211454186, 129.44279, 12.463227, 18.697, GO16079_LC|GO16102_LC
211454205, 134.474561, 12.463513, 17.408, GO16102_LC
211454270, 133.707531, 12.464684, 17.708, GO16102_LC
211454410, 136.016101, 12.466793, 17.484, GO16079_LC|GO16102_LC
211454514, 136.742141, 12.468491, 17.179, GO16079_LC|GO16102_LC
211454576, 135.46442, 12.469606, 17.369, GO16079_LC|GO16102_LC
211454780, 134.5192, 12.472637, 17.592, GO16079_LC|GO16102_LC
211454915, 129.804183, 12.47498, 16.697, GO16079_LC|GO16102_LC
211454988, 135.346468, 12.476068, 17.023, GO16079_LC|GO16102_LC
211455033, 134.427745, 12.476888, 18.071, GO16102_LC
211455116, 132.953702, 12.478165, 16.892, GO16079_LC|GO16102_LC
211455263, 133.568956, 12.480384, 17.045, GO16079_LC|GO16102_LC
211455653, 137.504135, 12.486015, 15.921, GO16079_LC|GO16102_LC
211455959, 137.233303, 12.490387, 17.047, GO16102_LC
211456334, 136.779659, 12.495889, 17.207, GO16079_LC|GO16102_LC
211456367, 134.407834, 12.49645, 17.134, GO16079_LC|GO16095_LC|GO16102_LC
211456496, 134.523187, 12.498483, 18.211, GO16079_LC|GO16102_LC
211456859, 132.776627, 12.503937, 16.565, GO16079_LC|GO16102_LC
211456959, 137.59732, 12.505456, 17.5, GO16079_LC|GO16102_LC
211457909, 133.802161, 12.519978, 17.726, GO16102_LC
211458382, 131.245055, 12.527366, 18.042, GO16102_LC
211458570, 137.62087, 12.530857, 17.399, GO16079_LC|GO16095_LC|GO16102_LC
211458603, 134.366539, 12.531335, 17.715, GO16102_LC
211459091, 135.899578, 12.538639, 17.57, GO16079_LC|GO16102_LC
211459120, 133.082389, 12.539008, 16.592, GO16079_LC|GO16095_LC|GO16102_LC
211459580, 129.866337, 12.54592, 18.087, GO16079_LC|GO16102_LC
211459686, 129.500748, 12.547461, 16.738, GO16079_LC|GO16102_LC
211459737, 135.917607, 12.548309, 16.957, GO16079_LC|GO16102_LC
211459891, 132.963799, 12.550603, 17.082, GO16079_LC|GO16102_LC
211459900, 133.223875, 12.550744, 17.714, GO16102_LC
211460442, 134.031651, 12.55853, 18.162, GO16102_LC
211460508, 130.601782, 12.55947, 17.727, GO16079_LC|GO16102_LC
211460575, 134.679754, 12.560422, 16.965, GO16079_LC|GO16102_LC
211460777, 132.759989, 12.563701, 17.167, GO16102_LC
211460961, 133.151501, 12.566556, 17.399, GO16079_LC|GO16102_LC
211461029, 130.640604, 12.567621, 17.038, GO16079_LC|GO16102_LC
211461069, 135.947228, 12.568157, 17.498, GO16079_LC|GO16102_LC
211461181, 132.849713, 12.570128, 17.543, GO16079_LC|GO16102_LC
211461345, 131.287303, 12.572762, 17.452, GO16102_LC
211461719, 132.483656, 12.578562, 17.017, GO16079_LC|GO16102_LC
211461899, 133.425556, 12.581145, 17.608, GO16102_LC
211462553, 130.72131, 12.591054, 17.552, GO16102_LC
211462831, 131.215489, 12.595449, 17.327, GO16102_LC
211462864, 133.808042, 12.59597, 17.017, GO16079_LC|GO16095_LC|GO16102_LC
211463115, 136.774458, 12.599937, 17.514, GO16095_LC|GO16102_LC
211463384, 134.159701, 12.604105, 17.513, GO16102_LC
211463615, 135.463826, 12.607441, 17.386, GO16095_LC|GO16102_LC
211463900, 133.528645, 12.612198, 17.361, GO16102_LC
211464317, 134.276611, 12.618546, 17.252, GO16079_LC|GO16102_LC
211464342, 133.814057, 12.618976, 17.503, GO16079_LC|GO16095_LC|GO16102_LC
211464349, 131.149724, 12.619053, 17.478, GO16079_LC|GO16102_LC
211464501, 132.636013, 12.621218, 17.118, GO16079_LC|GO16102_LC
211464517, 134.592747, 12.621469, 17.017, GO16102_LC
211465240, 135.462985, 12.632791, 17.541, GO16079_LC|GO16102_LC
211465345, 135.488889, 12.634551, 17.843, GO16102_LC
211465602, 130.61516, 12.638536, 17.789, GO16102_LC
211465762, 131.414914, 12.641098, 17.38, GO16079_LC|GO16102_LC
211465785, 132.732822, 12.641431, 16.91, GO16079_LC|GO16102_LC
211465862, 130.905139, 12.642342, 17.535, GO16079_LC|GO16102_LC
211465978, 136.243185, 12.644079, 16.775, GO16079_LC|GO16102_LC
211466021, 130.888786, 12.644821, 17.691, GO16102_LC
211466104, 135.600458, 12.64583, 17.659, GO16079_LC|GO16102_LC
211466142, 134.663451, 12.64632, 17.288, GO16079_LC|GO16102_LC
211466173, 133.381905, 12.647026, 17.119, GO16079_LC|GO16102_LC
211466396, 135.5036, 12.650184, 17.196, GO16079_LC|GO16102_LC
211466617, 129.895095, 12.654123, 17.005, GO16079_LC|GO16102_LC
211466732, 130.3483, 12.655831, 16.98, GO16079_LC|GO16102_LC
211466935, 135.391123, 12.658954, 16.862, GO16079_LC|GO16095_LC|GO16102_LC
211466936, 135.497493, 12.658975, 17.206, GO16079_LC|GO16102_LC
211467145, 135.376883, 12.662156, 16.03, GO16079_LC|GO16095_LC|GO16102_LC
211467226, 132.81877, 12.663447, 17.353, GO16079_LC|GO16102_LC
211467538, 129.734543, 12.667903, 16.167, GO16079_LC|GO16102_LC
211467652, 132.49668, 12.669644, 17.382, GO16102_LC
211467949, 134.59303, 12.673888, 16.734, GO16102_LC
211468092, 134.651832, 12.675785, 17.76, GO16102_LC
211468115, 134.072728, 12.676085, 17.313, GO16079_LC|GO16102_LC
211468195, 134.680253, 12.677261, 14.656, GO16079_LC|GO16102_LC
211468219, 134.077625, 12.677635, 16.97, GO16079_LC|GO16102_LC
211468355, 132.325013, 12.6797, 17.44, GO16095_LC|GO16102_LC
