# Summary of K2 Program GO6040

Title: Stellar population properties inferred from observations of eclipsing binary stars

PI: Prsa, Andrej (Villanova University)
CoIs: Maxted, Pierre F; Quarles, Billy L; Conroy, Kyle; Pepper, Joshua

Eclipsing Binary Stars are the cornerstone of stellar astrophysics. They provide fundamental stellar parameters (masses, radii, temperatures and luminosities) for objects across the H-R diagram. The K2 mission will probe fields along the ecliptic, thus allowing us to study inherently different stellar populations and their distributions as a function of galactic latitude. Campaigns 6 and 7 focus on the most diverse populations, namely in the direction of the north galactic cap and the galactic center, including NGC 6717, a globular cluster in Sagittarius. Because stars in clusters are coeval, share a common evolutionary path and feature the same chemical abundances, eclipsing binaries found in clusters serve as distance calibrators and stellar population gauges. We collected all known eclipsing binary stars in fields 6 and 7 from available online catalogs (via Simbad and VizieR services), and performed a thorough search for binaries in the proprietary Kilodegree Extremely Little Telescope (KELT) and SuperWASP survey data to assemble a list of proposed targets for this solicitation. The reduction and analysis will be done by experienced members of the Kepler Eclipsing Binary Working Group.

# Targets requested by this program that have been observed (198)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
212756842, 207.2015076, -6.7891641, 16.652, GO6001_LC|GO6003_LC|GO6040_LC|GO6083_LC
212763178, 204.7421722, -6.6102982, 15.448, GO6040_LC
212764154, 204.806778, -6.582572, 15.505, GO6040_LC
212764197, 204.6933746, -6.5813122, 12.911, GO6030_LC|GO6032_LC|GO6040_LC|GO6069_LC|GO6086_LC
212766965, 198.9269867, -6.502347, 17.592, GO6040_LC
212767731, 203.7511139, -6.4816499, 18.265, GO6040_LC|GO6082_LC
212773061, 202.4245758, -6.3306479, 14.714, GO6040_LC
212773156, 203.2146912, -6.3271441, 16.0, GO6040_LC|GO6082_LC
212774139, 203.8236389, -6.2981009, 17.241, GO6040_LC
212776502, 208.7286377, -6.2271118, 17.914, GO6040_LC
212780312, 201.7863464, -6.1154361, 15.064, GO6040_LC
212781756, 206.0226288, -6.0734439, 17.3, GO6040_LC
212786572, 206.5561218, -5.9362679, 18.275, GO6040_LC
212786799, 201.7229767, -5.9306951, 8.571, GO6030_LC|GO6040_LC
212788477, 202.3436737, -5.883142, 11.761, GO6082_SC|GO6030_LC|GO6040_LC|GO6054_LC|GO6082_LC|GO6086_LC
212791701, 201.9236298, -5.7899132, 16.337, GO6040_LC
212798939, 209.2356567, -5.5764871, 16.823, GO6040_LC
212799836, 204.420517, -5.5494952, 16.831, GO6040_LC
212802916, 201.5472565, -5.4531608, 15.656, GO6040_LC
212808200, 202.0995026, -5.2857828, 13.259, GO6082_SC|GO6030_LC|GO6040_LC|GO6082_LC
212841253, 201.7926941, -4.1723828, 10.498, GO6030_LC|GO6040_LC|GO6074_LC
229227274, , , , GO6040_LC
