EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
200063032, , , , GO8010_LC|1999TJ90_TILE
200063033, , , , GO8010_LC|1999TJ90_TILE
200063034, , , , GO8010_LC|1999TJ90_TILE
200063035, , , , GO8010_LC|1999TJ90_TILE
200063036, , , , GO8010_LC|1999TJ90_TILE
200063037, , , , GO8010_LC|1999TJ90_TILE
200063038, , , , GO8010_LC|1999TJ90_TILE
200063039, , , , GO8010_LC|1999TJ90_TILE
200063040, , , , GO8010_LC|1999TJ90_TILE
200063041, , , , GO8010_LC|1999TJ90_TILE
200063042, , , , GO8010_LC|1999TJ90_TILE
200063043, , , , GO8010_LC|1999TJ90_TILE
200063044, , , , GO8010_LC|1999TJ90_TILE
200063045, , , , GO8010_LC|1999TJ90_TILE
200063046, , , , GO8010_LC|1999TJ90_TILE
200063047, , , , GO8010_LC|1999TJ90_TILE
200063048, , , , GO8010_LC|1999TJ90_TILE
200063049, , , , GO8010_LC|1999TJ90_TILE
200063050, , , , GO8010_LC|1999TJ90_TILE
200063051, , , , GO8010_LC|1999TJ90_TILE
200063052, , , , GO8010_LC|1999TJ90_TILE
200063053, , , , GO8010_LC|1999TJ90_TILE
200063054, , , , GO8010_LC|1999TJ90_TILE
200063055, , , , GO8010_LC|1999TJ90_TILE
200063056, , , , GO8010_LC|1999TJ90_TILE
200063057, , , , GO8010_LC|1999TJ90_TILE
200063058, , , , GO8010_LC|1999TJ90_TILE
200063059, , , , GO8010_LC|1999TJ90_TILE
200063060, , , , GO8010_LC|1999TJ90_TILE
200063061, , , , GO8010_LC|1999TJ90_TILE
200063062, , , , GO8010_LC|1999TJ90_TILE
200063063, , , , GO8010_LC|1999TJ90_TILE
200063064, , , , GO8010_LC|1999TJ90_TILE
200063065, , , , GO8010_LC|1999TJ90_TILE
200063066, , , , GO8010_LC|1999TJ90_TILE
200063067, , , , GO8010_LC|1999TJ90_TILE
200063068, , , , GO8010_LC|1999TJ90_TILE
200063069, , , , GO8010_LC|1999TJ90_TILE
200063070, , , , GO8010_LC|1999TJ90_TILE
200063071, , , , GO8010_LC|1999TJ90_TILE
200063072, , , , GO8010_LC|1999TJ90_TILE
200063073, , , , GO8010_LC|1999TJ90_TILE
200063074, , , , GO8010_LC|1999TJ90_TILE
200063075, , , , GO8010_LC|1999TJ90_TILE
200063076, , , , GO8010_LC|1999TJ90_TILE
200063077, , , , GO8010_LC|1999TJ90_TILE
200063078, , , , GO8010_LC|1999TJ90_TILE
200063079, , , , GO8010_LC|1999TJ90_TILE
200063080, , , , GO8010_LC|1999TJ90_TILE
200063081, , , , GO8010_LC|1999TJ90_TILE
200063082, , , , GO8010_LC|1999TJ90_TILE
200063083, , , , GO8010_LC|1999TJ90_TILE
200063084, , , , GO8010_LC|1999TJ90_TILE
200063085, , , , GO8010_LC|1999TJ90_TILE
200063086, , , , GO8010_LC|1999TJ90_TILE
200063087, , , , GO8010_LC|1999TJ90_TILE
200063088, , , , GO8010_LC|1999TJ90_TILE
200063089, , , , GO8010_LC|1999TJ90_TILE
200063090, , , , GO8010_LC|1999TJ90_TILE
200063091, , , , GO8010_LC|1999TJ90_TILE
200063092, , , , GO8010_LC|1999TJ90_TILE
200063093, , , , GO8010_LC|1999TJ90_TILE
200063094, , , , GO8010_LC|1999TJ90_TILE
200063095, , , , GO8010_LC|1999TJ90_TILE
200063096, , , , GO8010_LC|1999TJ90_TILE
200063097, , , , GO8010_LC|1999TJ90_TILE
200063098, , , , GO8010_LC|1999TJ90_TILE
200063099, , , , GO8010_LC|1999TJ90_TILE
200063100, , , , GO8010_LC|1999TJ90_TILE
200063101, , , , GO8010_LC|1999TJ90_TILE
200063102, , , , GO8010_LC|1999TJ90_TILE
200063103, , , , GO8010_LC|1999TJ90_TILE
200063104, , , , GO8010_LC|1999TJ90_TILE
200063105, , , , GO8010_LC|1999TJ90_TILE
200063106, , , , GO8010_LC|1999TJ90_TILE
200063107, , , , GO8010_LC|1999TJ90_TILE
200063108, , , , GO8010_LC|1999TJ90_TILE
200063109, , , , GO8010_LC|1999TJ90_TILE
200063110, , , , GO8010_LC|1999TJ90_TILE
200063111, , , , GO8010_LC|1999TJ90_TILE
200063112, , , , GO8010_LC|1999TJ90_TILE
200063113, , , , GO8010_LC|1999TJ90_TILE
200063114, , , , GO8010_LC|1999TJ90_TILE
200063115, , , , GO8010_LC|1999TJ90_TILE
200063116, , , , GO8010_LC|1999TJ90_TILE
200063117, , , , GO8010_LC|1999TJ90_TILE
200063118, , , , GO8010_LC|1999TJ90_TILE
200063119, , , , GO8010_LC|1999TJ90_TILE
200063120, , , , GO8010_LC|1999TJ90_TILE
200063121, , , , GO8010_LC|1999TJ90_TILE
200063122, , , , GO8010_LC|1999TJ90_TILE
200063123, , , , GO8010_LC|1999TJ90_TILE
200063124, , , , GO8010_LC|1999TJ90_TILE
200063125, , , , GO8010_LC|1999TJ90_TILE
200063126, , , , GO8010_LC|1999TJ90_TILE
200063127, , , , GO8010_LC|1999TJ90_TILE
200063128, , , , GO8010_LC|1999TJ90_TILE
200063129, , , , GO8010_LC|1999TJ90_TILE
200063130, , , , GO8010_LC|1999TJ90_TILE
200063131, , , , GO8010_LC|1999TJ90_TILE
200063132, , , , GO8010_LC|1999TJ90_TILE
200063133, , , , GO8010_LC|1999TJ90_TILE
200063134, , , , GO8010_LC|1999TJ90_TILE
200063135, , , , GO8010_LC|1999TJ90_TILE
200063136, , , , GO8010_LC|1999TJ90_TILE
200063137, , , , GO8010_LC|1999TJ90_TILE
200063138, , , , GO8010_LC|1999TJ90_TILE
200063139, , , , GO8010_LC|1999TJ90_TILE
200063140, , , , GO8010_LC|1999TJ90_TILE
200063141, , , , GO8010_LC|1999TJ90_TILE
200063142, , , , GO8010_LC|1999TJ90_TILE
200063143, , , , GO8010_LC|1999TJ90_TILE
200063144, , , , GO8010_LC|1999TJ90_TILE
200063145, , , , GO8010_LC|1999TJ90_TILE
200063146, , , , GO8010_LC|1999TJ90_TILE
200063147, , , , GO8010_LC|1999TJ90_TILE
200063148, , , , GO8010_LC|1999TJ90_TILE
200063149, , , , GO8010_LC|1999TJ90_TILE
200063150, , , , GO8010_LC|1999TJ90_TILE
200063151, , , , GO8010_LC|1999TJ90_TILE
200063152, , , , GO8010_LC|1999TJ90_TILE
200063153, , , , GO8010_LC|1999TJ90_TILE
200063154, , , , GO8010_LC|1999TJ90_TILE
200063155, , , , GO8010_LC|1999TJ90_TILE
200063156, , , , GO8010_LC|1999TJ90_TILE
200063157, , , , GO8010_LC|1999TJ90_TILE
200063158, , , , GO8010_LC|1999TJ90_TILE
200063159, , , , GO8010_LC|1999TJ90_TILE
200063160, , , , GO8010_LC|1999TJ90_TILE
200063161, , , , GO8010_LC|1999TJ90_TILE
200063162, , , , GO8010_LC|1999TJ90_TILE
200063163, , , , GO8010_LC|1999TJ90_TILE
200063164, , , , GO8010_LC|1999TJ90_TILE
200063165, , , , GO8010_LC|1999TJ90_TILE
200063166, , , , GO8010_LC|1999TJ90_TILE
200063167, , , , GO8010_LC|1999TJ90_TILE
200063168, , , , GO8010_LC|1999TJ90_TILE
200063169, , , , GO8010_LC|1999TJ90_TILE
200063170, , , , GO8010_LC|1999TJ90_TILE
200063171, , , , GO8010_LC|1999TJ90_TILE
