# Summary of K2 Program GO19068

Title: Galactic archaeology on a grand scale - C17-19

PI: Stello, Dennis (UNSW-Sydney)
CoIs: Marc Pinsonneault (OSU, Columbus), Derek Buzasi (Florida Gulf Coast University), Ken Freeman (ANU, Australia), Andrea Miglio (U. Birmingham, UK), Sanjib Sharma (U.Sydney, Australia)



# Targets requested by this program that have been observed (10031)
EPIC,rafloat,decfloat,Kp,InvestigationIDs
206425815,340.67236,-6.20326,10.66300,GO19068_LC
206426683,344.01733,-6.18851,12.17400,GO19068_LC
206427045,340.92010,-6.18310,14.45500,GO19026_LC|GO19063_LC|GO19068_LC
206428253,340.62573,-6.16242,10.44900,GO19050_LC|GO19068_LC
206428340,340.18610,-6.16103,12.22600,GO19049_LC|GO19063_LC|GO19065_LC|GO19068_LC
206429002,340.49990,-6.14934,12.78300,GO19049_LC|GO19065_LC|GO19068_LC
206429171,341.27545,-6.14656,15.37800,GO19063_LC|GO19068_LC
206429513,340.44608,-6.14066,14.20400,GO19068_LC
206429514,341.13050,-6.14063,14.19500,GO19068_LC
206429874,341.22763,-6.13457,14.01800,GO19068_LC
206430228,340.89325,-6.12892,14.93800,GO19063_LC|GO19068_LC
206431404,341.03284,-6.11006,12.12100,GO19068_LC
206431755,340.85806,-6.10427,17.20700,GO19063_LC|GO19068_LC
206432449,341.73540,-6.09336,11.79700,GO19049_LC|GO19063_LC|GO19065_LC|GO19068_LC
206432565,343.66797,-6.09149,12.54200,GO19049_LC|GO19065_LC|GO19068_LC
206433668,343.98727,-6.07408,13.71000,GO19068_LC
206434571,341.70343,-6.05898,14.43100,GO19068_LC
206434804,344.01984,-6.05488,14.02100,GO19011_LC|GO19068_LC
206435330,341.46564,-6.04574,13.89900,GO19068_LC
206435689,340.30862,-6.04005,14.17600,GO19068_LC
206435739,340.56958,-6.03911,12.90700,GO19049_LC|GO19065_LC|GO19068_LC
206435781,340.91638,-6.03834,12.93600,GO19068_LC
206436223,340.26886,-6.03073,11.86600,GO19068_LC
206436381,344.01690,-6.02823,13.40900,GO19049_LC|GO19063_LC|GO19068_LC
206436551,340.48060,-6.02492,13.05000,GO19068_LC
206436835,341.03894,-6.02017,15.30500,GO19068_LC|GO19902_LC
206437049,340.44443,-6.01691,12.18100,GO19068_LC
206437320,340.09772,-6.01299,12.14100,GO19026_LC|GO19049_LC|GO19065_LC|GO19068_LC
206437497,341.82254,-6.01007,12.94100,GO19068_LC
206437688,341.70690,-6.00686,11.22700,GO19003_LC|GO19049_LC|GO19065_LC|GO19068_LC
206438024,340.98660,-6.00143,14.48100,GO19068_LC
206438157,340.49472,-5.99903,14.35200,GO19068_LC
206438589,340.15630,-5.99225,13.62600,GO19068_LC
206438755,343.66452,-5.98987,14.56400,GO19063_LC|GO19068_LC
206439140,343.87952,-5.98386,15.97900,GO19063_LC|GO19068_LC
206439496,341.88275,-5.97833,14.15000,GO19068_LC
206439531,344.00310,-5.97775,16.11500,GO19063_LC|GO19068_LC
206439532,344.01610,-5.97773,16.66600,GO19063_LC|GO19068_LC
206439542,343.87036,-5.97758,14.37500,GO19011_LC|GO19068_LC
206440193,344.05786,-5.96722,13.18800,GO19049_LC|GO19068_LC
206440388,341.62878,-5.96414,11.48800,GO19068_LC|GO19902_LC
206440449,340.26990,-5.96303,13.36000,GO19049_LC|GO19068_LC
206441132,340.27878,-5.95212,14.22500,GO19068_LC
206441839,341.15063,-5.94053,13.05000,GO19068_LC
206441981,340.23550,-5.93818,16.07400,GO19063_LC|GO19068_LC
206442077,341.29565,-5.93633,11.09400,GO19068_LC
206442274,341.09335,-5.93301,13.88000,GO19068_LC
206442447,343.58090,-5.93030,13.52600,GO19068_LC
206443114,343.79540,-5.91920,14.77500,GO19068_LC
206443206,341.37090,-5.91766,14.49500,GO19063_LC|GO19068_LC
206443686,341.03458,-5.90963,16.45400,GO19063_LC|GO19068_LC
206443800,343.56305,-5.90779,14.59900,GO19063_LC|GO19068_LC
206443898,340.47150,-5.90611,15.47300,GO19017_LC|GO19068_LC
206444033,341.81992,-5.90405,17.03800,GO19063_LC|GO19068_LC
206444373,341.25937,-5.89879,13.93900,GO19068_LC
206445074,341.93427,-5.88678,13.85500,GO19068_LC
206445273,343.79782,-5.88334,14.11300,GO19068_LC
206445487,340.24920,-5.87998,9.70200,GO19068_LC
206445549,341.06354,-5.87902,12.38000,GO19068_LC
206445648,340.77140,-5.87749,14.34100,GO19068_LC
206445686,343.53775,-5.87685,10.47400,GO19049_LC|GO19065_LC|GO19068_LC
206446123,340.04117,-5.86963,12.97600,GO19049_LC|GO19065_LC|GO19068_LC
206446231,341.19534,-5.86805,13.97400,GO19068_LC
206446559,340.53842,-5.86280,14.04800,GO19068_LC
206446565,340.73340,-5.86266,9.81200,GO19068_LC
206446746,343.54224,-5.85999,11.67400,GO19068_LC
206446760,343.94675,-5.85976,13.43500,GO19049_LC|GO19068_LC
206446778,341.99573,-5.85944,14.46800,GO19068_LC
206447049,342.08923,-5.85515,15.76000,GO19046_LC|GO19068_LC
206447905,343.74377,-5.84141,10.12900,GO19068_LC
206448228,340.09167,-5.83564,14.20500,GO19068_LC
206448342,340.13092,-5.83399,9.44100,GO19068_LC
206449117,341.75700,-5.82098,13.24000,GO19068_LC
206449591,341.85257,-5.81325,13.53600,GO19049_LC|GO19068_LC
206449618,340.27344,-5.81284,9.00000,GO19068_LC
206449703,340.68204,-5.81154,11.46400,GO19049_LC|GO19065_LC|GO19068_LC
206450592,340.46985,-5.79669,12.31100,GO19068_LC
206451330,342.15668,-5.78398,15.56200,GO19046_LC|GO19068_LC
206451382,341.13412,-5.78327,14.03000,GO19068_LC
206451558,340.16720,-5.77982,14.02800,GO19068_LC
206451742,343.59500,-5.77691,14.08300,GO19068_LC
206451805,341.82883,-5.77591,16.99900,GO19063_LC|GO19068_LC
206452609,343.55460,-5.76235,14.88600,GO19046_LC|GO19068_LC
206453773,341.44324,-5.74209,13.40900,GO19049_LC|GO19068_LC
206453805,341.56656,-5.74159,13.72800,GO19068_LC
