EPIC,RA,Dec,Kp,InvestigationIDs
200262937, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262938, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262939, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262940, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262941, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262942, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262943, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262944, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262945, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262946, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262947, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262948, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262949, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262950, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262951, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262952, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262953, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262954, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262955, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262956, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262957, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262958, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262959, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262960, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262961, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262962, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262963, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262964, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262965, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262966, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262967, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262968, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262969, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262970, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262971, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262972, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262973, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262974, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262975, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262976, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262977, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262978, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262979, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262980, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262981, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262982, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262983, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262984, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262985, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262986, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262987, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262988, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262989, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262990, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262991, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262992, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262993, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262994, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262995, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262996, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262997, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262998, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200262999, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200263000, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200263001, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
200263002, , , , GO20012_LC|GO20019_LC|2011_UQ62-LC-SSO_TILE
