# Summary of K2 Program GO13052

Title: The heat is on: exoplanets that orbit hot stars

PI: Quarles, Billy L (SETI Institute)
CoIs: Rowe, Jason Frank; Antoci, Victoria

Science Goals Objectives: The Kepler Mission has discovered a few thousand planet candidates, which has allowed for a statistical determination of planet size and orbital characterization.   In particular, multi-planet systems, where more than one planet is seen transiting a star have provided a wealth of information covering statistical confirmations, eccentricity distributions, mutual inclinations and dynamical stability.  We have learned that not only are planets plentiful, but are found in relatively flat and circular orbits.  However, this knowledge of the architecture exoplanetary systems is only currently valid for cooler G, K and M-dwarf stars, which were the prime targets from the original Kepler Mission.  From the Kepler Q1-Q17 catalogue there are only 254 planet-candidate systems where the host star has an effective temperature greater than 6500 K.  In stars with temperatures hotter than ~6500 K the stellar envelope structure and evolution on the main sequence is dominated by radiative transfer, opposed to cooler stars where convection plays an important role.   Misalignments between the planets orbital plane and stellar spin axis have been predominately found for stars with radiative atmospheres, whereas stars with convective envelopes typically show close alignment.  This observation is likely linked to the coupling of convective atmospheres and tidal forces.  As such, we wish to continue making observations with K2 to determine the occurrence rate and orbital properties of multi-planet systems around hot stars.

Methodology: The Kepler Mission was a planet finding machine!  Our team has extensive knowledge and experience with Kepler photometric data for both transit finding and analysis as well as performing asteroseismic analysis of stars with temperatures greater than 6500 K.  We have 236 targets selected for observation in C8 and will investigate a much larger list of target stars over C11, C12, and C13.  One of the problems of searching for planets around hotter stars is that many are known to pulsate (e.g. dSct and gDor type).  Fortunately, the pulsations can be identified and accounted for from photometric light curves to allow searches for planets to reach low-noise levels.  Our plan is to use detrended photometric data and apply asteroseismic tools to remove stellar phenomena that may affect the data and to then search for transiting planets.  We will then study the properties of the planet-candidates using transit-depths, transit-durations and impact parameter to estimate the distributions of orbital properties.  We will also estimate our planet search completeness and compare our measured properties to the properties of planetary systems found around cooler stars.

Relevance to Kepler-GO Program: Using space-based astronomical observations of star fields with K2, we will search for and characterize new planets around hot stars. Our research has the potential to determine whether the properties of the host star, convective or radiative atmospheres, play a role in the formation and evolution of planetary systems.  Our proposed investigation is part of a multiple observing campaign search for which we have 236 stars selected for observation in a previous proposal.  Through our continued search of stars on the ecliptic, we will collect observations to make sure we find ample planetary systems around hot-stars to meet our research goals.

# Targets requested by this program that have been observed (758)
EPIC ID, RA (J2000) [deg], Dec (J2000) [deg], magnitude, Investigation IDs
210569285, 66.823086, 16.51114, 9.904, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC
210572775, 67.690728, 16.56274, 11.996, GO13122_LC|GO13052_LC
210580425, 66.859989, 16.677598, 11.378, GO13071_LC|GO13122_LC|GO13098_LC|GO13024_LC|GO13052_LC
210611940, 67.707869, 17.133689, 10.893, GO13071_LC|GO13122_LC|GO13052_LC
210617221, 67.951045, 17.208217, 9.424, GO13071_LC|GO13122_LC|GO13052_LC
210631504, 66.857302, 17.410721, 11.549, GO13122_LC|GO13052_LC
210634047, 66.472719, 17.447637, 8.261, GO13071_LC|GO13122_LC|GO13002_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13903_LC|GO13904_LC
210641603, 66.655086, 17.55314, 11.254, GO13049_LC|GO13071_LC|GO13122_LC|GO13052_LC|GO13902_LC|GO13904_LC
210648968, 67.686347, 17.654385, 10.308, GO13071_LC|GO13122_LC|GO13052_LC
210650598, 67.450517, 17.677599, 8.475, GO13071_LC|GO13122_LC|GO13002_LC|GO13052_LC|GO13127_LC
210655914, 67.883185, 17.749764, 10.471, GO13071_LC|GO13122_LC|GO13052_LC
210658099, 67.313542, 17.779121, 9.929, GO13071_LC|GO13122_LC|GO13024_LC|GO13052_LC|GO13902_LC|GO13904_LC
