#K2
#SC Targets impacted by issue with Smear data
#Created by DC, Edited by SET
#Created February 2, 2016
# EPIC-ID, Campaign, Target Table Number
200004841,C3,79
200004843,C3,79
200004844,C3,79
200004845,C3,79
200004846,C3,79
200004847,C3,79
200004848,C3,79
200004849,C3,79
200004851,C3,79
201162999,C1,77
201164031,C1,77
201172543,C1,77
201182789,C1,77
201206621,C1,77
201215315,C1,77
201343968,C1,77
201353392,C1,77
201361857,C1,77
201367904,C1,77
201421619,C1,77
201436411,C1,77
201461944,C1,77
201488365,C1,77
201491630,C1,77
201585290,C1,77
201592408,C1,77
201601162,C1,77
201602813,C1,77
201614568,C1,77
201620616,C1,77
201624581,C1,77
201626704,C1,77
201650346,C1,77
201698809,C1,77
201756263,C1,77
201820830,C1,77
201853942,C1,77
201859902,C1,77
201860743,C1,77
201862715,C1,77
201866281,C1,77
201877455,C1,77
202059204,C0,76
202059229,C0,76
202060145,C0,76
202061312,C0,76
202062417,C0,76
202062419,C0,76
202062450,C0,76
202062480,C0,76
202062533,C0,76
202062552,C0,76
202717132,C2,78
203092367,C2,78
203393495,C2,78
203514293,C2,78
203633963,C2,78
203734535,C2,78
203761347,C2,78
203770817,C2,78
203836090,C2,78
203889365,C2,78
203907143,C2,78
203927020,C2,78
203937317,C2,78
204141790,C2,78
204226766,C2,78
204241221,C2,78
204296786,C2,78
204313397,C2,78
204356572,C2,78
204371831,C2,78
204372172,C2,78
204399980,C2,78
204490599,C2,78
204494885,C2,78
204506777,C2,78
204506926,C2,78
204514548,C2,78
204550630,C2,78
204595607,C2,78
204624076,C2,78
204638251,C2,78
204662993,C2,78
204819556,C2,78
204926239,C2,78
204951731,C2,78
204959839,C2,78
204987685,C2,78
205010433,C2,78
205089975,C2,78
205204563,C2,78
205211890,C2,78
205311975,C2,78
205467732,C2,78
205703810,C2,78
205917956,C3,79
205924248,C3,79
205962429,C3,79
205967173,C3,79
205974115,C3,79
205979004,C3,79
205982900,C3,79
205995584,C3,79
205997466,C3,79
206003187,C3,79
206009487,C3,79
206020725,C3,79
206053352,C3,79
206054604,C3,79
206064678,C3,79
206064711,C3,79
206070413,C3,79
206078331,C3,79
206085353,C3,79
206088888,C3,79
206094605,C3,79
206103150,C3,79
206107253,C3,79
206108325,C3,79
206135809,C3,79
206154641,C3,79
206167112,C3,79
206169988,C3,79
206180842,C3,79
206183149,C3,79
206184719,C3,79
206189170,C3,79
206189649,C3,79
206201061,C3,79
206225297,C3,79
206245055,C3,79
206262336,C3,79
206270336,C3,79
206289686,C3,79
206289767,C3,79
206292760,C3,79
206359447,C3,79
206368174,C3,79
206371648,C3,79
206445085,C3,79
206453540,C3,79
206496452,C3,79
206535752,C3,79
210317378,C4,80
210327027,C4,80
210397465,C4,80
210412981,C4,80
210415184,C4,80
210434433,C4,80
210444167,C4,80
210455478,C4,80
210489654,C4,80
210499243,C4,80
210510422,C4,80
210512046,C4,80
210517342,C4,80
210520485,C4,80
210520790,C4,80
210571155,C4,80
210579749,C4,80
210580056,C4,80
210594764,C4,80
210619926,C4,80
210623267,C4,80
210675409,C4,80
210695841,C4,80
210703831,C4,80
210705164,C4,80
210757023,C4,80
210758134,C4,80
210758829,C4,80
210763406,C4,80
210764183,C4,80
210811310,C4,80
210837690,C4,80
210894955,C4,80
210905362,C4,80
210933539,C4,80
210938993,C4,80
210942999,C4,80
210969800,C4,80
210975848,C4,80
211015348,C4,80
211020742,C4,80
211021223,C4,80
211023213,C4,80
211029232,C4,80
211031293,C4,80
211033155,C4,80
211037886,C4,80
211038389,C4,80
211041649,C4,80
211041683,C4,80
211044267,C4,80
211046446,C4,80
211056809,C4,80
211062662,C4,80
211069418,C4,80
211072836,C4,80
211077985,C4,80
211078009,C4,80
211087059,C4,80
211088007,C4,80
211091768,C4,80
211093705,C4,80
211100565,C4,80
211101694,C4,80
211101761,C4,80
211104312,C4,80
211112685,C4,80
211112686,C4,80
211112974,C4,80
211113345,C4,80
211114317,C4,80
211114329,C4,80
211115638,C4,80
211115721,C4,80
211117230,C4,80
211123901,C4,80
211133821,C4,80
211138217,C4,80
211147023,C4,80
211161128,C4,80
211161589,C4,80
211383343,C5,81
211401610,C5,81
211403555,C5,81
211407836,C5,81
211408116,C5,81
211408138,C5,81
211408522,C5,81
211408990,C5,81
211409011,C5,81
211409345,C5,81
211409348,C5,81
211409376,C5,81
211409644,C5,81
211410664,C5,81
211410931,C5,81
211412077,C5,81
211412252,C5,81
211414203,C5,81
211416577,C5,81
211417812,C5,81
211427749,C5,81
211429653,C5,81
211480655,C5,81
211529191,C5,81
211565467,C5,81
211569404,C5,81
211596649,C5,81
211623711,C5,81
211630249,C5,81
211642294,C5,81
211686003,C5,81
211696659,C5,81
211708181,C5,81
211730342,C5,81
211765471,C5,81
211779126,C5,81
211808853,C5,81
211846489,C5,81
211888384,C5,81
211892034,C5,81
211902739,C5,81
211909987,C5,81
211912407,C5,81
211916015,C5,81
211918335,C5,81
211918500,C5,81
211920612,C5,81
211927867,C5,81
211929178,C5,81
211931736,C5,81
211934173,C5,81
211936827,C5,81
211948678,C5,81
211950227,C5,81
211950703,C5,81
211951863,C5,81
211952381,C5,81
211954226,C5,81
211954550,C5,81
211957988,C5,81
211972627,C5,81
211975006,C5,81
211979334,C5,81
211980170,C5,81
211980688,C5,81
211988287,C5,81
211992776,C5,81
211995547,C5,81
212001099,C5,81
212100422,C5,81
212104541,C5,81
212160442,C5,81
212173112,C5,81
220115918,C4,80
220115930,C4,80
228682517,C5,81
