#Custom Aperture Number, Target Name
#SET 2016-04-18
200061424,Trojan 2000 QG199
200061425,Trojan 2000 QG199
200061426,Trojan 2000 QG199
200061427,Trojan 2000 QG199
200061428,Trojan 2000 QG199
200061429,Trojan 2000 QG199
200061430,Trojan 2000 QG199
200061431,Trojan 2000 QG199
200061432,Trojan 2000 QG199
200061433,Trojan 2000 QG199
200061434,Trojan 2000 QG199
200061435,Trojan 2000 QG199
200061436,Trojan 2000 QG199
200061437,Trojan 2000 QG199
200061438,Trojan 2000 QG199
200061439,Trojan 2000 QG199
200061440,Trojan 2000 QG199
200061441,Trojan 2000 QG199
200061442,Trojan 2000 QG199
200061443,Trojan 2000 QG199
200061444,Trojan 2000 QG199
200061445,Trojan 2000 QG199
200061446,Trojan 2000 QG199
200061447,Trojan 2000 QG199
200061448,Trojan 2000 QG199
200061449,Trojan 2000 QG199
200061450,Trojan 2000 QG199
200061451,Trojan 2000 QG199
200061452,Trojan 2000 QG199
200061453,Trojan 2000 QG199
200061454,Trojan 2000 QG199
200061455,Trojan 2000 QG199
200061456,Trojan 2000 QG199
200061457,Trojan 2000 QG199
200061458,Trojan 2000 QG199
200061459,Trojan 2000 QG199
200061460,Trojan 2000 QG199
200061461,Trojan 2000 QG199
200061462,Trojan 2000 QG199
200061463,Trojan 2001 SM251
200061464,Trojan 2001 SM251
200061465,Trojan 2001 SM251
200061466,Trojan 2001 SM251
200061467,Trojan 2001 SM251
200061468,Trojan 2001 SM251
200061469,Trojan 2001 SM251
200061470,Trojan 2001 SM251
200061471,Trojan 2001 SM251
200061472,Trojan 2001 SM251
200061473,Trojan 2001 SM251
200061474,Trojan 2001 SM251
200061475,Trojan 2001 SM251
200061476,Trojan 2001 SM251
200061477,Trojan 2001 SM251
200061478,Trojan 2001 SM251
200061479,Trojan 2001 SM251
200061480,Trojan 2001 SM251
200061481,Trojan 2001 SM251
200061482,Trojan 2001 SM251
200061483,Trojan 2001 SM251
200061484,Trojan 2001 SM251
